,Concept_ID,is,az
0,Auge::N,auga,göz
1,Ohr::N,eyra,qulaq
2,Nase::N,nef,burun
3,Mund::N,munnur,ağız
4,Zahn::N,tönn,diş
5,Zunge::N,tunga,dil
6,Lippe::N,vör,dodaq
7,Wange::N,kinn,yanaq
8,Wange::N,vangi,yanaq
9,Gesicht::N,andlit,üz
10,Stirn::N,enni,alın
11,Haar::N,hár,saç
12,Schnurrbart::N,yfirskegg,bığ
13,Bart::N,skegg,saqqal
14,Kinn::N,haka,çənə
15,Kiefer[Anatomie]::N,kjálki,çənə
16,Kiefer[Anatomie]::N,skoltur,çənə
17,Kehle::N,kverk,boğaz
18,Hals::N,háls,boyun
19,Genick::N,hnakki,ənsə
20,Kopf::N,höfuð,baş
21,Rücken::N,hryggur,bel
22,Bauch::N,kviður,qarın
23,Nabel::N,nafli,göbək
24,Busen::N,barmur,məmə
25,Brust::N,brjóst,döş
26,Schulter::N,öxl,çiyin
27,Arm::N,armur,qol
28,Ellenbogen::N,olnbogi,dirsək
29,Hand::N,hönd,əl
30,Handfläche::N,lófi,ovuc
31,Finger::N,fingur,barmaq
32,Fingernagel::N,fingurnögl,barmaq dırnağı
33,Nagel[Anatomie]::N,nögl,dırnak
34,Zeh::N,tá,ayaq barmağı
35,Fuß::N,fótur,ayaq
36,Ferse::N,hæll,daban
37,Knie::N,kné,diz
38,Oberschenkel::N,læri,bud
39,Bein::N,fótleggur,qıç
40,Körper::N,búkur,əndam
41,Körper::N,líkami,əndam
42,Haut::N,húð,dəri
43,Haut::N,skinn,dəri
44,Blut::N,blóð,qan
45,Ader::N,æð,damar
46,Sehne::N,sin,vətər
47,Knochen::N,bein,sümük
48,Gehirn::N,heili,beyin
49,Herz::N,hjarta,ürək
50,Magen::N,magi,mədə
51,Leber::N,lifur,qara ciyər
52,Atem::N,andi,nəfəs
53,Atem::N,andardráttur,nəfəs
54,Hunger::N,hungur,aclıq
55,Träne::N,tár,göz yaşı
56,Geschmack::N,smekkur,tam
57,Geschmack::N,smekkur,ləzzət
58,Geruch::N,lykt,qoxu
59,Schlaf::N,svefn,yuxu
60,Traum::N,draumur,röya
61,Himmel::N,himinn,göy
62,Himmel::N,himinn,səma
63,Sonne::N,sól,günəş
64,Mond::N,tungl,ay
65,Stern::N,stjarna,ulduz
66,Luft::N,loft,hava
67,Wind::N,vindur,yel
68,Wind::N,vindur,külək
69,Welle::N,alda,dalğa
70,Welle::N,bylgja,dalğa
71,Wasser::N,vatn,su
72,Stein::N,steinn,daş
73,Boden::N,botn,yer
74,Boden::N,botn,zəmin
75,Erde::N,jörð,yer torpaq
76,Staub::N,ryk,toz
77,Staub::N,duft,toz
78,Rauch::N,reykur,tüstü
79,Funke::N,neisti,qığılcım
80,Feuer::N,eldur,od
81,Licht::N,ljós,işıq
82,Schatten::N,skuggi,kölgə
83,Wetter::N,veður,hava
84,Nebel::N,þoka,duman
85,Wolke::N,ský,bulud
86,Regen::N,regn,yağış
87,Regen::N,regn,yağmur
88,Schnee::N,snjór,qar
89,Eis::N,ís,buz
90,Frost::N,frost,ayaz
91,Kälte::N,kuldi,soyuq
92,Hitze::N,hiti,coşğunluq
93,Raureif::N,hrím,qırov
94,Regenbogen::N,regnbogi,göy qurşağı
95,Donner::N,þruma,göy gurultusu
96,Strömung::N,straumur,axın
97,Tropfen::N,dropi,damcı
98,Schaum::N,froða,köpük
99,Schmutz::N,óhreinindi,çamır
100,See::N,stöðuvatn,göl
101,Sumpf::N,fen,bataqlıq
102,Moor::N,mýri,bataqlıq
103,Wiese::N,engi,çəmən
104,Wald::N,skógur,meşə
105,Hügel::N,hæð,təpə
106,Hügel::N,hóll,təpə
107,Anhöhe::N,hæð,təpə
108,Anhöhe::N,hóll,təpə
109,Berg::N,fell,dağ
110,Berg::N,fjall,dağ
111,Gipfel::N,tindur,zirvə
112,Höhle::N,hellir,mağara
113,Abhang::N,hlíð,yamac
114,Abhang::N,brekka,yamac
115,Quelle::N,lind,bulaq
116,Quelle::N,uppspretta,bulaq
117,Bach::N,lækur,kiçik çay
118,Fluss::N,á,çay
119,Fluss::N,fljót,çay
120,Ufer::N,árbakki,kənar
121,Ufer::N,sjávarbakki,kənar
122,Küste::N,strönd,sahil
123,Festland::N,meginland,materik
124,Meer::N,haf,dəniz
125,Meer::N,sjór,dəniz
126,Bucht::N,vík,körfəz
127,Insel::N,eyja,ada
128,Blume::N,blóm,çiçək
129,Gras::N,gras,ot
130,Wurzel::N,rót,kök
131,Baum::N,tré,ağac
132,Stamm::N,stofn,gövdə
133,Rinde::N,börkur,qabıq
134,Ast::N,grein,şax
135,Zweig::N,angi,budaq
136,Zweig::N,kvistur,budaq
137,Blatt::N,blað,yarpaq
138,Birke::N,birki,tozağacı
139,Kiefer[Baum]::N,fura,şam
140,Weide[Baum]::N,víðir,söyüd
141,Tanne::N,greni,küknar
142,Horn::N,horn,buynuz
143,Feder::N,fjöður,tük
144,Feder::N,fjöður,lələk
145,Fell::N,skinn,xəz
146,Flügel::N,vængur,qanad
147,Klaue::N,kló,pəncə
148,Kralle::N,kló,dırnaq
149,Schwanz::N,rófa,quyruq
150,Schwanz::N,skott,quyruq
