,Concept_ID,myv,mrj
0,Auge::N,сельме,сӹнзӓ
1,Ohr::N,пиле,пӹлӹш
2,Nase::N,судо,нер
3,Mund::N,курго,ышма
4,Zahn::N,пей,пӱ
5,Zunge::N,кель,йӹлмӹ
6,Lippe::N,турва,тӹрвӹ
7,Wange::N,чамабока,шӹргӹ
8,Wange::N,чамаумарь,шӹргӹ
9,Gesicht::N,чама,лицӓ
10,Stirn::N,коня,лепкӓ
11,Haar::N,черь,ӱп
12,Schnurrbart::N,ус,öрш
13,Schnurrbart::N,муюк,öрш
14,Bart::N,сакал,пандаш
15,Kinn::N,уло,онгылаш
16,Kiefer[Anatomie]::N,пейпакар,пӱ арата
17,Kiefer[Anatomie]::N,пейловажа,пӱ арата
18,Kehle::N,кирьгапарь,логер
19,Hals::N,кирьга,шӱ
20,Genick::N,човонь,ланга
21,Kopf::N,пря,вуй
22,Rücken::N,копорь,туп
23,Bauch::N,пеке,мӹшкӹр
24,Nabel::N,почо,кӹлӹмдӹ
25,Busen::N,поте,цӹзӹ
26,Brust::N,меште,мел
27,Schulter::N,лавтов,ӹнгӹжӓ
28,Arm::N,кедь,кид
29,Ellenbogen::N,кенерепакарь,кӹнервуй
30,Hand::N,кедь,лапа
31,Handfläche::N,кедькуншка,кид лапа
32,Handfläche::N,кедьлапушка,кид лапа
33,Finger::N,сур,парня
34,Fingernagel::N,кенже,кӹч
35,Nagel[Anatomie]::N,кенже,кӹч
36,Zeh::N,пильге сур,парня
37,Fuß::N,пильге,ял лапа
38,Ferse::N,кочкаря,ялгавал
39,Ferse::N,кочкаря,ял кавал
40,Knie::N,эле,пылвуй
41,Knie::N,эзне,пылвуй
42,Knie::N,кумажа,пылвуй
43,Oberschenkel::N,качо,ӓрдӹ
44,Bein::N,пильге,ял
45,Körper::N,рунго,монгыр
46,Haut::N,киське,кавашты
47,Blut::N,верь,вӹр
48,Ader::N,сан,вӹршӓр
49,Sehne::N,коське сан,кукшышӱн
50,Knochen::N,пакарь,лу
51,Gehirn::N,удем,вим
52,Herz::N,седей,шӱм
53,Magen::N,пеке,шӱм
54,Leber::N,максо,мокш
55,Atem::N,лексема,шӱлӹш
56,Atem::N,оймень таргсема,шӱлӹш
57,Hunger::N,вачочи,шужымаш
58,Träne::N,селведь,сӹнзӓвӹд
59,Geschmack::N,тансть,тот
60,Geruch::N,чине,пыш
61,Schlaf::N,удома,ом
62,Traum::N,он,ом
63,Himmel::N,менель,пӹлгом
64,Sonne::N,чи,кечӹ
65,Mond::N,ков,тӹлзӹ
66,Stern::N,теште,шӹдӹр
67,Luft::N,кошт,юж
68,Luft::N,кошт,воздух
69,Wind::N,варма,мардеж
70,Welle::N,толкун,ко
71,Welle::N,толкун,коэ
72,Wasser::N,ведь,вӹд
73,Stein::N,кев,кӱ
74,Boden::N,мода,рок
75,Erde::N,мастор,свет
76,Staub::N,пуль,пырак
77,Rauch::N,качамо,шӹкш
78,Funke::N,сятко,ип
79,Funke::N,сятко,тылип
80,Feuer::N,тол,тыл
81,Licht::N,валдо,соты
82,Licht::N,валдо,валгыды
83,Schatten::N,сулей,ӹмӹл
84,Schatten::N,сулейкс,ӹмӹл
85,Wetter::N,ушо,игечӹ
86,Nebel::N,сув,тӹтӹрӓ
87,Wolke::N,пель,пӹл
88,Regen::N,пиземс,юр
