,Concept_ID,ro,cv
0,Auge::N,ochi,куҫ
1,Ohr::N,ureche,хӑлха
2,Nase::N,nas,сӑмса
3,Mund::N,gură,ҫӑвар
4,Zahn::N,dinte,шӑл
5,Zunge::N,limbă,чӗлхе
6,Lippe::N,buză,тута
7,Wange::N,bucă,пит ҫӑмарти
8,Wange::N,obraz,пит ҫӑмарти
9,Gesicht::N,față,пит
10,Gesicht::N,față,пит-куҫ
11,Gesicht::N,figură,пит
12,Gesicht::N,figură,пит-куҫ
13,Stirn::N,frunte,ҫамка
14,Haar::N,păr,ҫӳҫ
15,Schnurrbart::N,mustață,усси
16,Bart::N,barbă,сухал
17,Kinn::N,bărbie,янах
18,Kiefer[Anatomie]::N,falcă,янах
19,Kehle::N,beregată,пыр
20,Kehle::N,beregată,карланкӑ
21,Hals::N,gât,пыр
22,Genick::N,ceafă,ӗнсе
23,Kopf::N,cap,пуҫ
24,Rücken::N,dos,ҫурӑм
25,Rücken::N,spate,ҫурӑм
26,Rücken::N,spinare,ҫурӑм
27,Bauch::N,burtă,
28,Bauch::N,pântece,
29,Nabel::N,buric,кӑвапа
30,Busen::N,sân,кӑкӑр
31,Brust::N,piept,умӗ
32,Schulter::N,umăr,хул пуҫҫи
33,Schulter::N,spate,хул пуҫҫи
34,Arm::N,braț,алӑ
35,Ellenbogen::N,cot,чавса
36,Hand::N,mână,алӑ сыппи
37,Handfläche::N,palmă,ал лаппи
38,Finger::N,deget,пӳрне
39,Fingernagel::N,unghie,чӗрне
40,Nagel[Anatomie]::N,unghie,чӗрне
41,Zeh::N,deget de la picior,пӳрне
42,Fuß::N,picior,ура лаппи
43,Ferse::N,călcâi,кӗле
44,Knie::N,genunchi,чӗркуҫҫи
45,Oberschenkel::N,coapsă,пӗҫӗ
46,Bein::N,picior,ура
47,Körper::N,corp,ӳт
48,Körper::N,corp,ӳт-пӳ
49,Haut::N,piele,тир
50,Blut::N,sânge,юн
51,Ader::N,vână,вена
52,Ader::N,arteră,вена
53,Sehne::N,tendon,шӑнӑр
54,Knochen::N,os,шӑмӑ
55,Gehirn::N,creier,миме
56,Herz::N,inimă,чӗре
57,Magen::N,stomac,хырӑмлӑх
58,Leber::N,ficat,пӗвер
59,Atem::N,răsuflare,сывлав
60,Atem::N,respirație,сывлав
61,Hunger::N,foame,выҫлӑх
62,Träne::N,lacrimă,куҫҫуль
63,Geschmack::N,gust,техӗм
64,Geruch::N,miros,шӑршӑ
65,Schlaf::N,somn,ыйхӑ
66,Traum::N,vis,тӗлӗк
67,Himmel::N,cer,пӗлӗт
68,Sonne::N,soare,хӗвел
69,Mond::N,lună,уйӑх
70,Stern::N,stea,ҫӑлтӑр
71,Luft::N,aer,сывлӑш
72,Wind::N,vânt,ҫил
73,Welle::N,val,хум
74,Welle::N,undă,хум
75,Wasser::N,apă,шыв
76,Wasser::N,apă,шыв-шур
77,Stein::N,piatră,чул
78,Boden::N,sol,тӑпра
79,Boden::N,pământ,тӑпра
80,Erde::N,pământ,ҫӗр
81,Staub::N,praf,тусан
82,Rauch::N,fum,тӗтӗм
83,Funke::N,scânteie,хӗм
84,Feuer::N,foc,вут
85,Feuer::N,foc,ҫулӑм
86,Licht::N,lumină,ҫутӑ
87,Schatten::N,umbră,сулхӑн
88,Wetter::N,timp,ҫанталӑк
89,Wetter::N,vreme,ҫанталӑк
90,Nebel::N,ceață,тӗтре
91,Nebel::N,negură,тӗтре
92,Wolke::N,nor,пӗлӗт
93,Regen::N,ploaie,ҫумӑр
94,Schnee::N,zăpadă,юр
95,Eis::N,gheață,пӑр
96,Frost::N,ger,сивӗ
97,Kälte::N,frig,сивӗ
98,Hitze::N,arșiță,вӗри
99,Hitze::N,arșiță,шӑрӑх
100,Hitze::N,căldură,вӗри
101,Hitze::N,căldură,шӑрӑх
102,Raureif::N,chiciură,пас
103,Regenbogen::N,curcubeu,асамат кӗперӗ
104,Donner::N,tunet,аслати
105,Strömung::N,curent,юхӑ
106,Tropfen::N,picătură,тумлам
107,Schaum::N,spumă,кӑпӑк
108,Schmutz::N,murdărie,пылчӑк
109,See::N,lac,кӳлӗ
110,Sumpf::N,mlaștină,шур
111,Sumpf::N,mlaștină,шурлӑх
112,Moor::N,bărăgan,торфлӑ шурлӑх
113,Wiese::N,fânaț,улӑх
114,Wiese::N,fânaț,ҫаран
115,Wiese::N,livadă,улӑх
116,Wiese::N,livadă,ҫаран
117,Wald::N,codru,вӑрман
118,Wald::N,pădure,вӑрман
119,Hügel::N,deal,сӑрт
120,Hügel::N,deal,тӗмеске
121,Hügel::N,movilă,сӑрт
122,Hügel::N,movilă,тӗмеске
123,Anhöhe::N,deal,сӑрт
124,Anhöhe::N,ridicătură,сӑрт
125,Berg::N,munte,ту
126,Gipfel::N,pisc,тӳпе
127,Höhle::N,peșteră,ҫӗр хӑвӑлӗ
128,Abhang::N,pantă,тӑвайкки
129,Abhang::N,versant,тӑвайкки
130,Quelle::N,izvor,ҫӑл куҫ
131,Bach::N,gârlă,пӗчӗк шыв
132,Fluss::N,râu,юхан шыв
133,Fluss::N,fluviu,юхан шыв
134,Ufer::N,mal,ҫыран
135,Ufer::N,țărm,ҫыран
136,Küste::N,coastă,тинӗс ҫыранӗ
137,Festland::N,uscat,тип ҫӗр
138,Meer::N,mare,тинӗс
139,Bucht::N,golf,тинӗс кукӑрӗ
140,Insel::N,insulă,утрав
141,Blume::N,floare,чечек
142,Gras::N,iarbă,курӑк
143,Wurzel::N,rădăcină,тымар
144,Baum::N,copac,йывӑҫ
145,Baum::N,arbore,йывӑҫ
146,Stamm::N,tulpină,вулӑ
147,Rinde::N,scoarță,хуйӑр
148,Ast::N,cracă,турат
149,Ast::N,creangă,турат
150,Zweig::N,ramură,турат
151,Zweig::N,creangă,турат
152,Blatt::N,frunză,ҫулҫӑ
153,Birke::N,mesteacăn,хурӑн
154,Kiefer[Baum]::N,pin,хыр
155,Weide[Baum]::N,salcie,хӑва
156,Weide[Baum]::N,răchită,хӑва
157,Tanne::N,brad,чӑрӑш
158,Horn::N,corn,мӑйрака
159,Feder::N,pană,тӗк
160,Fell::N,piele,ҫӑм
161,Flügel::N,aripă,ҫунат
162,Klaue::N,gheară,чӗрне
163,Kralle::N,labă,ура
164,Kralle::N,gheară,ура
165,Schwanz::N,coadă,хӳре
166,Ei::N,ou,ҫӑмарта
167,Nest::N,cuib,йӑва
168,Bau::N,bârlog,йӗнӗ
169,Bau::N,vizuină,йӗнӗ
170,Tier::N,animal,выльӑх
171,Herde::N,turmă,кӗтӳ
172,Herde::N,cireadă,кӗтӳ
173,Kuh::N,vacă,ӗне
174,Bulle::N,taur,вӑкӑр
175,Pferd::N,cal,лаша
176,Schaf::N,oaie,сурӑх
177,Schwein::N,porc,сысна
178,Hund::N,câine,йытӑ
179,Katze::N,pisică,кушак
180,Bär::N,urs,упа
181,Eichhörnchen::N,veveriță,пакша
182,Elch::N,elan,пӑши
183,Fuchs::N,vulpe,тилӗ
184,Hase::N,iepure,куян
185,Hase::N,iepure,мулкач
186,Maus::N,șoarece,шӑши
187,Wolf::N,lup,кашкӑр
188,Vogel::N,pasăre,кайӑк
189,Vogel::N,pasăre,вӗҫен кайӑк
190,Schwarm::N,cârd,ушкӑн
