,Concept_ID,be,zh
0,Auge::N,вока,眼睛
1,Ohr::N,вуха,耳朵
2,Nase::N,нос,鼻子
3,Mund::N,рот,嘴
4,Zahn::N,зуб,牙齿
5,Zunge::N,язык,舌头
6,Lippe::N,губа,嘴唇
7,Wange::N,шчака,面颊
8,Gesicht::N,твар,脸
9,Stirn::N,лоб,额
10,Haar::N,волас,头发
11,Haar::N,валасы,头发
12,Schnurrbart::N,вус,髭须
13,Schnurrbart::N,вусы,髭须
14,Bart::N,барада,胡子
15,Kinn::N,падбародак,下巴
16,Kiefer[Anatomie]::N,сківіца,颌
17,Kehle::N,горла,嗓子
18,Hals::N,шыя,颈
19,Genick::N,патыліца,后颈
20,Kopf::N,галава,头
21,Rücken::N,спіна,背
22,Bauch::N,жывот,肚子
23,Nabel::N,пупок,肚脐
24,Busen::N,грудзі,胸脯
25,Brust::N,грудзі,胸
26,Schulter::N,плячо,肩膀
27,Arm::N,рука,臂膀
28,Ellenbogen::N,локаць,肘
29,Hand::N,кісць,手
30,Handfläche::N,далонь,手掌
31,Finger::N,палец,手指
32,Fingernagel::N,ногаць,指甲
33,Nagel[Anatomie]::N,ногаць,指甲
34,Zeh::N,палец,脚趾
35,Fuß::N,нага,脚
36,Ferse::N,пята,后跟
37,Ferse::N,пятка,后跟
38,Knie::N,калена,膝
39,Oberschenkel::N,бядро,大腿
40,Oberschenkel::N,сцягно,大腿
41,Bein::N,нага,腿
42,Körper::N,цела,身体
43,Haut::N,скура,皮肤
44,Blut::N,кроў,血
45,Ader::N,вена,血管
46,Ader::N,сасуд,血管
47,Sehne::N,жыла,腱
48,Sehne::N,цеціва,腱
49,Sehne::N,сухажылле,腱
50,Knochen::N,косць,骨
51,Gehirn::N,мозг,脑
52,Herz::N,сэрца,心
53,Magen::N,страўнік,胃
54,Leber::N,печань,肝
55,Atem::N,дыханне,呼吸
56,Hunger::N,голад,饿
57,Träne::N,сляза,眼泪
58,Geschmack::N,смак,味道
59,Geruch::N,пах,气味
60,Schlaf::N,сон,睡眠
61,Traum::N,сон,梦
62,Himmel::N,неба,天空
63,Sonne::N,сонца,太阳
64,Mond::N,месяц,月亮
65,Stern::N,зорка,星
66,Luft::N,паветра,空气
67,Wind::N,вецер,风
68,Welle::N,хваля,波
69,Wasser::N,вада,水
70,Stein::N,камень,石头
71,Boden::N,глеба,地面
72,Erde::N,зямля,地
73,Staub::N,пыл,灰尘
74,Rauch::N,дым,烟
75,Funke::N,іскра,火花
76,Feuer::N,агонь,火
77,Licht::N,святло,光
78,Schatten::N,цень,影子
79,Wetter::N,пагода,天气
80,Wetter::N,надворʼе,天气
81,Nebel::N,туман,雾
82,Wolke::N,воблака,云
83,Regen::N,дождж,雨
84,Schnee::N,снег,雪
85,Eis::N,лёд,冰
86,Frost::N,мароз,霜冻
87,Kälte::N,холад,寒冷
88,Hitze::N,спёка,炎热
89,Raureif::N,іней,霜
90,Regenbogen::N,вясёлка,虹
91,Donner::N,гром,雷
92,Strömung::N,цячэнне,水流
93,Tropfen::N,кропля,滴
94,Schaum::N,пена,泡沫
95,Schmutz::N,гразь,赃物
96,See::N,возера,湖
97,Sumpf::N,багна,沼泽
98,Moor::N,балота,沼泽
99,Wiese::N,луг,草地
100,Wald::N,лес,森林
101,Hügel::N,узгорак,丘陵
102,Anhöhe::N,узвышша,山丘
103,Berg::N,гара,山
104,Gipfel::N,вяршыня,峰
105,Höhle::N,пячора,洞穴
106,Abhang::N,схіл,斜坡
107,Quelle::N,крыніца,泉
108,Bach::N,ручай,溪
109,Fluss::N,рака,河流
110,Ufer::N,бераг,岸
111,Küste::N,узбярэжжа,海岸
112,Festland::N,суша,大陆
113,Meer::N,мора,海
114,Bucht::N,бухта,海湾
115,Insel::N,востраў,岛
116,Blume::N,кветка,花
117,Gras::N,трава,草
118,Wurzel::N,корань,根
119,Baum::N,дрэва,树
120,Stamm::N,ствол,树干
121,Rinde::N,кара,树皮
122,Ast::N,сук,树枝
123,Zweig::N,галіна,树枝
124,Blatt::N,ліст,叶子
125,Birke::N,бяроза,桦木
126,Kiefer[Baum]::N,хвоя,松树
127,Kiefer[Baum]::N,сасна,松树
128,Weide[Baum]::N,вярба,柳树
129,Tanne::N,яліна,冷杉
130,Horn::N,рог,角
131,Feder::N,пяро,羽毛
132,Fell::N,шкура,皮毛
133,Flügel::N,крыло,翅膀
134,Klaue::N,кіпцюр,爪子
135,Kralle::N,лапа,爪子
136,Schwanz::N,хвост,尾巴
137,Ei::N,яйка,蛋
138,Nest::N,гняздо,巢
139,Bau::N,нара,穴
140,Tier::N,жывёла,动物
141,Herde::N,статак,群
142,Kuh::N,карова,母牛
143,Bulle::N,бык,公牛
144,Pferd::N,конь,马
145,Schaf::N,авечка,羊
146,Schwein::N,свіння,猪
147,Hund::N,сабака,狗
148,Katze::N,кошка,猫
149,Bär::N,мядзведзь,熊
150,Eichhörnchen::N,вавёрка,松鼠
151,Elch::N,лось,麋鹿
152,Fuchs::N,ліса,狐狸
153,Hase::N,заяц,兔子
154,Maus::N,мыш,老鼠
155,Wolf::N,воўк,狼
156,Vogel::N,птах,鸟
157,Vogel::N,птушка,鸟
158,Schwarm::N,чарада,群
159,Huhn::N,курыца,鸡
160,Hahn::N,певень,公鸡
161,Gans::N,гусь,鹅
162,Adler::N,арол,鹰
163,Ente::N,качка,鸭
164,Eule::N,сава,猫头鹰
165,Kranich::N,жораў,鹤
166,Kranich::N,журавель,鹤
167,Krähe::N,варона,乌鸦
168,Kuckuck::N,зязюля,布谷鸟
169,Schwan::N,лебедзь,天鹅
170,Fisch::N,рыба,鱼
171,Barsch::N,акунь,鲈鱼
172,Hecht::N,шчупак,狗鱼
173,Schlange[Tier]::N,змяя,蛇
174,Wurm::N,чарвяк,蠕虫
175,Spinne::N,павук,蜘蛛
176,Ameise::N,мурашка,蚂蚁
177,Laus::N,вош,虱子
178,Mücke::N,камар,蚊子
179,Fliege::N,муха,苍蝇
180,Schmetterling::N,матыль,蝴蝶
181,Beere::N,ягада,将果
182,Apfel::N,яблык,苹果
183,Pilz::N,грыб,蘑菇
184,Zwiebel::N,цыбуля,洋葱
185,Saat::N,семя,种子
186,Korn::N,зерне,谷粒
187,Heu::N,сена,干草
188,Schale::N,шалупінне,壳
189,Grube::N,яма,坑
190,Falle::N,пастка,圈套
191,Schlinge::N,сіло,活扣
192,Spur::N,след,踪迹
193,Asche::N,попел,灰烬
194,Dreck::N,бруд,污垢
195,Eisen::N,жалеза,铁
196,Gold::N,золата,金子
197,Silber::N,сребра,银
198,Kohle::N,вугаль,煤
199,Glas::N,шкло,玻璃
200,Lehm::N,гліна,粘土
201,Sand::N,пясок,沙
202,Mensch::N,чалавек,人
203,Mann::N,мужчына,男子
204,Frau::N,жанчына,妇女
205,Kind::N,дзіця,小孩
206,Junge::N,хлопчык,男孩
207,Mädchen::N,дзяўчынка,女孩
