,Concept_ID,lt,hr
0,Auge::N,akis,oko
1,Ohr::N,ausis,uho
2,Nase::N,nosis,nos
3,Mund::N,burna,usta
4,Zahn::N,dantis,zub
5,Zunge::N,liežuvis,jezik
6,Lippe::N,lūpa,usna
7,Wange::N,žandas,obraz
8,Wange::N,skruostas,obraz
9,Gesicht::N,veidas,lice
10,Stirn::N,kakta,čelo
11,Haar::N,plaukai,kosa
12,Schnurrbart::N,ūsai,brkovi
13,Bart::N,barzda,brada
14,Kinn::N,smakras,brada
15,Kinn::N,smakras,podbradak
16,Kiefer[Anatomie]::N,žandikaulis,čeljust
17,Kehle::N,gerklė,grlo
18,Hals::N,kaklas,vrat
19,Genick::N,sprandas,zatiljak
20,Kopf::N,galva,glava
21,Rücken::N,nugara,leđa
22,Rücken::N,nugara,hrbat
23,Bauch::N,pilvas,trbuh
24,Nabel::N,bamba,pupak
25,Busen::N,krūtinė,sisa
26,Busen::N,krūtinė,njedra
27,Brust::N,krūtis,prsa
28,Schulter::N,petys,rame
29,Schulter::N,petys,pleći
30,Arm::N,ranka,ruka
31,Ellenbogen::N,alkūnė,lakat
32,Hand::N,ranka,ruka
33,Hand::N,plaštaka,ruka
34,Handfläche::N,delnas,dlan
35,Handfläche::N,plaštaka,dlan
36,Finger::N,pirštas,prst
37,Fingernagel::N,nagas,nokat
38,Nagel[Anatomie]::N,nagas,nokat
39,Zeh::N,pirštas,nozni prst
40,Fuß::N,pėda,noga
41,Fuß::N,pėda,stopalo
42,Ferse::N,kulnas,peta
43,Knie::N,kelis,koljeno
44,Oberschenkel::N,kulšis,bedro
45,Oberschenkel::N,šlaunis,bedro
46,Bein::N,koja,noga
47,Körper::N,kūnas,tijelo
48,Haut::N,oda,put
49,Haut::N,oda,koža
50,Blut::N,kraujas,krv
51,Ader::N,kraujagyslė,žila
52,Sehne::N,sausgyslė,tetiva
53,Knochen::N,kaulas,kost
54,Gehirn::N,smegenys,
55,Herz::N,širdis,srce
56,Magen::N,skrandis,stomak
57,Magen::N,skrandis,želudac
58,Leber::N,kepenys,jetra
59,Atem::N,kvapas,dah
60,Hunger::N,badas,glad
61,Hunger::N,alkis,glad
62,Träne::N,ašara,suza
63,Geschmack::N,skonis,ukus
64,Geruch::N,kvapas,njuh
65,Geruch::N,kvapas,miris
66,Schlaf::N,miegas,san
67,Traum::N,sapnas,san
68,Himmel::N,dangus,nebo
69,Sonne::N,saulė,sunce
70,Mond::N,mėnulis,mjesec
71,Stern::N,žvaigždė,zvijezda
72,Luft::N,oras,zrak
73,Wind::N,vėjas,vjetar
74,Welle::N,banga,val
75,Welle::N,banga,talas
76,Welle::N,vilnis,val
77,Welle::N,vilnis,talas
78,Wasser::N,vanduo,voda
79,Stein::N,akmuo,kamen
80,Boden::N,žemė,tlo
81,Boden::N,žemė,zemlja
82,Boden::N,dugnas,tlo
83,Boden::N,dugnas,zemlja
84,Erde::N,žemė,zemlja
85,Staub::N,dulkės,prah
86,Staub::N,dulkės,prašina
87,Rauch::N,dūmai,dim
88,Funke::N,kibirkštis,iskra
89,Funke::N,kibirkštis,varnica
90,Feuer::N,ugnis,vatra
91,Licht::N,šviesa,svjetlo
92,Schatten::N,paūksmė,hlad
93,Schatten::N,paūksmė,sjena
94,Wetter::N,oras,vrijeme
95,Nebel::N,migla,magla
96,Nebel::N,rūkas,magla
97,Wolke::N,debesis,oblak
98,Regen::N,lietus,kiša
99,Schnee::N,sniegas,snijeg
100,Eis::N,ledas,led
101,Frost::N,šalna,mraz
102,Kälte::N,šaltis,studen
103,Kälte::N,šaltis,hladnoća
104,Hitze::N,karštis,vrućina
105,Raureif::N,šerkšnas,inje
106,Regenbogen::N,vaivorykštė,duga
107,Donner::N,perkūnas,grom
108,Donner::N,perkūnas,grmljavina
109,Donner::N,griaustinis,grom
110,Donner::N,griaustinis,grmljavina
111,Strömung::N,tėkmė,struja
112,Strömung::N,tėkmė,strujanje
113,Tropfen::N,lašas,kap
114,Tropfen::N,lašas,kaplja
115,Schaum::N,putos,pjena
116,Schmutz::N,purvas,nečistoća
117,Schmutz::N,purvas,prljavština
118,See::N,ežeras,jezero
119,Sumpf::N,klampynė,bara
120,Sumpf::N,liūnas,bara
121,Moor::N,pelkė,močvara
122,Wiese::N,pieva,livada
123,Wald::N,miškas,šuma
124,Hügel::N,kalva,brijeg
125,Hügel::N,kalva,brežuljak
126,Anhöhe::N,kauburys,uzvišica
127,Berg::N,kalnas,brdo
128,Gipfel::N,viršūnė,vrh
129,Höhle::N,ola,pećina
130,Höhle::N,ola,spilja
131,Abhang::N,šlaitas,obronak
132,Abhang::N,šlaitas,nizbrdica
133,Abhang::N,nuokalnė,obronak
134,Abhang::N,nuokalnė,nizbrdica
135,Quelle::N,versmė,izvor
136,Quelle::N,versmė,vrelo
137,Quelle::N,šaltinis,izvor
138,Quelle::N,šaltinis,vrelo
139,Bach::N,upelis,potok
140,Fluss::N,upė,rijeka
141,Ufer::N,krantas,obala
142,Küste::N,pajūris,obala
143,Küste::N,pajūris,morska obala
144,Festland::N,sausuma,kopno
145,Meer::N,jūra,more
146,Bucht::N,įlanka,zaliv
147,Bucht::N,užutekis,zaliv
148,Insel::N,sala,ada
149,Insel::N,sala,otok
150,Blume::N,gėlė,cvijet
151,Gras::N,žolė,trava
152,Wurzel::N,šaknis,korijen
153,Baum::N,medis,drvo
154,Baum::N,medis,stablo
155,Stamm::N,kamienas,deblo
156,Stamm::N,kamienas,stablo
157,Rinde::N,žievė,kora
158,Ast::N,šaka,grana
159,Zweig::N,šakelė,grana
160,Blatt::N,lapas,list
161,Birke::N,beržas,breza
162,Kiefer[Baum]::N,pušis,bor
163,Weide[Baum]::N,karklas,iva
164,Weide[Baum]::N,karklas,vŕba
165,Tanne::N,eglė,jela
166,Tanne::N,kėnis,jela
167,Horn::N,ragas,rog
168,Feder::N,plunksna,pero
169,Fell::N,kailis,koža
170,Flügel::N,sparnas,krilo
171,Klaue::N,kanopa,papak
172,Kralle::N,nagas,pandža
173,Schwanz::N,uodega,rep
174,Ei::N,kiaušinis,jaje
175,Nest::N,gūžta,gnijezdo
176,Nest::N,lizdas,gnijezdo
177,Bau::N,ola,jazbina
178,Tier::N,gyvūnas,životinja
179,Herde::N,banda,krdo
180,Herde::N,banda,stado
181,Herde::N,kaimenė,krdo
182,Herde::N,kaimenė,stado
183,Kuh::N,karvė,krava
184,Bulle::N,bulius,bik
185,Pferd::N,arklys,konj
186,Schaf::N,avis,ovca
187,Schwein::N,kiaulė,svinja
188,Hund::N,šuo,pas
189,Hund::N,šuo,pseto
190,Katze::N,katė,mačka
191,Bär::N,lokys,medvjed
192,Eichhörnchen::N,voveraitė,vjeverica
193,Elch::N,briedis,los
194,Fuchs::N,lapė,lisica
195,Hase::N,kiškas,zec
196,Maus::N,pelė,miš
197,Wolf::N,vilkas,vuk
198,Wolf::N,vilkas,kurjak
199,Vogel::N,paukštis,ptica
200,Schwarm::N,spiečius,roj
201,Schwarm::N,spiečius,jato
202,Huhn::N,višta,kokoš
203,Hahn::N,gaidys,kokot
204,Hahn::N,gaidys,pijevac
205,Gans::N,žąsis,guska
206,Adler::N,erelis,orao
207,Ente::N,antis,patka
208,Eule::N,pelėda,sova
209,Kranich::N,gervė,ždral
210,Krähe::N,varna,vrana
211,Kuckuck::N,gegužė,kukavica
212,Schwan::N,gulbė,labud
213,Fisch::N,žuvis,riba
214,Barsch::N,ešerys,grgeč
215,Hecht::N,lydeka,štuka
216,Schlange[Tier]::N,gyvatė,guja
217,Schlange[Tier]::N,gyvatė,zmija
218,Wurm::N,kirmėlė,crv
219,Spinne::N,voras,pauk
220,Ameise::N,skruzdė,mrav
221,Laus::N,utėlė,uš
222,Mücke::N,uodas,komarac
223,Fliege::N,musė,muha
224,Schmetterling::N,drugys,leptir
225,Schmetterling::N,peteliškė,leptir
226,Beere::N,uoga,boba
227,Beere::N,uoga,bobica
228,Apfel::N,obuolys,jabuka
229,Pilz::N,grybas,pečurka
230,Zwiebel::N,svogūnas,luk
231,Zwiebel::N,svogūnas,kapula
232,Saat::N,sėkla,sjemenje
233,Korn::N,grūdai,zrno
234,Heu::N,šienas,sijeno
235,Schale::N,žievelė,kora
236,Schale::N,žievelė,ljuska
237,Grube::N,duobė,jama
238,Falle::N,pinklės,zamka
239,Falle::N,pinklės,klopka
240,Falle::N,žabangai,zamka
241,Falle::N,žabangai,klopka
242,Schlinge::N,kilpa,uzao
243,Schlinge::N,kilpa,petlja
244,Spur::N,vėžė,trag
245,Spur::N,vėžė,slijed
246,Spur::N,pėdos,trag
247,Spur::N,pėdos,slijed
248,Spur::N,pėdsakas,trag
249,Spur::N,pėdsakas,slijed
250,Asche::N,pelenai,pepeo
251,Dreck::N,purvas,blato
252,Eisen::N,geležis,željezo
253,Gold::N,auksas,zlato
254,Silber::N,sidabras,srebro
255,Kohle::N,anglis,ugalj
256,Kohle::N,anglis,ugljen
257,Glas::N,stiklas,staklo
258,Lehm::N,molis,glina
259,Lehm::N,molis,ilovača
260,Sand::N,smėlis,pijesak
261,Mensch::N,žmogus,čovjek
262,Mann::N,vyras,muškarac
263,Mann::N,vyriškis,muškarac
264,Frau::N,moteris,žena
265,Kind::N,vaikas,čedo
266,Kind::N,vaikas,dijete
267,Junge::N,vaikinas,momče
268,Junge::N,vaikinas,dječak
269,Junge::N,berniukas,momče
270,Junge::N,berniukas,dječak
271,Mädchen::N,mergytė,djevojka
272,Mädchen::N,mergytė,djevojčica
273,Mädchen::N,mergaitė,djevojka
274,Mädchen::N,mergaitė,djevojčica
275,Familie::N,šeima,obitelj
276,Familie::N,šeima,porodica
277,Großvater::N,senelis,djed
278,Großmutter::N,senelė,baka
