,Concept_ID,ro,ka
0,Auge::N,ochi,თვალი
1,Ohr::N,ureche,ყური
2,Nase::N,nas,ცხვირი
3,Mund::N,gură,პირი
4,Zahn::N,dinte,კბილი
5,Zunge::N,limbă,ენა
6,Lippe::N,buză,ბაგე
7,Wange::N,bucă,ლოყა
8,Wange::N,obraz,ლოყა
9,Gesicht::N,față,სახე
10,Gesicht::N,figură,სახე
11,Stirn::N,frunte,შუბლი
12,Haar::N,păr,თმა
13,Schnurrbart::N,mustață,ულვაში
14,Bart::N,barbă,წვერი
15,Kinn::N,bărbie,ნიკაპი
16,Kiefer[Anatomie]::N,falcă,ყბა
17,Kehle::N,beregată,ყელი
18,Hals::N,gât,ყელი
19,Hals::N,gât,კისერი
20,Genick::N,ceafă,კეფა
21,Kopf::N,cap,თავი
22,Rücken::N,dos,ზურგი
23,Rücken::N,spate,ზურგი
24,Rücken::N,spinare,ზურგი
25,Bauch::N,burtă,მუცელი
26,Bauch::N,pântece,მუცელი
27,Nabel::N,buric,ჭიპი
28,Busen::N,sân,ძუძუ
29,Brust::N,piept,მკერდი
30,Schulter::N,umăr,მხარი
31,Schulter::N,umăr,მკლავი
32,Schulter::N,spate,მხარი
33,Schulter::N,spate,მკლავი
34,Arm::N,braț,ხელი
35,Ellenbogen::N,cot,იდაყვი
36,Hand::N,mână,ხელი
37,Handfläche::N,palmă,ნები
38,Handfläche::N,palmă,ხელისგული
39,Finger::N,deget,თითი
40,Fingernagel::N,unghie,ფრჩხილი
41,Nagel[Anatomie]::N,unghie,ფრჩხილი
42,Zeh::N,deget de la picior,ფეხის თითი
43,Fuß::N,picior,ტერფი
44,Fuß::N,picior,ფეხისგული
45,Ferse::N,călcâi,ქუსლი
46,Knie::N,genunchi,მუხლი
47,Oberschenkel::N,coapsă,ბარძაყი
48,Bein::N,picior,ფეხი
49,Körper::N,corp,ტანი
50,Körper::N,corp,სხეული
51,Haut::N,piele,კანი
52,Blut::N,sânge,სისხლი
53,Ader::N,vână,ძარღვი
54,Ader::N,arteră,ძარღვი
55,Sehne::N,tendon,მყესი
56,Knochen::N,os,ძვალი
57,Gehirn::N,creier,ტვინი
58,Herz::N,inimă,გული
59,Magen::N,stomac,კუჭი
60,Leber::N,ficat,ღვიძლი
61,Atem::N,răsuflare,სუნთქვა
62,Atem::N,respirație,სუნთქვა
63,Hunger::N,foame,შიმშილი
64,Träne::N,lacrimă,ცრემლი
65,Geschmack::N,gust,გემო
66,Geruch::N,miros,სუნი
67,Schlaf::N,somn,ძილი
68,Traum::N,vis,სიზმარი
69,Himmel::N,cer,ცა
70,Sonne::N,soare,მზე
71,Mond::N,lună,მთვარე
72,Stern::N,stea,ვარსკვლავი
73,Luft::N,aer,ჰაერი
74,Wind::N,vânt,ქარი
75,Welle::N,val,ტალღა
76,Welle::N,undă,ტალღა
77,Wasser::N,apă,წყალი
78,Stein::N,piatră,ქვა
79,Boden::N,sol,მიწა
80,Boden::N,pământ,მიწა
81,Erde::N,pământ,ნიადაგი
82,Staub::N,praf,მტვერი
83,Rauch::N,fum,ბოლი
84,Rauch::N,fum,კვამლი
85,Funke::N,scânteie,ნაკვესი
86,Feuer::N,foc,ცეცხლი
87,Licht::N,lumină,შუქი
88,Licht::N,lumină,სინათლე
89,Schatten::N,umbră,ლანდი
90,Schatten::N,umbră,ჩრდილი
91,Wetter::N,timp,ამინდი
92,Wetter::N,vreme,ამინდი
93,Nebel::N,ceață,ნისლი
94,Nebel::N,negură,ნისლი
95,Wolke::N,nor,ღრუბელი
96,Regen::N,ploaie,წვიმა
97,Schnee::N,zăpadă,თოვლი
98,Eis::N,gheață,თოში
99,Eis::N,gheață,ყინული
100,Frost::N,ger,ყინვა
101,Kälte::N,frig,სიცივე
102,Hitze::N,arșiță,სიცხე
103,Hitze::N,căldură,სიცხე
104,Raureif::N,chiciură,ჭირხლი
105,Raureif::N,chiciură,თრთვილი
106,Regenbogen::N,curcubeu,ცისარტყელა
107,Donner::N,tunet,ქუხილი
108,Strömung::N,curent,დინება
109,Tropfen::N,picătură,წვეთი
110,Schaum::N,spumă,ქაფი
111,Schaum::N,spumă,დორბლი
112,Schmutz::N,murdărie,ჭუჭყი
113,Schmutz::N,murdărie,ტალახი
114,See::N,lac,ტბა
115,Sumpf::N,mlaștină,ჭაობი
116,Moor::N,bărăgan,ტორფნარი
117,Wiese::N,fânaț,ველი
118,Wiese::N,fânaț,მდელო
119,Wiese::N,livadă,ველი
120,Wiese::N,livadă,მდელო
121,Wald::N,codru,ტყე
122,Wald::N,pădure,ტყე
123,Hügel::N,deal,ბორცვი
124,Hügel::N,movilă,ბორცვი
125,Anhöhe::N,deal,მაღლობი
126,Anhöhe::N,ridicătură,მაღლობი
127,Berg::N,munte,მთა
128,Gipfel::N,pisc,მწვერვალი
129,Höhle::N,peșteră,მღვიმე
130,Höhle::N,peșteră,გამოქვებული
131,Abhang::N,pantă,ფერდობი
132,Abhang::N,versant,ფერდობი
133,Quelle::N,izvor,წყარო
134,Quelle::N,izvor,სათავე
135,Bach::N,gârlă,რუ
136,Bach::N,gârlă,ნაკადული
137,Fluss::N,râu,მდინარე
138,Fluss::N,fluviu,მდინარე
139,Ufer::N,mal,კიდე
140,Ufer::N,mal,ნაპირი
141,Ufer::N,țărm,კიდე
142,Ufer::N,țărm,ნაპირი
143,Küste::N,coastă,ნაპირი
144,Festland::N,uscat,ხმელეთი
145,Meer::N,mare,ზღვა
146,Bucht::N,golf,ყურე
147,Insel::N,insulă,კუნძული
148,Blume::N,floare,ყვავილი
149,Gras::N,iarbă,ბალახი
150,Wurzel::N,rădăcină,ძირი
151,Wurzel::N,rădăcină,ფესვი
152,Baum::N,copac,ხე
153,Baum::N,arbore,ხე
154,Stamm::N,tulpină,ტანი
155,Rinde::N,scoarță,ქერქი
156,Ast::N,cracă,ტოტი
157,Ast::N,creangă,ტოტი
158,Zweig::N,ramură,შტო
159,Zweig::N,creangă,შტო
160,Blatt::N,frunză,ფოთოლი
161,Birke::N,mesteacăn,არყი
162,Kiefer[Baum]::N,pin,ფიჭვი
163,Weide[Baum]::N,salcie,ტირიფი
164,Weide[Baum]::N,răchită,ტირიფი
165,Tanne::N,brad,ნაძვი
166,Horn::N,corn,რქა
167,Feder::N,pană,ფრთა
168,Fell::N,piele,ტყავი
169,Flügel::N,aripă,ფრთა
170,Klaue::N,gheară,კლანჭი
171,Kralle::N,labă,ტორი
172,Kralle::N,gheară,ტორი
173,Schwanz::N,coadă,კუდი
174,Ei::N,ou,კვერცხი
175,Nest::N,cuib,ბუდე
176,Bau::N,bârlog,სორო
177,Bau::N,vizuină,სორო
178,Tier::N,animal,ნადირი
179,Tier::N,animal,ცხოველი
180,Herde::N,turmă,ფარა
181,Herde::N,cireadă,ფარა
182,Kuh::N,vacă,ფური
183,Kuh::N,vacă,ძროხა
184,Bulle::N,taur,ხარი
185,Pferd::N,cal,რაში
186,Pferd::N,cal,ცხენი
187,Schaf::N,oaie,ცხვარი
188,Schwein::N,porc,ღორი
189,Hund::N,câine,ძაღლი
190,Katze::N,pisică,კატა
191,Bär::N,urs,დათვი
192,Eichhörnchen::N,veveriță,ციყვი
193,Elch::N,elan,ცხენ-ირემი
194,Fuchs::N,vulpe,მელა
195,Hase::N,iepure,კურდღელი
196,Maus::N,șoarece,თაგვი
197,Wolf::N,lup,მგელი
198,Vogel::N,pasăre,ჩიტი
199,Vogel::N,pasăre,ფრინველი
200,Schwarm::N,cârd,გუნდი
201,Huhn::N,găină,დედალი
202,Hahn::N,cocoș,მამალი
203,Gans::N,gâscă,ბატი
204,Adler::N,vultur,არწივი
205,Ente::N,rață,იხვი
206,Eule::N,bufniță,ბუ
207,Kranich::N,cocor,წერო
208,Krähe::N,cioară,ყვავი
209,Kuckuck::N,cuc,გუგული
210,Schwan::N,lebădă,გედი
211,Fisch::N,pește,თევზი
212,Barsch::N,biban,ქორჭილა
213,Hecht::N,știucă,ქარიყლაპია
214,Schlange[Tier]::N,șarpe,გველი
215,Wurm::N,vierme,ჭია
216,Spinne::N,păianjen,ობობა
217,Ameise::N,furnică,ჭიანჭველა
218,Laus::N,păduche,ტილი
219,Laus::N,păduche,მკბენარი
220,Mücke::N,țânțar,კოღო
221,Fliege::N,muscă,ბუზი
222,Schmetterling::N,fluture,პეპელა
223,Beere::N,boabă,კენკრა
224,Apfel::N,măr,ვაშლი
225,Pilz::N,burete,სოკო
226,Pilz::N,ciupercă,სოკო
227,Zwiebel::N,ceapă,ხახვი
228,Saat::N,semănătură,თესლი
229,Korn::N,grâu,მარცვალი
230,Heu::N,fân,თივა
231,Schale::N,coajă,ჩენჩო
232,Grube::N,groapă,ორმო
233,Falle::N,cursă,ხაფანგი
234,Falle::N,capcană,ხაფანგი
235,Schlinge::N,laț,მახე
236,Spur::N,dâră,კვალი
237,Asche::N,cenușă,ფერფლი
238,Dreck::N,noroi,ტალახი
239,Dreck::N,noroi,სიბინძურე
240,Dreck::N,murdărie,ტალახი
241,Dreck::N,murdărie,სიბინძურე
242,Eisen::N,fier,რკინა
243,Gold::N,aur,ოქრო
244,Silber::N,argint,ვერცხლი
245,Kohle::N,cărbune,ნახშირი
246,Glas::N,sticlă,მინა
247,Lehm::N,lut,თიხა
248,Lehm::N,humă,თიხა
249,Sand::N,nisip,ქვიშა
250,Mensch::N,om,ადამიანი
251,Mensch::N,persoană,ადამიანი
252,Mann::N,om,კაცი
253,Mann::N,bărbat,კაცი
254,Frau::N,femeie,ქალი
255,Kind::N,copil,ბავშვი
256,Junge::N,băiat,ვაჟი
257,Junge::N,flăcău,ვაჟი
258,Mädchen::N,fată,გოგო
259,Familie::N,familie,ოჯახი
260,Großvater::N,bunic,პაპა
261,Großvater::N,bunic,ბაბუა
262,Großvater::N,tată mare,პაპა
263,Großvater::N,tată mare,ბაბუა
264,Großmutter::N,bunică,ბებია
265,Großmutter::N,bunică,დიდედა
266,Großmutter::N,mamă mare,ბებია
267,Großmutter::N,mamă mare,დიდედა
268,Eltern::N,părinți,მშობლები
269,Vater::N,tată,მამა
270,Vater::N,părinte,მამა
271,Mutter::N,mamă,დედა
272,Sohn::N,fiu,ვაჟიშვილი
273,Sohn::N,fecior,ვაჟიშვილი
274,Tochter::N,fiică,ქალიშვილი
275,Bruder::N,frate,ძმა
276,Schwester::N,soră,და
277,Onkel::N,unchi,ბიძა
278,Tante::N,mătușă,დეიდა
279,Tante::N,mătușă,მამიდა
280,Ehemann::N,soț,ქმარი
281,Ehemann::N,bărbat,ქმარი
282,Ehefrau::N,soție,ცოლი
283,Freude::N,bucurie,სიხარული
284,Gelächter::N,râset,სიცილი
285,Glück::N,fericire,ბედნიერება
286,Kummer::N,mâhnire,მწუხარება
287,Wunsch::N,dorință,წადილი
288,Wunsch::N,dorință,სურვილი
289,Wunsch::N,deziderat,წადილი
290,Wunsch::N,deziderat,სურვილი
291,Lust::N,poftă,წადილი
292,Lust::N,înclinare,წადილი
293,Geist::N,duh,სული
294,Geist::N,minte,სული
295,Geist::N,suflet,სული
296,Gedanke::N,gând,ფიქრი
297,Gedanke::N,cuget,ფიქრი
298,Gedächtnis::N,memorie,მეხსიერება
299,Verstand::N,minte,ჭკუა
300,Verstand::N,minte,გონება
301,Verstand::N,intelect,ჭკუა
302,Verstand::N,intelect,გონება
303,Sinn::N,sens,მნიშვნელობა
304,Sinn::N,înțeles,მნიშვნელობა
305,Grund::N,cauză,მიზეზი
306,Grund::N,pricină,მიზეზი
307,Wahrheit::N,adevăr,სიმართლე
308,Wahrheit::N,adevăr,ჭეშმარიტება
309,Gespräch::N,convorbire,ბაასი
310,Gespräch::N,convorbire,საუბარი
311,Gespräch::N,conversație,ბაასი
312,Gespräch::N,conversație,საუბარი
313,Märchen::N,basm,არაკი
314,Märchen::N,basm,ზღაპარი
315,Märchen::N,poveste,არაკი
316,Märchen::N,poveste,ზღაპარი
317,Erzählung::N,poveste,თქმულება
318,Nachricht::N,veste,ცნობა
319,Nachricht::N,veste,ამბავი
320,Neuigkeit::N,noutate,სიახლე
321,Neuigkeit::N,actualitate,სიახლე
322,Name::N,nume,სახელი
323,Rätsel::N,ghicitoare,გამოცანა
324,Rede::N,discurs,სიტყვა
325,Sprache::N,limbă,ენა
326,Sprache::N,limbaj,ენა
327,Stimme::N,glas,ხმა
328,Wort::N,cuvânt,სიტყვა
329,Zeichen::N,semn,ნიშანი
330,Zeichen::N,semnal,ნიშანი
331,Ruf::N,chemare,ძახილი
332,Lärm::N,zgomot,ხმაური
333,Lärm::N,tărăboi,ხმაური
334,Laut::N,sunet,ხმა
335,Laut::N,sunet,ბგერა
336,Ton::N,ton,ტონი
337,Lied::N,cântec,სიმღერა
338,Ruhe::N,odihnă,სიწყნარე
339,Ruhe::N,liniște,სიწყნარე
340,Leute::N,lume,ადამიანები
341,Leute::N,oameni,ადამიანები
342,Volk::N,popor,ერი
343,Volk::N,popor,ხალხი
344,Volk::N,națiune,ერი
345,Volk::N,națiune,ხალხი
346,Arbeit::N,lucru,მუშაობა
347,Gast::N,musafir,სტუმარი
348,Geschenk::N,dar,საჩუქარი
349,Geschenk::N,cadou,საჩუქარი
350,Spiel::N,joc,თამაში
351,Gesellschaft::N,societate,საზოგადოება
352,Hilfe::N,ajutor,შველა
353,Hilfe::N,ajutor,დახმარება
354,Freund::N,amic,მეგობარი
355,Freund::N,prieten,მეგობარი
356,Kamerad::N,tovarăș,ამხანაგი
357,Angelegenheit::N,afacere,საქმე
358,Anzahl::N,număr,ოდენობა
359,Anzahl::N,cantitate,ოდენობა
360,Art::N,fel,სახეობა
361,Art::N,specie,სახეობა
362,Stück::N,bucată,ნატეხი
363,Teil::N,parte,წილი
364,Teil::N,porție,წილი
365,Hälfte::N,jumătate,ნახევარი
366,Kreis::N,cerc,წრე
367,Kreuz::N,cruce,ჯვარი
368,Linie::N,linie,ხაზი
369,Strich::N,linie,შტრიხი
370,Strich::N,trăsătură,შტრიხი
371,Abstand::N,distanță,მანძილი
372,Abstand::N,depărtare,მანძილი
373,Entfernung::N,distanță,სიშორე
374,Entfernung::N,depărtare,სიშორე
375,Gegend::N,regiune,არე
376,Gegend::N,regiune,მხარე
377,Platz::N,loc,ფართობი
378,Ort::N,loc,ადგილი
379,Seite::N,latură,მხარე
380,Mitte::N,centru,შუა
381,Gegenstand::N,obiect,საგანი
382,Sache::N,lucru,ნივთი
383,Sache::N,chestie,ნივთი
384,Rand::N,bordură,კიდე
385,Kante::N,muchie,ნაწიბული
386,Kante::N,bordură,ნაწიბული
387,Ecke::N,colț,კუთხე
388,Spitze::N,vârf,წვეტი
389,Spitze::N,creștet,წვეტი
390,Ende::N,capăt,ბოლო
391,Loch::N,gaură,ხვრელი
392,Winkel::N,colț,კუთხე
393,Muster::N,desen,მოხატულობა
394,Größe::N,mărime,ზომა
395,Größe::N,mărime,სიდიდე
396,Länge::N,lungime,სიგრძე
397,Höhe::N,înălțime,სიმაღლე
398,Gewicht::N,greutate,წონა
399,Menge::N,cantitate,რაოდენობა
400,Haufen::N,grămadă,გროვა
401,Reihe::N,șir,რიგი
402,Reihe::N,șir,წყება
403,Reihe::N,rând,რიგი
404,Reihe::N,rând,წყება
405,Boot::N,barcă,გემი
406,Boot::N,luntre,გემი
407,Ruder::N,vâslă,ხოფი
408,Ruder::N,vâslă,ნიჩაბი
409,Ruder::N,lopată,ხოფი
410,Ruder::N,lopată,ნიჩაბი
411,Schlitten::N,sanie,მარხილი
412,Ski::N,schi,თხილამური
413,Lagerfeuer::N,foc de tabără,კოცონი
414,Last::N,povară,ტვირთი
415,Last::N,sarcină,ტვირთი
416,Gang::N,mers,სვლა
417,Gang::N,umblet,სვლა
418,Schritt::N,pas,ბიჯი
419,Norden::N,nord,ჩრდილოეთი
