,Concept_ID,uk,hi
0,Auge::N,око,आँख
1,Auge::N,око,चक्षु
2,Ohr::N,вухо,कान
3,Ohr::N,вухо,कर्ण
4,Nase::N,ніс,नाक
5,Nase::N,ніс,नासा
6,Mund::N,рот,मुख
7,Mund::N,рот,मुँह
8,Zahn::N,зуб,दंत
9,Zahn::N,зуб,दाँत
10,Zunge::N,язик,जीभ
11,Zunge::N,язик,ज़बान
12,Zunge::N,язик,जिह्वा
13,Lippe::N,губа,ओंठ
14,Lippe::N,губа,होंठ
15,Wange::N,щока,गाल
16,Wange::N,щока,कपोल
17,Gesicht::N,обличчя,मुँह
18,Gesicht::N,обличчя,चेहरा
19,Stirn::N,лоб,माथा
20,Stirn::N,лоб,मस्तक
21,Haar::N,волосся,बाल
22,Schnurrbart::N,вуса,मूँछें
23,Bart::N,борода,दाढ़ी
24,Kinn::N,підборіддя,चिबुक
25,Kiefer[Anatomie]::N,щелепа,जबड़ा
26,Kehle::N,горло,गला
27,Hals::N,шия,गला
28,Hals::N,шия,गरदन
29,Genick::N,потилиця,गरदन
30,Genick::N,потилиця,ग्रीवा
31,Kopf::N,голова,सिर
32,Kopf::N,голова,शीर्ष
33,Rücken::N,спина,पीठ
34,Bauch::N,живіт,उदर
35,Nabel::N,пупок,नाभि
36,Nabel::N,пупок,ढोंढी
37,Busen::N,груди,कुच
38,Busen::N,груди,स्तन
39,Brust::N,груди,वक्ष
40,Schulter::N,плече,कंधा
41,Schulter::N,плече,स्कंध
42,Arm::N,рука,बाँह
43,Arm::N,рука,बाज़ू
44,Ellenbogen::N,лікоть,कुहनी
45,Hand::N,рука,हाथ
46,Hand::N,рука,हस्त
47,Handfläche::N,долоня,हथेली
48,Finger::N,палець,उँगली
49,Finger::N,палець,अँगुली
50,Fingernagel::N,ніготь,नख
51,Fingernagel::N,ніготь,नाख़ून
52,Nagel[Anatomie]::N,ніготь,नख
53,Nagel[Anatomie]::N,ніготь,नाख़ून
54,Zeh::N,палець на нозі,उँगली
55,Zeh::N,палець на нозі,पाँव की उँगली
56,Fuß::N,нога,चरण
57,Fuß::N,нога,पाँव
58,Ferse::N,п’ятка,एड़ी
59,Knie::N,коліно,जानु
60,Knie::N,коліно,घुटना
61,Oberschenkel::N,стегно,उरु
62,Bein::N,нога,टाँग
63,Körper::N,тіло,तन
64,Körper::N,тіло,देह
65,Körper::N,тіло,शरीर
66,Haut::N,шкіра,चर्म
67,Haut::N,шкіра,त्वचा
68,Blut::N,кров,लहू
69,Blut::N,кров,ख़ून
70,Ader::N,вена,रग
71,Ader::N,вена,शिरा
72,Sehne::N,сухожилля,कंडरा
73,Sehne::N,сухожилля,स्नायु
74,Knochen::N,кістка,अस्थि
75,Gehirn::N,мозок,दिमाग़
76,Gehirn::N,мозок,मस्तिष्क
77,Herz::N,серце,दिल
78,Herz::N,серце,हृदय
79,Magen::N,шлунок,मेदा
80,Magen::N,шлунок,अमाशय
81,Leber::N,печінка,जिगर
82,Leber::N,печінка,यकृत्
83,Atem::N,дихання,दम
84,Atem::N,дихання,साँस
85,Atem::N,дихання,श्वास
86,Hunger::N,голод,भूख
87,Hunger::N,голод,क्षुधा
88,Träne::N,сльоза,आँसू
89,Träne::N,сльоза,अश्रु
90,Geschmack::N,смак,स्वाद
91,Geschmack::N,смак,ज़ायक़ा
92,Geruch::N,запах,बू
93,Geruch::N,запах,गंध
94,Schlaf::N,сон,नींद
