,Concept_ID,te,el
0,Auge::N,కన్ను,μάτι
1,Auge::N,కన్ను,οφθαλμός
2,Ohr::N,చెవి,αυτί
3,Nase::N,ముక్కు,μύτη
4,Mund::N,నోరు,στόμα
5,Zahn::N,పల్లు,δόντι
6,Zunge::N,నాలుక,γλώσσα
7,Lippe::N,పెదవి,χείλος
8,Wange::N,చెంప,παρειά
9,Wange::N,చెంప,μάγουλο
10,Gesicht::N,ముఖము,πρόσωπο
11,Stirn::N,నుదురు,μέτωπο
12,Haar::N,వెండ్రుక,μαλλιά
13,Schnurrbart::N,మీసము,μουστάκι
14,Bart::N,గడ్డము,γένια
15,Kinn::N,గడ్డము,πιγούνι
16,Kiefer[Anatomie]::N,దౌడ,σαγόνι
17,Kehle::N,గొంతు,λαρύγγι
18,Hals::N,మెడ,λαιμός
19,Genick::N,మూపు,σβέρκος
20,Kopf::N,తల,κεφάλι
21,Rücken::N,వెన్ను,ράχη
22,Bauch::N,కడుపు,κοιλιά
23,Nabel::N,బొడ్డు,αφαλός
24,Busen::N,స్తనము,στήθος
25,Brust::N,ఱొమ్ము,στήθος
26,Schulter::N,భుజము,ώμος
27,Arm::N,చేయి,χέρι
28,Arm::N,చేయి,μπράτςο
29,Ellenbogen::N,మోచేయి,αγκώνας
30,Hand::N,చేయి,χέρι
31,Handfläche::N,అరచేయు,παλάμη
32,Finger::N,చేతిప్రేలు,δάχτυλο
33,Fingernagel::N,గోరు,νύχι
34,Nagel[Anatomie]::N,గోరు,νύχι
35,Zeh::N,కాలిప్రేలు,δάχτυλο του ποδιού
36,Fuß::N,అడుగు,πόδι
37,Ferse::N,మడమ,φτέρνα
38,Knie::N,మోకాలు,γόνατο
39,Oberschenkel::N,తొడ,μηρός
40,Bein::N,కాలు,πόδι
41,Körper::N,కాయము,σώμα
42,Körper::N,కాయము,κορμί
43,Haut::N,చర్మము,πετσί
44,Blut::N,రక్తము,αίμα
45,Ader::N,సిర,φλέβα
46,Sehne::N,స్నాయువు,νεύρο
47,Sehne::N,స్నాయువు,τένοντας
48,Knochen::N,ఎముక,οστό
49,Knochen::N,ఎముక,κόκκαλο
50,Gehirn::N,మెదడు,μυαλό
51,Gehirn::N,మెదడు,εγκέφαλος
52,Herz::N,హృదయము,καρδιά
53,Magen::N,కడుపు,στομάχι
54,Leber::N,కాలేయము,ήπαρ
55,Leber::N,కాలేయము,συκωτί
56,Atem::N,ఉపిరి,αναπνοή
57,Hunger::N,ఆకలి,πείνα
58,Träne::N,కన్నీటిచుక్క,δάκρυ
59,Geschmack::N,రుచి,γεύση
60,Geruch::N,వాసన,οσμή
61,Geruch::N,వాసన,μυρωδία
62,Schlaf::N,నిద్ర,ύπνος
63,Traum::N,కల,όνειρο
64,Himmel::N,ఆకాశము,ουρανός
65,Sonne::N,సూర్యుడు,ήλιος
66,Mond::N,చంద్రుడు,σελήνη
67,Mond::N,చంద్రుడు,φεγγάρι
68,Stern::N,నక్షత్రము,άστρο
69,Stern::N,నక్షత్రము,αστέρι
70,Luft::N,గాలి,αέρας
71,Wind::N,వీచుచున్నగాలి,αέρας
72,Wind::N,వీచుచున్నగాలి,άνεμος
73,Welle::N,అల,κύμα
74,Wasser::N,నీరు,νερό
75,Stein::N,ఱాయి,πέτρα
76,Boden::N,నేల,χώμα
77,Erde::N,మన్ను,γη
78,Staub::N,దుమ్ము,σκόνη
79,Rauch::N,పొగ,καπνός
80,Funke::N,అగ్నికణము,σπίθα
81,Funke::N,అగ్నికణము,σπινθήρας
82,Feuer::N,అగ్ని,φωτιά
83,Licht::N,కాంతి,φως
84,Schatten::N,నీడ,σκιά
85,Schatten::N,నీడ,ίσκιος
86,Wetter::N,వాతావరణ స్థితి,καιρός
87,Nebel::N,పొగమంచు,ομίχλη
88,Wolke::N,మేఘము,σύννεφο
89,Regen::N,వాన,βροχή
90,Schnee::N,హిమము,χιόνι
91,Eis::N,మంచుగడ్డ,πάγος
92,Frost::N,పేరిన మంచు,παγωνία
93,Kälte::N,చలి,κρύο
94,Kälte::N,చలి,ψύχος
95,Hitze::N,వేడిమి,ζέστη
96,Raureif::N,మంచు,πάχνη
97,Regenbogen::N,ఇంద్రధనుస్సు,ουράνιο τόξο
98,Donner::N,ఉరుము,βροντή
99,Strömung::N,ప్రవాహము,ρεύμα
100,Tropfen::N,చుక్క,στάλα
101,Schaum::N,నురుగు,αφρός
102,Schmutz::N,మైల,βρωμιά
103,See::N,సరస్సు,λίμνη
104,Sumpf::N,చిత్తడినేల,βάλτος
105,Moor::N,చిత్తడినేల,έλος
106,Wiese::N,పచ్చిక బయలు,λιβάδι
107,Wald::N,అడవి,δάσος
108,Hügel::N,చివ్నకొండ,λόφος
109,Anhöhe::N,కొండ,ύψωμα
110,Berg::N,పర్వతము,όρος
111,Berg::N,పర్వతము,βουνό
112,Gipfel::N,శిఖరము,κορυφή
113,Höhle::N,గుహ,σπηλιά
114,Abhang::N,ఏటవాలు,πλαγιά
115,Quelle::N,మూలము,πηγή
116,Quelle::N,మూలము,βρύση
117,Bach::N,కాలువ,ρυάκι
118,Fluss::N,నది,ποτάμι
119,Fluss::N,నది,ποταμός
120,Ufer::N,తీరము,όχθη
121,Küste::N,తీరము,ακτή
122,Küste::N,తీరము,ακρογιαλιά
123,Festland::N,భూమి,στεριά
124,Meer::N,సముద్రము,θάλασσα
125,Bucht::N,మరుగు,κόλπος
126,Insel::N,దీవి,νησί
127,Insel::N,దీవి,νήσος
128,Blume::N,పుష్పము,άνθος
129,Blume::N,పుష్పము,λουλούδι
130,Gras::N,పచ్చగడ్డి,χόρτο
131,Gras::N,పచ్చగడ్డి,χορτάρι
132,Wurzel::N,వేరు,ρίζα
133,Baum::N,చెట్టు,δέντρο
134,Stamm::N,చెట్టుబోదె,κορμός
135,Rinde::N,చెట్టుపట్ట,φλούδα
136,Ast::N,కొమ్మ,κλαδί
137,Zweig::N,చివుకు,κλαδί
138,Zweig::N,చివుకు,κλάδος
139,Blatt::N,ఆకు,φύλλο
140,Birke::N,తరహా చెట్టు,σημύδα
141,Kiefer[Baum]::N,దేవదారు చెట్టు,πεύκο
142,Weide[Baum]::N,జాతిచెట్టు,ιτιά
143,Tanne::N,దేవదారుచెట్టు,έλατο
144,Horn::N,కొమ్ము,κέρας
145,Horn::N,కొమ్ము,κέρατο
146,Feder::N,ఈక,φτερό
147,Fell::N,తోలు,δέρμα
148,Fell::N,తోలు,τομάρι
149,Flügel::N,ఱెక్క,πτερύγιο
150,Klaue::N,వంకరగోరు,κουλό
151,Kralle::N,వంకరగోరు,νύχι
152,Schwanz::N,తోక,ουρά
153,Ei::N,గ్రుడ్డు,αβγό
154,Nest::N,పక్షిగూడు,φωλιά
155,Bau::N,గుహ,φωλιά
156,Tier::N,జంతువు,ζώο
157,Herde::N,మంద,κοπάδι
158,Kuh::N,ఆవు,αγελάδα
159,Bulle::N,గిత్త,ταύρος
160,Pferd::N,గుఱ్ఱము,άλογο
161,Schaf::N,గొఱ్ఱె,πρόβατο
162,Schwein::N,పంది,γουρούνι
163,Hund::N,కుక్క,σκυλί
164,Hund::N,కుక్క,σκύλος
165,Katze::N,పిల్లి,γάτα
166,Bär::N,ఎలుగుబంటి,άρκτος
167,Bär::N,ఎలుగుబంటి,αρκούδα
168,Eichhörnchen::N,ఉడుత,βερβερίτσα
169,Elch::N,కణంజు,άλκη
170,Fuchs::N,గుంటనక్క,αλεπού
171,Hase::N,కుందేలు,λαγός
172,Maus::N,చిట్టెలుక,ποντικός
173,Wolf::N,తోడేలు,λύκος
174,Vogel::N,పక్షి,πουλί
175,Schwarm::N,గుంపు,σμήνος
176,Huhn::N,కోడిపిల్ల,κότα
177,Huhn::N,కోడిపిల్ల,όρνιθα
178,Hahn::N,కోడివుంజు,πετεινός
179,Gans::N,ఆడుబాతు,χήνα
180,Adler::N,గ్రద్ద,αετός
181,Ente::N,పాట్టిబాతు,πάπια
182,Eule::N,గ్రుడ్లగూబ,κουκουβάγια
183,Kranich::N,కొంగ,γερανός
184,Krähe::N,కాకి,καρακάξα
185,Kuckuck::N,కోయల,κούκος
186,Schwan::N,హంస,κύκνος
187,Fisch::N,చేప,ψάρι
188,Barsch::N,ఒకచేఁప,πέρκα
189,Hecht::N,గండుమీను,λούτσος
190,Schlange[Tier]::N,పాము,φίδι
191,Wurm::N,పురుగు,σκουλήκι
192,Spinne::N,సాలె పురుగు,αράχνη
193,Ameise::N,చీమ,μυρμήγκι
194,Laus::N,పేను,ψείρα
195,Mücke::N,చీకటీగ,κουνούπι
196,Fliege::N,ఈగ,μύγα
197,Schmetterling::N,సీతాకోకచిలుక,πεταλούδα
198,Beere::N,కాయ,ρόγα
199,Apfel::N,ఆపిల్ పండు,μήλο
200,Pilz::N,కుక్కగొడుగు,μανιτάρι
201,Zwiebel::N,నీరుల్లి,κρεμμύδι
202,Saat::N,విత్తనము,σπόρος
203,Korn::N,గింజ,σπυρί
204,Heu::N,ఎండుగడ్డి,σανός
205,Schale::N,పొట్టు,τσόφλι
206,Grube::N,గొయ్యి,λάκκος
207,Falle::N,బోను,παγίδα
208,Schlinge::N,ఉరి,θηλειά
209,Spur::N,జాడ,ίχνος
210,Asche::N,బూడిద,στάχτη
211,Dreck::N,ముఱికి,βρωμιά
212,Eisen::N,ఇనుము,σίδερο
213,Gold::N,బంగారము,μάλαμα
214,Gold::N,బంగారము,χρυσάφι
215,Silber::N,వెండి,ασήμι
216,Silber::N,వెండి,άργυρος
217,Kohle::N,నేలబొగ్గు,κάρβουνο
218,Glas::N,గాజు,γυαλί
219,Lehm::N,బంకమన్ను,πηλός
220,Sand::N,ఇసుక,άμμος
221,Mensch::N,నరుడు,άνθρωπος
222,Mann::N,పురుమడు,άνδρας
223,Frau::N,ఆడుది,γυναίκα
224,Kind::N,బిడ్డ,παιδί
225,Junge::N,బాలుడు,αγόρι
226,Mädchen::N,బాలిక,κοπέλα
227,Mädchen::N,బాలిక,κορίτσι
228,Familie::N,కుటుంబము,οικογένεια
229,Großvater::N,తాత,παππούς
230,Großmutter::N,అయ్యమ్మ,γιαγιά
231,Eltern::N,తల్లితండ్రులు,γονείς
232,Vater::N,తండ్రి,πατέρας
233,Mutter::N,తల్లి,μητέρα
234,Sohn::N,కొడుకు,γιος
235,Tochter::N,కూతురు,κόρη
236,Bruder::N,పోదరుడు,αδελφός
237,Schwester::N,సోదరి,αδελφή
238,Onkel::N,మేనమామ,θείος
239,Tante::N,మేనత్త,θεία
240,Tante::N,పినతల్లి,θεία
241,Ehemann::N,భర్త,σύζυγος
242,Ehefrau::N,భార్య,σύζυγος
243,Freude::N,సంతోషము,χαρά
244,Gelächter::N,నవ్వు,γέλια
245,Glück::N,సంతోషము,ευτυχία
246,Kummer::N,దుఃఖము,έγνοια
247,Wunsch::N,కోరిక,επιθυμία
248,Lust::N,కోరిక,όρεξη
249,Geist::N,ఆత్మ,πνέυμα
250,Gedanke::N,ఆలోచన,σκέψη
251,Gedächtnis::N,జ్ఞాపకము,μνήμη
252,Verstand::N,మనస్సు,νους
253,Sinn::N,అర్థము,νόημα
254,Grund::N,కారణము,λόγος
255,Wahrheit::N,సత్యము,αλήθεια
256,Gespräch::N,పంభాషణ,συνομιλία
257,Märchen::N,అద్భుతకథ,παραμύθι
258,Erzählung::N,కథ,διήγημα
259,Nachricht::N,వార్త,είδηση
260,Neuigkeit::N,వార్త,νέο
261,Name::N,పేరు,όνομα
262,Rätsel::N,చిక్కు,αίνιγμα
263,Rede::N,ఉపన్యాసము,λόγος
264,Rede::N,ఉపన్యాసము,ομιλία
265,Sprache::N,భాష,γλώσσα
266,Stimme::N,కంరథ్సని,φωνή
267,Wort::N,మాట,λέξη
268,Zeichen::N,గుర్తు,σημείο
269,Ruf::N,పిలువు,κραυγή
270,Lärm::N,సందడి,θόρυβος
271,Laut::N,ధ్వని,ήχος
272,Ton::N,స్వరము,ήχος
273,Ton::N,స్వరము,τόνος
274,Lied::N,పాట,τραγούδι
275,Ruhe::N,గాలిలేమి,ησυχία
276,Leute::N,జనులు,κόσμος
277,Leute::N,జనులు,άνθρωποι
278,Volk::N,జాతి,λαός
279,Arbeit::N,పని,εργασία
280,Gast::N,అతిధి,επισκέπτης
281,Geschenk::N,దానము,δώρο
282,Spiel::N,ఆట,παιχνίδι
283,Gesellschaft::N,జట్టు,κοινωνία
284,Hilfe::N,సాహాయ్యము,βοήθεια
285,Freund::N,స్నేహితుడు,φίλος
286,Kamerad::N,చెలికాడు,σύντροφος
287,Angelegenheit::N,విషయము,υπόθεση
288,Anzahl::N,లెక్క,αριθμός
289,Art::N,జాతి,είδος
290,Stück::N,తునుక,κομμάτι
291,Teil::N,భాగము,μέρος
292,Hälfte::N,సగము,μισό
293,Kreis::N,వృత్తము,κύκλος
294,Kreuz::N,సిలువ,σταυρός
295,Linie::N,గీత,γραμμή
296,Strich::N,గీత,γραμμή
297,Abstand::N,సందు,απόσταση
298,Entfernung::N,దూరము,απόσταση
299,Gegend::N,విస్తీర్ణము,περιοχή
300,Gegend::N,విస్తీర్ణము,τοποθεσία
301,Platz::N,ఎడము,χώρος
302,Ort::N,స్థలము,τόπος
303,Seite::N,ప్రక్క,πλευρά
304,Mitte::N,నడిమి,μέση
305,Gegenstand::N,పద్దు,αντικείμενο
306,Sache::N,వస్తువు,πράγμα
307,Rand::N,అంచు,άκρη
308,Rand::N,అంచు,χείλος
309,Kante::N,అంచు,άκρη
310,Ecke::N,మూల,γωνιά
311,Spitze::N,మొన,μύτη
312,Ende::N,కొన,άκρη
313,Loch::N,రంధ్రము,τρύπα
314,Winkel::N,కోణము,γωνία
315,Muster::N,మాదిరి,σχέδιο
316,Größe::N,పరిమాణము,μέγεθος
317,Länge::N,పొడుగు,μήκος
318,Höhe::N,పొడుగు,ύψος
319,Gewicht::N,భారము,βάρος
320,Menge::N,మొత్తము,ποσότητα
321,Haufen::N,రాశి,σωρός
322,Reihe::N,వరుస,αράδα
323,Boot::N,పడవ,βάρκα
324,Ruder::N,అడక,κουπί
325,Schlitten::N,సరవండ్లు,έλκηθρο
326,Ski::N,స్కీ,σκι
327,Lagerfeuer::N,నెగడు,φωτιά
328,Last::N,బరువు,φορτίο
329,Gang::N,నడక,δρόμος
330,Schritt::N,అడుగు,βήμα
331,Norden::N,ఉత్తరదిక్కు,βορράς
332,Süden::N,దక్షిణము,νότος
333,Westen::N,పడమర,δύση
334,Osten::N,తూర్పు,ανατολή
335,Holz::N,కొయ్య,ξύλο
336,Brett::N,పలక,σανίδι
337,Platte::N,పలక,πλάκα
338,Stütze::N,వాల్సేడ్లు,στήριγμα
339,Stange::N,స్తంభము,ραβδί
340,Stange::N,స్తంభము,κοντός
341,Stock::N,కఱ్ఱ,ξύλο
342,Stock::N,కఱ్ఱ,μπαστούνι
343,Stab::N,కఱ్ఱ,ραβδί
344,Rohr::N,గొట్టము,σωλήνας
345,Haus::N,ఇల్లు,σπίτι
346,Heim::N,స్వగృహము,σπίτι
347,Ofen::N,పొయ్యి,σόμπα
348,Ofen::N,పొయ్యి,θερμάστρα
349,Fußboden::N,నేల,πάτωμα
350,Tisch::N,మేజా,τραπέζι
351,Stuhl::N,కుర్చీ,καρέκλα
352,Wiege::N,ఉయ్యాల,κούνια
353,Bett::N,పడక,κρεβάτι
354,Bett::N,మంచం,κρεβάτι
355,Regal::N,అటక,ράφι
356,Kiste::N,వెట్టె,κιβώτιο
357,Fenster::N,కిటికి,παράθυρο
358,Tür::N,ద్వారము,πόρτα
359,Tor::N,ద్వారము,πύλη
360,Zaun::N,కంచె,φράχτης
361,Dach::N,ఇంటివైకప్పు,στέγη
362,Leiter::N,నిచ్చెన,σκάλα
363,Leiter::N,నిచ్చెన,κλίμακα
364,Besen::N,చీపురుకట్ట,σκούπα
365,Spaten::N,పాఱ,φτυάρι
366,Schaufel::N,పాఱ,φτυάρι
367,Gabel::N,ముండ్లగరిటె,πιρούνι
368,Löffel::N,గరిటె,κουτάλι
369,Messer::N,కత్తి,μαχαίρι
370,Nagel::N,మేకు,καρφί
371,Netz::N,వల,δίχτυ
372,Haken::N,కొక్కెము,γάντζος
373,Haken::N,కొక్కెము,αγκίστρι
374,Griff::N,పిడి,λαβή
375,Schloss::N,తాళము,κλειδαριά
376,Bild::N,చిత్రము,εικόνα
377,Figur::N,రూపము,ανάστημα
378,Puppe::N,బొమ్మ,κούκλα
379,Beutel::N,సంచి,πουγγί
380,Bündel::N,మూట,δεμάτι
381,Tasche::N,సంచి,τσάντα
382,Eimer::N,చేద,κουβάς
383,Deckel::N,మూత,καπάκι
