,Concept_ID,ru,ga
0,Auge::N,глаз,súil
1,Ohr::N,ухо,cluas
2,Nase::N,нос,soc
3,Mund::N,рот,béal
4,Zahn::N,зуб,fiacail
5,Zunge::N,язык,teanga
6,Lippe::N,губа,liopa
7,Wange::N,щека,grua
8,Wange::N,щека,leiceann
9,Gesicht::N,лицо,éadan
10,Gesicht::N,лицо,aghaidh
11,Stirn::N,лоб,baithis
12,Stirn::N,лоб,clár éadain
13,Haar::N,волос,gruaig
14,Haar::N,волосы,gruaig
15,Schnurrbart::N,ус,croiméal
16,Schnurrbart::N,усы,croiméal
17,Bart::N,борода,féasóg
18,Kinn::N,подбородок,smig
19,Kiefer[Anatomie]::N,челюсть,giall
20,Kehle::N,горло,scornach
21,Hals::N,шея,muinéal
22,Genick::N,затылок,baic
23,Kopf::N,голова,ceann
24,Rücken::N,спина,droim
25,Bauch::N,живот,bolg
26,Nabel::N,пупок,imleacán
27,Busen::N,женская грудь,cíoch
28,Brust::N,грудь,brollach
29,Schulter::N,плечо,gualainn
30,Arm::N,рука,lámh
31,Ellenbogen::N,локоть,uillinn
32,Hand::N,кисть,lámh
33,Handfläche::N,ладонь,bos
34,Finger::N,палец,méar
35,Fingernagel::N,ноготь,ionga
36,Nagel[Anatomie]::N,ноготь,ionga
37,Zeh::N,палец,ladhar
38,Fuß::N,ступня,cos
39,Fuß::N,ступня,troigh
40,Ferse::N,пята,sáil
41,Ferse::N,пятка,sáil
42,Knie::N,колено,glúin
43,Oberschenkel::N,бедро,ceathrú
44,Bein::N,нога,cos
45,Körper::N,тело,corp
46,Körper::N,тело,colainn
47,Haut::N,кожа,cneas
48,Haut::N,кожа,craiceann
49,Blut::N,кровь,fuil
50,Ader::N,вена,
51,Ader::N,сосуд,
52,Sehne::N,жила,teannán
53,Sehne::N,жила,féitheog
54,Sehne::N,тетива,teannán
55,Sehne::N,тетива,féitheog
56,Sehne::N,сухожилие,teannán
57,Sehne::N,сухожилие,féitheog
58,Knochen::N,кость,cnámh
59,Gehirn::N,мозг,inchinn
60,Herz::N,сердце,croí
61,Magen::N,желудок,bolg
