,Concept_ID,hy,bn
0,Auge::N,աչք,চক্ষু
1,Ohr::N,ականջ,কর্ণ
2,Nase::N,քիթ,নাক
3,Mund::N,բերան,মুখ
4,Zahn::N,ատամ,দাঁত
5,Zunge::N,լեզու,জিহবা
6,Lippe::N,շրթունք,অধর
7,Wange::N,այտ,গণ্ড
8,Wange::N,թուշ,গণ্ড
9,Gesicht::N,դեմք,মুখমণ্ডল
10,Stirn::N,ճակատ,কপাল
11,Haar::N,մազ,চুল
12,Schnurrbart::N,բեղ,গোঁফ
13,Bart::N,մորուք,শ্মশ্রু
14,Kinn::N,կզակ,চিবুক
15,Kiefer[Anatomie]::N,ծնոտ,চোয়াল
16,Kehle::N,կոկորդ,কণ্ঠ
17,Hals::N,վիզ,গল
18,Hals::N,պարանոց,গল
19,Genick::N,ծոծրակ,ঘাড়
20,Kopf::N,գլուխ,মাথা
21,Rücken::N,մեջք,পৃষ্ঠ
22,Bauch::N,փոր,উদর
23,Bauch::N,որովայն,উদর
24,Nabel::N,պորտ,নাভি
25,Busen::N,ծոց,স্তন
26,Brust::N,կուրծք,বুক
27,Schulter::N,ուս,স্কন্ধ
28,Arm::N,թեւ,বাহু
29,Arm::N,բազուկ,বাহু
30,Ellenbogen::N,արմունկ,কনুই
31,Hand::N,ձեռք,হাত
32,Handfläche::N,ափ,করতল
33,Finger::N,մատ,আঙ্গুল
34,Fingernagel::N,եղունգ,হাতের নখ
35,Nagel[Anatomie]::N,եղունգ,নখ
36,Zeh::N,ոտքի մատ,আঙ্গুল
37,Fuß::N,ոտք,পা
38,Ferse::N,գարշապար,গোড়ালি
39,Knie::N,ծունկ,হাঁটু
40,Oberschenkel::N,ազդր,ঊরু
41,Bein::N,ոտք,পা
42,Körper::N,մարմին,দেহ
43,Haut::N,մաշկ,ত্বক
44,Blut::N,արյուն,রক্ত
45,Ader::N,երակ,শিরা
46,Sehne::N,ջիղ,কণ্ডরা
47,Sehne::N,ձգտան,কণ্ডরা
48,Knochen::N,ոսկոր,অস্থি
49,Gehirn::N,խելք,মস্তিষ্ক
50,Herz::N,սիրտ,হৃৎপিণ্ড
51,Magen::N,ստամոքս,পাকস্থলী
52,Leber::N,լյարդ,যকৃৎ
53,Atem::N,շունչ,শ্বাস
54,Hunger::N,քաղց,ক্ষুধা
55,Träne::N,արտասուք,অশ্রু
56,Geschmack::N,համ,স্বাদ
57,Geschmack::N,բուրմունք,স্বাদ
58,Geruch::N,հոտ,গন্ধ
59,Geruch::N,բուրում,গন্ধ
60,Schlaf::N,քուն,ঘুম
61,Traum::N,երազ,স্বপ্ন
62,Himmel::N,երկինք,আকাশ
63,Sonne::N,արեւ,সূর্য
64,Mond::N,լուսին,চন্দ্র
65,Stern::N,աստղ,নক্ষত্র
66,Luft::N,օդ,বায়ু
67,Wind::N,քամի,বাতাস
68,Welle::N,ալիք,ঢেউ
69,Welle::N,ալիք,তরঙ্গ
70,Wasser::N,ջուր,জল
71,Stein::N,քար,ঢিল
72,Stein::N,քար,প্রস্তর
73,Boden::N,գետին,ভূতল
74,Erde::N,հող,ভূমি
75,Staub::N,փոշի,ধুলা
76,Rauch::N,ծուխ,ধোঁয়া
77,Funke::N,կայծ,স্ফুলিঙ্গ
78,Feuer::N,կրակ,অগ্নি
79,Feuer::N,հրդեհ,অগ্নি
80,Licht::N,լույս,আলো
81,Schatten::N,ստվեր,ছায়া
82,Wetter::N,եղանակ,আবহাওয়া
83,Nebel::N,մեգ,কুহেলিকা
84,Nebel::N,մառախուղ,কুহেলিকা
85,Wolke::N,ամպ,মেঘ
86,Regen::N,անձրև,বৃষ্টি
87,Schnee::N,ձյուն,তুষার
88,Eis::N,սառույց,বরফ
89,Frost::N,սառնամանիք,তুষার
90,Kälte::N,դող,শৈত্য
91,Hitze::N,շոգ,তাপ
92,Raureif::N,ցօղեղեամ,তুহিন
