,Concept_ID,sl,kn
0,Auge::N,okó,ಕಣ್ಣು
1,Ohr::N,uhó,ಕಿವಿ
2,Nase::N,nós,ಮೂಗು
3,Mund::N,ústa,ಬಾಯಿ
4,Zahn::N,zób,ಹಲ್ಲು
5,Zunge::N,jêzik,ನಾಲಿಗೆ
6,Lippe::N,ústnica,ತುಟಿ
7,Wange::N,líce,ಗಲ್ಲ
8,Gesicht::N,oblíčje,ಮುಖ
9,Stirn::N,čêlo,ಹಣೆ
10,Haar::N,lás,ಕೂದಲು
11,Schnurrbart::N,bŕki,ಮೀಸೆ
12,Bart::N,bráda,ಗಡ್ಡ
13,Kinn::N,bráda,ಗದ್ದ
14,Kiefer[Anatomie]::N,čeljúst,ದವಡೆ
15,Kehle::N,gŕlo,ಗಂಟಲು
16,Hals::N,vrát,ಕೊರಳು
17,Genick::N,zatílnik,ಹಿಂಗತ್ತು
18,Kopf::N,gláva,ತಲೆ
19,Rücken::N,hrbèt,ಬೆನ್ನು
20,Bauch::N,trébuh,ಹೊಟ್ಟೆ
21,Nabel::N,pópek,ಹೊಕ್ಕುಳು
22,Busen::N,nédrja,ಸ್ತನ
23,Brust::N,pŕsi,ಎದೆ
24,Schulter::N,ráma,ಭುಜ
25,Schulter::N,plêče,ಭುಜ
26,Arm::N,rôka,ತೋಳು
27,Ellenbogen::N,komólec,ಮೊಣಕೈ
28,Hand::N,rôka,ಕೈ
29,Handfläche::N,dlán,ಅಂಗೈ
30,Finger::N,pŕst,ಕೈಬೆರಳು
31,Fingernagel::N,nóht na rôki,ಉಗುರು
32,Nagel[Anatomie]::N,nóht,ಉಗುರು
33,Zeh::N,pŕst na nôgi,ಕಾಲ್ಬೆರಳು
34,Fuß::N,nôga,ಪಾದ
35,Ferse::N,pêta,ಹಿಮ್ಮಡಿ
36,Knie::N,koléno,ಮಂಡಿ
37,Oberschenkel::N,stêgno,ತೊಡೆ
38,Bein::N,nôga,ಕಾಲು
39,Körper::N,teló,ದೇಹ
40,Haut::N,kóža,ಚರ್ಮ
41,Blut::N,krí,ರಕ್ತ
42,Ader::N,žíla,ನರ
43,Sehne::N,kíta,ನರ
44,Knochen::N,kóst,ಮೂಳೆ
45,Gehirn::N,možgáni,ಮಿದುಳು
46,Herz::N,srcé,ಹೃದಯ
47,Magen::N,želódec,ಉದರ
48,Leber::N,jétra,ಯಕೃತ್ತು
49,Atem::N,díh,ಉಸಿರು
50,Hunger::N,glád,ಹಸಿವು
51,Träne::N,sólza,ಕಣ್ಣೀರು
52,Geschmack::N,okús,ರುಚಿ
53,Geruch::N,vónj,ವಾಸನೆ
54,Schlaf::N,sèn,ನಿದ್ರೆ
55,Schlaf::N,spánec,ನಿದ್ರೆ
56,Traum::N,sánje,ಕನಸು
57,Himmel::N,nebó,ಬಾನು
58,Sonne::N,sónce,ಸೂರ್ಯ
59,Mond::N,lúna,ಚಂದ್ರ
60,Mond::N,mésec,ಚಂದ್ರ
61,Stern::N,zvézda,ಚುಕ್ಕಿ
62,Luft::N,zràk,ವಾಯು
63,Wind::N,véter,ಗಾಳಿ
64,Welle::N,vál,ಅಲೆ
65,Wasser::N,vôda,ನೀರು
66,Stein::N,kámen,ಕಲ್ಲು
67,Boden::N,tlà,ನೆಲ
68,Erde::N,pŕst,ಭೂಮಿ
69,Erde::N,zêmlja,ಭೂಮಿ
70,Staub::N,práh,ದೂಳು
71,Rauch::N,dìm,ಹೊಗೆ
72,Funke::N,ískra,ಕಿಡಿ
