,Concept_ID,be,te
0,Auge::N,вока,కన్ను
1,Ohr::N,вуха,చెవి
2,Nase::N,нос,ముక్కు
3,Mund::N,рот,నోరు
4,Zahn::N,зуб,పల్లు
5,Zunge::N,язык,నాలుక
6,Lippe::N,губа,పెదవి
7,Wange::N,шчака,చెంప
8,Gesicht::N,твар,ముఖము
9,Stirn::N,лоб,నుదురు
10,Haar::N,волас,వెండ్రుక
11,Haar::N,валасы,వెండ్రుక
12,Schnurrbart::N,вус,మీసము
13,Schnurrbart::N,вусы,మీసము
14,Bart::N,барада,గడ్డము
15,Kinn::N,падбародак,గడ్డము
16,Kiefer[Anatomie]::N,сківіца,దౌడ
17,Kehle::N,горла,గొంతు
18,Hals::N,шыя,మెడ
19,Genick::N,патыліца,మూపు
20,Kopf::N,галава,తల
21,Rücken::N,спіна,వెన్ను
22,Bauch::N,жывот,కడుపు
23,Nabel::N,пупок,బొడ్డు
24,Busen::N,грудзі,స్తనము
25,Brust::N,грудзі,ఱొమ్ము
26,Schulter::N,плячо,భుజము
27,Arm::N,рука,చేయి
28,Ellenbogen::N,локаць,మోచేయి
29,Hand::N,кісць,చేయి
30,Handfläche::N,далонь,అరచేయు
31,Finger::N,палец,చేతిప్రేలు
32,Fingernagel::N,ногаць,గోరు
33,Nagel[Anatomie]::N,ногаць,గోరు
34,Zeh::N,палец,కాలిప్రేలు
35,Fuß::N,нага,అడుగు
36,Ferse::N,пята,మడమ
37,Ferse::N,пятка,మడమ
38,Knie::N,калена,మోకాలు
39,Oberschenkel::N,бядро,తొడ
40,Oberschenkel::N,сцягно,తొడ
41,Bein::N,нага,కాలు
42,Körper::N,цела,కాయము
43,Haut::N,скура,చర్మము
44,Blut::N,кроў,రక్తము
45,Ader::N,вена,సిర
46,Ader::N,сасуд,సిర
47,Sehne::N,жыла,స్నాయువు
48,Sehne::N,цеціва,స్నాయువు
49,Sehne::N,сухажылле,స్నాయువు
50,Knochen::N,косць,ఎముక
51,Gehirn::N,мозг,మెదడు
52,Herz::N,сэрца,హృదయము
53,Magen::N,страўнік,కడుపు
54,Leber::N,печань,కాలేయము
55,Atem::N,дыханне,ఉపిరి
56,Hunger::N,голад,ఆకలి
57,Träne::N,сляза,కన్నీటిచుక్క
58,Geschmack::N,смак,రుచి
59,Geruch::N,пах,వాసన
60,Schlaf::N,сон,నిద్ర
61,Traum::N,сон,కల
62,Himmel::N,неба,ఆకాశము
63,Sonne::N,сонца,సూర్యుడు
64,Mond::N,месяц,చంద్రుడు
65,Stern::N,зорка,నక్షత్రము
66,Luft::N,паветра,గాలి
67,Wind::N,вецер,వీచుచున్నగాలి
68,Welle::N,хваля,అల
69,Wasser::N,вада,నీరు
70,Stein::N,камень,ఱాయి
71,Boden::N,глеба,నేల
72,Erde::N,зямля,మన్ను
73,Staub::N,пыл,దుమ్ము
74,Rauch::N,дым,పొగ
75,Funke::N,іскра,అగ్నికణము
76,Feuer::N,агонь,అగ్ని
77,Licht::N,святло,కాంతి
78,Schatten::N,цень,నీడ
79,Wetter::N,пагода,వాతావరణ స్థితి
80,Wetter::N,надворʼе,వాతావరణ స్థితి
81,Nebel::N,туман,పొగమంచు
82,Wolke::N,воблака,మేఘము
83,Regen::N,дождж,వాన
84,Schnee::N,снег,హిమము
85,Eis::N,лёд,మంచుగడ్డ
86,Frost::N,мароз,పేరిన మంచు
87,Kälte::N,холад,చలి
88,Hitze::N,спёка,వేడిమి
89,Raureif::N,іней,మంచు
90,Regenbogen::N,вясёлка,ఇంద్రధనుస్సు
91,Donner::N,гром,ఉరుము
92,Strömung::N,цячэнне,ప్రవాహము
93,Tropfen::N,кропля,చుక్క
94,Schaum::N,пена,నురుగు
95,Schmutz::N,гразь,మైల
96,See::N,возера,సరస్సు
97,Sumpf::N,багна,చిత్తడినేల
98,Moor::N,балота,చిత్తడినేల
99,Wiese::N,луг,పచ్చిక బయలు
100,Wald::N,лес,అడవి
101,Hügel::N,узгорак,చివ్నకొండ
102,Anhöhe::N,узвышша,కొండ
103,Berg::N,гара,పర్వతము
104,Gipfel::N,вяршыня,శిఖరము
105,Höhle::N,пячора,గుహ
106,Abhang::N,схіл,ఏటవాలు
107,Quelle::N,крыніца,మూలము
108,Bach::N,ручай,కాలువ
109,Fluss::N,рака,నది
110,Ufer::N,бераг,తీరము
111,Küste::N,узбярэжжа,తీరము
112,Festland::N,суша,భూమి
113,Meer::N,мора,సముద్రము
114,Bucht::N,бухта,మరుగు
115,Insel::N,востраў,దీవి
116,Blume::N,кветка,పుష్పము
117,Gras::N,трава,పచ్చగడ్డి
118,Wurzel::N,корань,వేరు
119,Baum::N,дрэва,చెట్టు
120,Stamm::N,ствол,చెట్టుబోదె
121,Rinde::N,кара,చెట్టుపట్ట
122,Ast::N,сук,కొమ్మ
123,Zweig::N,галіна,చివుకు
124,Blatt::N,ліст,ఆకు
125,Birke::N,бяроза,తరహా చెట్టు
126,Kiefer[Baum]::N,хвоя,దేవదారు చెట్టు
127,Kiefer[Baum]::N,сасна,దేవదారు చెట్టు
128,Weide[Baum]::N,вярба,జాతిచెట్టు
129,Tanne::N,яліна,దేవదారుచెట్టు
130,Horn::N,рог,కొమ్ము
131,Feder::N,пяро,ఈక
132,Fell::N,шкура,తోలు
133,Flügel::N,крыло,ఱెక్క
134,Klaue::N,кіпцюр,వంకరగోరు
135,Kralle::N,лапа,వంకరగోరు
136,Schwanz::N,хвост,తోక
137,Ei::N,яйка,గ్రుడ్డు
138,Nest::N,гняздо,పక్షిగూడు
139,Bau::N,нара,గుహ
140,Tier::N,жывёла,జంతువు
141,Herde::N,статак,మంద
142,Kuh::N,карова,ఆవు
143,Bulle::N,бык,గిత్త
144,Pferd::N,конь,గుఱ్ఱము
145,Schaf::N,авечка,గొఱ్ఱె
146,Schwein::N,свіння,పంది
147,Hund::N,сабака,కుక్క
148,Katze::N,кошка,పిల్లి
149,Bär::N,мядзведзь,ఎలుగుబంటి
150,Eichhörnchen::N,вавёрка,ఉడుత
151,Elch::N,лось,కణంజు
152,Fuchs::N,ліса,గుంటనక్క
153,Hase::N,заяц,కుందేలు
154,Maus::N,мыш,చిట్టెలుక
155,Wolf::N,воўк,తోడేలు
156,Vogel::N,птах,పక్షి
157,Vogel::N,птушка,పక్షి
158,Schwarm::N,чарада,గుంపు
159,Huhn::N,курыца,కోడిపిల్ల
160,Hahn::N,певень,కోడివుంజు
161,Gans::N,гусь,ఆడుబాతు
162,Adler::N,арол,గ్రద్ద
163,Ente::N,качка,పాట్టిబాతు
164,Eule::N,сава,గ్రుడ్లగూబ
165,Kranich::N,жораў,కొంగ
166,Kranich::N,журавель,కొంగ
167,Krähe::N,варона,కాకి
168,Kuckuck::N,зязюля,కోయల
169,Schwan::N,лебедзь,హంస
170,Fisch::N,рыба,చేప
171,Barsch::N,акунь,ఒకచేఁప
172,Hecht::N,шчупак,గండుమీను
173,Schlange[Tier]::N,змяя,పాము
174,Wurm::N,чарвяк,పురుగు
175,Spinne::N,павук,సాలె పురుగు
176,Ameise::N,мурашка,చీమ
177,Laus::N,вош,పేను
178,Mücke::N,камар,చీకటీగ
179,Fliege::N,муха,ఈగ
180,Schmetterling::N,матыль,సీతాకోకచిలుక
181,Beere::N,ягада,కాయ
182,Apfel::N,яблык,ఆపిల్ పండు
183,Pilz::N,грыб,కుక్కగొడుగు
184,Zwiebel::N,цыбуля,నీరుల్లి
185,Saat::N,семя,విత్తనము
186,Korn::N,зерне,గింజ
187,Heu::N,сена,ఎండుగడ్డి
188,Schale::N,шалупінне,పొట్టు
189,Grube::N,яма,గొయ్యి
190,Falle::N,пастка,బోను
191,Schlinge::N,сіло,ఉరి
192,Spur::N,след,జాడ
193,Asche::N,попел,బూడిద
194,Dreck::N,бруд,ముఱికి
195,Eisen::N,жалеза,ఇనుము
196,Gold::N,золата,బంగారము
197,Silber::N,сребра,వెండి
198,Kohle::N,вугаль,నేలబొగ్గు
199,Glas::N,шкло,గాజు
200,Lehm::N,гліна,బంకమన్ను
201,Sand::N,пясок,ఇసుక
202,Mensch::N,чалавек,నరుడు
203,Mann::N,мужчына,పురుమడు
204,Frau::N,жанчына,ఆడుది
205,Kind::N,дзіця,బిడ్డ
206,Junge::N,хлопчык,బాలుడు
207,Mädchen::N,дзяўчынка,బాలిక
208,Familie::N,сямʼя,కుటుంబము
209,Großvater::N,дзядуля,తాత
210,Großmutter::N,бабуля,అయ్యమ్మ
211,Eltern::N,бацькі,తల్లితండ్రులు
212,Vater::N,бацька,తండ్రి
213,Mutter::N,маці,తల్లి
214,Sohn::N,сын,కొడుకు
215,Tochter::N,дачка,కూతురు
216,Bruder::N,брат,పోదరుడు
217,Schwester::N,сястра,సోదరి
218,Onkel::N,дзядзька,మేనమామ
219,Tante::N,цётка,మేనత్త
220,Tante::N,цётка,పినతల్లి
221,Ehemann::N,муж,భర్త
222,Ehefrau::N,жонка,భార్య
223,Freude::N,радасць,సంతోషము
224,Gelächter::N,смех,నవ్వు
225,Glück::N,шчасце,సంతోషము
226,Kummer::N,гора,దుఃఖము
227,Wunsch::N,жаданне,కోరిక
228,Lust::N,цяга,కోరిక
229,Geist::N,дух,ఆత్మ
230,Gedanke::N,думка,ఆలోచన
231,Gedächtnis::N,памяць,జ్ఞాపకము
