,Concept_ID,tt,myv
0,Auge::N,күз,сельме
1,Ohr::N,колак,пиле
2,Nase::N,борын,судо
3,Mund::N,авыз,курго
4,Mund::N,тамак,курго
5,Zahn::N,теш,пей
6,Zunge::N,тел,кель
7,Lippe::N,ирен,турва
8,Wange::N,яңак,чамабока
9,Wange::N,яңак,чамаумарь
10,Gesicht::N,йөз,чама
11,Stirn::N,маңгай,коня
12,Haar::N,чәч,черь
13,Schnurrbart::N,мыек,ус
14,Schnurrbart::N,мыек,муюк
15,Bart::N,сакал,сакал
16,Kinn::N,ияк,уло
17,Kiefer[Anatomie]::N,казналык,пейпакар
18,Kiefer[Anatomie]::N,казналык,пейловажа
19,Kehle::N,тамак,кирьгапарь
20,Hals::N,бугаз,кирьга
21,Genick::N,җилкә,човонь
22,Kopf::N,баш,пря
23,Rücken::N,сырт,копорь
24,Bauch::N,корсак,пеке
25,Nabel::N,кендек,почо
26,Busen::N,түш,поте
27,Brust::N,имчәк,меште
28,Brust::N,күкрәк,меште
29,Schulter::N,иңбаш,лавтов
30,Schulter::N,кулбаш,лавтов
31,Arm::N,кул,кедь
32,Ellenbogen::N,терсәк,кенерепакарь
33,Hand::N,кул,кедь
34,Handfläche::N,уч,кедькуншка
35,Handfläche::N,уч,кедьлапушка
36,Finger::N,бармак,сур
37,Fingernagel::N,тырнак,кенже
38,Nagel[Anatomie]::N,тырнак,кенже
39,Zeh::N,бармак,пильге сур
40,Fuß::N,табан,пильге
41,Ferse::N,үкчә,кочкаря
42,Knie::N,тез,эле
43,Knie::N,тез,эзне
44,Knie::N,тез,кумажа
45,Oberschenkel::N,бот,качо
46,Bein::N,аяк,пильге
47,Körper::N,тән,рунго
48,Körper::N,җисем,рунго
49,Haut::N,тире,киське
50,Blut::N,кан,верь
51,Ader::N,тамыр,сан
52,Sehne::N,сеңер,коське сан
53,Knochen::N,сөяк,пакарь
54,Gehirn::N,ми,удем
55,Herz::N,йөрәк,седей
56,Magen::N,ашказаны,пеке
57,Leber::N,бавыр,максо
58,Atem::N,сулыш,лексема
59,Atem::N,сулыш,оймень таргсема
60,Hunger::N,ачлык,вачочи
61,Träne::N,яшь,селведь
62,Geschmack::N,тәм,тансть
63,Geschmack::N,зәвык,тансть
64,Geruch::N,ис,чине
65,Schlaf::N,йокы,удома
66,Traum::N,төш,он
67,Himmel::N,күк,менель
68,Sonne::N,кояш,чи
69,Mond::N,ай,ков
70,Stern::N,йолдыз,теште
71,Luft::N,һава,кошт
72,Wind::N,җил,варма
73,Welle::N,дулкын,толкун
74,Wasser::N,су,ведь
75,Stein::N,таш,кев
76,Boden::N,туфрак,мода
77,Erde::N,җир,мастор
78,Staub::N,тузан,пуль
79,Rauch::N,төтен,качамо
80,Funke::N,очкын,сятко
81,Feuer::N,ут,тол
82,Licht::N,якты,валдо
83,Schatten::N,күләгә,сулей
84,Schatten::N,күләгә,сулейкс
85,Wetter::N,һава,ушо
86,Nebel::N,томан,сув
87,Wolke::N,болыт,пель
88,Regen::N,яңгыр,пиземс
89,Schnee::N,кар,лов
90,Eis::N,боз,эй
91,Frost::N,суык,кельме
92,Frost::N,салкын,кельме
93,Kälte::N,суык,якшамо
94,Kälte::N,салкын,якшамо
95,Hitze::N,эсселек,пси
96,Raureif::N,бәс,лекш
97,Raureif::N,сыкы,лекш
98,Regenbogen::N,салават күпере,пурьгинечирьке
99,Regenbogen::N,салават күпере,пурьгинеёнкс
100,Donner::N,күкрәү,пурьгине
101,Strömung::N,агыш'агым,чудема
102,Strömung::N,агыш'агым,чудевкс
103,Tropfen::N,тамчы,петнявкс
104,Schaum::N,күбек,чов
105,Schmutz::N,пычрак,рудаз
106,See::N,күл,эрьке
107,Sumpf::N,саз,чей
108,Moor::N,торфлык,чей
109,Wiese::N,болын,луга
110,Wald::N,урман,вирь
111,Hügel::N,калку,губорь
112,Hügel::N,калку,пандыне
113,Anhöhe::N,үр,губорь
114,Anhöhe::N,үр,пандыне
115,Berg::N,тау,пандо
116,Gipfel::N,оч,пря
117,Höhle::N,мәгарә,пещера
118,Abhang::N,кабырга,пандочама
119,Quelle::N,чишмә,ушодкс
120,Bach::N,елга,чудикерькс
121,Fluss::N,дәрья,лей
122,Ufer::N,су кырые,чире
123,Küste::N,яр буе,лейчире
124,Festland::N,коры җир,мода
125,Meer::N,диңгез,моря
126,Bucht::N,бухта,усия
127,Bucht::N,култык,усия
128,Insel::N,атау,усия
129,Insel::N,утрау,усия
130,Blume::N,чәчкә,цеця
131,Gras::N,үлән,тикше
132,Wurzel::N,тамыр,юр
133,Wurzel::N,тамыр,ундокс
134,Baum::N,агач,чувто
135,Stamm::N,кәүсә,рунго
136,Rinde::N,кабык,суд
137,Rinde::N,кабык,керь
138,Ast::N,ботак,морго
139,Zweig::N,ботак,тарад
140,Zweig::N,тармак,тарад
141,Blatt::N,яфрак,лопа
142,Birke::N,каен,килей
143,Kiefer[Baum]::N,нарат,пиче
144,Weide[Baum]::N,тал,каль
145,Tanne::N,чыршы,куз
146,Horn::N,мөгез,сюро
147,Feder::N,йон,толга
148,Fell::N,тире,пона
149,Flügel::N,канат,сёлмо
150,Klaue::N,тырнак,кенже
151,Kralle::N,тырнак,кенже
152,Schwanz::N,койрык,пуло
153,Ei::N,күкәй,ал
154,Ei::N,йомырка,ал
155,Nest::N,оя,пизэ
156,Bau::N,өн,варя
157,Bau::N,өн,пизе
158,Tier::N,хайван,ракша
159,Herde::N,көтү,стада
160,Kuh::N,сыер,скал
161,Bulle::N,үгез,бука
162,Pferd::N,ат,лишме
163,Schaf::N,сарык,реве
164,Schwein::N,дуңгыз,туво
165,Hund::N,эт,пине
166,Hund::N,эт,киска
167,Katze::N,песи,псака
168,Bär::N,аю,овто
169,Eichhörnchen::N,тиен,ур
170,Elch::N,поши,сярдо
171,Fuchs::N,төлке,ривезь
172,Hase::N,куян,нумоло
173,Maus::N,тычкан,чеерь
174,Wolf::N,бүре,верьгиз
175,Vogel::N,кош,нармунь
176,Schwarm::N,көтү,полк
177,Schwarm::N,көтү,стада
178,Huhn::N,тавык,сараз
179,Hahn::N,әтәч,атякш
180,Gans::N,каз,гала
181,Gans::N,каз,мацей
182,Adler::N,каракош,куцькан
183,Adler::N,каракош,тумоатякш
184,Ente::N,үрдәк,яксярго
185,Eule::N,ябалак,корж
186,Kranich::N,торна,карго
187,Krähe::N,карга,варака
188,Kuckuck::N,күке,куко
189,Kuckuck::N,кәккүк,куко
190,Schwan::N,аккош,локсей
191,Fisch::N,балык,кал
192,Barsch::N,алабуга,окунь
193,Hecht::N,чуртан,щука
194,Schlange[Tier]::N,елан,гуй
195,Wurm::N,корт,сукс
196,Spinne::N,үрмәкүч,шанжав
197,Ameise::N,кырмыска,коткудав
198,Laus::N,бет,сий
199,Mücke::N,черки,сеське
200,Mücke::N,озынборын,сеське
201,Fliege::N,чебен,карво
202,Schmetterling::N,күбәләк,нимиляв
203,Beere::N,җиләк,умарь
204,Apfel::N,алма,умарь
