,Concept_ID,sk,hr
0,Auge::N,oko,oko
1,Ohr::N,ucho,uho
2,Nase::N,nos,nos
3,Mund::N,ústa,usta
4,Zahn::N,zub,zub
5,Zunge::N,jazyk,jezik
6,Lippe::N,pera,usna
7,Wange::N,líce,obraz
8,Gesicht::N,tvár,lice
9,Gesicht::N,obličaj,lice
10,Stirn::N,čelo,čelo
11,Haar::N,vlas,kosa
12,Schnurrbart::N,fúzy,brkovi
13,Bart::N,brada,brada
14,Kinn::N,brada,brada
15,Kinn::N,brada,podbradak
16,Kiefer[Anatomie]::N,čeľusť,čeljust
17,Kehle::N,hrdlo,grlo
18,Hals::N,krk,vrat
19,Genick::N,väzy,zatiljak
20,Kopf::N,hlava,glava
21,Rücken::N,chrbát,leđa
22,Rücken::N,chrbát,hrbat
23,Bauch::N,brucho,trbuh
24,Nabel::N,pupok,pupak
25,Busen::N,prsia,sisa
26,Busen::N,prsia,njedra
27,Brust::N,hruď,prsa
28,Schulter::N,plece,rame
29,Schulter::N,plece,pleći
30,Arm::N,rameno,ruka
31,Ellenbogen::N,lakeť,lakat
32,Hand::N,ruka,ruka
33,Handfläche::N,dlaň,dlan
34,Finger::N,prst,prst
35,Fingernagel::N,necht,nokat
36,Nagel[Anatomie]::N,necht,nokat
37,Zeh::N,prst na nohe,nozni prst
38,Fuß::N,noha,noga
39,Fuß::N,noha,stopalo
40,Ferse::N,päta,peta
41,Knie::N,koleno,koljeno
42,Oberschenkel::N,stehno,bedro
43,Bein::N,noha,noga
44,Körper::N,telo,tijelo
45,Haut::N,koža,put
46,Haut::N,koža,koža
47,Blut::N,krv,krv
48,Ader::N,žila,žila
49,Sehne::N,šľacha,tetiva
50,Knochen::N,kosť,kost
51,Gehirn::N,mozog,
52,Herz::N,srdce,srce
53,Magen::N,žalúdok,stomak
54,Magen::N,žalúdok,želudac
55,Leber::N,pečeň,jetra
56,Atem::N,dych,dah
57,Hunger::N,hlad,glad
58,Träne::N,slza,suza
59,Geschmack::N,chuť,ukus
60,Geruch::N,pach,njuh
61,Geruch::N,pach,miris
62,Schlaf::N,spánok,san
63,Traum::N,sen,san
64,Himmel::N,nebo,nebo
65,Sonne::N,slnko,sunce
66,Mond::N,mesiac,mjesec
