,Concept_ID,ga,en
0,Auge::N,súil,eye
1,Ohr::N,cluas,ear
2,Nase::N,soc,nose
3,Mund::N,béal,mouth
4,Zahn::N,fiacail,tooth
5,Zunge::N,teanga,tongue
6,Lippe::N,liopa,lip
7,Wange::N,grua,cheek
8,Wange::N,leiceann,cheek
9,Gesicht::N,éadan,face
10,Gesicht::N,aghaidh,face
11,Stirn::N,baithis,forehead
12,Stirn::N,clár éadain,forehead
13,Haar::N,gruaig,hair
14,Schnurrbart::N,croiméal,moustache
15,Bart::N,féasóg,beard
16,Kinn::N,smig,chin
17,Kiefer[Anatomie]::N,giall,jaw
18,Kehle::N,scornach,throat
19,Hals::N,muinéal,neck
20,Genick::N,baic,nape
21,Kopf::N,ceann,head
22,Rücken::N,droim,back
23,Rücken::N,droim,spine
24,Bauch::N,bolg,belly
25,Nabel::N,imleacán,navel
26,Busen::N,cíoch,bosom
27,Brust::N,brollach,chest
28,Brust::N,brollach,breast
29,Schulter::N,gualainn,shoulder
30,Arm::N,lámh,arm
31,Ellenbogen::N,uillinn,elbow
32,Hand::N,lámh,hand
33,Handfläche::N,bos,palm
34,Finger::N,méar,finger
35,Fingernagel::N,ionga,fingernail
36,Nagel[Anatomie]::N,ionga,nail
37,Zeh::N,ladhar,toe
38,Fuß::N,cos,foot
39,Fuß::N,troigh,foot
40,Ferse::N,sáil,heel
41,Knie::N,glúin,knee
42,Oberschenkel::N,ceathrú,thigh
43,Bein::N,cos,leg
44,Körper::N,corp,body
45,Körper::N,colainn,body
46,Haut::N,cneas,skin
47,Haut::N,craiceann,skin
48,Blut::N,fuil,blood
49,Sehne::N,teannán,sinew
50,Sehne::N,féitheog,sinew
51,Knochen::N,cnámh,bone
52,Gehirn::N,inchinn,brain
53,Herz::N,croí,heart
54,Magen::N,bolg,stomach
55,Magen::N,goile,stomach
56,Leber::N,ae,liver
57,Atem::N,anáil,breath
58,Hunger::N,ocras,hunger
59,Träne::N,deoir,tear
60,Geschmack::N,blas,flavour
61,Geschmack::N,blas,flavor
62,Geruch::N,boladh,odour
63,Geruch::N,boladh,odor
64,Schlaf::N,suan,sleep
65,Schlaf::N,codladh,sleep
66,Traum::N,taibhreamh,dream
67,Himmel::N,spéir,sky
68,Sonne::N,grian,sun
69,Mond::N,ré,moon
70,Mond::N,gealach,moon
71,Stern::N,rinn,star
72,Stern::N,réalta,star
73,Luft::N,aer,air
74,Wind::N,gaoth,wind
75,Welle::N,tonn,wave
76,Wasser::N,uisce,water
77,Stein::N,cloch,stone
78,Boden::N,talamh,soil
79,Boden::N,talamh,ground
80,Erde::N,cré,earth
81,Erde::N,ithir,earth
82,Staub::N,dusta,dust
83,Staub::N,deannach,dust
84,Rauch::N,toit,smoke
85,Rauch::N,deatach,smoke
86,Funke::N,drithle,spark
87,Feuer::N,tine,fire
88,Licht::N,solas,light
89,Schatten::N,scáth,shadow
90,Wetter::N,aimsir,weather
91,Nebel::N,ceo,fog
92,Wolke::N,néal,cloud
93,Wolke::N,scamall,cloud
94,Regen::N,báisteach,rain
95,Regen::N,fearthainn,rain
96,Schnee::N,sneachta,snow
97,Eis::N,oighear,ice
98,Frost::N,sioc,frost
99,Kälte::N,fuacht,chill
100,Hitze::N,teas,heat
101,Hitze::N,teocht,heat
102,Raureif::N,sioc bán,hoarfrost
103,Regenbogen::N,stua ceatha,rainbow
104,Regenbogen::N,bogha báistí,rainbow
105,Donner::N,toirneach,thunder
106,Strömung::N,sruth,current
107,Tropfen::N,deoir,drop
108,Schaum::N,cúr,foam
109,Schmutz::N,salachar,dirt
110,See::N,loch,lake
111,Sumpf::N,portach,swamp
112,Moor::N,caorán,moor
113,Moor::N,móinteán,moor
114,Wiese::N,cluain,meadow
115,Wiese::N,móinéar,meadow
116,Wald::N,coill,forest
117,Wald::N,foraois,forest
118,Hügel::N,ard,hill
119,Anhöhe::N,ard,elevation
120,Anhöhe::N,ardán,elevation
121,Berg::N,sliabh,mountain
122,Gipfel::N,barr,summit
123,Gipfel::N,mullach,summit
124,Höhle::N,uaimh,cave
125,Höhle::N,pluais,cave
126,Abhang::N,fána,slope
127,Quelle::N,foinse,source
128,Bach::N,sruthán,brook
129,Fluss::N,abhainn,river
130,Ufer::N,bruach,shore
131,Küste::N,cósta,coast
132,Küste::N,cladach,coast
133,Festland::N,míntír,land
134,Meer::N,muir,sea
135,Meer::N,farraige,sea
136,Bucht::N,bá,cove
137,Bucht::N,cuan,cove
138,Insel::N,inis,island
139,Insel::N,oileán,island
140,Blume::N,bláth,flower
141,Gras::N,féar,grass
142,Wurzel::N,rúta,root
143,Wurzel::N,fréamh,root
144,Baum::N,crann,tree
145,Stamm::N,stoc,trunk
146,Stamm::N,tamhan,trunk
147,Rinde::N,coirt,bark
148,Rinde::N,craiceann,bark
149,Ast::N,géag,limb
150,Zweig::N,géag,branch
151,Zweig::N,craobh,branch
152,Blatt::N,duille,leaf
153,Blatt::N,duilleog,leaf
154,Birke::N,beith,birch
155,Birke::N,crann beithe,birch
156,Kiefer[Baum]::N,péine,pine
157,Weide[Baum]::N,saileach,willow
158,Tanne::N,giúis,fir
159,Horn::N,adharc,horn
160,Feder::N,cleite,feather
161,Fell::N,clúmh,fur
162,Flügel::N,eite,wing
163,Flügel::N,sciathán,wing
164,Klaue::N,crúb,claw
165,Klaue::N,crobh,claw
166,Kralle::N,crobh,claw
167,Schwanz::N,eireaball,tail
168,Ei::N,ubh,egg
169,Nest::N,nead,nest
170,Bau::N,brocais,lair
171,Tier::N,ainmhí,animal
172,Tier::N,beithíoch,animal
173,Herde::N,tréad,flock
174,Kuh::N,bó,cow
