,Concept_ID,fi,udm
183,Eichhörnchen::N,orava,коньы
184,Elch::N,hirvi,койык
185,Fuchs::N,kettu,ӟичы
186,Hase::N,jänis,кеч
187,Maus::N,hiiri,шыр
188,Wolf::N,susi,кион
189,Vogel::N,lintu,тылобурдо
190,Schwarm::N,parvi,уллё
191,Huhn::N,kana,курег
192,Hahn::N,kukko,атас
193,Gans::N,hanhi,ӟазег
194,Adler::N,kotka,ӧрзи
195,Ente::N,ankka,ӵӧж
196,Eule::N,pöllö,кучыран
197,Kranich::N,kurki,тури
198,Krähe::N,varis,куака
199,Kuckuck::N,käki,кикы
200,Schwan::N,joutsen,юсь
201,Fisch::N,kala,чорыг
202,Barsch::N,ahven,юш
203,Hecht::N,hauki,чипей
204,Schlange[Tier]::N,käärme,кый
205,Wurm::N,mato,нумыр
206,Spinne::N,hämähäkki,чонари
207,Ameise::N,muurahainen,кузьыли
208,Laus::N,täi,тэй
209,Mücke::N,sääski,нымы
210,Mücke::N,sääski,чибинь
211,Mücke::N,hyttynen,нымы
212,Mücke::N,hyttynen,чибинь
213,Fliege::N,kärpänen,кут
214,Schmetterling::N,perhonen,бубыли
215,Beere::N,marja,узы-боры
216,Apfel::N,omena,яблок
217,Pilz::N,sieni,губи
218,Zwiebel::N,sipuli,сугон
219,Saat::N,siemenet,кидыс
220,Korn::N,jyvä,тысь
221,Korn::N,vilja,тысь
222,Heu::N,heinä,турын
223,Schale::N,kuori,кыд
224,Grube::N,kuoppa,гу
225,Grube::N,kuoppa,гоп
226,Falle::N,loukku,налик
227,Schlinge::N,ansa,гиӟ
228,Schlinge::N,ansa,герд
229,Spur::N,jälki,пытьы
230,Spur::N,jälki,бервыл
231,Asche::N,tuhka,пень
232,Dreck::N,lika,дэри
233,Eisen::N,rauta,корт
234,Gold::N,kulta,зарни
235,Silber::N,hopea,азвесь
236,Kohle::N,hiili,эгыр
237,Glas::N,lasi,стекло
238,Glas::N,lasi,пияла
239,Lehm::N,savi,сюй
240,Sand::N,hiekka,луо
241,Mensch::N,ihminen,мурт
242,Mensch::N,ihminen,адями
243,Mann::N,mies,воргорон
244,Frau::N,nainen,кышномурт
245,Kind::N,lapsi,нуны
246,Kind::N,lapsi,пинал
247,Junge::N,poika,пи
248,Mädchen::N,tyttö,ныл
249,Familie::N,perhe,семья
250,Großvater::N,isoisä,песятай
251,Großvater::N,isoisä,пересь атай
252,Großmutter::N,isoäiti,песянай
253,Großmutter::N,isoäiti,пересь анай
254,Eltern::N,vanhemmat,атай-анай
255,Eltern::N,vanhemmat,бубы-мумы
256,Vater::N,isä,айы
257,Vater::N,isä,атай
258,Mutter::N,äiti,мумы
259,Sohn::N,poika,пи
260,Tochter::N,tytär,ныл
261,Bruder::N,veli,агай
262,Schwester::N,sisko,апа
263,Schwester::N,sisko,сузэр
264,Onkel::N,eno,агай
265,Onkel::N,setä,агай
266,Tante::N,täti,апа
267,Tante::N,täti,кенак
268,Ehemann::N,mies,карт
269,Ehemann::N,aviomies,карт
270,Ehefrau::N,vaimo,кышно
271,Ehefrau::N,aviovaimo,кышно
272,Freude::N,ilo,шумпотон
273,Freude::N,riemu,шумпотон
274,Gelächter::N,nauru,горем
275,Glück::N,onni,шуд
276,Kummer::N,suru,кайгу
277,Kummer::N,suru,куректон
278,Kummer::N,murhe,кайгу
279,Kummer::N,murhe,куректон
280,Wunsch::N,toive,мылпотон
281,Wunsch::N,toivomus,мылпотон
282,Lust::N,himo,потон
283,Geist::N,henki,лул
284,Gedanke::N,aate,малпан
285,Gedanke::N,ajatus,малпан
286,Gedächtnis::N,muisti,йырсазь
287,Gedächtnis::N,muisti,тодэваён
288,Verstand::N,äly,йырвизь
289,Verstand::N,järki,йырвизь
290,Verstand::N,ymmärrys,йырвизь
291,Sinn::N,merkitys,смысл
292,Grund::N,syy,муг
293,Grund::N,syy,ньӧм
294,Grund::N,peruste,муг
295,Grund::N,peruste,ньӧм
296,Wahrheit::N,tosi,зэм
297,Wahrheit::N,tosi,шонер
298,Wahrheit::N,totuus,зэм
299,Wahrheit::N,totuus,шонер
300,Gespräch::N,puhelu,вераськон
301,Gespräch::N,keskustelu,вераськон
302,Märchen::N,satu,выжыкыл
303,Erzählung::N,tarina,верос
304,Erzählung::N,kertomus,верос
305,Nachricht::N,tieto,ивор
306,Nachricht::N,ilmoitus,ивор
307,Neuigkeit::N,uutinen,выльивор
308,Name::N,nimi,ним
309,Rätsel::N,arvoitus,мадькыл
310,Rede::N,puhe,верам
311,Sprache::N,kieli,кыл
312,Stimme::N,ääni,куара
313,Wort::N,sana,кыл
314,Zeichen::N,merkki,пус
315,Zeichen::N,merkki,тодмет
316,Ruf::N,kutsu,ӧтён
317,Ruf::N,kutsu,чортон
318,Lärm::N,melu,ӵашетон
319,Lärm::N,hälinä,ӵашетон
320,Laut::N,ääni,куара
321,Ton::N,sävel,куара
322,Lied::N,laulu,кырӟан
323,Ruhe::N,lepo,чалмыт улон
324,Ruhe::N,rauha,чалмыт улон
325,Leute::N,väki,адямиос
326,Leute::N,ihmiset,адямиос
327,Volk::N,kansa,калык
328,Arbeit::N,työ,уж
329,Gast::N,vieras,куно
330,Geschenk::N,lahja,салам
331,Geschenk::N,lahja,кузьым
332,Spiel::N,peli,шудон
333,Spiel::N,leikki,шудон
334,Gesellschaft::N,seura,калык
335,Hilfe::N,apu,юрттон
336,Freund::N,ystävä,эш
337,Freund::N,ystävä,юлтош
338,Kamerad::N,toveri,тодмо
339,Angelegenheit::N,asia,уж
340,Anzahl::N,lukumäärä,лыд
341,Art::N,laji,тус
342,Stück::N,pala,юдэс
343,Stück::N,kappale,юдэс
344,Teil::N,osa,люкет
345,Hälfte::N,puoli,ӝыны
346,Kreis::N,ympyrä,котырес
347,Kreuz::N,risti,крест
348,Linie::N,viiva,гож
349,Strich::N,piirto,гож
350,Abstand::N,väli,вис
351,Abstand::N,väli,кусып
352,Abstand::N,väljyys,вис
353,Abstand::N,väljyys,кусып
354,Entfernung::N,etäisyys,кусып
