,Concept_ID,sl,az
0,Auge::N,okó,göz
1,Ohr::N,uhó,qulaq
2,Nase::N,nós,burun
3,Mund::N,ústa,ağız
4,Zahn::N,zób,diş
5,Zunge::N,jêzik,dil
6,Lippe::N,ústnica,dodaq
7,Wange::N,líce,yanaq
8,Gesicht::N,oblíčje,üz
9,Stirn::N,čêlo,alın
10,Haar::N,lás,saç
11,Schnurrbart::N,bŕki,bığ
12,Bart::N,bráda,saqqal
13,Kinn::N,bráda,çənə
14,Kiefer[Anatomie]::N,čeljúst,çənə
15,Kehle::N,gŕlo,boğaz
16,Hals::N,vrát,boyun
17,Genick::N,zatílnik,ənsə
18,Kopf::N,gláva,baş
19,Rücken::N,hrbèt,bel
20,Bauch::N,trébuh,qarın
21,Nabel::N,pópek,göbək
22,Busen::N,nédrja,məmə
23,Brust::N,pŕsi,döş
24,Schulter::N,ráma,çiyin
25,Schulter::N,plêče,çiyin
26,Arm::N,rôka,qol
27,Ellenbogen::N,komólec,dirsək
28,Hand::N,rôka,əl
29,Handfläche::N,dlán,ovuc
30,Finger::N,pŕst,barmaq
31,Fingernagel::N,nóht na rôki,barmaq dırnağı
32,Nagel[Anatomie]::N,nóht,dırnak
33,Zeh::N,pŕst na nôgi,ayaq barmağı
34,Fuß::N,nôga,ayaq
35,Ferse::N,pêta,daban
36,Knie::N,koléno,diz
37,Oberschenkel::N,stêgno,bud
38,Bein::N,nôga,qıç
39,Körper::N,teló,əndam
40,Haut::N,kóža,dəri
41,Blut::N,krí,qan
42,Ader::N,žíla,damar
43,Sehne::N,kíta,vətər
44,Knochen::N,kóst,sümük
45,Gehirn::N,možgáni,beyin
46,Herz::N,srcé,ürək
47,Magen::N,želódec,mədə
48,Leber::N,jétra,qara ciyər
49,Atem::N,díh,nəfəs
50,Hunger::N,glád,aclıq
51,Träne::N,sólza,göz yaşı
52,Geschmack::N,okús,tam
53,Geschmack::N,okús,ləzzət
54,Geruch::N,vónj,qoxu
55,Schlaf::N,sèn,yuxu
56,Schlaf::N,spánec,yuxu
57,Traum::N,sánje,röya
58,Himmel::N,nebó,göy
59,Himmel::N,nebó,səma
60,Sonne::N,sónce,günəş
61,Mond::N,lúna,ay
62,Mond::N,mésec,ay
63,Stern::N,zvézda,ulduz
64,Luft::N,zràk,hava
65,Wind::N,véter,yel
66,Wind::N,véter,külək
67,Welle::N,vál,dalğa
68,Wasser::N,vôda,su
69,Stein::N,kámen,daş
70,Boden::N,tlà,yer
71,Boden::N,tlà,zəmin
72,Erde::N,pŕst,yer torpaq
73,Erde::N,zêmlja,yer torpaq
74,Staub::N,práh,toz
75,Rauch::N,dìm,tüstü
76,Funke::N,ískra,qığılcım
77,Feuer::N,ôgenj,od
78,Licht::N,lúč,işıq
79,Schatten::N,sénca,kölgə
80,Wetter::N,vrême,hava
81,Nebel::N,meglà,duman
82,Wolke::N,oblák,bulud
83,Regen::N,dèž,yağış
84,Regen::N,dèž,yağmur
85,Schnee::N,snég,qar
86,Eis::N,léd,buz
87,Frost::N,zmrzál,ayaz
88,Kälte::N,mràz,soyuq
89,Hitze::N,pripéka,coşğunluq
90,Raureif::N,ívje,qırov
91,Raureif::N,slána,qırov
92,Regenbogen::N,mávrica,göy qurşağı
93,Donner::N,gròm,göy gurultusu
94,Strömung::N,strúja,axın
95,Tropfen::N,káplja,damcı
96,Schaum::N,péna,köpük
97,Schmutz::N,nesnága,çamır
98,See::N,jézero,göl
99,Sumpf::N,močvírje,bataqlıq
100,Moor::N,bárje,bataqlıq
101,Wiese::N,trávnik,çəmən
102,Wald::N,lés,meşə
103,Wald::N,gòzd,meşə
104,Hügel::N,brég,təpə
105,Hügel::N,goríca,təpə
106,Anhöhe::N,gríč,təpə
107,Anhöhe::N,višína,təpə
108,Berg::N,gôra,dağ
109,Berg::N,planína,dağ
110,Gipfel::N,vŕh,zirvə
111,Höhle::N,jáma,mağara
112,Höhle::N,votlína,mağara
113,Abhang::N,pobóčje,yamac
114,Quelle::N,izvír,bulaq
115,Bach::N,pôtok,kiçik çay
116,Fluss::N,réka,çay
117,Ufer::N,brég,kənar
118,Küste::N,obála,sahil
119,Küste::N,obréžje,sahil
120,Festland::N,celína,materik
121,Festland::N,kopnína,materik
122,Meer::N,mórje,dəniz
123,Bucht::N,zalív,körfəz
124,Insel::N,ôtok,ada
125,Blume::N,cvetlíca,çiçək
126,Gras::N,tráva,ot
127,Wurzel::N,korenína,kök
128,Baum::N,drevó,ağac
129,Stamm::N,dêblo,gövdə
130,Rinde::N,lúbje,qabıq
131,Rinde::N,skórja,qabıq
132,Ast::N,véja,şax
133,Zweig::N,véja,budaq
134,Blatt::N,líst,yarpaq
135,Birke::N,bréza,tozağacı
136,Kiefer[Baum]::N,bòr,şam
137,Weide[Baum]::N,vŕba,söyüd
138,Tanne::N,hója,küknar
139,Horn::N,róg,buynuz
140,Feder::N,peró,tük
141,Feder::N,peró,lələk
142,Fell::N,kŕzno,xəz
143,Flügel::N,krílo,qanad
144,Klaue::N,párkelj,pəncə
145,Kralle::N,krémpelj,dırnaq
146,Schwanz::N,rèp,quyruq
147,Ei::N,jájce,yumurta
148,Nest::N,gnézdo,yuva
149,Bau::N,brlòg,yuva
150,Tier::N,živál,heyvan
151,Herde::N,čréda,sürü
152,Kuh::N,kráva,inək
153,Bulle::N,bìk,öküz
154,Pferd::N,kònj,at
155,Schaf::N,ôvca,qoyun
156,Schwein::N,svínja,donuz
157,Hund::N,pès,it
158,Hund::N,pès,köpək
159,Katze::N,máčka,pişik
160,Bär::N,mêdved,ayı
161,Eichhörnchen::N,véverica,dələ
162,Elch::N,lós,sığın
163,Fuchs::N,lisíca,tülkü
164,Hase::N,zájec,dovşan
