,Concept_ID,it,pt
0,Auge::N,occhio,olho
1,Ohr::N,orecchio,orelha
2,Nase::N,naso,nariz
3,Mund::N,bocca,boca
4,Zahn::N,dente,dente
5,Zunge::N,lingua,língua
6,Lippe::N,labbro,lábio
7,Wange::N,guancia,face
8,Gesicht::N,viso,cara
9,Gesicht::N,viso,rosto
10,Gesicht::N,faccia,cara
11,Gesicht::N,faccia,rosto
12,Stirn::N,fronte,testa
13,Haar::N,capello,cabelo
14,Schnurrbart::N,baffi,bigode
15,Schnurrbart::N,mustacchi,bigode
16,Bart::N,barba,barba
17,Kinn::N,mento,queixo
18,Kiefer[Anatomie]::N,mascella,maxila
19,Kiefer[Anatomie]::N,mascella,mandíbula
20,Kehle::N,gola,garganta
21,Hals::N,collo,colo
22,Hals::N,collo,pescoço
23,Genick::N,nuca,nuca
24,Kopf::N,capo,cabeça
25,Kopf::N,testa,cabeça
26,Rücken::N,dorso,dorso
27,Rücken::N,dorso,costas
28,Rücken::N,schiena,dorso
29,Rücken::N,schiena,costas
30,Bauch::N,ventre,ventre
31,Bauch::N,ventre,barriga
32,Nabel::N,ombelico,umbigo
33,Busen::N,seno,seio
34,Brust::N,petto,peito
35,Schulter::N,spalla,ombro
36,Arm::N,braccio,braço
37,Ellenbogen::N,gomito,cotovelo
38,Hand::N,mano,mão
39,Handfläche::N,palma,palma
40,Handfläche::N,palma,palma da mão
41,Finger::N,dito,dedo
42,Fingernagel::N,unghia,unha
43,Nagel[Anatomie]::N,unghia,unha
44,Zeh::N,dito del piede,dedo do pé
45,Fuß::N,piede,pé
46,Ferse::N,tallone,calcanhar
47,Ferse::N,calcagno,calcanhar
48,Knie::N,ginocchio,joelho
49,Oberschenkel::N,fèmore,coxa
50,Bein::N,gamba,perna
51,Körper::N,corpo,corpo
52,Haut::N,pelle,pele
53,Blut::N,sangue,sangue
54,Ader::N,vena,veia
55,Sehne::N,tèndine,tendão
56,Knochen::N,osso,osso
57,Gehirn::N,cervello,cérebro
58,Herz::N,cuore,coração
59,Magen::N,stòmaco,estômago
60,Leber::N,fegato,fígado
61,Atem::N,fiato,fôlego
62,Atem::N,respiro,fôlego
63,Hunger::N,fame,fome
64,Träne::N,làcrima,lágrima
65,Geschmack::N,gusto,gosto
66,Geschmack::N,sapore,gosto
67,Geruch::N,odore,odor
68,Geruch::N,odore,cheiro
69,Schlaf::N,sonno,sono
70,Traum::N,sogno,sonho
71,Himmel::N,cielo,céu
72,Sonne::N,sole,sol
73,Mond::N,luna,lua
74,Stern::N,stella,estrela
75,Luft::N,aria,ar
76,Wind::N,vento,vento
77,Welle::N,onda,onda
78,Wasser::N,acqua,água
79,Stein::N,sasso,pedra
80,Stein::N,pietra,pedra
81,Boden::N,suolo,solo
82,Boden::N,terreno,solo
83,Erde::N,terra,terra
84,Staub::N,polvere,pó
85,Rauch::N,fumo,fumo
86,Funke::N,scintilla,faísca
87,Funke::N,scintilla,centelha
88,Feuer::N,fuoco,fogo
89,Licht::N,luce,luz
90,Schatten::N,ombra,sombra
91,Wetter::N,tempo,tempo
92,Nebel::N,nebbia,nevoeiro
93,Wolke::N,nube,nuvem
94,Wolke::N,nùvola,nuvem
95,Regen::N,pioggia,chuva
96,Schnee::N,neve,neve
97,Eis::N,ghiaccio,gelo
98,Frost::N,gelo,gelo
99,Frost::N,gelo,geada
100,Kälte::N,freddo,frio
101,Hitze::N,caldo,ardor
102,Hitze::N,calura,ardor
103,Raureif::N,brina,geada
104,Regenbogen::N,arcobaleno,arco-iris
105,Donner::N,tuono,trovão
106,Strömung::N,corrente,corrente
107,Tropfen::N,goccia,gota
108,Schaum::N,spuma,espuma
109,Schaum::N,schiuma,espuma
110,Schmutz::N,sudiciume,sujidade
111,Schmutz::N,sudiciume,imundície
112,See::N,lago,lago
113,Sumpf::N,palude,charco
114,Sumpf::N,palude,pântano
115,Moor::N,torbiera,pântano
116,Wiese::N,prato,prado
117,Wald::N,bosco,bosque
118,Wald::N,bosco,floresta
119,Wald::N,foresta,bosque
120,Wald::N,foresta,floresta
121,Hügel::N,colle,colina
122,Hügel::N,collina,colina
123,Anhöhe::N,altura,alto
124,Anhöhe::N,altura,outeiro
125,Berg::N,monte,monte
126,Berg::N,monte,montanha
127,Berg::N,montagna,monte
128,Berg::N,montagna,montanha
129,Gipfel::N,cima,pico
130,Höhle::N,grotta,caverna
131,Höhle::N,caverna,caverna
132,Abhang::N,pendìo,encosta
133,Quelle::N,sorgente,fonte
134,Bach::N,ruscello,regato
135,Bach::N,ruscello,ribeiro
136,Fluss::N,fiume,rio
137,Ufer::N,riva,beira
138,Küste::N,costa,costa
139,Festland::N,terraferma,terra firme
140,Meer::N,mare,mar
141,Bucht::N,cala,baía
142,Insel::N,ìsola,ilha
143,Blume::N,fiore,flor
144,Gras::N,erba,erva
145,Wurzel::N,radice,raiz
146,Baum::N,àlbero,árvore
147,Stamm::N,tronco,tronco
148,Rinde::N,corteccia,casca
149,Ast::N,ramo,ramo
150,Zweig::N,ramo,galho
151,Blatt::N,foglia,folha
152,Birke::N,betulla,bétula
153,Kiefer[Baum]::N,pino,pinheiro
154,Weide[Baum]::N,sàlice,salgueiro
155,Tanne::N,abete,abeto
156,Horn::N,corno,corno
157,Horn::N,corno,chifre
158,Feder::N,penna,pena
159,Fell::N,manto,pele
160,Fell::N,pelame,pele
161,Flügel::N,ala,asa
162,Klaue::N,grinfia,pata
163,Kralle::N,unghia,unha
164,Kralle::N,unghia,garra
165,Kralle::N,artiglio,unha
166,Kralle::N,artiglio,garra
167,Schwanz::N,coda,rabo
168,Schwanz::N,coda,cauda
169,Ei::N,uovo,ovo
170,Nest::N,nido,ninho
171,Bau::N,covo,toca
172,Bau::N,covo,covil
173,Tier::N,bestia,animal
174,Tier::N,animale,animal
175,Herde::N,gregge,rebanho
176,Kuh::N,vacca,vaca
177,Bulle::N,toro,touro
178,Pferd::N,cavallo,cavalo
179,Schaf::N,pècora,ovelha
180,Schwein::N,porco,porco
181,Schwein::N,maiale,porco
182,Hund::N,cane,cão
183,Katze::N,gatta,gata
