,Concept_ID,ko,en
0,Auge::N,눈,eye
1,Ohr::N,귀,ear
2,Nase::N,코,nose
3,Mund::N,입,mouth
4,Zahn::N,이,tooth
5,Zunge::N,혀,tongue
6,Lippe::N,입술,lip
7,Wange::N,뺨,cheek
8,Gesicht::N,얼굴,face
9,Stirn::N,이마,forehead
10,Haar::N,털,hair
11,Schnurrbart::N,윗수몀,moustache
12,Schnurrbart::N,코밑수염,moustache
13,Bart::N,수엄,beard
14,Kinn::N,아래턱,chin
15,Kiefer[Anatomie]::N,턱,jaw
16,Kehle::N,인후,throat
17,Hals::N,목,neck
18,Genick::N,먹덜이,nape
19,Kopf::N,머리,head
20,Rücken::N,든,back
21,Rücken::N,든,spine
22,Bauch::N,배,belly
23,Nabel::N,배꼽,navel
24,Busen::N,가슴속,bosom
25,Brust::N,가슴,chest
26,Brust::N,가슴,breast
27,Schulter::N,어깨,shoulder
28,Arm::N,팔,arm
29,Ellenbogen::N,팔쿰치,elbow
30,Hand::N,손,hand
31,Handfläche::N,손바닥,palm
32,Finger::N,속가락,finger
33,Fingernagel::N,손톱,fingernail
34,Nagel[Anatomie]::N,손톱,nail
35,Zeh::N,발가락,toe
36,Fuß::N,발,foot
37,Ferse::N,발꿈치,heel
38,Knie::N,무릎,knee
39,Oberschenkel::N,허벅다리,thigh
40,Bein::N,다리,leg
41,Körper::N,구간,body
42,Haut::N,살갗,skin
43,Blut::N,피,blood
44,Ader::N,정맥,vein
45,Sehne::N,현,sinew
46,Knochen::N,뼈,bone
47,Gehirn::N,뇌,brain
48,Gehirn::N,뇌수,brain
49,Herz::N,염통,heart
50,Magen::N,위,stomach
51,Leber::N,간,liver
52,Atem::N,기식,breath
53,Hunger::N,공복,hunger
54,Träne::N,눈물,tear
55,Geschmack::N,기호,flavour
56,Geschmack::N,기호,flavor
57,Geruch::N,냄새,odour
58,Geruch::N,냄새,odor
59,Schlaf::N,수면,sleep
60,Traum::N,쿰,dream
61,Himmel::N,하늘,sky
62,Sonne::N,해,sun
63,Mond::N,달,moon
64,Stern::N,별,star
65,Luft::N,동준,air
66,Luft::N,가스채,air
67,Wind::N,바람,wind
68,Welle::N,물결,wave
69,Wasser::N,물,water
70,Stein::N,돌,stone
71,Boden::N,바닥,soil
72,Boden::N,바닥,ground
73,Erde::N,흙,earth
74,Staub::N,먼지,dust
75,Rauch::N,연기,smoke
76,Funke::N,불티,spark
77,Feuer::N,불,fire
78,Licht::N,불,light
