,Concept_ID,bg,kv
0,Auge::N,око,син
1,Ohr::N,ухо,пель
2,Nase::N,нос,ныр
3,Mund::N,уста,ӧм
4,Zahn::N,зъб,пинь
5,Zunge::N,език,кыв
6,Lippe::N,устна,тырп
7,Wange::N,буза,рожабан
8,Gesicht::N,лице,бан
9,Gesicht::N,образ,бан
10,Stirn::N,чело,кымӧс
11,Haar::N,коса,юрси
12,Haar::N,косъм,юрси
13,Schnurrbart::N,мустаци,уссэз
14,Bart::N,брада,тош
15,Kinn::N,брада,тшӧка
16,Kinn::N,брадичка,тшӧка
17,Kiefer[Anatomie]::N,челюст,ан
18,Kehle::N,гърло,юан
19,Hals::N,врат,юан
20,Genick::N,тил,юр бӧр
21,Kopf::N,глава,юр
22,Rücken::N,гръб,мышк
23,Bauch::N,корем,кынӧм
24,Nabel::N,пъп,гӧг
25,Busen::N,бозка,морос
26,Brust::N,гръд,морос
27,Schulter::N,рамо,пельпон
28,Schulter::N,плещи,пельпон
29,Arm::N,ръка,ки
30,Ellenbogen::N,лакът,гырдзза
31,Hand::N,ръка,кикар
32,Hand::N,китка,кикар
33,Handfläche::N,длан,ки пыдӧс
34,Finger::N,пръст,чунь
35,Fingernagel::N,нокът,гыж
36,Nagel[Anatomie]::N,нокът,гыж
37,Zeh::N,пръст на крак,чунь
38,Fuß::N,крак,кокпыдӧс
39,Fuß::N,нога,кокпыдӧс
40,Ferse::N,пета,кокдзир
41,Knie::N,коляно,пидзӧс
42,Oberschenkel::N,бедро,лядьбей
43,Bein::N,крак,кок
44,Bein::N,нога,кок
45,Körper::N,тяло,вывтыр
46,Haut::N,кожа,кучик
47,Blut::N,кръв,вир
48,Ader::N,вена,сӧн
49,Ader::N,артерия,сӧн
50,Sehne::N,жила,жила
51,Sehne::N,сухожилие,жила
52,Knochen::N,кост,коска
53,Gehirn::N,мозък,вем
54,Herz::N,сърце,сьӧлӧм
55,Magen::N,стомах,жӧвдӧк
56,Leber::N,черен дроб,мус
57,Atem::N,дишане,лолалӧм
58,Hunger::N,глад,тшыг
59,Träne::N,сълза,синва
60,Geschmack::N,вкус,кӧр
61,Geruch::N,миризма,дук
62,Schlaf::N,сън,он
63,Traum::N,сън,вӧт
64,Himmel::N,небе,небо
65,Sonne::N,слънце,шондi
66,Mond::N,луна,тӧлiсь
67,Mond::N,месец,тӧлiсь
68,Stern::N,звезда,кӧдзыв
69,Luft::N,въздух,ру
70,Wind::N,вятър,тӧв
71,Welle::N,вълна,гы
72,Wasser::N,вода,ва
73,Stein::N,камък,из
74,Boden::N,земя,му
75,Boden::N,почва,му
76,Erde::N,земя,му
77,Erde::N,почва,му
78,Staub::N,прах,бус
79,Rauch::N,дим,тшын
80,Rauch::N,пушек,тшын
81,Funke::N,искра,бичир
82,Feuer::N,огън,би
83,Licht::N,светлина,би
84,Schatten::N,сянка,вуджӧр
85,Wetter::N,време,погоддя
86,Nebel::N,мъгла,туман
87,Wolke::N,облак,кымӧр
88,Regen::N,дъжд,зэр
89,Schnee::N,сняг,лым
90,Eis::N,лед,йы
91,Frost::N,мраз,мороз
92,Kälte::N,студ,кӧдзыт
93,Hitze::N,жега,ӧд
94,Hitze::N,горещина,ӧд
95,Raureif::N,скреж,кижа
96,Raureif::N,слана,кижа
97,Regenbogen::N,дъга,енӧшка
98,Donner::N,гръм,гым
99,Strömung::N,течение,визывтӧм
100,Tropfen::N,капка,тёп
101,Schaum::N,пяна,быг
102,Schmutz::N,кал,нять
103,Schmutz::N,мръсотия,нять
104,See::N,езеро,ты
105,Sumpf::N,блато,арай
106,Moor::N,мочурище,нюр
107,Wiese::N,ливада,видз
108,Wald::N,гора,вӧр
109,Hügel::N,рид,мыльк
110,Hügel::N,хълм,мыльк
111,Anhöhe::N,могила,вывтас
112,Anhöhe::N,могила,вылынін
113,Anhöhe::N,възвишение,вывтас
114,Anhöhe::N,възвишение,вылынін
115,Berg::N,планина,керӧс
116,Gipfel::N,връх,йыв
117,Höhle::N,пещера,нора
118,Abhang::N,склон,покат
119,Abhang::N,стръмнина,покат
120,Quelle::N,извор,больган
121,Bach::N,поток,шор
122,Fluss::N,река,ю
123,Ufer::N,бряг,берег
124,Küste::N,бряг,берег
125,Küste::N,крайбрежие,берег
126,Festland::N,суша,му
127,Meer::N,море,море
128,Bucht::N,залив,курья
129,Insel::N,остров,
130,Blume::N,цвете,цветок
131,Gras::N,трева,турун
132,Wurzel::N,корен,вуж
133,Baum::N,дърво,пу
134,Stamm::N,стъбло,мыр
135,Stamm::N,стъбло,кер
136,Rinde::N,кора,кач
137,Ast::N,клон,ув
138,Zweig::N,клон,ув
139,Blatt::N,лист,лист
140,Birke::N,бреза,кыдз
141,Kiefer[Baum]::N,бор,пожум
142,Weide[Baum]::N,върба,бадь
143,Tanne::N,ела,кӧз
144,Horn::N,рог,сюр
145,Feder::N,перо,гӧн
146,Fell::N,кожа,кучик
147,Flügel::N,крило,борд
148,Klaue::N,нокът,гыж
149,Kralle::N,нокът,кабыр
150,Schwanz::N,опашка,бӧж
