,Concept_ID,ce,kn
0,Auge::N,бӏаьрг,ಕಣ್ಣು
1,Ohr::N,лерг,ಕಿವಿ
2,Nase::N,мара,ಮೂಗು
3,Mund::N,бага,ಬಾಯಿ
4,Zahn::N,церг,ಹಲ್ಲು
5,Zunge::N,мотт,ನಾಲಿಗೆ
6,Lippe::N,балда,ತುಟಿ
7,Wange::N,бесни,ಗಲ್ಲ
8,Gesicht::N,юьхь,ಮುಖ
9,Stirn::N,хьаж,ಹಣೆ
10,Haar::N,мас,ಕೂದಲು
11,Schnurrbart::N,мекх,ಮೀಸೆ
12,Bart::N,маж,ಗಡ್ಡ
13,Kinn::N,чӏениг,ಗದ್ದ
14,Kiefer[Anatomie]::N,мочхал,ದವಡೆ
15,Kehle::N,къамкъарг,ಗಂಟಲು
16,Hals::N,ворта,ಕೊರಳು
17,Genick::N,кӏесаркӏаг,ಹಿಂಗತ್ತು
18,Kopf::N,корта,ತಲೆ
19,Rücken::N,букъ,ಬೆನ್ನು
20,Bauch::N,кийра,ಹೊಟ್ಟೆ
21,Nabel::N,цӏонга,ಹೊಕ್ಕುಳು
22,Busen::N,зударийн накха,ಸ್ತನ
23,Brust::N,накха,ಎದೆ
24,Schulter::N,белш,ಭುಜ
25,Arm::N,пхьарс,ತೋಳು
26,Ellenbogen::N,пхьаьрсан гола,ಮೊಣಕೈ
27,Hand::N,куьг,ಕೈ
28,Handfläche::N,кераюкъ,ಅಂಗೈ
29,Finger::N,пӏелг,ಕೈಬೆರಳು
30,Fingernagel::N,мӏара,ಉಗುರು
31,Nagel[Anatomie]::N,мӏара,ಉಗುರು
32,Zeh::N,кога пӏелг,ಕಾಲ್ಬೆರಳು
33,Fuß::N,ког,ಪಾದ
34,Ferse::N,кӏажа,ಹಿಮ್ಮಡಿ
35,Knie::N,гола,ಮಂಡಿ
36,Oberschenkel::N,варе,ತೊಡೆ
37,Bein::N,ког,ಕಾಲು
38,Körper::N,хӏума,ದೇಹ
39,Haut::N,чкъор,ಚರ್ಮ
40,Blut::N,цӏий,ರಕ್ತ
41,Ader::N,пха,ನರ
42,Sehne::N,хьорзам,ನರ
43,Knochen::N,даьӏахк,ಮೂಳೆ
44,Gehirn::N,хье,ಮಿದುಳು
45,Herz::N,дог,ಹೃದಯ
46,Magen::N,зорх,ಉದರ
47,Leber::N,доӏах,ಯಕೃತ್ತು
48,Atem::N,садеӏар,ಉಸಿರು
49,Hunger::N,мацалла,ಹಸಿವು
50,Träne::N,бӏаьрхи,ಕಣ್ಣೀರು
51,Geschmack::N,чам,ರುಚಿ
52,Geruch::N,хьожа,ವಾಸನೆ
53,Schlaf::N,наб,ನಿದ್ರೆ
54,Traum::N,гӏан,ಕನಸು
55,Himmel::N,стигал,ಬಾನು
56,Sonne::N,малх,ಸೂರ್ಯ
57,Mond::N,бутт,ಚಂದ್ರ
58,Stern::N,седа,ಚುಕ್ಕಿ
59,Luft::N,xӏаваъ,ವಾಯು
60,Wind::N,мох,ಗಾಳಿ
61,Welle::N,тулгӏе,ಅಲೆ
