,Concept_ID,lbe,nl
0,Auge::N,я,oog
1,Ohr::N,вичӏи,oor
2,Nase::N,май,neus
3,Mund::N,кьацӏ,mond
4,Zahn::N,ккарччи,tand
5,Zunge::N,маз,tong
6,Lippe::N,мурччи,lip
7,Wange::N,чӏав,wang
8,Gesicht::N,лажин,gelaat
9,Gesicht::N,лажин,gezicht
10,Stirn::N,ненттабакӏ,voorhoofd
11,Haar::N,чӏара,haar
12,Schnurrbart::N,ссирссилтту,snor
13,Bart::N,чӏири,baard
14,Kinn::N,лунттубакӏ,kin
15,Kiefer[Anatomie]::N,ххинчулул,kaak
16,Kehle::N,кьакьари,keel
17,Kehle::N,кьакьари,strot
18,Hals::N,ссурссу,hals
19,Genick::N,махъабакӏ,nek
20,Kopf::N,бакӏ,hoofd
21,Rücken::N,ттиликӏ,rug
22,Bauch::N,лякьа,buik
23,Nabel::N,цӏумуккутӏ,navel
24,Busen::N,ккукку,boezem
25,Brust::N,хъазам,borst
26,Schulter::N,хъачӏ,schouder
27,Arm::N,ка,arm
28,Ellenbogen::N,ссюрхъ,elleboog
29,Hand::N,бартка,hand
30,Handfläche::N,хъат,handpalm
31,Handfläche::N,битӏянхъ,handpalm
32,Finger::N,кӏисса,vinger
33,Fingernagel::N,михь,nagel
34,Nagel[Anatomie]::N,михь,nagel
35,Zeh::N,кӏисса,teen
36,Fuß::N,чӏанччан,voet
37,Ferse::N,никъа,hak
38,Ferse::N,никъа,hiel
39,Knie::N,ник,knie
40,Oberschenkel::N,жира,dij
41,Bein::N,ччан,been
42,Körper::N,чурх,lichaam
43,Haut::N,бурчу,huid
44,Blut::N,оь,bloed
45,Ader::N,тунну,ader
46,Sehne::N,хьхьа,pees
47,Knochen::N,ттаркӏ,bot
48,Knochen::N,ттаркӏ,been
49,Knochen::N,ттаркӏ,knook
50,Gehirn::N,ня,hersenen
51,Herz::N,дакӏ,hart
52,Herz::N,къюкӏ,hart
53,Magen::N,лякьа,maag
54,Atem::N,ссихӏ ласаву,adem
55,Atem::N,ссихӏ бигьаву,adem
56,Hunger::N,ккаши,honger
57,Träne::N,макь,traan
58,Geschmack::N,тӏин,smaak
59,Geschmack::N,тӏааьн,smaak
60,Geruch::N,кьанкь,geur
61,Schlaf::N,шану,slaap
62,Traum::N,макӏру,droom
63,Himmel::N,ссав,hemel
64,Sonne::N,баргъ,zon
65,Mond::N,барз,maan
66,Stern::N,цӏуку,ster
67,Luft::N,гьава,lucht
68,Wind::N,марч,wind
69,Welle::N,щатӏи,golf
70,Wasser::N,щин,water
71,Stein::N,чару,steen
72,Boden::N,аьрщи,grond
73,Erde::N,аьрщи,aarde
74,Staub::N,ххит,stof
75,Rauch::N,пуркӏу,rook
76,Funke::N,пиягь,vonk
77,Feuer::N,цӏу,vuur
78,Licht::N,чани,licht
79,Schatten::N,ххют,schaduw
80,Wetter::N,гьава,weer
81,Nebel::N,шархь ттурлу,mist
82,Nebel::N,шархь ттурлу,nevel
83,Wolke::N,ттурлу,wolk
84,Regen::N,гъарал,regen
85,Schnee::N,марххала,sneeuw
86,Eis::N,микӏ,ijs
87,Frost::N,дяркъу,vorst
88,Frost::N,замгьар,vorst
89,Kälte::N,дяркъу,kou
90,Kälte::N,дяркъу,koude
91,Hitze::N,кӏиришиву,hitte
92,Raureif::N,сил,rijp
93,Raureif::N,бурса,rijp
94,Regenbogen::N,ссурул ккуртта,regenboog
95,Donner::N,къув,donder
96,Strömung::N,экьинанаву,stroming
97,Tropfen::N,кӏунтӏ,druppel
98,Schaum::N,хьама,schuim
99,Schmutz::N,кьяркьи,vuil
100,See::N,бяр,meer
101,Sumpf::N,кунцӏа,moeras
102,Wiese::N,кьан,wei
103,Wiese::N,кьан,weide
104,Wald::N,вацӏа,bos
105,Hügel::N,бакӏу,heuvel
106,Berg::N,зунтту,berg
107,Gipfel::N,мицӏ,top
108,Höhle::N,нух,hol
109,Abhang::N,сун,helling
110,Quelle::N,дайдихьу,bron
111,Quelle::N,бакӏ,bron
112,Bach::N,чӏрир нех,beek
113,Fluss::N,нех,stroom
114,Ufer::N,зума,wal
115,Ufer::N,зума,oever
116,Küste::N,зумаинхалу,kust
117,Küste::N,зуманицӏалу,kust
118,Festland::N,кьири,vasteland
119,Meer::N,хьхьири,zee
120,Insel::N,жазира,eiland
121,Blume::N,тӏутӏи,bloem
122,Gras::N,уртту,gras
123,Wurzel::N,мархха,wortel
124,Baum::N,мурхь,boom
125,Stamm::N,ттарцӏ,stam
126,Rinde::N,ккамара,schors
127,Ast::N,матӏи,tak
128,Zweig::N,къяртта,twijg
129,Blatt::N,чӏапӏи,blad
130,Birke::N,кӏялахӏи,berk
131,Birke::N,кӏялахӏилул мурхь,berk
132,Kiefer[Baum]::N,ттар,den
133,Kiefer[Baum]::N,ттарлил мурхь,den
134,Weide[Baum]::N,щавщи,wilg
135,Tanne::N,ттарлил мурхь,spar
136,Horn::N,хъи,hoorn
137,Feder::N,лелуххул тӏиму,veer
138,Feder::N,лелуххул тӏиму,pluim
139,Fell::N,бурчу,vel
140,Flügel::N,хъа,vleugel
141,Flügel::N,ххурупӏайрал тӏиму,vleugel
142,Klaue::N,михь,klauw
143,Kralle::N,ххяппа,klauw
144,Schwanz::N,магъ,staart
145,Ei::N,ккунук,ei
146,Nest::N,кюру,nest
147,Bau::N,цукъуккутӏ,hol
148,Tier::N,хӏайван,dier
149,Herde::N,газу,kudde
150,Kuh::N,оьл,koe
151,Bulle::N,ниц,stier
152,Pferd::N,чу,paard
153,Schaf::N,тта,schaap
154,Schwein::N,дунгъуз,varken
155,Hund::N,ккаччи,hond
156,Katze::N,ччиту,kat
157,Bär::N,цуша,beer
158,Eichhörnchen::N,бюрхттукку,eekhoorntje
159,Elch::N,ниц-бюрин,eland
160,Fuchs::N,цулчӏа,vos
161,Fuchs::N,куча цулчӏа,vos
162,Hase::N,бюрх,haas
163,Maus::N,кӏулу,muis
164,Wolf::N,барцӏ,wolf
165,Vogel::N,лелуххи,vogel
166,Schwarm::N,гьухъала,zwerm
167,Huhn::N,аьнакӏи,kip
168,Huhn::N,аьнакӏи,hoen
169,Hahn::N,ажари,haan
170,Gans::N,къаз,gans
171,Adler::N,барзу,arend
172,Ente::N,урдак,eend
173,Eule::N,ису,uil
174,Eule::N,ччиккумяв,uil
175,Kranich::N,кьурукь,kraanvogel
176,Krähe::N,хъатӏу,kraai
177,Kuckuck::N,ччикку,koekoek
178,Schwan::N,урттил къаз,zwaan
179,Fisch::N,чавахъ,vis
180,Schlange[Tier]::N,шатта,slang
181,Wurm::N,кьюнукьай шатта,worm
182,Spinne::N,ххялцу,spin
183,Ameise::N,митӏикьукьу,mier
184,Mücke::N,мичӏак,mug
185,Fliege::N,зимиз,vlieg
186,Schmetterling::N,чӏимучӏали,vlinder
187,Beere::N,хӏаллил ахъулсса,bes
188,Apfel::N,гьивч,appel
189,Pilz::N,ттуккул иис,paddestoel
190,Zwiebel::N,лаччул чсмусул бакӏ,ui
191,Saat::N,гьанна,zaad
192,Korn::N,къама,graan
193,Korn::N,къама,korrel
194,Heu::N,ххулув,hooi
195,Schale::N,ккиртту,schil
196,Grube::N,кӏаланг,kuil
197,Falle::N,къатӏа,val
198,Schlinge::N,хӏатӏ,strop
199,Spur::N,ша,spoor
200,Asche::N,лах,as
201,Dreck::N,кьяркьи,drek
202,Dreck::N,венп,drek
203,Eisen::N,мах,ijzer
204,Gold::N,муси,goud
205,Silber::N,арцу,zilver
206,Kohle::N,кӏалаш,kool
207,Kohle::N,хъуручӏ,kool
208,Glas::N,пюрун,glas
209,Lehm::N,сина аьрщи,klei
210,Sand::N,къун,zand
211,Mensch::N,инсан,mens
212,Mann::N,чув,man
213,Mann::N,адимина,man
214,Frau::N,щарсса,vrouw
215,Frau::N,хъамитайпа,vrouw
216,Kind::N,чӏиви оьрчӏ,kind
217,Junge::N,оьрчӏ,jongen
218,Junge::N,бурхьин оьрчӏ,jongen
219,Mädchen::N,душ,meisje
220,Familie::N,кулпат,gezin
221,Familie::N,кулпат,familie
222,Großvater::N,ттатта,grootvader
223,Großvater::N,ниттил ппу,grootvader
224,Großmutter::N,буттал нину,grootmoeder
225,Eltern::N,нину-ппу,ouders
226,Vater::N,ппу,vader
227,Mutter::N,нину,moeder
228,Sohn::N,арс,zoon
229,Tochter::N,душ,dochter
230,Bruder::N,уссу,broer
231,Bruder::N,уссу,broeder
232,Schwester::N,ссу,zus
233,Schwester::N,ссу,zuster
234,Onkel::N,буттауссу,oom
235,Tante::N,буттал ссу,tante
236,Ehemann::N,лас,echtgenoot
237,Ehefrau::N,щар,echtgenote
238,Ehefrau::N,щарсса,echtgenote
239,Freude::N,шадшиву,vreugde
240,Freude::N,ххаришиву,vreugde
241,Gelächter::N,хъяхъаву,gelach
242,Glück::N,талихӏ,geluk
243,Kummer::N,дард,verdriet
244,Wunsch::N,мурад,wens
245,Wunsch::N,мурад,verlangen
246,Lust::N,гьавас,zin
247,Lust::N,гьавас,lust
248,Lust::N,ччаву,zin
249,Lust::N,ччаву,lust
250,Geist::N,рухӏ,geest
251,Gedanke::N,пикри,gedachte
252,Gedächtnis::N,дакӏний личӏаву,geheugen
253,Verstand::N,аькьлу,verstand
254,Sinn::N,мяъна,betekenis
255,Grund::N,багьана,reden
256,Wahrheit::N,тӏайламур,waarheid
257,Wahrheit::N,хӏакьмур,waarheid
258,Gespräch::N,ихтилат,gesprek
259,Märchen::N,магьа,sprookje
260,Erzählung::N,хавар,verhaal
261,Nachricht::N,хавар,tijding
262,Neuigkeit::N,хавар,nieuws
263,Neuigkeit::N,хавар,nieuwtje
264,Name::N,цӏа,naam
265,Rätsel::N,ссигьа,raadsel
266,Rede::N,гъалгъа,rede
267,Sprache::N,маз,taal
268,Stimme::N,чӏу,stem
269,Stimme::N,чӏукӏа,stem
270,Wort::N,махъ,woord
271,Zeichen::N,лишан,teken
272,Lärm::N,чӏу,lawaai
273,Laut::N,чӏу,klank
274,Laut::N,чӏу,geluid
275,Ton::N,чӏу,toon
276,Ton::N,чӏу,klank
277,Lied::N,балай,lied
278,Ruhe::N,дигьалагру,rust
279,Ruhe::N,дигьалагру,stilte
280,Leute::N,инсантал,lui
281,Leute::N,инсантал,mensen
282,Volk::N,ил,volk
283,Volk::N,халкь,volk
284,Arbeit::N,заву,werk
285,Arbeit::N,заву,arbeid
286,Gast::N,хъамаличу,gast
287,Geschenk::N,бухчакарши,cadeau
288,Geschenk::N,бухчакарши,geschenk
289,Geschenk::N,лажинккакку,cadeau
290,Geschenk::N,лажинккакку,geschenk
291,Spiel::N,тӏуркӏу,spel
292,Gesellschaft::N,жямат,gezelschap
293,Gesellschaft::N,ккуран,gezelschap
294,Hilfe::N,кумаг,hulp
295,Freund::N,дус,vriend
296,Kamerad::N,хӏаласу,maat
297,Kamerad::N,хӏаласу,metgezel
298,Angelegenheit::N,иш,zaak
299,Angelegenheit::N,иш,aangelegenheid
300,Anzahl::N,аьдад,tal
301,Anzahl::N,аьдад,aantal
302,Art::N,жинс,slag
303,Art::N,жинс,soort
304,Stück::N,касак,stuk
305,Teil::N,бутӏа,deel
306,Hälfte::N,дачӏи,helft
307,Kreis::N,кюрщан,kring
308,Kreis::N,кюрщан,cirkel
309,Kreuz::N,ххач,kruis
310,Linie::N,щва,lijn
311,Strich::N,щва,haal
312,Strich::N,щва,streep
313,Abstand::N,манзил,afstand
314,Entfernung::N,манзил,afstand
315,Gegend::N,кӏану,streek
316,Ort::N,кӏану,oord
317,Ort::N,кӏану,plaats
318,Seite::N,чул,zij
319,Seite::N,чул,kant
320,Seite::N,чул,zijde
321,Seite::N,чулухалу,zij
322,Seite::N,чулухалу,kant
323,Seite::N,чулухалу,zijde
324,Mitte::N,дя,midden
325,Gegenstand::N,зат,voorwerp
326,Sache::N,зат,zaak
327,Rand::N,зума,rand
328,Rand::N,зума,boord
329,Ecke::N,мурцӏу,hoek
330,Spitze::N,мицӏ,punt
331,Spitze::N,мицӏ,spits
332,Ende::N,зума,einde
333,Ende::N,зума,uiteinde
334,Loch::N,ккутӏ,gat
335,Winkel::N,мурцӏу,hoek
336,Muster::N,накьич,dessin
337,Muster::N,накьич,patroon
338,Länge::N,лахъишиву,lengte
339,Höhe::N,лахъшиву,hoogte
340,Gewicht::N,дуццин,gewicht
341,Gewicht::N,кӏушиву,gewicht
342,Haufen::N,бакӏу,hoop
343,Reihe::N,кьюкьа,rij
344,Reihe::N,кьюкьа,reeks
345,Boot::N,луткка,boot
346,Ruder::N,весло,roeiriem
347,Ruder::N,чӏатӏа,roeiriem
348,Schlitten::N,чана,slee
349,Schlitten::N,чана,slede
350,Schlitten::N,санкка,slee
351,Schlitten::N,санкка,slede
352,Ski::N,лижарду,ski
353,Lagerfeuer::N,къавтӏн,kampvuur
354,Last::N,гьиву,last
355,Last::N,гьиву,vracht
356,Gang::N,нанаву,wandeling
