,Concept_ID,xal,da
0,Auge::N,нүдн,øje
1,Ohr::N,чикн,øre
2,Nase::N,хамр,næse
3,Mund::N,амн,mund
4,Zahn::N,шүдн,tand
5,Zunge::N,келн,tunge
6,Lippe::N,урл,læbe
7,Wange::N,халх,kind
8,Gesicht::N,нүр,ansigt
9,Stirn::N,маңна,pande
10,Haar::N,үсн,hår
11,Schnurrbart::N,сахл,overskæg
12,Bart::N,сахл,skæg
13,Bart::N,өргнә сахл,skæg
14,Kinn::N,өргн,hage
15,Kiefer[Anatomie]::N,өргн,kæbe
16,Kehle::N,хол,strube
17,Hals::N,күзүн,hals
18,Genick::N,гиҗг,nakke
19,Kopf::N,толһа,hoved
20,Rücken::N,нурһн,ryg
21,Bauch::N,гесн,mave
22,Nabel::N,киисн,navle
23,Busen::N,көкн,barm
24,Brust::N,чееҗ,bryst
25,Schulter::N,ээм,skulder
26,Arm::N,һар,arm
27,Ellenbogen::N,тоха,albue
28,Hand::N,баһлцг,hånd
29,Handfläche::N,альхн,håndflade
30,Finger::N,хурһн,finger
31,Finger::N,һарин хурһн,finger
32,Fingernagel::N,хумсн,fingernegl
33,Nagel[Anatomie]::N,хумсн,negl
34,Zeh::N,хурһн,tå
35,Zeh::N,көлин хурһн,tå
36,Fuß::N,тавг,fod
37,Ferse::N,өскә,hæl
38,Knie::N,өвдг,knæ
39,Oberschenkel::N,һуй,lår
40,Bein::N,көл,ben
41,Körper::N,махмуд,krop
42,Körper::N,махмуд,legeme
43,Haut::N,арсн,hud
44,Blut::N,цусн,blod
45,Ader::N,судцн,åre
46,Sehne::N,шүрүсн,sene
47,Knochen::N,ясн,ben
48,Gehirn::N,экн,hjerne
49,Herz::N,зүркн,hjerte
50,Magen::N,гесн,mave
51,Leber::N,элкн,lever
52,Atem::N,әмсхл,ånde
53,Hunger::N,харһнлһн,sult
54,Träne::N,нульмсн,tåre
55,Geschmack::N,амтн,smag
56,Geruch::N,үнр,lugt
57,Schlaf::N,нөр,søvn
58,Traum::N,зүүдн,drøm
59,Himmel::N,теңгр,himmel
60,Sonne::N,нарн,sol
61,Mond::N,сар,måne
62,Stern::N,одн,stjerne
63,Luft::N,аһар,luft
64,Wind::N,салькн,vind
65,Welle::N,дольган,bølge
66,Wasser::N,усн,vand
67,Stein::N,чолун,sten
68,Boden::N,Һазр,jord
69,Erde::N,Һазр,jord
70,Staub::N,тоосн,støv
71,Rauch::N,утан,røg
