,Concept_ID,te,ru
0,Auge::N,కన్ను,глаз
1,Ohr::N,చెవి,ухо
2,Nase::N,ముక్కు,нос
3,Mund::N,నోరు,рот
4,Zahn::N,పల్లు,зуб
5,Zunge::N,నాలుక,язык
6,Lippe::N,పెదవి,губа
7,Wange::N,చెంప,щека
8,Gesicht::N,ముఖము,лицо
9,Stirn::N,నుదురు,лоб
10,Haar::N,వెండ్రుక,волос
11,Haar::N,వెండ్రుక,волосы
12,Schnurrbart::N,మీసము,ус
13,Schnurrbart::N,మీసము,усы
14,Bart::N,గడ్డము,борода
15,Kinn::N,గడ్డము,подбородок
16,Kiefer[Anatomie]::N,దౌడ,челюсть
17,Kehle::N,గొంతు,горло
18,Hals::N,మెడ,шея
19,Genick::N,మూపు,затылок
20,Kopf::N,తల,голова
21,Rücken::N,వెన్ను,спина
22,Bauch::N,కడుపు,живот
23,Nabel::N,బొడ్డు,пупок
24,Busen::N,స్తనము,женская грудь
25,Brust::N,ఱొమ్ము,грудь
26,Schulter::N,భుజము,плечо
27,Arm::N,చేయి,рука
28,Ellenbogen::N,మోచేయి,локоть
29,Hand::N,చేయి,кисть
30,Handfläche::N,అరచేయు,ладонь
31,Finger::N,చేతిప్రేలు,палец
32,Fingernagel::N,గోరు,ноготь
33,Nagel[Anatomie]::N,గోరు,ноготь
34,Zeh::N,కాలిప్రేలు,палец
35,Fuß::N,అడుగు,ступня
36,Ferse::N,మడమ,пята
37,Ferse::N,మడమ,пятка
38,Knie::N,మోకాలు,колено
39,Oberschenkel::N,తొడ,бедро
40,Bein::N,కాలు,нога
41,Körper::N,కాయము,тело
42,Haut::N,చర్మము,кожа
43,Blut::N,రక్తము,кровь
44,Ader::N,సిర,вена
45,Ader::N,సిర,сосуд
46,Sehne::N,స్నాయువు,жила
47,Sehne::N,స్నాయువు,тетива
48,Sehne::N,స్నాయువు,сухожилие
49,Knochen::N,ఎముక,кость
50,Gehirn::N,మెదడు,мозг
51,Herz::N,హృదయము,сердце
52,Magen::N,కడుపు,желудок
53,Leber::N,కాలేయము,печень
54,Atem::N,ఉపిరి,дух
55,Atem::N,ఉపిరి,дыхание
56,Hunger::N,ఆకలి,голод
57,Träne::N,కన్నీటిచుక్క,слеза
58,Geschmack::N,రుచి,вкус
59,Geruch::N,వాసన,запах
60,Schlaf::N,నిద్ర,сон
61,Traum::N,కల,сновидение
62,Himmel::N,ఆకాశము,небо
63,Sonne::N,సూర్యుడు,солнце
64,Mond::N,చంద్రుడు,луна
65,Stern::N,నక్షత్రము,звезда
66,Luft::N,గాలి,воздух
67,Wind::N,వీచుచున్నగాలి,ветер
68,Welle::N,అల,волна
69,Wasser::N,నీరు,вода
70,Stein::N,ఱాయి,камень
71,Boden::N,నేల,почва
72,Erde::N,మన్ను,земля
73,Staub::N,దుమ్ము,пыль
74,Rauch::N,పొగ,дым
75,Funke::N,అగ్నికణము,искра
76,Feuer::N,అగ్ని,огонь
77,Licht::N,కాంతి,свет
78,Schatten::N,నీడ,тень
79,Wetter::N,వాతావరణ స్థితి,погода
80,Nebel::N,పొగమంచు,туман
81,Wolke::N,మేఘము,облако
82,Regen::N,వాన,дождь
83,Schnee::N,హిమము,снег
84,Eis::N,మంచుగడ్డ,лед
85,Frost::N,పేరిన మంచు,мороз
86,Kälte::N,చలి,холод
87,Hitze::N,వేడిమి,жара
88,Raureif::N,మంచు,иней
89,Regenbogen::N,ఇంద్రధనుస్సు,радуга
90,Donner::N,ఉరుము,гром
91,Strömung::N,ప్రవాహము,течение
92,Tropfen::N,చుక్క,капля
93,Schaum::N,నురుగు,пена
94,Schmutz::N,మైల,грязь
95,See::N,సరస్సు,озеро
96,Sumpf::N,చిత్తడినేల,топь
97,Moor::N,చిత్తడినేల,болото
98,Wiese::N,పచ్చిక బయలు,луг
99,Wald::N,అడవి,лес
100,Hügel::N,చివ్నకొండ,холм
101,Anhöhe::N,కొండ,возвышенность
102,Berg::N,పర్వతము,гора
103,Gipfel::N,శిఖరము,вершина
104,Höhle::N,గుహ,пещера
105,Abhang::N,ఏటవాలు,склон
106,Quelle::N,మూలము,источник
107,Bach::N,కాలువ,ручей
108,Fluss::N,నది,река
109,Ufer::N,తీరము,берег
110,Küste::N,తీరము,побережье
111,Festland::N,భూమి,суша
112,Meer::N,సముద్రము,море
113,Bucht::N,మరుగు,бухта
114,Insel::N,దీవి,остров
115,Blume::N,పుష్పము,цветок
116,Gras::N,పచ్చగడ్డి,трава
117,Wurzel::N,వేరు,корень
118,Baum::N,చెట్టు,дерево
119,Stamm::N,చెట్టుబోదె,ствол
120,Rinde::N,చెట్టుపట్ట,кора
121,Ast::N,కొమ్మ,сук
122,Zweig::N,చివుకు,ветвь
123,Blatt::N,ఆకు,лист
124,Birke::N,తరహా చెట్టు,береза
125,Kiefer[Baum]::N,దేవదారు చెట్టు,сосна
126,Weide[Baum]::N,జాతిచెట్టు,ива
127,Tanne::N,దేవదారుచెట్టు,ель
128,Horn::N,కొమ్ము,рог
129,Feder::N,ఈక,перо
130,Fell::N,తోలు,шкура
131,Flügel::N,ఱెక్క,крыло
132,Klaue::N,వంకరగోరు,коготь
133,Kralle::N,వంకరగోరు,лапа
134,Schwanz::N,తోక,хвост
135,Ei::N,గ్రుడ్డు,яйцо
136,Nest::N,పక్షిగూడు,гнездо
137,Bau::N,గుహ,нора
138,Tier::N,జంతువు,животное
139,Herde::N,మంద,стадо
140,Kuh::N,ఆవు,корова
141,Bulle::N,గిత్త,бык
142,Pferd::N,గుఱ్ఱము,лошадь
143,Schaf::N,గొఱ్ఱె,овца
144,Schwein::N,పంది,свинья
145,Hund::N,కుక్క,собака
146,Katze::N,పిల్లి,кошка
147,Bär::N,ఎలుగుబంటి,медведь
148,Eichhörnchen::N,ఉడుత,белка
149,Elch::N,కణంజు,лось
150,Fuchs::N,గుంటనక్క,лиса
151,Hase::N,కుందేలు,заяц
152,Maus::N,చిట్టెలుక,мышь
153,Wolf::N,తోడేలు,волк
154,Vogel::N,పక్షి,птица
155,Schwarm::N,గుంపు,стая
156,Huhn::N,కోడిపిల్ల,курица
157,Hahn::N,కోడివుంజు,петух
158,Gans::N,ఆడుబాతు,гусь
159,Adler::N,గ్రద్ద,орел
160,Ente::N,పాట్టిబాతు,утка
161,Eule::N,గ్రుడ్లగూబ,сова
162,Kranich::N,కొంగ,журавль
163,Krähe::N,కాకి,ворона
164,Kuckuck::N,కోయల,кукушка
165,Schwan::N,హంస,лебедь
166,Fisch::N,చేప,рыба
167,Barsch::N,ఒకచేఁప,окунь
168,Hecht::N,గండుమీను,щука
169,Schlange[Tier]::N,పాము,змея
170,Wurm::N,పురుగు,червяк
171,Spinne::N,సాలె పురుగు,паук
172,Ameise::N,చీమ,муравей
173,Laus::N,పేను,вошь
174,Mücke::N,చీకటీగ,комар
175,Fliege::N,ఈగ,муха
176,Schmetterling::N,సీతాకోకచిలుక,бабочка
177,Beere::N,కాయ,ягода
178,Apfel::N,ఆపిల్ పండు,яблоко
179,Pilz::N,కుక్కగొడుగు,гриб
180,Zwiebel::N,నీరుల్లి,луковица
181,Saat::N,విత్తనము,семя
182,Korn::N,గింజ,зерно
183,Heu::N,ఎండుగడ్డి,сено
184,Schale::N,పొట్టు,шелуха
185,Grube::N,గొయ్యి,яма
186,Falle::N,బోను,ловушка
187,Schlinge::N,ఉరి,силок
188,Spur::N,జాడ,след
189,Asche::N,బూడిద,зола
190,Asche::N,బూడిద,пепел
191,Dreck::N,ముఱికి,грязь
192,Eisen::N,ఇనుము,железо
193,Gold::N,బంగారము,золото
194,Silber::N,వెండి,серебро
195,Kohle::N,నేలబొగ్గు,уголь
196,Glas::N,గాజు,стекло
197,Lehm::N,బంకమన్ను,глина
198,Sand::N,ఇసుక,песок
199,Mensch::N,నరుడు,человек
200,Mann::N,పురుమడు,мужчина
