,Concept_ID,bg,ady
0,Auge::N,око,нэ
1,Ohr::N,ухо,тхьакӏу́м
2,Nase::N,нос,пэ
3,Mund::N,уста,жэ
4,Zahn::N,зъб,цэ
5,Zunge::N,език,бзэгу
6,Lippe::N,устна,ӏупшӏэ́
7,Wange::N,буза,нэкӏу́шъу
8,Gesicht::N,лице,нэ́гу
9,Gesicht::N,образ,нэ́гу
10,Stirn::N,чело,натӏэ́
11,Haar::N,коса,шъхьацы́
12,Haar::N,косъм,шъхьацы́
13,Schnurrbart::N,мустаци,
14,Bart::N,брада,жакӏэ́
15,Kinn::N,брада,жэкӏэпэпкъ
16,Kinn::N,брадичка,жэкӏэпэпкъ
17,Kiefer[Anatomie]::N,челюст,жэпкъы́
18,Kehle::N,гърло,чый
19,Hals::N,врат,пшъэ
20,Genick::N,тил,шъхьэпхэтыку
21,Kopf::N,глава,шъхьэ́
22,Rücken::N,гръб,кӏыбы́
23,Bauch::N,корем,ныбэ́
24,Nabel::N,пъп,
25,Busen::N,бозка,бгъэ́
26,Brust::N,гръд,бгъэ́
27,Schulter::N,рамо,блыпкъ
28,Schulter::N,плещи,блыпкъ
29,Arm::N,ръка,ӏэ
30,Ellenbogen::N,лакът,ӏэнтэ́гъу
31,Hand::N,ръка,ӏэтхьэцу
32,Hand::N,китка,ӏэтхьэцу
33,Handfläche::N,длан,ӏэ́гу
34,Finger::N,пръст,ӏэхъуа́мб
35,Fingernagel::N,нокът,ӏэбжъа́н
36,Nagel[Anatomie]::N,нокът,ӏэбжъа́н
37,Zeh::N,пръст на крак,ӏэхъуа́мб
38,Fuß::N,крак,лъэгу
39,Fuß::N,нога,лъэгу
40,Ferse::N,пета,лъэдакъэ
41,Knie::N,коляно,лъагуа́ндж
42,Oberschenkel::N,бедро,ко
43,Bein::N,крак,лъакъо́
44,Bein::N,нога,лъакъо́
45,Körper::N,тяло,пкъышъол
46,Haut::N,кожа,кӏы́шъу
47,Blut::N,кръв,лъы
48,Ader::N,вена,льытф
49,Ader::N,артерия,льытф
50,Sehne::N,жила,фэ
51,Sehne::N,сухожилие,фэ
52,Knochen::N,кост,къупшъхьэ́
53,Gehirn::N,мозък,куцӏы
54,Herz::N,сърце,гу
55,Magen::N,стомах,мышкӏу
56,Leber::N,черен дроб,шӏу
57,Atem::N,дишане,къэщэныр
58,Hunger::N,глад,гъаблэ́
59,Träne::N,сълза,нэпсы
60,Geschmack::N,вкус,ӏэшӏугъа́кӏ
61,Geruch::N,миризма,мэ
62,Schlaf::N,сън,пчыхьы́пӏ
63,Traum::N,сън,пчыхьы́пӏ
64,Himmel::N,небе,уашъо́
65,Sonne::N,слънце,тыгъэ
66,Mond::N,луна,мазэ
67,Mond::N,месец,мазэ
68,Stern::N,звезда,жъуагъо́
69,Luft::N,въздух,жьы
70,Wind::N,вятър,жьыбгъэ́
71,Welle::N,вълна,ор
72,Welle::N,вълна,оры
73,Wasser::N,вода,псы
74,Stein::N,камък,мыжъо́
75,Boden::N,земя,чӏ́ыгу
76,Boden::N,почва,чӏ́ыгу
77,Erde::N,земя,чӏ́ыгу
78,Erde::N,почва,чӏ́ыгу
79,Staub::N,прах,сап
80,Rauch::N,дим,ӏугъо́
81,Rauch::N,пушек,ӏугъо́
82,Funke::N,искра,мэшӏуа́ч
83,Feuer::N,огън,машӏо́
84,Licht::N,светлина,нэфы
85,Licht::N,светлина,нэфын
86,Schatten::N,сянка,жьау́
87,Schatten::N,сянка,ныбжьыкъу
88,Wetter::N,време,
89,Nebel::N,мъгла,пща́гъу
90,Wolke::N,облак,ошъуапщэ
91,Regen::N,дъжд,ощхы
92,Schnee::N,сняг,осы́
93,Eis::N,лед,мылы
94,Frost::N,мраз,
95,Kälte::N,студ,чъыӏэ́
96,Hitze::N,жега,фэба́е
97,Hitze::N,горещина,фэба́е
98,Raureif::N,скреж,
99,Raureif::N,слана,
100,Regenbogen::N,дъга, лэгъупэкъо́пс
101,Donner::N,гръм,шыблэ́
102,Strömung::N,течение,ток
103,Tropfen::N,капка,ткӏопс
104,Tropfen::N,капка,гъуаткӏу
105,Schaum::N,пяна,тхъурбэ
106,Schmutz::N,кал,псынжъы
107,Schmutz::N,мръсотия,псынжъы
108,See::N,езеро,хыку́м
109,See::N,езеро,псыхъура́й
110,Sumpf::N,блато,орыжъ
111,Moor::N,мочурище,орыжъ
112,Wiese::N,ливада,хъупӏэ́
113,Wiese::N,ливада,мэкъупӏ
114,Wald::N,гора,мэзы́
115,Hügel::N,рид,ӏуашъхь
116,Hügel::N,хълм,ӏуашъхь
117,Anhöhe::N,могила,чӏыӏэтыгъ
118,Anhöhe::N,възвишение,чӏыӏэтыгъ
119,Berg::N,планина,къушъхьэ́
120,Gipfel::N,връх,шыгу
121,Höhle::N,пещера,гъочӏэгъ
122,Abhang::N,склон,чапэ
123,Abhang::N,стръмнина,чапэ
124,Quelle::N,извор,псынэчэ́чъ
125,Bach::N,поток,псышкуашку
126,Fluss::N,река,псыхъо́
127,Ufer::N,бряг,нэпкъы
128,Küste::N,бряг,ӏушъо
129,Küste::N,крайбрежие,ӏушъо
130,Festland::N,суша,чӏл́ыгу
131,Meer::N,море,хы
132,Bucht::N,залив,хыблыгу
133,Insel::N,остров,хыгъэхъу́н
134,Blume::N,цвете,къэгъа́гь
135,Gras::N,трева,уцы́
136,Wurzel::N,корен,лъапсэ́
137,Baum::N,дърво,чъыгы́
138,Stamm::N,стъбло,пкъы
139,Rinde::N,кора,пхъашъо́
140,Ast::N,клон,куамэ
141,Zweig::N,клон,къутамэ́
142,Blatt::N,лист,тхьап
143,Birke::N,бреза,пчэн
144,Kiefer[Baum]::N,бор,сэснэй
145,Weide[Baum]::N,върба,пце́л
146,Tanne::N,ела,ель
147,Horn::N,рог,бжъэ
148,Feder::N,перо,къамӏы́й
149,Fell::N,кожа,шъо
150,Flügel::N,крило,тамэ́
151,Klaue::N,нокът,лъэбжъа́н
152,Kralle::N,нокът,лъакъо
153,Schwanz::N,опашка,кӏэ
154,Ei::N,яйце,кӏэнкӏэ́
155,Nest::N,гнездо,набгъо́
156,Bau::N,дупка,гъу
157,Bau::N,дупка,бы
158,Tier::N,животно,псэу́шъхь
159,Herde::N,стадо,ӏэхъогъу
160,Kuh::N,крава,чэмы́
161,Bulle::N,бик,цу
162,Pferd::N,кон,шы
163,Schaf::N,овца,мэлы́
164,Schwein::N,свиня,къо
165,Hund::N,куче,бьэ
166,Katze::N,котка,чэты́у
167,Bär::N,мечка,мышъэ́
168,Eichhörnchen::N,катерица,цызэ́
169,Elch::N,лос,лось
170,Fuchs::N,лисица,баджэ́
171,Hase::N,заек,тхьакӏумкӏы́хь
172,Maus::N,мишка,цыгъо́
173,Wolf::N,вълк,тыгъу́жъ
174,Vogel::N,птица,бзы́у
175,Schwarm::N,рой,отэр
176,Schwarm::N,рояк,отэр
177,Huhn::N,кокошка,чэты́
178,Hahn::N,петел,атакъэ́
179,Gans::N,гъска,къа́з
180,Adler::N,орел,
181,Ente::N,патица,псычэ́т
182,Eule::N,сова,тыгъурыгъу
183,Kranich::N,жерав,къэрэ́у
184,Krähe::N,врана,къолэ́жъ
185,Kuckuck::N,кукувица,куку́у
186,Schwan::N,лебед,
187,Fisch::N,риба,пцэжъы́й
188,Barsch::N,костур,тхыкъэц
189,Hecht::N,щука,лэнд
190,Schlange[Tier]::N,змия,блэ́
191,Wurm::N,червей,хьамлыу
192,Spinne::N,паяк,бэдж
193,Ameise::N,мравка,къамзэ́гу
194,Laus::N,въшка,цӏэ
195,Mücke::N,комар,аргъо́й
196,Fliege::N,муха,бадзэ́
197,Schmetterling::N,пеперуда,хьампӏыра́шъу
198,Beere::N,плод,маткӏо
199,Apfel::N,ябълка,мыӏэры́с
200,Pilz::N,гъба,хьаӏу
201,Zwiebel::N,лук,бжьыны́
202,Zwiebel::N,кромид,бжьыны́
203,Saat::N,семе,чылапхъ
204,Korn::N,зърно,цэ
205,Heu::N,сено,мэкъу
206,Schale::N,кора,кӏы́шъу
207,Grube::N,яма,машэ́
208,Grube::N,дупка,машэ́
209,Falle::N,примка,зэраубытырэ́ ӏэмэпсы́м
210,Schlinge::N,клуп,бзыуубыт
211,Spur::N,диря,ужы
212,Spur::N,диря,лъэуж
213,Spur::N,следа,ужы
214,Spur::N,следа,лъэуж
215,Asche::N,пепел,яжьэ́
216,Dreck::N,кал,псынжъы
217,Eisen::N,желязо,гыучӏы́
218,Eisen::N,желязо,къэнджа́л
219,Gold::N,злато,дышъэ́
220,Silber::N,сребро,тыжьы́н
221,Kohle::N,въглища,шӏомыкӏ
222,Glas::N,стъкло,апч
223,Lehm::N,глина,етӏагъо́
224,Sand::N,пясък,пшахъо
225,Mensch::N,човек,цӏыфы́
226,Mann::N,мъж,хъулъфы́гъ
227,Frau::N,жена,бӏылъфыгъэ́
228,Kind::N,дете,кӏэлэцӏы́кӏу
229,Junge::N,момче,кӏэлэцӏы́кӏу
230,Mädchen::N,момиче,пшъэшъэжъый
231,Familie::N,фамилия,быны́
232,Familie::N,фамилия,уна́гъу
233,Familie::N,семейство,быны́
234,Familie::N,семейство,уна́гъу
235,Großvater::N,дядо,тэтэ́жъ
236,Großmutter::N,баба,нэнэ́жъ
237,Eltern::N,родители,ны-тыхэ́р
238,Vater::N,баща,ты
