,Concept_ID,no,ce
0,Auge::N,øye,бӏаьрг
1,Ohr::N,øre,лерг
2,Nase::N,nese,мара
3,Mund::N,munn,бага
4,Zahn::N,tann,церг
5,Zunge::N,tunge,мотт
6,Lippe::N,leppe,балда
7,Wange::N,kinn,бесни
8,Gesicht::N,fjes,юьхь
9,Gesicht::N,ansikt,юьхь
10,Stirn::N,panne,хьаж
11,Haar::N,hår,мас
12,Schnurrbart::N,bart,мекх
13,Bart::N,skjegg,маж
14,Kinn::N,hake,чӏениг
15,Kiefer[Anatomie]::N,kjeve,мочхал
16,Kehle::N,strupe,къамкъарг
17,Hals::N,hals,ворта
18,Genick::N,nakke,кӏесаркӏаг
19,Kopf::N,hode,корта
20,Rücken::N,rygg,букъ
21,Bauch::N,buk,кийра
22,Bauch::N,mage,кийра
23,Nabel::N,navle,цӏонга
24,Busen::N,barm,зударийн накха
25,Brust::N,bryst,накха
26,Schulter::N,skulder,белш
27,Arm::N,arm,пхьарс
28,Ellenbogen::N,albue,пхьаьрсан гола
29,Hand::N,hånd,куьг
30,Handfläche::N,håndflate,кераюкъ
31,Finger::N,finger,пӏелг
32,Fingernagel::N,fingernegl,мӏара
33,Nagel[Anatomie]::N,negl,мӏара
34,Zeh::N,tå,кога пӏелг
35,Fuß::N,fot,ког
36,Ferse::N,hæl,кӏажа
37,Knie::N,kne,гола
38,Oberschenkel::N,lår,варе
39,Bein::N,bein,ког
40,Körper::N,kropp,хӏума
41,Körper::N,legeme,хӏума
42,Haut::N,hud,чкъор
43,Haut::N,skinn,чкъор
44,Blut::N,blod,цӏий
45,Ader::N,åre,пха
46,Sehne::N,sene,хьорзам
47,Knochen::N,bein,даьӏахк
48,Knochen::N,knokkel,даьӏахк
49,Gehirn::N,hjerne,хье
50,Herz::N,hjerte,дог
51,Magen::N,mage,зорх
52,Leber::N,lever,доӏах
53,Atem::N,pust,садеӏар
54,Hunger::N,sult,мацалла
55,Träne::N,tåre,бӏаьрхи
56,Geschmack::N,smak,чам
57,Geruch::N,lukt,хьожа
58,Schlaf::N,søvn,наб
59,Traum::N,drøm,гӏан
60,Himmel::N,himmel,стигал
61,Sonne::N,sol,малх
62,Mond::N,måne,бутт
63,Stern::N,stjerne,седа
64,Luft::N,luft,xӏаваъ
65,Wind::N,vind,мох
66,Welle::N,bølge,тулгӏе
67,Wasser::N,vann,хи
68,Stein::N,stein,тӏулг
69,Boden::N,bakke,цӏенкъа
70,Erde::N,jord,латта
71,Staub::N,støv,чан
72,Rauch::N,røyk,кӏур
73,Funke::N,gnist,суй
74,Feuer::N,ild,цӏе
75,Licht::N,lys,серло
76,Schatten::N,skygge,ӏиндагӏ
77,Wetter::N,vær,хенан хӏоттам
78,Nebel::N,tåke,дохк
79,Wolke::N,sky,марха
80,Regen::N,regn,догӏа
81,Schnee::N,snø,ло
82,Eis::N,is,ша
83,Frost::N,frost,шело
84,Kälte::N,kulde,шело
85,Hitze::N,hete,йовхо
86,Raureif::N,rimfrost,йис
87,Regenbogen::N,regnbue,стелаӏад
88,Donner::N,torden,ткъес
89,Strömung::N,strømning,дӏаэхар
90,Strömung::N,strømning,дӏасалелар
91,Tropfen::N,dråpe,тӏадам
92,Schaum::N,skum,чопа
93,Schmutz::N,søl,хатт
94,Schmutz::N,skitt,хатт
95,See::N,sjø,ӏам
96,Sumpf::N,sump,уьшал
97,Sumpf::N,myrlende,уьшал
98,Moor::N,myr,уьшал
99,Moor::N,myrhei,уьшал
100,Wiese::N,eng,бай
101,Wald::N,skog,хьун
102,Hügel::N,haug,гу
103,Hügel::N,haug,шу
104,Hügel::N,haug,барз
105,Hügel::N,bakke,гу
106,Hügel::N,bakke,шу
107,Hügel::N,bakke,барз
108,Anhöhe::N,haug,акъари
109,Anhöhe::N,bakke,акъари
110,Berg::N,berg,лам
111,Berg::N,fjell,лам
112,Gipfel::N,topp,бохь
113,Höhle::N,hule,хьех
114,Abhang::N,li,басе
115,Abhang::N,skråning,басе
116,Quelle::N,kilde,шовда
117,Bach::N,bekk,татол
118,Fluss::N,elv,хи
119,Ufer::N,bredd,хийист
