,Concept_ID,ar,cy
0,Auge::N,عين,llygad
1,Ohr::N,أذن,clust
2,Nase::N,أنف,trwyn
3,Mund::N,فم,ceg
4,Zahn::N,سن,dant
5,Zunge::N,لسان,tafod
6,Lippe::N,شفة,gwefus
7,Wange::N,خد,boch
8,Wange::N,وجنة,boch
9,Gesicht::N,وجه,wyneb
10,Stirn::N,جبين,talcen
11,Haar::N,شعر,blew
12,Schnurrbart::N,شارب,mwstas
13,Bart::N,لحية,barf
14,Kinn::N,ذقن,gên
15,Kiefer[Anatomie]::N,فك,gên
16,Kehle::N,حلق,gwddf
17,Hals::N,عنق,gwddf
18,Hals::N,رقبة,gwddf
19,Genick::N,قفا,gwar
20,Genick::N,قفا,gwegil
21,Kopf::N,رأس,pen
22,Rücken::N,ظهر,cefn
23,Bauch::N,بطن,bol
24,Nabel::N,سرة,bogail
25,Busen::N,ثدي,bron
26,Brust::N,صدر,brest
27,Schulter::N,كتف,ysgwydd
28,Arm::N,ذراع,braich
29,Ellenbogen::N,كوع,penelin
30,Hand::N,يد,llaw
31,Handfläche::N,كف,palf
32,Finger::N,إصبع,bys
33,Fingernagel::N,ظفر,ewin
34,Nagel[Anatomie]::N,ظفر,ewin
35,Zeh::N,إصبع القدم,bys troed
36,Fuß::N,قدم,troed
37,Ferse::N,كعب,sawdl
38,Knie::N,ركبة,glin
39,Oberschenkel::N,فخذ,clun
40,Bein::N,ساق,coes
41,Körper::N,جسم,corff
42,Haut::N,بشرة,croen
43,Blut::N,دم,gwaed
44,Ader::N,عرق,gwythïen
45,Sehne::N,طنب,gewyn
46,Knochen::N,عظم,asgwrn
47,Gehirn::N,دماغ,ymennydd
48,Herz::N,قلب,calon
49,Magen::N,معدة,cylla
50,Magen::N,معدة,stumog
51,Leber::N,كبد,iau
52,Atem::N,نفس,anadl
53,Hunger::N,جوع,newyn
54,Träne::N,دمعة,deigryn
55,Geschmack::N,طعم,cyflas
56,Geschmack::N,مذاق,cyflas
57,Geruch::N,رائحة,aroglau
58,Schlaf::N,نوم,cwsg
59,Schlaf::N,منام,cwsg
60,Traum::N,حلم,breuddwyd
61,Himmel::N,سماء,awyr
62,Sonne::N,شمس,haul
63,Mond::N,قمر,lleuad
64,Stern::N,نجم,seren
65,Stern::N,كوكب,seren
66,Luft::N,هواء,awyr
67,Wind::N,ريح,gwynt
68,Welle::N,موجة,ton
69,Wasser::N,ماء,dŵr
70,Stein::N,حجر,carreg
71,Boden::N,تراب,llawr
72,Erde::N,أرض,pridd
73,Staub::N,غبار,llwch
74,Rauch::N,دخان,mwg
75,Funke::N,شرارة,gwreichioni
76,Feuer::N,نار,tân
77,Licht::N,نور,golau
78,Licht::N,ضوء,golau
79,Schatten::N,ظل,cysgod
80,Schatten::N,فيء,cysgod
81,Wetter::N,جو,tywydd
82,Wetter::N,طقس,tywydd
83,Nebel::N,ضباب,niwl
84,Wolke::N,غيمة,cwmwl
85,Wolke::N,سحابة,cwmwl
86,Regen::N,مطر,glaw
87,Schnee::N,ثلج,ôd
88,Schnee::N,ثلج,eira
89,Eis::N,جليد,iâ
90,Frost::N,صقيع,rhew
91,Kälte::N,برد,oerni
92,Kälte::N,برد,annwyd
93,Hitze::N,حر,gwres
94,Hitze::N,حرارة,gwres
95,Raureif::N,صقيع,barrug
96,Regenbogen::N,قوس قزح,enfys
97,Donner::N,رعد,tyrfau
98,Strömung::N,تيار,cerrynt
99,Tropfen::N,قطرة,dafn
100,Tropfen::N,قطرة,diferyn
101,Schaum::N,زبد,ewyn
102,Schaum::N,رغوة,ewyn
103,Schmutz::N,وسخ,baw
104,Schmutz::N,وسخ,budreddi
105,See::N,بحيرة,llyn
106,Sumpf::N,مستنقع,cors
107,Moor::N,مستنقع,rhos
108,Wiese::N,مرج,dôl
109,Wald::N,غابة,coedwig
110,Hügel::N,تل,bryn
111,Anhöhe::N,تل,bryn
112,Berg::N,جبل,mynydd
113,Gipfel::N,قمة,copa
114,Höhle::N,كهف,ogof
115,Abhang::N,منحدر,llethr
116,Quelle::N,منبع,tarddiad
117,Quelle::N,منبع,ffynhonnell
118,Bach::N,مجرى,nant
119,Bach::N,مجرى,afonig
120,Bach::N,مجرى,cornant
121,Fluss::N,نهر,afon
122,Ufer::N,ضفة,glan
123,Küste::N,ساحل,traeth
124,Küste::N,ساحل,arfordir
125,Festland::N,بر,tir
126,Meer::N,بحر,môr
127,Bucht::N,خليج,bae
128,Insel::N,جزيرة,ynys
129,Blume::N,زهرة,blodyn
130,Gras::N,حشيش,glaswellt
131,Wurzel::N,أصل,gwreiddyn
132,Baum::N,شجرة,coeden
133,Stamm::N,جذع,colfen
134,Stamm::N,جذع,boncyff
135,Rinde::N,قشرة,rhisgl
136,Ast::N,فرع,cangen
137,Zweig::N,غصن,cainc
138,Zweig::N,غصن,cangen
139,Blatt::N,ورقة,deilen
140,Birke::N,قضبان,bedwen
141,Kiefer[Baum]::N,صنوبرة,pinwydden
142,Weide[Baum]::N,صفصاف,helygen
143,Tanne::N,شوح,ffynidwydden
144,Tanne::N,تبوب,ffynidwydden
145,Horn::N,قرن,corn
146,Feder::N,ريشة,plufyn
147,Fell::N,فرو,ffwr
148,Flügel::N,جناح,adain
149,Klaue::N,مخلب,crafanc
150,Kralle::N,مخلب,ewin
151,Schwanz::N,ذيل,cwt
152,Schwanz::N,ذيل,cynffon
153,Ei::N,بيض,wy
154,Nest::N,عش,nyth
155,Bau::N,جحر,ffau
156,Tier::N,حيوان,anifail
157,Herde::N,قطيع,praidd
158,Herde::N,قطيع,diadell
159,Kuh::N,بقرة,buwch
160,Bulle::N,ثور,tarw
161,Pferd::N,خيل,ceffyl
162,Schaf::N,شاة,dafad
163,Schwein::N,خنزير,mochyn
164,Hund::N,كلب,ci
165,Katze::N,قطة,cath
166,Bär::N,دب,arth
167,Eichhörnchen::N,سنجاب,gwiwer
168,Elch::N,موظ,elc
169,Fuchs::N,ثعلب,cadno
170,Hase::N,أرنب,ysgyfarnog
171,Maus::N,فأرة,llygoden
172,Wolf::N,ذئب,blaidd
173,Vogel::N,طير,aderyn
174,Schwarm::N,سرب,haid
175,Huhn::N,دجاجة,cyw
176,Hahn::N,ديك,ceiliog
177,Gans::N,وزة,gŵydd
178,Adler::N,نسر,eryr
179,Ente::N,بطة,hwyad
180,Eule::N,بوم,tylluan
181,Kranich::N,كركي,garan
182,Kranich::N,كركي,crychydd
183,Krähe::N,غراب,brân
184,Kuckuck::N,وقواق,cog
185,Kuckuck::N,وقواق,cwcw
186,Schwan::N,إوز عراقي,alarch
187,Fisch::N,سمك,pysgod
188,Barsch::N,فرخ أوربي,draenog
189,Hecht::N,سمك الكراكي,penhwyad
190,Schlange[Tier]::N,حية,neidr
191,Schlange[Tier]::N,ثعبان,neidr
192,Wurm::N,دودة,abwydyn
193,Wurm::N,دودة,pryf genwair
194,Spinne::N,عنكبوت,cor
195,Spinne::N,عنكبوت,pryf copyn
196,Ameise::N,نملة,morgrugyn
197,Laus::N,قملة,lleuen
198,Mücke::N,ناموسة,gwybedyn
199,Fliege::N,ذبابة,cleren
200,Schmetterling::N,فراشة,glöyn byw
201,Schmetterling::N,فراشة,iâr fach yr haf
202,Beere::N,حبة,aeronen
203,Apfel::N,تفاح,afal
204,Pilz::N,فطر,madarch
205,Zwiebel::N,بصل,nionyn
206,Zwiebel::N,بصل,winwnsyn
207,Saat::N,زرع,had
208,Korn::N,حبة,grawn
209,Heu::N,دريس,gwair
210,Schale::N,قشرة,croen
211,Schale::N,قشرة,plisgyn
212,Grube::N,نقرة,pwll
213,Grube::N,نقرة,pydew
214,Falle::N,فخ,magl
215,Falle::N,مصيدة,magl
216,Schlinge::N,عروة,cwlwm rhedeg
217,Spur::N,أثر,ôl
218,Asche::N,رماد,lludw
219,Dreck::N,قذر,baw
220,Dreck::N,قذر,budreddi
221,Eisen::N,حديد,haearn
