,Concept_ID,hi,ba
0,Auge::N,आँख,күҙ
1,Auge::N,चक्षु,күҙ
2,Ohr::N,कान,ҡолаҡ
3,Ohr::N,कर्ण,ҡолаҡ
4,Nase::N,नाक,танау
5,Nase::N,नासा,танау
6,Mund::N,मुख,ауыҙ
7,Mund::N,मुँह,ауыҙ
8,Zahn::N,दंत,теш
9,Zahn::N,दाँत,теш
10,Zunge::N,जीभ,тел
11,Zunge::N,ज़बान,тел
12,Zunge::N,जिह्वा,тел
13,Lippe::N,ओंठ,ирен
14,Lippe::N,होंठ,ирен
15,Wange::N,गाल,яцаҡтар
16,Wange::N,कपोल,яцаҡтар
17,Gesicht::N,मुँह,бит
18,Gesicht::N,चेहरा,бит
19,Stirn::N,माथा,маңлай
20,Stirn::N,मस्तक,маңлай
21,Haar::N,बाल,сәс
22,Schnurrbart::N,मूँछें,мылтыҡ
23,Bart::N,दाढ़ी,һаҡал
24,Kinn::N,चिबुक,эйэк
25,Kiefer[Anatomie]::N,जबड़ा,яңаҡ һөйәге
26,Kehle::N,गला,тамаҡ
27,Hals::N,गला,муйын
28,Hals::N,गरदन,муйын
29,Genick::N,गरदन,соңҡа
30,Genick::N,ग्रीवा,соңҡа
31,Kopf::N,सिर,баш
32,Kopf::N,शीर्ष,баш
33,Rücken::N,पीठ,арҡа
34,Bauch::N,उदर,ҡорһаҡ
35,Nabel::N,नाभि,кендек
36,Nabel::N,ढोंढी,кендек
37,Busen::N,कुच,күкрәк
38,Busen::N,स्तन,күкрәк
39,Brust::N,वक्ष,түш
40,Schulter::N,कंधा,яурын
41,Schulter::N,स्कंध,яурын
42,Arm::N,बाँह,ҡул
43,Arm::N,बाज़ू,ҡул
44,Ellenbogen::N,कुहनी,терһәк
45,Hand::N,हाथ,ҡул
46,Hand::N,हाथ,ҡул суғы
47,Hand::N,हस्त,ҡул
48,Hand::N,हस्त,ҡул суғы
49,Handfläche::N,हथेली,ус төбө
50,Finger::N,उँगली,бармаҡ
51,Finger::N,अँगुली,бармаҡ
52,Fingernagel::N,नख,тырнаҡ
53,Fingernagel::N,नाख़ून,тырнаҡ
54,Nagel[Anatomie]::N,नख,тырнаҡ
55,Nagel[Anatomie]::N,नाख़ून,тырнаҡ
56,Zeh::N,उँगली,бармаҡ
57,Zeh::N,पाँव की उँगली,бармаҡ
58,Fuß::N,चरण,табан
59,Fuß::N,पाँव,табан
60,Ferse::N,एड़ी,үксә
61,Knie::N,जानु,тубыҡ
62,Knie::N,घुटना,тубыҡ
63,Oberschenkel::N,उरु,сандыр
64,Bein::N,टाँग,аяҡ
65,Körper::N,तन,тән
66,Körper::N,देह,тән
67,Körper::N,शरीर,тән
68,Haut::N,चर्म,тире
69,Haut::N,त्वचा,тире
70,Blut::N,लहू,ҡан
71,Blut::N,ख़ून,ҡан
72,Ader::N,रग,тамыр
73,Ader::N,शिरा,тамыр
74,Sehne::N,कंडरा,һеңер
75,Sehne::N,कंडरा,тарамыш
76,Sehne::N,स्नायु,һеңер
77,Sehne::N,स्नायु,тарамыш
78,Knochen::N,अस्थि,һойәк
79,Gehirn::N,दिमाग़,мейе
80,Gehirn::N,मस्तिष्क,мейе
81,Herz::N,दिल,йорәк
82,Herz::N,हृदय,йорәк
83,Magen::N,मेदा,ашҡаҙан
84,Magen::N,अमाशय,ашҡаҙан
85,Leber::N,जिगर,бауыр
86,Leber::N,यकृत्,бауыр
87,Atem::N,दम,һулыш
88,Atem::N,साँस,һулыш
89,Atem::N,श्वास,һулыш
90,Hunger::N,भूख,аслыҡ
91,Hunger::N,क्षुधा,аслыҡ
92,Träne::N,आँसू,күҙ иәше
93,Träne::N,अश्रु,күҙ иәше
94,Geschmack::N,स्वाद,тәм
95,Geschmack::N,ज़ायक़ा,тәм
96,Geruch::N,बू,еҫ
97,Geruch::N,गंध,еҫ
98,Schlaf::N,नींद,йоҡлау
99,Schlaf::N,निद्रा,йоҡлау
100,Traum::N,सपना,төш
101,Traum::N,स्वप्न,төш
102,Himmel::N,आकाश,күк
103,Himmel::N,आसमान,күк
104,Sonne::N,रवि,ҡояш
105,Sonne::N,सूरज,ҡояш
106,Sonne::N,सूर्य,ҡояш
107,Mond::N,चाँद,ай
108,Mond::N,चंद्र,ай
109,Stern::N,तारा,йондоҙ
110,Stern::N,सितारा,йондоҙ
111,Luft::N,हवा,һауа
112,Luft::N,वायु,һауа
113,Wind::N,पाद,ел
114,Welle::N,लहर,тулҡын
115,Welle::N,तरंग,тулҡын
116,Wasser::N,जल,һыу
117,Wasser::N,पानी,һыу
118,Stein::N,पत्थर,таш
119,Boden::N,मिट्टी,тупраҡ
120,Erde::N,भूमि,балсҡ
121,Erde::N,ज़मीन,балсҡ
122,Staub::N,धूल,туҙан
123,Rauch::N,धूआँ,төтөн
124,Rauch::N,धुम्र,төтөн
125,Funke::N,चिनगारी,осҡон
126,Funke::N,स्फुलिंग,осҡон
127,Feuer::N,आग,ут
128,Feuer::N,आतिश,ут
129,Feuer::N,अग्नि,ут
130,Licht::N,रोशनी,яҡтылыҡ
131,Licht::N,प्रकाश,яҡтылыҡ
132,Schatten::N,छाया,күләгә
133,Schatten::N,परछाई,күләгә
134,Wetter::N,ऋतु,һауа торошо
135,Wetter::N,मौसम,һауа торошо
136,Nebel::N,धुँध,төман
137,Nebel::N,कुहरा,төман
138,Wolke::N,मेघ,болот
139,Wolke::N,अभ्र,болот
140,Regen::N,मेंह,ямғыр
141,Regen::N,बारिश,ямғыр
142,Schnee::N,हिम,ҡар
143,Schnee::N,बर्फ़,ҡар
144,Eis::N,हिम,боҙ
145,Eis::N,बर्फ़,боҙ
146,Frost::N,ठंड,һалҡын
147,Kälte::N,सर्दी,һыуыҡ
148,Kälte::N,शीतलता,һыуыҡ
149,Hitze::N,ताप,томра
150,Hitze::N,ताप,эҫелек
151,Hitze::N,गरमी,томра
152,Hitze::N,गरमी,эҫелек
153,Raureif::N,पाला,ҡырау
154,Regenbogen::N,इंद्र-धनुष,йәйғор
155,Donner::N,गरज,күк күкрәү
156,Donner::N,मेघ-गर्जन,күк күкрәү
157,Strömung::N,बहाव,ағым
158,Strömung::N,प्रवाह,ағым
159,Tropfen::N,बूँद,тамсы
160,Schaum::N,झाग,күбек
161,Schmutz::N,गंद,батҡаҡ
162,Schmutz::N,कीचड़,батҡаҡ
163,See::N,झील,күл
164,See::N,सरोवर,күл
165,Sumpf::N,दलदल,һаҙлык
166,Sumpf::N,धँसान,һаҙлык
167,Moor::N,झाबर,һаҙ
168,Moor::N,धँसान,һаҙ
169,Wiese::N,घास-स्थल,болон
170,Wald::N,जंगल,урман
171,Hügel::N,टीला,түбә
172,Hügel::N,पहाड़,түбә
173,Anhöhe::N,टीला,түбә
174,Anhöhe::N,टीला,ҡалҡыулыҡ
175,Anhöhe::N,पहाड़ी,түбә
176,Anhöhe::N,पहाड़ी,ҡалҡыулыҡ
177,Berg::N,पहाड़,тау
178,Gipfel::N,शिखर,түбә
179,Höhle::N,गुहा,мәмерйә
180,Höhle::N,गुफ़ा,мәмерйә
181,Abhang::N,ढाल,ипкен
182,Abhang::N,ढलान,ипкен
183,Quelle::N,चश्मा,шишмә
184,Bach::N,सोता,шишмә
185,Bach::N,नदिका,шишмә
186,Fluss::N,नदी,йылға
187,Fluss::N,सरिता,йылға
188,Ufer::N,तट,яр
189,Ufer::N,किनारा,яр
190,Küste::N,समुद्र-तट,яр буйы
191,Festland::N,महाद्वीप,ҡоро ер
192,Meer::N,सागर,диңгез
193,Meer::N,समुद्र,диңгез
194,Bucht::N,खाड़ी,бухта
195,Insel::N,टापू,үтрау
196,Insel::N,द्वीप,үтрау
197,Blume::N,फूल,сәскә
198,Blume::N,पुष्प,сәскә
199,Gras::N,घास,үлән
200,Wurzel::N,मूल,тамыр
201,Baum::N,पेड़,ағас
202,Baum::N,वृक्ष,ағас
203,Stamm::N,धड़,олон
204,Stamm::N,धड़,көбәк
205,Rinde::N,छाल,ҡабыҡ
206,Rinde::N,वल्कल,ҡабыҡ
207,Ast::N,डाल,ботаҡ
208,Ast::N,शाखा,ботаҡ
209,Zweig::N,टहनी,ботаҡ
210,Zweig::N,टहनी,тармаҡ
211,Blatt::N,पत्र,япраҡ
212,Blatt::N,पत्ता,япраҡ
213,Birke::N,भूर्ज,ҡайын
214,Kiefer[Baum]::N,पाइन-वृक्ष,ҡарғай
215,Weide[Baum]::N,बेंत,тал
216,Tanne::N,फ़र,шыршы
217,Horn::N,सींग,мөғөҙ
218,Horn::N,विषाण,мөғөҙ
219,Feder::N,पर,ҡауырһын
220,Feder::N,पंख,ҡауырһын
221,Fell::N,खाल,тире
222,Fell::N,पशु-चर्म,тире
223,Flügel::N,पंख,ҡанат
224,Flügel::N,डैना,ҡанат
225,Klaue::N,पंजा,тырнаҡ
226,Kralle::N,पंजा,аяҡ
227,Kralle::N,नाख़ून,аяҡ
228,Schwanz::N,पूँछ,ҡойроҡ
229,Ei::N,अंडा,йомортҡа
230,Nest::N,नीड़,оя
231,Nest::N,घोंसला,оя
232,Bau::N,बिल,оң
233,Bau::N,माँद,оң
234,Tier::N,पशु,жайуан
235,Tier::N,पशु,йыртҡыс
236,Tier::N,जानवर,жайуан
237,Tier::N,जानवर,йыртҡыс
238,Herde::N,गल्ला,көтөү
239,Kuh::N,गौ,һыйыр
240,Kuh::N,गाय,һыйыр
241,Bulle::N,साँड़,үгеҙ
242,Pferd::N,अश्व,ат
243,Pferd::N,घोड़ा,ат
244,Schaf::N,भेड़,һарыҡ
245,Schwein::N,शूकर,сусҡа
246,Hund::N,श्वान,эт
247,Hund::N,कुत्ता,эт
248,Katze::N,बिल्ली,бесәй
249,Bär::N,रीछ,айыу
250,Bär::N,भालू,айыу
251,Eichhörnchen::N,गिलहरी,тейен
252,Elch::N,एल्क,мышы
253,Fuchs::N,लोमड़ी,төлкө
254,Hase::N,खरहा,ҡуян
255,Hase::N,ख़रगोश,ҡуян
256,Maus::N,मूष,сысҡан
257,Maus::N,चूहा,сысҡан
258,Wolf::N,वृक,бүре
259,Wolf::N,भेड़िया,бүре
260,Vogel::N,पक्षी,ҡош
261,Vogel::N,चिड़िया,ҡош
262,Schwarm::N,झुंड,көтөү
263,Huhn::N,मुर्ग़ी,тауыҡ
264,Hahn::N,मुर्ग़ा,әтәс
265,Gans::N,हंस,ҡаҙ
266,Gans::N,हंसिनी,ҡаҙ
267,Adler::N,उक़ाब,бөркөт
268,Ente::N,बतख़,өйрәк
269,Ente::N,बत्तक,өйрәк
270,Eule::N,उल्लू,өкө
271,Eule::N,उल्लू,ябалаҡ
272,Kranich::N,सारस,торна
273,Kranich::N,क्रौंंच,торна
274,Krähe::N,काक,ҡарға
275,Kuckuck::N,कोयल,кәкүк
276,Kuckuck::N,कोकिल,кәкүк
277,Schwan::N,हंस,аҡҡош
278,Schwan::N,मराल,аҡҡош
279,Fisch::N,मछली,балыҡ
280,Fisch::N,मत्स्य,балыҡ
281,Barsch::N,पर्च,алабуға
282,Hecht::N,पाइक,суртан
283,Schlange[Tier]::N,सर्प,йылан
284,Wurm::N,कृमि,селяүсен
285,Wurm::N,कीड़ा,селяүсен
286,Spinne::N,लूता,үрмәксе
287,Spinne::N,मकड़ी,үрмәксе
288,Ameise::N,चींटी,ҡырмыҫҡа
289,Laus::N,जूँ,бет
290,Mücke::N,डाँस,серәкәй
291,Fliege::N,मक्खी,себен
292,Fliege::N,मक्षिका,себен
293,Schmetterling::N,तितली,күбәләк
294,Beere::N,बेरी,еләк
295,Apfel::N,सेब,алма
296,Pilz::N,खुंबी,бәшмәк
