,Concept_ID,cy,ro
0,Auge::N,llygad,ochi
1,Ohr::N,clust,ureche
2,Nase::N,trwyn,nas
3,Mund::N,ceg,gură
4,Zahn::N,dant,dinte
5,Zunge::N,tafod,limbă
6,Lippe::N,gwefus,buză
7,Wange::N,boch,bucă
8,Wange::N,boch,obraz
9,Gesicht::N,wyneb,față
10,Gesicht::N,wyneb,figură
11,Stirn::N,talcen,frunte
12,Haar::N,blew,păr
13,Schnurrbart::N,mwstas,mustață
14,Bart::N,barf,barbă
15,Kinn::N,gên,bărbie
16,Kiefer[Anatomie]::N,gên,falcă
17,Kehle::N,gwddf,beregată
18,Hals::N,gwddf,gât
19,Genick::N,gwar,ceafă
20,Genick::N,gwegil,ceafă
21,Kopf::N,pen,cap
22,Rücken::N,cefn,dos
23,Rücken::N,cefn,spate
24,Rücken::N,cefn,spinare
25,Bauch::N,bol,burtă
26,Bauch::N,bol,pântece
27,Nabel::N,bogail,buric
28,Busen::N,bron,sân
29,Brust::N,brest,piept
30,Schulter::N,ysgwydd,umăr
31,Schulter::N,ysgwydd,spate
32,Arm::N,braich,braț
33,Ellenbogen::N,penelin,cot
34,Hand::N,llaw,mână
35,Handfläche::N,palf,palmă
36,Finger::N,bys,deget
37,Fingernagel::N,ewin,unghie
38,Nagel[Anatomie]::N,ewin,unghie
39,Zeh::N,bys troed,deget de la picior
40,Fuß::N,troed,picior
41,Ferse::N,sawdl,călcâi
42,Knie::N,glin,genunchi
43,Oberschenkel::N,clun,coapsă
44,Bein::N,coes,picior
45,Körper::N,corff,corp
46,Haut::N,croen,piele
47,Blut::N,gwaed,sânge
48,Ader::N,gwythïen,vână
49,Ader::N,gwythïen,arteră
50,Sehne::N,gewyn,tendon
51,Knochen::N,asgwrn,os
52,Gehirn::N,ymennydd,creier
53,Herz::N,calon,inimă
54,Magen::N,cylla,stomac
55,Magen::N,stumog,stomac
56,Leber::N,iau,ficat
57,Atem::N,anadl,răsuflare
58,Atem::N,anadl,respirație
59,Hunger::N,newyn,foame
60,Träne::N,deigryn,lacrimă
61,Geschmack::N,cyflas,gust
62,Geruch::N,aroglau,miros
63,Schlaf::N,cwsg,somn
64,Traum::N,breuddwyd,vis
65,Himmel::N,awyr,cer
66,Sonne::N,haul,soare
67,Mond::N,lleuad,lună
68,Stern::N,seren,stea
69,Luft::N,awyr,aer
70,Wind::N,gwynt,vânt
71,Welle::N,ton,val
72,Welle::N,ton,undă
73,Wasser::N,dŵr,apă
74,Stein::N,carreg,piatră
75,Boden::N,llawr,sol
76,Boden::N,llawr,pământ
77,Erde::N,pridd,pământ
78,Staub::N,llwch,praf
79,Rauch::N,mwg,fum
80,Funke::N,gwreichioni,scânteie
81,Feuer::N,tân,foc
82,Licht::N,golau,lumină
83,Schatten::N,cysgod,umbră
84,Wetter::N,tywydd,timp
85,Wetter::N,tywydd,vreme
86,Nebel::N,niwl,ceață
87,Nebel::N,niwl,negură
88,Wolke::N,cwmwl,nor
89,Regen::N,glaw,ploaie
90,Schnee::N,ôd,zăpadă
91,Schnee::N,eira,zăpadă
92,Eis::N,iâ,gheață
93,Frost::N,rhew,ger
94,Kälte::N,oerni,frig
95,Kälte::N,annwyd,frig
96,Hitze::N,gwres,arșiță
97,Hitze::N,gwres,căldură
98,Raureif::N,barrug,chiciură
99,Regenbogen::N,enfys,curcubeu
100,Donner::N,tyrfau,tunet
101,Strömung::N,cerrynt,curent
102,Tropfen::N,dafn,picătură
103,Tropfen::N,diferyn,picătură
104,Schaum::N,ewyn,spumă
105,Schmutz::N,baw,murdărie
106,Schmutz::N,budreddi,murdărie
107,See::N,llyn,lac
108,Sumpf::N,cors,mlaștină
109,Moor::N,rhos,bărăgan
110,Wiese::N,dôl,fânaț
111,Wiese::N,dôl,livadă
112,Wald::N,coedwig,codru
113,Wald::N,coedwig,pădure
114,Hügel::N,bryn,deal
115,Hügel::N,bryn,movilă
116,Anhöhe::N,bryn,deal
117,Anhöhe::N,bryn,ridicătură
118,Berg::N,mynydd,munte
119,Gipfel::N,copa,pisc
120,Höhle::N,ogof,peșteră
121,Abhang::N,llethr,pantă
122,Abhang::N,llethr,versant
123,Quelle::N,tarddiad,izvor
124,Quelle::N,ffynhonnell,izvor
125,Bach::N,nant,gârlă
126,Bach::N,afonig,gârlă
127,Bach::N,cornant,gârlă
128,Fluss::N,afon,râu
129,Fluss::N,afon,fluviu
130,Ufer::N,glan,mal
131,Ufer::N,glan,țărm
132,Küste::N,traeth,coastă
133,Küste::N,arfordir,coastă
134,Festland::N,tir,uscat
135,Meer::N,môr,mare
136,Bucht::N,bae,golf
137,Insel::N,ynys,insulă
138,Blume::N,blodyn,floare
139,Gras::N,glaswellt,iarbă
140,Wurzel::N,gwreiddyn,rădăcină
141,Baum::N,coeden,copac
142,Baum::N,coeden,arbore
143,Stamm::N,colfen,tulpină
144,Stamm::N,boncyff,tulpină
