,Concept_ID,ps,hi
0,Auge::N,سترګه,आँख
1,Auge::N,سترګه,चक्षु
2,Ohr::N,غوږ,कान
3,Ohr::N,غوږ,कर्ण
4,Nase::N,پوزه,नाक
5,Nase::N,پوزه,नासा
6,Mund::N,خوله,मुख
7,Mund::N,خوله,मुँह
8,Zahn::N,غاښ,दंत
9,Zahn::N,غاښ,दाँत
10,Zunge::N,جبه,जीभ
11,Zunge::N,جبه,ज़बान
12,Zunge::N,جبه,जिह्वा
13,Lippe::N,شونډه,ओंठ
14,Lippe::N,شونډه,होंठ
15,Wange::N,باړخو,गाल
16,Wange::N,باړخو,कपोल
17,Gesicht::N,مخ,मुँह
18,Gesicht::N,مخ,चेहरा
19,Stirn::N,تندی,माथा
20,Stirn::N,تندی,मस्तक
21,Stirn::N,وچولی,माथा
22,Stirn::N,وچولی,मस्तक
23,Haar::N,وېښته,बाल
24,Schnurrbart::N,برېت,मूँछें
25,Bart::N,ږیره,दाढ़ी
26,Kinn::N,زنه,चिबुक
27,Kiefer[Anatomie]::N,جامه,जबड़ा
28,Kehle::N,غاړه,गला
29,Hals::N,غاړه,गला
30,Hals::N,غاړه,गरदन
31,Genick::N,ورمېږ,गरदन
32,Genick::N,ورمېږ,ग्रीवा
33,Kopf::N,سر,सिर
34,Kopf::N,سر,शीर्ष
35,Rücken::N,شا,पीठ
36,Bauch::N,نس,उदर
37,Bauch::N,ګېډه,उदर
38,Nabel::N,نوم,नाभि
39,Nabel::N,نوم,ढोंढी
40,Busen::N,تی,कुच
41,Busen::N,تی,स्तन
42,Brust::N,سینه,वक्ष
43,Schulter::N,اوږه,कंधा
44,Schulter::N,اوږه,स्कंध
45,Arm::N,لاس,बाँह
46,Arm::N,لاس,बाज़ू
47,Ellenbogen::N,څنګل,कुहनी
48,Hand::N,لاس,हाथ
49,Hand::N,لاس,हस्त
50,Handfläche::N,ورغوی,हथेली
51,Finger::N,ګوته,उँगली
52,Finger::N,ګوته,अँगुली
53,Fingernagel::N,نوک,नख
54,Fingernagel::N,نوک,नाख़ून
55,Nagel[Anatomie]::N,نوک,नख
56,Nagel[Anatomie]::N,نوک,नाख़ून
57,Zeh::N,ګوته,उँगली
58,Zeh::N,ګوته,पाँव की उँगली
59,Fuß::N,پښه,चरण
60,Fuß::N,پښه,पाँव
61,Ferse::N,پونده,एड़ी
62,Knie::N,زنګون,जानु
63,Knie::N,زنګون,घुटना
64,Oberschenkel::N,پتون,उरु
65,Bein::N,پښه,टाँग
66,Körper::N,ځان,तन
67,Körper::N,ځان,देह
68,Körper::N,ځان,शरीर
69,Haut::N,پوټکی,चर्म
70,Haut::N,پوټکی,त्वचा
71,Blut::N,وینه,लहू
72,Blut::N,وینه,ख़ून
73,Ader::N,رګ,रग
74,Ader::N,رګ,शिरा
75,Sehne::N,پله,कंडरा
76,Sehne::N,پله,स्नायु
77,Knochen::N,هډوکی,अस्थि
78,Gehirn::N,ماغزه,दिमाग़
79,Gehirn::N,ماغزه,मस्तिष्क
80,Herz::N,زړه,दिल
81,Herz::N,زړه,हृदय
82,Magen::N,معده,मेदा
83,Magen::N,معده,अमाशय
84,Leber::N,ينه,जिगर
85,Leber::N,ينه,यकृत्
86,Leber::N,ځیګر,जिगर
87,Leber::N,ځیګر,यकृत्
88,Atem::N,نفس,दम
89,Atem::N,نفس,साँस
90,Atem::N,نفس,श्वास
91,Hunger::N,ولږه,भूख
92,Hunger::N,ولږه,क्षुधा
93,Träne::N,اوښکه,आँसू
94,Träne::N,اوښکه,अश्रु
95,Geschmack::N,مزه,स्वाद
96,Geschmack::N,مزه,ज़ायक़ा
97,Geschmack::N,خوند,स्वाद
98,Geschmack::N,خوند,ज़ायक़ा
99,Geruch::N,بوی,बू
100,Geruch::N,بوی,गंध
101,Schlaf::N,خوب,नींद
102,Schlaf::N,خوب,निद्रा
103,Traum::N,خوب,सपना
104,Traum::N,خوب,स्वप्न
105,Himmel::N,اسمان,आकाश
106,Himmel::N,اسمان,आसमान
107,Sonne::N,لمر,रवि
108,Sonne::N,لمر,सूरज
109,Sonne::N,لمر,सूर्य
110,Mond::N,سپوږمۍ,चाँद
111,Mond::N,سپوږمۍ,चंद्र
112,Stern::N,ستوری,तारा
113,Stern::N,ستوری,सितारा
114,Luft::N,هوا,हवा
115,Luft::N,هوا,वायु
116,Wind::N,ورښ,पाद
117,Welle::N,موج,लहर
118,Welle::N,موج,तरंग
119,Wasser::N,اوبه,जल
120,Wasser::N,اوبه,पानी
121,Stein::N,ډبره,पत्थर
122,Boden::N,مځکه,मिट्टी
123,Erde::N,خاوره,भूमि
124,Erde::N,خاوره,ज़मीन
125,Staub::N,ګرد,धूल
126,Staub::N,خاوره,धूल
127,Rauch::N,دود,धूआँ
128,Rauch::N,دود,धुम्र
129,Rauch::N,لوګی,धूआँ
130,Rauch::N,لوګی,धुम्र
131,Funke::N,سپرغۍ,चिनगारी
132,Funke::N,سپرغۍ,स्फुलिंग
133,Feuer::N,اور,आग
134,Feuer::N,اور,आतिश
135,Feuer::N,اور,अग्नि
136,Licht::N,رڼا,रोशनी
137,Licht::N,رڼا,प्रकाश
138,Schatten::N,سیوری,छाया
139,Schatten::N,سیوری,परछाई
140,Wetter::N,هوا,ऋतु
141,Wetter::N,هوا,मौसम
142,Nebel::N,لړه,धुँध
143,Nebel::N,لړه,कुहरा
144,Wolke::N,ورېځ,मेघ
145,Wolke::N,ورېځ,अभ्र
146,Regen::N,وریا,मेंह
147,Regen::N,وریا,बारिश
148,Regen::N,باران,मेंह
149,Regen::N,باران,बारिश
150,Schnee::N,واوره,हिम
151,Schnee::N,واوره,बर्फ़
152,Eis::N,یخ,हिम
153,Eis::N,یخ,बर्फ़
154,Eis::N,کنګل,हिम
155,Eis::N,کنګل,बर्फ़
156,Frost::N,یخ,ठंड
157,Kälte::N,ساړه,सर्दी
158,Kälte::N,ساړه,शीतलता
159,Hitze::N,تودوخي,ताप
160,Hitze::N,تودوخي,गरमी
161,Raureif::N,سپینه پرخه,पाला
162,Regenbogen::N,بوډۍ ټال,इंद्र-धनुष
163,Regenbogen::N,سره زرغونه,इंद्र-धनुष
164,Donner::N,تالنده,गरज
165,Donner::N,تالنده,मेघ-गर्जन
166,Strömung::N,بهېدنه,बहाव
167,Strömung::N,بهېدنه,प्रवाह
168,Tropfen::N,قطره,बूँद
169,Tropfen::N,څاڅکی,बूँद
170,Schaum::N,ځګ,झाग
171,Schmutz::N,ناپاکي,गंद
172,Schmutz::N,ناپاکي,कीचड़
173,See::N,جهیل,झील
174,See::N,جهیل,सरोवर
175,Sumpf::N,جبه,दलदल
176,Sumpf::N,جبه,धँसान
