,Concept_ID,se,uk
0,Auge::N,tjelmie,око
1,Auge::N,tjalmme,око
2,Auge::N,čalbmi,око
3,Auge::N,čalme,око
4,Auge::N,čâ´lmm,око
5,Auge::N,ча̄лльм,око
6,Ohr::N,bieljie,вухо
7,Ohr::N,biellje,вухо
8,Ohr::N,beallji,вухо
9,Ohr::N,pelji,вухо
10,Ohr::N,pe´llj,вухо
11,Ohr::N,пе̄лльй,вухо
12,Nase::N,njuenie,ніс
13,Nase::N,njunnje,ніс
14,Nase::N,njunni,ніс
15,Nase::N,njuṇe,ніс
16,Nase::N,njuu´nn,ніс
17,Nase::N,нюннҍ,ніс
18,Mund::N,njaelmie,рот
19,Mund::N,njálmme,рот
20,Mund::N,njálbmi,рот
21,Mund::N,njälmi,рот
22,Mund::N,njä´lmm,рот
23,Mund::N,ня̄лльм,рот
24,Zahn::N,baenie,зуб
25,Zahn::N,bádne,зуб
26,Zahn::N,bátni,зуб
27,Zahn::N,pääṇi,зуб
28,Zahn::N,pää´nn,зуб
29,Zahn::N,па̄ннҍ,зуб
30,Zunge::N,njoektjeme,язик
31,Zunge::N,njuovtjav,язик
32,Zunge::N,njuovčča,язик
33,Zunge::N,njuovčâ,язик
34,Zunge::N,njuhččâm,язик
35,Zunge::N,нюхчем,язик
36,Lippe::N,bangseme,губа
37,Lippe::N,njálmmerabdda,губа
38,Lippe::N,bavssa,губа
39,Lippe::N,poovsâ,губа
40,Lippe::N,põõus,губа
41,Lippe::N,пэ̄кс,губа
42,Wange::N,skiehrie,щока
43,Wange::N,nierra,щока
44,Wange::N,muohtu,щока
45,Wange::N,nieṛâ,щока
46,Wange::N,njiõrr,щока
47,Wange::N,нӣрр,щока
48,Gesicht::N,ååredæjja,обличчя
49,Gesicht::N,muohto,обличчя
50,Gesicht::N,muođut,обличчя
51,Gesicht::N,ámadadju,обличчя
52,Gesicht::N,muáđuh,обличчя
53,Gesicht::N,muâđ,обличчя
54,Gesicht::N,ка̄ссв,обличчя
55,Stirn::N,gaalloe,лоб
56,Stirn::N,gállo,лоб
57,Stirn::N,gállu,лоб
58,Stirn::N,kállu,лоб
59,Stirn::N,käll,лоб
60,Stirn::N,вуэххьц,лоб
61,Haar::N,voepte,волосся
62,Haar::N,vuoppta,волосся
63,Haar::N,vuokta,волосся
64,Haar::N,vuop'tâ,волосся
65,Haar::N,vuõpt,волосся
66,Haar::N,вӯппт,волосся
67,Schnurrbart::N,bijjie-skaavtjoe,вуса
68,Schnurrbart::N,njunjevuolskávttjá,вуса
69,Schnurrbart::N,seamu,вуса
70,Schnurrbart::N,siämu,вуса
71,Schnurrbart::N,ää´bben,вуса
72,Schnurrbart::N,о̄а̄бпан,вуса
73,Bart::N,skaavtja,борода
74,Bart::N,skaavtjoe,борода
75,Bart::N,skávttjá,борода
76,Bart::N,seamu,борода
77,Bart::N,siämu,борода
78,Bart::N,seäm,борода
79,Bart::N,ся̄м,борода
80,Kinn::N,gaejpie,підборіддя
81,Kinn::N,gájbbe,підборіддя
82,Kinn::N,gáibi,підборіддя
83,Kinn::N,käibi,підборіддя
84,Kinn::N,käi´bb,підборіддя
85,Kinn::N,ка̄ййп,підборіддя
86,Kiefer[Anatomie]::N,gaejpie,щелепа
87,Kiefer[Anatomie]::N,oalol,щелепа
88,Kiefer[Anatomie]::N,oaloldákte,щелепа
89,Kiefer[Anatomie]::N,gáibi,щелепа
90,Kiefer[Anatomie]::N,uá'lultähti,щелепа
91,Kiefer[Anatomie]::N,vuâl'lõš,щелепа
92,Kiefer[Anatomie]::N,вуаллнешш,щелепа
93,Kehle::N,gealoe,горло
94,Kehle::N,tjåttå,горло
95,Kehle::N,njiello,горло
96,Kehle::N,čotta,горло
97,Kehle::N,čuudâ,горло
98,Kehle::N,čoodd,горло
99,Kehle::N,чонт,горло
100,Kehle::N,кэ̄ҏс,горло
101,Hals::N,tjeapohke,шия
102,Hals::N,tjiebet,шия
103,Hals::N,čeabet,шия
104,Hals::N,čiäppát,шия
105,Hals::N,čeäppat,шия
106,Hals::N,ча̄пэх,шия
107,Genick::N,tjovrese,потилиця
108,Genick::N,nisske,потилиця
109,Genick::N,niehkki,потилиця
110,Genick::N,niski,потилиця
111,Genick::N,niek'ki,потилиця
112,Genick::N,nji´šǩǩmaadd,потилиця
113,Genick::N,нышшькмоант,потилиця
114,Kopf::N,åejjie,голова
115,Kopf::N,oajvve,голова
116,Kopf::N,oaivi,голова
117,Kopf::N,uái'vi,голова
118,Kopf::N,vuei´vv,голова
119,Kopf::N,вуэййв,голова
120,Rücken::N,rudtje,спина
121,Rücken::N,hárddo,спина
122,Rücken::N,tjavelk,спина
123,Rücken::N,sealgi,спина
124,Rücken::N,selgi,спина
125,Rücken::N,čielgi,спина
126,Rücken::N,seä´lǧǧ,спина
127,Rücken::N,се̄лльк,спина
128,Bauch::N,tjåejjie,живіт
129,Bauch::N,tjoajvve,живіт
130,Bauch::N,čoavji,живіт
131,Bauch::N,čuáv'ji,живіт
132,Bauch::N,čåu´jj,живіт
133,Bauch::N,чо̄ввьй,живіт
134,Nabel::N,naepie,пупок
135,Nabel::N,náhpe,пупок
136,Nabel::N,náhpi,пупок
137,Nabel::N,nääpi,пупок
138,Nabel::N,nää´pp,пупок
139,Nabel::N,на̄бпь,пупок
140,Busen::N,boenge,груди
141,Busen::N,bållå,груди
142,Busen::N,čižži,груди
143,Busen::N,njamma,груди
144,Busen::N,njižže,груди
145,Busen::N,nje´ǯǯ,груди
146,Busen::N,раннҍт,груди
147,Brust::N,mïelke,груди
148,Brust::N,radde,груди
149,Brust::N,mielgga,груди
150,Brust::N,raddi,груди
151,Brust::N,radde,груди
152,Brust::N,râ´dd,груди
153,Brust::N,раннҍт,груди
154,Schulter::N,åelkie,плече
155,Schulter::N,oalgge,плече
156,Schulter::N,hárdu,плече
157,Schulter::N,ärdee,плече
158,Schulter::N,uál'gi,плече
159,Schulter::N,a´rddi,плече
160,Schulter::N,vuä´lǧǧ,плече
161,Schulter::N,вуэллык,плече
162,Arm::N,gïete,рука
163,Arm::N,giehta,рука
164,Arm::N,giehta,рука
165,Arm::N,kietâ,рука
166,Arm::N,kie'tâkaaṿâ,рука
167,Arm::N,ǩiõtt,рука
168,Arm::N,кӣдт,рука
169,Ellenbogen::N,gernjere,лікоть
170,Ellenbogen::N,garŋŋel,лікоть
171,Ellenbogen::N,gargŋil,лікоть
172,Ellenbogen::N,käŋŋir,лікоть
173,Ellenbogen::N,kõõnjâr,лікоть
174,Ellenbogen::N,карьнэль,лікоть
175,Hand::N,gïete,рука
176,Hand::N,giehta,рука
177,Hand::N,giehta,рука
178,Hand::N,kietâ,рука
179,Hand::N,ǩiõtt,рука
180,Hand::N,кӣдт,рука
181,Handfläche::N,gïeten-låapoe,долоня
182,Handfläche::N,giehtavuodo,долоня
183,Handfläche::N,tjårmmåvuodo,долоня
184,Handfläche::N,giehtaloahpu,долоня
185,Handfläche::N,kiämád,долоня
186,Handfläche::N,kuámmir,долоня
187,Handfläche::N,kuä´m'mer,долоня
