,Concept_ID,mrj,ab
0,Auge::N,сӹнзӓ,ала
1,Ohr::N,пӹлӹш,алымҳа
2,Nase::N,нер,аҧынҵа
3,Mund::N,ышма,аҧышə
4,Zahn::N,пӱ,ахаҧыц
5,Zunge::N,йӹлмӹ,абз
6,Lippe::N,тӹрвӹ,ақьышə
7,Wange::N,шӹргӹ,аӡамҩа
8,Gesicht::N,лицӓ,аҿы
9,Stirn::N,лепкӓ,алахь
10,Haar::N,ӱп,ахəыц
11,Schnurrbart::N,öрш,аҧаҵа
12,Bart::N,пандаш,ажакьа
13,Kinn::N,онгылаш,ацламкəыгə
14,Kiefer[Anatomie]::N,пӱ арата,ацламҳəа
15,Kehle::N,логер,ахəда
16,Hals::N,шӱ,ахəда
17,Genick::N,ланга,ахəдаџьал
18,Kopf::N,вуй,ахы
19,Rücken::N,туп,азқəа
20,Bauch::N,мӹшкӹр,амгəа
21,Nabel::N,кӹлӹмдӹ,аҷапан
22,Busen::N,цӹзӹ,агəыҧҳəы
23,Brust::N,мел,агəышҧы
24,Schulter::N,ӹнгӹжӓ,ажəҩахыр
25,Arm::N,кид,амахəар
26,Ellenbogen::N,кӹнервуй,амашьхəылҵ
27,Hand::N,лапа,анапы
28,Handfläche::N,кид лапа,анапсаргəыҵа
29,Finger::N,парня,анацəа
30,Fingernagel::N,кӹч,анапхыц
31,Nagel[Anatomie]::N,кӹч,ашьапхыц
32,Zeh::N,парня,ашьацəа
33,Fuß::N,ял лапа,ашьапсыргəыҵа
34,Ferse::N,ялгавал,ашьхəа
35,Ferse::N,ял кавал,ашьхəа
36,Knie::N,пылвуй,ашьамхы
37,Oberschenkel::N,ӓрдӹ,ауаҭəа
38,Bein::N,ял,ашьапы
39,Körper::N,монгыр,ацəеижь
40,Haut::N,кавашты,ацəа
41,Blut::N,вӹр,ашьа
42,Ader::N,вӹршӓр,ада
43,Sehne::N,кукшышӱн,адаш
44,Knochen::N,лу,абаҩ
45,Gehirn::N,вим,ахшлыбаҩ
46,Gehirn::N,вим,ахшыбаҩ
47,Herz::N,шӱм,агəы
48,Magen::N,шӱм,аца
49,Magen::N,шӱм,ацар
50,Leber::N,мокш,агəаҵəа
51,Atem::N,шӱлӹш,аҧсыҧлагаҩгара
52,Hunger::N,шужымаш,амла
53,Träne::N,сӹнзӓвӹд,алабжыш
54,Geschmack::N,тот,агьама
55,Geruch::N,пыш,афҩы
56,Schlaf::N,ом,ацəа
57,Traum::N,ом,аҧхыӡ
58,Himmel::N,пӹлгом,ажəҩан
59,Sonne::N,кечӹ,амра
60,Mond::N,тӹлзӹ,амза
61,Stern::N,шӹдӹр,аеҵəа
62,Luft::N,юж,аҳаир
63,Luft::N,воздух,аҳаир
64,Wind::N,мардеж,аҧша
65,Welle::N,ко,ацəқəырҧа
66,Welle::N,коэ,ацəқəырҧа
67,Wasser::N,вӹд,аӡы
68,Stein::N,кӱ,ахаҳə
69,Boden::N,рок,адгьыл
70,Erde::N,свет,адгьыл
71,Staub::N,пырак,асаба
72,Rauch::N,шӹкш,алҩа
73,Funke::N,ип,акəиц
74,Funke::N,ип,ацҧхь
75,Funke::N,тылип,акəиц
76,Funke::N,тылип,ацҧхь
77,Feuer::N,тыл,амца
78,Licht::N,соты,алашара
79,Licht::N,валгыды,алашара
80,Schatten::N,ӹмӹл,ашəшьыра
81,Wetter::N,игечӹ,амш
82,Nebel::N,тӹтӹрӓ,анаҟəа
83,Wolke::N,пӹл,аҧсҭҳəа
84,Regen::N,юр,ақəа
85,Schnee::N,лым,асы
86,Eis::N,и,аҵаа
87,Frost::N,ӱштӹ,аҵаа
88,Kälte::N,ӱштӹ,ахьҭа
