,Concept_ID,xal,lt
0,Auge::N,нүдн,akis
1,Ohr::N,чикн,ausis
2,Nase::N,хамр,nosis
3,Mund::N,амн,burna
4,Zahn::N,шүдн,dantis
5,Zunge::N,келн,liežuvis
6,Lippe::N,урл,lūpa
7,Wange::N,халх,žandas
8,Wange::N,халх,skruostas
9,Gesicht::N,нүр,veidas
10,Stirn::N,маңна,kakta
11,Haar::N,үсн,plaukai
12,Schnurrbart::N,сахл,ūsai
13,Bart::N,сахл,barzda
14,Bart::N,өргнә сахл,barzda
15,Kinn::N,өргн,smakras
16,Kiefer[Anatomie]::N,өргн,žandikaulis
17,Kehle::N,хол,gerklė
18,Hals::N,күзүн,kaklas
19,Genick::N,гиҗг,sprandas
20,Kopf::N,толһа,galva
21,Rücken::N,нурһн,nugara
22,Bauch::N,гесн,pilvas
23,Nabel::N,киисн,bamba
24,Busen::N,көкн,krūtinė
25,Brust::N,чееҗ,krūtis
26,Schulter::N,ээм,petys
27,Arm::N,һар,ranka
28,Ellenbogen::N,тоха,alkūnė
29,Hand::N,баһлцг,ranka
30,Hand::N,баһлцг,plaštaka
31,Handfläche::N,альхн,delnas
32,Handfläche::N,альхн,plaštaka
33,Finger::N,хурһн,pirštas
34,Finger::N,һарин хурһн,pirštas
35,Fingernagel::N,хумсн,nagas
36,Nagel[Anatomie]::N,хумсн,nagas
37,Zeh::N,хурһн,pirštas
38,Zeh::N,көлин хурһн,pirštas
39,Fuß::N,тавг,pėda
40,Ferse::N,өскә,kulnas
41,Knie::N,өвдг,kelis
42,Oberschenkel::N,һуй,kulšis
43,Oberschenkel::N,һуй,šlaunis
44,Bein::N,көл,koja
45,Körper::N,махмуд,kūnas
46,Haut::N,арсн,oda
47,Blut::N,цусн,kraujas
48,Ader::N,судцн,kraujagyslė
49,Sehne::N,шүрүсн,sausgyslė
50,Knochen::N,ясн,kaulas
51,Gehirn::N,экн,smegenys
52,Herz::N,зүркн,širdis
53,Magen::N,гесн,skrandis
54,Leber::N,элкн,kepenys
55,Atem::N,әмсхл,kvapas
56,Hunger::N,харһнлһн,badas
57,Hunger::N,харһнлһн,alkis
58,Träne::N,нульмсн,ašara
59,Geschmack::N,амтн,skonis
60,Geruch::N,үнр,kvapas
61,Schlaf::N,нөр,miegas
62,Traum::N,зүүдн,sapnas
63,Himmel::N,теңгр,dangus
64,Sonne::N,нарн,saulė
65,Mond::N,сар,mėnulis
66,Stern::N,одн,žvaigždė
67,Luft::N,аһар,oras
68,Wind::N,салькн,vėjas
69,Welle::N,дольган,banga
70,Welle::N,дольган,vilnis
71,Wasser::N,усн,vanduo
72,Stein::N,чолун,akmuo
73,Boden::N,Һазр,žemė
74,Boden::N,Һазр,dugnas
75,Erde::N,Һазр,žemė
76,Staub::N,тоосн,dulkės
77,Rauch::N,утан,dūmai
78,Funke::N,очн,kibirkštis
79,Feuer::N,һал,ugnis
80,Licht::N,герл,šviesa
81,Schatten::N,сүүдр,paūksmė
82,Wetter::N,теңгр,oras
83,Nebel::N,будн,migla
84,Nebel::N,будн,rūkas
85,Wolke::N,үүлн,debesis
86,Regen::N,хур,lietus
87,Schnee::N,цасн,sniegas
88,Eis::N,мөсн,ledas
89,Frost::N,киитн,šalna
90,Kälte::N,киитн,šaltis
91,Hitze::N,халун,karštis
92,Raureif::N,цаң,šerkšnas
93,Raureif::N,кирү,šerkšnas
94,Regenbogen::N,солңһ,vaivorykštė
95,Donner::N,оһтрһун дун,perkūnas
96,Donner::N,оһтрһун дун,griaustinis
97,Strömung::N,урсхл,tėkmė
98,Tropfen::N,дусал,lašas
99,Schaum::N,көөсн,putos
100,Schmutz::N,кир,purvas
101,See::N,нур,ežeras
102,Sumpf::N,унул,klampynė
103,Sumpf::N,унул,liūnas
104,Moor::N,улм,pelkė
105,Wiese::N,хадлһн,pieva
106,Wald::N,ө-модн,miškas
107,Hügel::N,толһа,kalva
108,Anhöhe::N,хамр,kauburys
109,Berg::N,уул,kalnas
110,Gipfel::N,ора,viršūnė
111,Höhle::N,хадин көндә,ola
112,Abhang::N,ташу,šlaitas
113,Abhang::N,ташу,nuokalnė
114,Quelle::N,булг,versmė
115,Quelle::N,булг,šaltinis
116,Bach::N,һооҗур,upelis
117,Fluss::N,һол,upė
118,Ufer::N,көвә,krantas
119,Küste::N,көвә,pajūris
120,Küste::N,теңгсин көвә,pajūris
121,Festland::N,хүүрә һазр,sausuma
122,Meer::N,теңгс,jūra
123,Bucht::N,цекә,įlanka
124,Bucht::N,цекә,užutekis
125,Bucht::N,теңгсин цекә,įlanka
126,Bucht::N,теңгсин цекә,užutekis
127,Insel::N,арл,sala
128,Blume::N,цецг,gėlė
129,Gras::N,ноһан,žolė
130,Wurzel::N,уңг,šaknis
131,Baum::N,модн,medis
132,Stamm::N,шилв,kamienas
133,Stamm::N,һол модн,kamienas
134,Rinde::N,көрсн,žievė
135,Ast::N,ац,šaka
136,Zweig::N,ац,šakelė
137,Blatt::N,хамтхасн,lapas
138,Birke::N,хусм модн,beržas
139,Kiefer[Baum]::N,шар харһа,pušis
140,Weide[Baum]::N,удн,karklas
141,Tanne::N,җөөлн цаһан модн,eglė
142,Tanne::N,җөөлн цаһан модн,kėnis
143,Horn::N,өвр,ragas
144,Feder::N,өрвлг,plunksna
145,Fell::N,арсн,kailis
146,Flügel::N,җивр,sparnas
147,Klaue::N,хумсн,kanopa
148,Kralle::N,тавг,nagas
149,Schwanz::N,сүл,uodega
150,Ei::N,өндгн,kiaušinis
151,Nest::N,үр,gūžta
152,Nest::N,үр,lizdas
153,Bau::N,нүкн,ola
154,Tier::N,мал,gyvūnas
155,Herde::N,сүрг мал,banda
156,Herde::N,сүрг мал,kaimenė
157,Kuh::N,үкр,karvė
158,Bulle::N,бух,bulius
159,Pferd::N,мөрн,arklys
160,Schaf::N,хөн,avis
161,Schwein::N,һаха,kiaulė
162,Hund::N,ноха,šuo
163,Katze::N,мис,katė
164,Bär::N,аю,lokys
165,Eichhörnchen::N,кермн,voveraitė
166,Elch::N,хандһа,briedis
167,Fuchs::N,арат,lapė
168,Hase::N,туула,kiškas
169,Maus::N,хулһн,pelė
170,Wolf::N,чон,vilkas
171,Vogel::N,шовун,paukštis
172,Schwarm::N,зел,spiečius
173,Huhn::N,така,višta
174,Hahn::N,эр така,gaidys
175,Gans::N,һалун,žąsis
176,Adler::N,һәрд,erelis
177,Ente::N,нуһсн,antis
178,Eule::N,һурвлһ,pelėda
179,Kranich::N,тоһрун,gervė
180,Krähe::N,шаазһа,varna
181,Kuckuck::N,эргин хуцдг,gegužė
182,Schwan::N,хун,gulbė
183,Fisch::N,заһсн,žuvis
184,Barsch::N,шүрг,ešerys
185,Hecht::N,цурх,lydeka
186,Schlange[Tier]::N,моһа,gyvatė
187,Wurm::N,өтн,kirmėlė
188,Spinne::N,аралҗн,voras
189,Ameise::N,шорһлҗн,skruzdė
190,Laus::N,бөөсн,utėlė
191,Mücke::N,бөкүн,uodas
192,Fliege::N,батхн,musė
193,Schmetterling::N,эрвәкә,drugys
194,Schmetterling::N,эрвәкә,peteliškė
195,Beere::N,бөөлҗрһн,uoga
196,Apfel::N,альмн,obuolys
197,Pilz::N,теңгрин ки,grybas
198,Zwiebel::N,мәңгрснә толһа,svogūnas
199,Saat::N,буудян экн,sėkla
200,Korn::N,экн,grūdai
201,Heu::N,өвсн,šienas
202,Schale::N,хальсн,žievelė
203,Grube::N,нүкн,duobė
204,Falle::N,урх,pinklės
205,Falle::N,урх,žabangai
206,Falle::N,хавх,pinklės
207,Falle::N,хавх,žabangai
208,Schlinge::N,бүтү,kilpa
209,Spur::N,мөр,vėžė
210,Spur::N,мөр,pėdos
211,Spur::N,мөр,pėdsakas
212,Asche::N,үмсн,pelenai
213,Dreck::N,бальчг,purvas
214,Eisen::N,төмр,geležis
215,Gold::N,алтн,auksas
216,Silber::N,мөңгн,sidabras
217,Silber::N,цаһан мөңгн,sidabras
218,Kohle::N,нүүрсн,anglis
219,Glas::N,шил,stiklas
220,Lehm::N,шавр,molis
221,Sand::N,элсн,smėlis
222,Mensch::N,күн,žmogus
223,Mensch::N,күмн,žmogus
224,Mann::N,эр,vyras
225,Mann::N,эр,vyriškis
226,Frau::N,күүкд күн,moteris
227,Kind::N,үрн,vaikas
228,Junge::N,көвүн,vaikinas
229,Junge::N,көвүн,berniukas
230,Mädchen::N,бичкн күүкн,mergytė
231,Mädchen::N,бичкн күүкн,mergaitė
232,Familie::N,бүл,šeima
233,Großvater::N,өвк эцк,senelis
234,Großvater::N,наһц эцк,senelis
235,Großmutter::N,эмг эк,senelė
236,Großmutter::N,наһц эк,senelė
237,Eltern::N,эк эцк хойр,tėvai
238,Vater::N,эцк,tėvas
239,Mutter::N,эк,motina
240,Sohn::N,көвүн,sūnus
241,Tochter::N,күүкн,duktė
242,Bruder::N,дү көвүн,brolis
243,Schwester::N,эгч,sesuo
244,Schwester::N,дү күүкн,sesuo
245,Onkel::N,авһ,dėdė
246,Onkel::N,наһцх,dėdė
247,Tante::N,наһц эгч,teta
248,Ehemann::N,залу,vyras
249,Ehefrau::N,гергн,žmona
250,Freude::N,байр,džiaugsmas
251,Gelächter::N,инәдн,juokas
252,Glück::N,җирһл,laimė
253,Glück::N,сәәхн җирһл,laimė
254,Kummer::N,зовлң,vargas
255,Kummer::N,зовлң,rūpestis
256,Wunsch::N,дурн,troškimas
257,Wunsch::N,дурн,pageidavimas
258,Lust::N,җилвтлһн,noras
259,Lust::N,җилвтлһн,geidulys
260,Geist::N,зөрг,dvasia
261,Gedanke::N,ухан,mintis
262,Gedächtnis::N,чееҗин тодлвр,atmintis
263,Verstand::N,ухан,protas
264,Sinn::N,учр-утх,prasmė
265,Grund::N,учр,priežastis
266,Grund::N,шалтан,priežastis
267,Wahrheit::N,үнн,tiesa
268,Wahrheit::N,үнн,teisybė
269,Gespräch::N,күүндвүр,pokalbis
270,Märchen::N,тууль,pasaka
271,Erzählung::N,келвр,apsakymas
272,Erzählung::N,келвр,pasakojimas
273,Nachricht::N,медүллһн,žinia
