,Concept_ID,hu,vep
0,Auge::N,szem,sil'm
1,Ohr::N,fül,korv
2,Nase::N,orr,nena
3,Mund::N,száj,su
4,Zahn::N,fog,pi
5,Zahn::N,fog,hambaz
6,Zunge::N,nyelv,kel'
7,Lippe::N,ajak,hul'
8,Wange::N,orca,modpolišk
9,Gesicht::N,arc,mod
10,Stirn::N,homlok,oc
11,Haar::N,haj,tuk
12,Haar::N,haj,hibuz
13,Schnurrbart::N,bajusz,habinod
14,Bart::N,szakáll,bard
15,Kinn::N,áll,löug
16,Kiefer[Anatomie]::N,állkapocs,hambazlu
17,Kehle::N,gége,kurk
18,Kehle::N,torok,kurk
19,Hals::N,nyak,kagl
20,Genick::N,tarkó,tagarai
21,Kopf::N,fő,pä
22,Kopf::N,fej,pä
23,Rücken::N,hát,sel'g
24,Bauch::N,has,vac
25,Bauch::N,has,koht
26,Nabel::N,köldök,naba
27,Busen::N,mell,niža
28,Busen::N,kebel,niža
29,Brust::N,mell,rind
30,Schulter::N,váll,oug
31,Arm::N,kar,käzi
32,Ellenbogen::N,könyök,künambruz
33,Hand::N,kéz,käzi
34,Hand::N,kéz,käzitera
35,Handfläche::N,tenyér,kämen
36,Finger::N,ujj,sor'm
37,Fingernagel::N,köröm,künz'
38,Nagel[Anatomie]::N,köröm,künz'
39,Zeh::N,lábujj,barbaz
40,Fuß::N,láb,jaug
41,Ferse::N,sarok,kand
42,Knie::N,térd,komb
43,Knie::N,térd,pol'v
44,Oberschenkel::N,comb,riiže
45,Bein::N,láb,jaug
46,Bein::N,lábszár,jaug
47,Körper::N,test,hibj
48,Haut::N,bőr,nahk
49,Blut::N,vér,čak
50,Blut::N,vér,veri
51,Ader::N,ér,son'
52,Sehne::N,ín,jände
53,Knochen::N,csont,lu
54,Gehirn::N,agy,aivod
55,Gehirn::N,agyvelő,aivod
56,Herz::N,szív,südäin
57,Magen::N,gyomor,südäikoht
58,Leber::N,máj,maks
59,Atem::N,lehelet,hengaiduz
60,Atem::N,lélegzet,hengaiduz
61,Hunger::N,éhség,näl'g
62,Träne::N,könny,kündal'
63,Geschmack::N,íz,magu
64,Geruch::N,szag,haju
65,Schlaf::N,álom,uni
66,Schlaf::N,alvás,uni
67,Traum::N,álom,unikuva
68,Himmel::N,ég,taivaz
69,Himmel::N,menny,taivaz
70,Sonne::N,nap,päiväine
71,Mond::N,hold,kudmaine
72,Stern::N,csillag,tähtaz
73,Luft::N,levegő,il'm
74,Wind::N,szél,döl
75,Wind::N,szél,tullei
76,Welle::N,hullám,ald
77,Welle::N,hullám,laineh
78,Wasser::N,víz,vezi
79,Stein::N,kő,kivi
80,Boden::N,föld,ma
81,Boden::N,föld,pohj
82,Boden::N,talaj,ma
83,Boden::N,talaj,pohj
84,Erde::N,föld,ma
85,Staub::N,por,pölü
86,Rauch::N,füst,savu
87,Funke::N,szikra,kibin
88,Feuer::N,tűz,lämoi
89,Licht::N,fény,vauktuz
90,Schatten::N,árnyék,pil'vez
91,Schatten::N,árnyék,kuvahaine
92,Wetter::N,idő,sä
93,Wetter::N,időjárás,sä
94,Nebel::N,köd,sumeg
95,Wolke::N,felhő,pil'v
96,Regen::N,eső,vihm
97,Schnee::N,hó,lumi
98,Eis::N,jég,jä
99,Frost::N,fagy,hala
100,Frost::N,fagy,pakaine
101,Kälte::N,hideg,vilu
102,Hitze::N,hő,räk
103,Hitze::N,hőség,räk
104,Raureif::N,zúzmara,hüde
105,Regenbogen::N,szivárvány,jumalanbembel'
106,Donner::N,dörgés,juru
107,Donner::N,dörgés,jumalanjuru
108,Donner::N,mennydörgés,juru
109,Donner::N,mennydörgés,jumalanjuru
110,Strömung::N,áramlat,joksmuz
111,Tropfen::N,csepp,tilkuine
112,Schaum::N,hab,vaht
113,Schaum::N,tajték,vaht
114,Schmutz::N,piszok,redu
115,Schmutz::N,piszok,pačak
116,See::N,tó,järv
117,Sumpf::N,mocsár,so
118,Moor::N,láp,so
119,Wiese::N,rét,nit
120,Wiese::N,mező,nit
121,Wald::N,erdő,mec
122,Hügel::N,domb,kukaz
123,Anhöhe::N,magaslat,kukaz
124,Berg::N,hegy,mägi
125,Gipfel::N,csúcs,ladv
126,Höhle::N,barlang,mägionduz
127,Abhang::N,lejtő,paute
128,Quelle::N,forrás,lähte
129,Bach::N,patak,oja
130,Fluss::N,folyó,jogi
131,Ufer::N,part,rand
132,Küste::N,tengerpart,randišt
133,Festland::N,szárazföld,kuivma
134,Meer::N,tenger,meri
135,Bucht::N,öböl,laht
136,Insel::N,sziget,sar'
137,Blume::N,virág,änik
138,Gras::N,fű,hein
139,Wurzel::N,gyökér,jur'
140,Baum::N,fa,pu
141,Stamm::N,tő,tüvi
142,Stamm::N,törzs,tüvi
143,Rinde::N,kéreg,kor'
144,Ast::N,ág,oks
145,Zweig::N,gally,oks
146,Zweig::N,gally,barb
147,Blatt::N,levél,lehtez
148,Birke::N,nyír,koiv
149,Kiefer[Baum]::N,fenyő,pedai
150,Weide[Baum]::N,fűz,raid
151,Tanne::N,fenyő,kuz'
152,Horn::N,szarv,sar'v
153,Feder::N,toll,höuneh
154,Fell::N,szőr,nahk
155,Fell::N,bunda,nahk
156,Flügel::N,szárny,suug
157,Klaue::N,köröm,künz'
158,Kralle::N,karom,künz'
159,Schwanz::N,farok,händ
160,Ei::N,tojás,muna
161,Nest::N,fészek,peza
162,Bau::N,odú,uru
163,Tier::N,állat,živat
164,Herde::N,nyáj,kogo
165,Herde::N,csorda,kogo
166,Kuh::N,tehén,lehm
167,Bulle::N,bika,härg
168,Pferd::N,ló,hebo
169,Schaf::N,juh,lambaz
170,Schaf::N,birka,lambaz
171,Schwein::N,sertés,siga
172,Hund::N,eb,koir
173,Hund::N,kutya,koir
174,Katze::N,macska,kaži
175,Bär::N,medve,kondi
176,Eichhörnchen::N,mókus,orav
177,Elch::N,jávorszarvas,hirb'
178,Fuchs::N,róka,reboi
179,Hase::N,nyúl,jäniš
180,Maus::N,egér,hir'
181,Wolf::N,farkas,händikaz
182,Vogel::N,madár,lind
183,Schwarm::N,raj,parveh
184,Huhn::N,tyúk,kana
185,Hahn::N,kakas,kukoi
186,Gans::N,lúd,hanh'
187,Gans::N,liba,hanh'
188,Adler::N,sas,orl
189,Ente::N,kacsa,sorz
190,Eule::N,bagoly,hir'pulo
191,Kranich::N,daru,kurg
192,Krähe::N,varjú,variš
193,Kuckuck::N,kakukk,kägi
194,Schwan::N,hattyú,joucen
195,Fisch::N,hal,kala
196,Barsch::N,sügér,ahven
197,Hecht::N,csuka,haug'
198,Schlange[Tier]::N,kígyó,kü
199,Schlange[Tier]::N,kígyó,mado
200,Wurm::N,kukac,mado
201,Spinne::N,pók,hämähouk
202,Ameise::N,hangya,murahaine
203,Laus::N,tetű,täi
204,Mücke::N,szúnyog,säs'k
205,Fliege::N,légy,kärbhaine
206,Schmetterling::N,lepke,lipkaine
207,Schmetterling::N,pillangó,lipkaine
208,Beere::N,bogyó,marj
209,Apfel::N,alma,jablok
210,Pilz::N,gomba,sen'
211,Pilz::N,gomba,babuk
212,Zwiebel::N,hagyma,lauk
213,Saat::N,vetőmag,semned
214,Korn::N,mag,jüvä
215,Korn::N,mag,vill'
216,Korn::N,szem,jüvä
217,Korn::N,szem,vill'
218,Heu::N,széna,hein
219,Schale::N,héj,kor'
220,Grube::N,verem,kop
221,Falle::N,csapda,rida
222,Schlinge::N,tőr,rihm
223,Spur::N,nyom,jäl'g
224,Asche::N,hamu,tuhk
225,Dreck::N,sár,redu
226,Dreck::N,sár,pačak
227,Dreck::N,piszok,redu
228,Dreck::N,piszok,pačak
229,Eisen::N,vas,raud
230,Gold::N,arany,kuld
231,Silber::N,ezüst,hobed
232,Kohle::N,szén,hil'
233,Glas::N,üveg,stökol
234,Lehm::N,agyag,savi
235,Lehm::N,vályog,savi
236,Sand::N,homok,lete
237,Mensch::N,ember,mez'
238,Mensch::N,ember,ristit
239,Mann::N,úr,mez'
240,Mann::N,férfi,mez'
241,Frau::N,nő,naine
242,Frau::N,asszony,naine
243,Kind::N,gyerek,laps'
244,Kind::N,gyermek,laps'
245,Junge::N,fiú,poig
246,Junge::N,fiú,prihaine
247,Mädchen::N,lány,neičukaine
248,Familie::N,család,kanz
249,Familie::N,család,pereh
250,Großvater::N,nagyapa,ded
251,Großmutter::N,nagyanya,bab
252,Eltern::N,szülők,vanhembad
253,Eltern::N,szülők,kazvatajad
254,Vater::N,apa,tat
255,Vater::N,atya,tat
256,Mutter::N,anya,mam
257,Sohn::N,fiú,poig
258,Tochter::N,lány,tütär
259,Bruder::N,fivér,veik
260,Bruder::N,fivér,vell'
261,Bruder::N,testvér,veik
262,Bruder::N,testvér,vell'
263,Schwester::N,nővér,čiža
264,Schwester::N,nővér,sizar
265,Schwester::N,lánytestvér,čiža
266,Schwester::N,lánytestvér,sizar
267,Onkel::N,nagybácsi,däd'
268,Tante::N,nagynéni,tädi
269,Ehemann::N,férj,mužik
270,Ehefrau::N,feleség,ak
271,Freude::N,öröm,ilo
272,Freude::N,öröm,ihastuz
273,Gelächter::N,nevetés,nagr
274,Gelächter::N,hahotázás,nagr
275,Glück::N,boldogság,oza
276,Kummer::N,bánat,gor'a
277,Wunsch::N,óhaj,taht
278,Lust::N,kedv,himo
279,Geist::N,elme,heng
280,Geist::N,szellem,heng
281,Gedanke::N,gondolat,meletuz
282,Gedächtnis::N,emlékezet,mušt
283,Verstand::N,ész,mel'
284,Verstand::N,értelem,mel'
285,Sinn::N,értelem,jüvä
286,Grund::N,ok,sü
287,Grund::N,alap,sü
288,Wahrheit::N,igaz,tozi
289,Wahrheit::N,igazság,tozi
290,Gespräch::N,beszélgetés,lodu
291,Gespräch::N,beszélgetés,pagin
292,Märchen::N,mese,sarn
293,Erzählung::N,elbeszélés,sanutez
294,Nachricht::N,hír,tedotuz
295,Nachricht::N,híradás,tedotuz
296,Neuigkeit::N,újság,uzištuz
297,Name::N,név,nimi
298,Rätsel::N,rejtvény,ozoitez
299,Rede::N,beszéd,pagin
300,Rede::N,beszéd,sanad
301,Rede::N,szónoklat,pagin
302,Rede::N,szónoklat,sanad
303,Sprache::N,nyelv,kel'
304,Stimme::N,hang,än'
305,Wort::N,szó,sana
306,Zeichen::N,jel,znam
307,Ruf::N,kiáltás,kida
308,Ruf::N,kiáltás,kucund
309,Lärm::N,zaj,judu
310,Laut::N,hang,kulund
311,Ton::N,hang,kulund
312,Lied::N,dal,pajo
313,Lied::N,ének,pajo
314,Ruhe::N,csend,lebu
315,Ruhe::N,nyugalom,lebu
316,Leute::N,emberek,rahvaz
