,Concept_ID,hi,el
0,Auge::N,आँख,μάτι
1,Auge::N,आँख,οφθαλμός
2,Auge::N,चक्षु,μάτι
3,Auge::N,चक्षु,οφθαλμός
4,Ohr::N,कान,αυτί
5,Ohr::N,कर्ण,αυτί
6,Nase::N,नाक,μύτη
7,Nase::N,नासा,μύτη
8,Mund::N,मुख,στόμα
9,Mund::N,मुँह,στόμα
10,Zahn::N,दंत,δόντι
11,Zahn::N,दाँत,δόντι
12,Zunge::N,जीभ,γλώσσα
13,Zunge::N,ज़बान,γλώσσα
14,Zunge::N,जिह्वा,γλώσσα
15,Lippe::N,ओंठ,χείλος
16,Lippe::N,होंठ,χείλος
17,Wange::N,गाल,παρειά
18,Wange::N,गाल,μάγουλο
19,Wange::N,कपोल,παρειά
20,Wange::N,कपोल,μάγουλο
21,Gesicht::N,मुँह,πρόσωπο
22,Gesicht::N,चेहरा,πρόσωπο
23,Stirn::N,माथा,μέτωπο
24,Stirn::N,मस्तक,μέτωπο
25,Haar::N,बाल,μαλλιά
26,Schnurrbart::N,मूँछें,μουστάκι
27,Bart::N,दाढ़ी,γένια
28,Kinn::N,चिबुक,πιγούνι
29,Kiefer[Anatomie]::N,जबड़ा,σαγόνι
30,Kehle::N,गला,λαρύγγι
31,Hals::N,गला,λαιμός
32,Hals::N,गरदन,λαιμός
33,Genick::N,गरदन,σβέρκος
34,Genick::N,ग्रीवा,σβέρκος
35,Kopf::N,सिर,κεφάλι
36,Kopf::N,शीर्ष,κεφάλι
37,Rücken::N,पीठ,ράχη
38,Bauch::N,उदर,κοιλιά
39,Nabel::N,नाभि,αφαλός
40,Nabel::N,ढोंढी,αφαλός
41,Busen::N,कुच,στήθος
42,Busen::N,स्तन,στήθος
43,Brust::N,वक्ष,στήθος
44,Schulter::N,कंधा,ώμος
45,Schulter::N,स्कंध,ώμος
46,Arm::N,बाँह,χέρι
47,Arm::N,बाँह,μπράτςο
48,Arm::N,बाज़ू,χέρι
49,Arm::N,बाज़ू,μπράτςο
50,Ellenbogen::N,कुहनी,αγκώνας
51,Hand::N,हाथ,χέρι
52,Hand::N,हस्त,χέρι
53,Handfläche::N,हथेली,παλάμη
54,Finger::N,उँगली,δάχτυλο
55,Finger::N,अँगुली,δάχτυλο
56,Fingernagel::N,नख,νύχι
57,Fingernagel::N,नाख़ून,νύχι
58,Nagel[Anatomie]::N,नख,νύχι
59,Nagel[Anatomie]::N,नाख़ून,νύχι
60,Zeh::N,उँगली,δάχτυλο του ποδιού
61,Zeh::N,पाँव की उँगली,δάχτυλο του ποδιού
62,Fuß::N,चरण,πόδι
63,Fuß::N,पाँव,πόδι
64,Ferse::N,एड़ी,φτέρνα
65,Knie::N,जानु,γόνατο
66,Knie::N,घुटना,γόνατο
67,Oberschenkel::N,उरु,μηρός
68,Bein::N,टाँग,πόδι
69,Körper::N,तन,σώμα
70,Körper::N,तन,κορμί
71,Körper::N,देह,σώμα
72,Körper::N,देह,κορμί
73,Körper::N,शरीर,σώμα
74,Körper::N,शरीर,κορμί
75,Haut::N,चर्म,πετσί
76,Haut::N,त्वचा,πετσί
77,Blut::N,लहू,αίμα
78,Blut::N,ख़ून,αίμα
79,Ader::N,रग,φλέβα
80,Ader::N,शिरा,φλέβα
81,Sehne::N,कंडरा,νεύρο
82,Sehne::N,कंडरा,τένοντας
83,Sehne::N,स्नायु,νεύρο
84,Sehne::N,स्नायु,τένοντας
85,Knochen::N,अस्थि,οστό
86,Knochen::N,अस्थि,κόκκαλο
87,Gehirn::N,दिमाग़,μυαλό
88,Gehirn::N,दिमाग़,εγκέφαλος
89,Gehirn::N,मस्तिष्क,μυαλό
90,Gehirn::N,मस्तिष्क,εγκέφαλος
91,Herz::N,दिल,καρδιά
92,Herz::N,हृदय,καρδιά
93,Magen::N,मेदा,στομάχι
94,Magen::N,अमाशय,στομάχι
95,Leber::N,जिगर,ήπαρ
96,Leber::N,जिगर,συκωτί
97,Leber::N,यकृत्,ήπαρ
98,Leber::N,यकृत्,συκωτί
99,Atem::N,दम,αναπνοή
100,Atem::N,साँस,αναπνοή
101,Atem::N,श्वास,αναπνοή
102,Hunger::N,भूख,πείνα
103,Hunger::N,क्षुधा,πείνα
104,Träne::N,आँसू,δάκρυ
105,Träne::N,अश्रु,δάκρυ
106,Geschmack::N,स्वाद,γεύση
107,Geschmack::N,ज़ायक़ा,γεύση
108,Geruch::N,बू,οσμή
109,Geruch::N,बू,μυρωδία
110,Geruch::N,गंध,οσμή
111,Geruch::N,गंध,μυρωδία
112,Schlaf::N,नींद,ύπνος
113,Schlaf::N,निद्रा,ύπνος
114,Traum::N,सपना,όνειρο
115,Traum::N,स्वप्न,όνειρο
116,Himmel::N,आकाश,ουρανός
117,Himmel::N,आसमान,ουρανός
118,Sonne::N,रवि,ήλιος
119,Sonne::N,सूरज,ήλιος
120,Sonne::N,सूर्य,ήλιος
121,Mond::N,चाँद,σελήνη
122,Mond::N,चाँद,φεγγάρι
123,Mond::N,चंद्र,σελήνη
124,Mond::N,चंद्र,φεγγάρι
125,Stern::N,तारा,άστρο
126,Stern::N,तारा,αστέρι
127,Stern::N,सितारा,άστρο
128,Stern::N,सितारा,αστέρι
129,Luft::N,हवा,αέρας
130,Luft::N,वायु,αέρας
131,Wind::N,पाद,αέρας
132,Wind::N,पाद,άνεμος
133,Welle::N,लहर,κύμα
134,Welle::N,तरंग,κύμα
135,Wasser::N,जल,νερό
136,Wasser::N,पानी,νερό
137,Stein::N,पत्थर,πέτρα
138,Boden::N,मिट्टी,χώμα
139,Erde::N,भूमि,γη
140,Erde::N,ज़मीन,γη
141,Staub::N,धूल,σκόνη
142,Rauch::N,धूआँ,καπνός
143,Rauch::N,धुम्र,καπνός
144,Funke::N,चिनगारी,σπίθα
145,Funke::N,चिनगारी,σπινθήρας
146,Funke::N,स्फुलिंग,σπίθα
