,Concept_ID,ro,ta
0,Auge::N,ochi,கண்
1,Ohr::N,ureche,காது
2,Nase::N,nas,மூக்கு
3,Mund::N,gură,வாய்
4,Zahn::N,dinte,பல்
5,Zunge::N,limbă,நாக்கு
6,Lippe::N,buză,உதடு
7,Wange::N,bucă,கன்னம்
8,Wange::N,obraz,கன்னம்
9,Gesicht::N,față,முகம்
10,Gesicht::N,figură,முகம்
11,Stirn::N,frunte,முன்னெற்றி
12,Haar::N,păr,முடி
13,Schnurrbart::N,mustață,மீசை
14,Bart::N,barbă,தாடி
15,Kinn::N,bărbie,கீழதாடை
16,Kiefer[Anatomie]::N,falcă,தாடை
17,Kehle::N,beregată,தொண்டை
18,Hals::N,gât,கழுத்து
19,Genick::N,ceafă,கழுத்து
20,Kopf::N,cap,தலை
21,Rücken::N,dos,முதுகு
22,Rücken::N,spate,முதுகு
23,Rücken::N,spinare,முதுகு
24,Bauch::N,burtă,வயிறு
25,Bauch::N,pântece,வயிறு
26,Nabel::N,buric,தொப்புள்
27,Busen::N,sân,மார்பகம்
28,Brust::N,piept, மார்பு
29,Schulter::N,umăr,தோள்பட்டை
30,Schulter::N,spate,தோள்பட்டை
31,Arm::N,braț,கரம்
32,Ellenbogen::N,cot,முழங்கை
33,Hand::N,mână,கை
34,Handfläche::N,palmă,உள்ளங்கை
35,Finger::N,deget,விரல்
36,Fingernagel::N,unghie,விரல் நகம்
37,Nagel[Anatomie]::N,unghie,நகம்
38,Zeh::N,deget de la picior,கால்விரல்
39,Fuß::N,picior,கால்
40,Ferse::N,călcâi,குதிகால்
41,Knie::N,genunchi,முழங்கால்
42,Oberschenkel::N,coapsă,தொடை
43,Bein::N,picior,கால்
44,Körper::N,corp,உடல்
45,Haut::N,piele,சருமம்
46,Blut::N,sânge,இரத்தம்
47,Ader::N,vână,நாளம்
48,Ader::N,arteră,நாளம்
49,Sehne::N,tendon,தசைநார்
50,Knochen::N,os,எலுமபு
51,Gehirn::N,creier,மூனை
52,Herz::N,inimă,இதயம
53,Magen::N,stomac,வயிறு
54,Leber::N,ficat,கல்லீரல்
55,Atem::N,răsuflare,மூச்சு
56,Atem::N,respirație,மூச்சு
57,Hunger::N,foame,பசி
58,Träne::N,lacrimă,கண்ணீர்
59,Geschmack::N,gust,நறுமணம்
60,Geruch::N,miros,துர்நாற்றம்
61,Schlaf::N,somn,தூக்கம்
62,Traum::N,vis,கனவு
63,Himmel::N,cer,வானம்
64,Sonne::N,soare,சூரியன்
65,Mond::N,lună,சந்திரன்
66,Stern::N,stea,நட்சத்திரம்
67,Luft::N,aer,காறறு
68,Wind::N,vânt,காற்று
69,Welle::N,val,அலை
70,Welle::N,undă,அலை
71,Wasser::N,apă,நீர்
72,Stein::N,piatră,கல்
73,Boden::N,sol,தரை
74,Boden::N,pământ,தரை
75,Erde::N,pământ,மண்
76,Staub::N,praf,தூசி
77,Rauch::N,fum,புகை
78,Funke::N,scânteie,தீப்பொறி
79,Feuer::N,foc,தீ
80,Licht::N,lumină,வெளிச்சம்
81,Schatten::N,umbră,நிழல்
82,Wetter::N,timp,வானிலை
83,Wetter::N,vreme,வானிலை
84,Nebel::N,ceață,பனிமூட்டம்
85,Nebel::N,negură,பனிமூட்டம்
86,Wolke::N,nor,மேகம்
87,Regen::N,ploaie,மழை
88,Schnee::N,zăpadă,உறைபனி
89,Eis::N,gheață,பனிக்கட்டி
90,Frost::N,ger,உறைபனி
91,Kälte::N,frig,குளிர்ந்த
92,Hitze::N,arșiță,சூடு
93,Hitze::N,căldură,சூடு
94,Raureif::N,chiciură,உறைபனி வெண்திரை
95,Regenbogen::N,curcubeu,வானவில்
96,Donner::N,tunet,இடி
97,Strömung::N,curent,நீரோட்டம்
98,Tropfen::N,picătură,துளி
99,Schaum::N,spumă,நுரை
100,Schmutz::N,murdărie,அழுக்கு
101,See::N,lac,ஏரி
102,Sumpf::N,mlaștină,சதுப்பு நிலம்
103,Moor::N,bărăgan,முட்புதற்காடு
104,Wiese::N,fânaț,பசும் புல்தரை
105,Wiese::N,livadă,பசும் புல்தரை
106,Wald::N,codru,காடு
107,Wald::N,pădure,காடு
108,Hügel::N,deal,குன்று
109,Hügel::N,movilă,குன்று
110,Anhöhe::N,deal,பதுக்கை
111,Anhöhe::N,ridicătură,பதுக்கை
112,Berg::N,munte,மலை
113,Gipfel::N,pisc,உச்சி மாநாடு
114,Höhle::N,peșteră,குகை
115,Abhang::N,pantă,சரிவு
116,Abhang::N,versant,சரிவு
117,Quelle::N,izvor,மூலம்
118,Bach::N,gârlă,ஓடை
119,Fluss::N,râu,ஆறு
120,Fluss::N,fluviu,ஆறு
121,Ufer::N,mal,நீர்க்கரை
122,Ufer::N,țărm,நீர்க்கரை
123,Küste::N,coastă,கடற்கரை
124,Festland::N,uscat,நிலம்
125,Meer::N,mare,கடல்
126,Bucht::N,golf,சிறுகுடா
127,Insel::N,insulă,தீவு
128,Blume::N,floare,பூ
129,Gras::N,iarbă,புல்தரை
130,Wurzel::N,rădăcină,வேர்
131,Baum::N,copac,மரம்
132,Baum::N,arbore,மரம்
133,Stamm::N,tulpină,அடிமரம்
134,Rinde::N,scoarță,பட்டை
135,Rinde::N,scoarță,மரப்பட்டை
136,Ast::N,cracă,கினை
137,Ast::N,creangă,கினை
138,Zweig::N,ramură,குச்சி
139,Zweig::N,creangă,குச்சி
140,Blatt::N,frunză,இலை
141,Birke::N,mesteacăn,பிர்ச் மரம்
142,Kiefer[Baum]::N,pin,தேவதாரு மரம்
143,Weide[Baum]::N,salcie,மர வகைகளுள் ஒன்று
144,Weide[Baum]::N,răchită,மர வகைகளுள் ஒன்று
145,Tanne::N,brad,சாதிக்கய்
146,Horn::N,corn,கொம்பு
147,Feder::N,pană,இறகு
