,Concept_ID,eu,xal
0,Auge::N,begi,нүдн
1,Ohr::N,belarri,чикн
2,Nase::N,sudur,хамр
3,Mund::N,aho,амн
4,Zahn::N,hortz,шүдн
5,Zunge::N,mihi,келн
6,Lippe::N,ezpain,урл
7,Wange::N,masail,халх
8,Gesicht::N,aurpegi,нүр
9,Stirn::N,bekoki,маңна
10,Haar::N,ile,үсн
11,Haar::N,bilo,үсн
12,Schnurrbart::N,bibote,сахл
13,Schnurrbart::N,sudurpeko,сахл
14,Bart::N,bizar,сахл
15,Bart::N,bizar,өргнә сахл
16,Kinn::N,kokots,өргн
17,Kiefer[Anatomie]::N,masailezur,өргн
18,Kehle::N,eztarri,хол
19,Hals::N,sama,күзүн
20,Genick::N,garondo,гиҗг
21,Kopf::N,buru,толһа
22,Rücken::N,bizkar,нурһн
23,Bauch::N,sabel,гесн
24,Nabel::N,zilbor,киисн
25,Busen::N,titi,көкн
26,Busen::N,ugatz,көкн
27,Brust::N,bular,чееҗ
28,Schulter::N,besaburu,ээм
29,Arm::N,beso,һар
30,Ellenbogen::N,ukondo,тоха
31,Hand::N,esku,баһлцг
32,Handfläche::N,ahur,альхн
33,Finger::N,hatz,хурһн
34,Finger::N,hatz,һарин хурһн
35,Fingernagel::N,azazkal,хумсн
36,Nagel[Anatomie]::N,azazkal,хумсн
37,Zeh::N,behatz,хурһн
38,Zeh::N,behatz,көлин хурһн
39,Fuß::N,oin,тавг
40,Ferse::N,orpo,өскә
41,Ferse::N,oinburu,өскә
42,Knie::N,belaun,өвдг
43,Oberschenkel::N,izter,һуй
44,Bein::N,zango,көл
45,Körper::N,soin,махмуд
46,Haut::N,azal,арсн
47,Blut::N,odol,цусн
48,Ader::N,zain,судцн
49,Sehne::N,gihar-zain,шүрүсн
50,Knochen::N,hezur,ясн
51,Gehirn::N,garun,экн
52,Gehirn::N,burmuin,экн
53,Herz::N,bihotz,зүркн
54,Magen::N,urdail,гесн
55,Leber::N,gibel,элкн
56,Atem::N,hats,әмсхл
57,Atem::N,arnasa,әмсхл
58,Hunger::N,gose,харһнлһн
59,Träne::N,malko,нульмсн
60,Geschmack::N,dasta,амтн
61,Geruch::N,usain,үнр
62,Schlaf::N,lo,нөр
63,Traum::N,amets,зүүдн
64,Himmel::N,zeru,теңгр
65,Sonne::N,eguzki,нарн
66,Mond::N,ilargi,сар
67,Stern::N,izar,одн
68,Luft::N,aire,аһар
69,Wind::N,haize,салькн
70,Welle::N,uhin,дольган
71,Welle::N,olatu,дольган
72,Wasser::N,ur,усн
73,Stein::N,harri,чолун
74,Boden::N,lur,Һазр
75,Boden::N,zoru,Һазр
76,Erde::N,lur,Һазр
77,Staub::N,hauts,тоосн
78,Rauch::N,ke,утан
79,Funke::N,zirta,очн
80,Funke::N,txinparta,очн
81,Feuer::N,su,һал
82,Licht::N,argi,герл
83,Schatten::N,itzal,сүүдр
84,Schatten::N,geriza,сүүдр
85,Wetter::N,eguraldi,теңгр
86,Nebel::N,laino,будн
87,Wolke::N,hodei,үүлн
88,Regen::N,euri,хур
89,Schnee::N,elur,цасн
90,Eis::N,horma,мөсн
91,Frost::N,izotzaldi,киитн
92,Kälte::N,hotz,киитн
93,Hitze::N,bero,халун
94,Raureif::N,antzigar,цаң
95,Raureif::N,antzigar,кирү
96,Regenbogen::N,ostadar,солңһ
97,Regenbogen::N,ortzadar,солңһ
98,Donner::N,ostots,оһтрһун дун
99,Donner::N,ihurtzuri,оһтрһун дун
100,Strömung::N,laster,урсхл
101,Tropfen::N,xorta,дусал
102,Schaum::N,bits,көөсн
103,Schmutz::N,lohi,кир
104,Schmutz::N,zikin,кир
105,See::N,laku,нур
106,See::N,aintzira,нур
107,Sumpf::N,zingira,унул
108,Moor::N,zohikaztegi,улм
109,Wiese::N,larre,хадлһн
110,Wiese::N,belardi,хадлһн
111,Wald::N,baso,ө-модн
112,Wald::N,oihan,ө-модн
113,Hügel::N,muino,толһа
114,Hügel::N,pentoka,толһа
115,Anhöhe::N,garai,хамр
116,Anhöhe::N,goragune,хамр
117,Berg::N,mendi,уул
118,Gipfel::N,gain,ора
119,Gipfel::N,tontor,ора
120,Höhle::N,kobazulo,хадин көндә
121,Abhang::N,aldapa,ташу
122,Quelle::N,iturri,булг
123,Quelle::N,iturbegi,булг
124,Bach::N,lats,һооҗур
125,Bach::N,erreka,һооҗур
126,Fluss::N,ibai,һол
127,Fluss::N,uhaitz,һол
128,Ufer::N,bazter,көвә
129,Küste::N,itsasalde,көвә
130,Küste::N,itsasalde,теңгсин көвә
131,Festland::N,lehor,хүүрә һазр
132,Meer::N,itsaso,теңгс
133,Bucht::N,golko,цекә
134,Bucht::N,golko,теңгсин цекә
135,Insel::N,irla,арл
136,Insel::N,uharte,арл
137,Blume::N,lili,цецг
138,Gras::N,belar,ноһан
139,Wurzel::N,zuztar,уңг
140,Wurzel::N,sustrai,уңг
141,Baum::N,zuhaitz,модн
142,Stamm::N,enbor,шилв
143,Stamm::N,enbor,һол модн
144,Rinde::N,azal,көрсн
145,Ast::N,adar,ац
146,Zweig::N,abar,ац
147,Blatt::N,hosto,хамтхасн
148,Birke::N,urki,хусм модн
149,Kiefer[Baum]::N,ler,шар харһа
150,Weide[Baum]::N,zume,удн
151,Weide[Baum]::N,sahats,удн
152,Tanne::N,izei,җөөлн цаһан модн
153,Horn::N,adar,өвр
154,Feder::N,luma,өрвлг
155,Feder::N,hegaki,өрвлг
156,Fell::N,ile,арсн
157,Fell::N,larru,арсн
158,Flügel::N,hego,җивр
159,Klaue::N,atzapar,хумсн
160,Kralle::N,erpe,тавг
161,Kralle::N,atzapar,тавг
162,Schwanz::N,isats,сүл
163,Schwanz::N,buztan,сүл
164,Ei::N,arrautza,өндгн
165,Nest::N,habia,үр
166,Bau::N,ohantze,нүкн
167,Tier::N,abere,мал
168,Tier::N,piztia,мал
169,Herde::N,saldo,сүрг мал
170,Herde::N,abere talde,сүрг мал
171,Kuh::N,behi,үкр
172,Bulle::N,zezen,бух
173,Pferd::N,zaldi,мөрн
174,Schaf::N,ardi,хөн
175,Schwein::N,urde,һаха
176,Schwein::N,txerri,һаха
177,Hund::N,txakur,ноха
178,Katze::N,katu,мис
179,Bär::N,hartz,аю
180,Eichhörnchen::N,urtxintxa,кермн
181,Elch::N,altze,хандһа
182,Fuchs::N,azeri,арат
183,Hase::N,erbi,туула
184,Maus::N,sagu,хулһн
185,Wolf::N,otso,чон
186,Vogel::N,txori,шовун
187,Vogel::N,hegazti,шовун
188,Schwarm::N,aldra,зел
189,Huhn::N,oilo,така
190,Hahn::N,oilar,эр така
191,Gans::N,antzara,һалун
192,Adler::N,arrano,һәрд
193,Ente::N,ahate,нуһсн
194,Eule::N,hontza,һурвлһ
195,Kranich::N,kurrilo,тоһрун
196,Krähe::N,bele,шаазһа
197,Kuckuck::N,kuku,эргин хуцдг
198,Schwan::N,beltxarga,хун
199,Fisch::N,arrain,заһсн
200,Barsch::N,perka,шүрг
201,Hecht::N,lutxo,цурх
202,Schlange[Tier]::N,suge,моһа
203,Wurm::N,har,өтн
204,Spinne::N,armiarma,аралҗн
205,Ameise::N,inurri,шорһлҗн
206,Laus::N,zorri,бөөсн
207,Mücke::N,eltxo,бөкүн
208,Fliege::N,euli,батхн
209,Schmetterling::N,pinpirin,эрвәкә
210,Schmetterling::N,tximeleta,эрвәкә
211,Beere::N,baia,бөөлҗрһн
212,Apfel::N,sagar,альмн
213,Pilz::N,onddo,теңгрин ки
214,Pilz::N,perretxiko,теңгрин ки
215,Zwiebel::N,tipula,мәңгрснә толһа
216,Saat::N,haziak,буудян экн
217,Korn::N,ale,экн
218,Korn::N,pikor,экн
219,Heu::N,belar ondu,өвсн
220,Schale::N,azal,хальсн
221,Grube::N,hobi,нүкн
222,Falle::N,harrapagailu,урх
223,Falle::N,harrapagailu,хавх
224,Schlinge::N,bilur,бүтү
225,Schlinge::N,xedera,бүтү
226,Spur::N,lorratz,мөр
227,Asche::N,errauts,үмсн
228,Dreck::N,satsukeria,бальчг
229,Eisen::N,burdina,төмр
230,Gold::N,urre,алтн
231,Gold::N,urregorri,алтн
232,Silber::N,zilar,мөңгн
233,Silber::N,zilar,цаһан мөңгн
234,Silber::N,urrezuri,мөңгн
235,Silber::N,urrezuri,цаһан мөңгн
236,Kohle::N,ikatz,нүүрсн
237,Glas::N,beira,шил
238,Lehm::N,buztin,шавр
239,Sand::N,harea,элсн
240,Sand::N,hondar,элсн
241,Mensch::N,gizaki,күн
242,Mensch::N,gizaki,күмн
243,Mann::N,gizon,эр
244,Frau::N,andere,күүкд күн
245,Frau::N,emakume,күүкд күн
246,Kind::N,haur,үрн
247,Junge::N,mutil,көвүн
248,Mädchen::N,neska,бичкн күүкн
249,Familie::N,sendi,бүл
250,Familie::N,familia,бүл
251,Großvater::N,aitona,өвк эцк
252,Großvater::N,aitona,наһц эцк
253,Großvater::N,aitatxi,өвк эцк
254,Großvater::N,aitatxi,наһц эцк
255,Großmutter::N,amona,эмг эк
256,Großmutter::N,amona,наһц эк
257,Großmutter::N,amatxi,эмг эк
258,Großmutter::N,amatxi,наһц эк
259,Eltern::N,gurasoak,эк эцк хойр
260,Vater::N,aita,эцк
261,Mutter::N,ama,эк
262,Sohn::N,seme,көвүн
263,Tochter::N,alaba,күүкн
264,Bruder::N,neba,дү көвүн
265,Bruder::N,anaia,дү көвүн
266,Schwester::N,ahizpa,эгч
267,Schwester::N,ahizpa,дү күүкн
268,Onkel::N,osaba,авһ
269,Onkel::N,osaba,наһцх
270,Tante::N,izeba,наһц эгч
271,Ehemann::N,senar,залу
272,Ehefrau::N,emazte,гергн
273,Freude::N,poz,байр
274,Freude::N,pozkari,байр
275,Gelächter::N,barre,инәдн
276,Gelächter::N,karkara,инәдн
277,Glück::N,zori,җирһл
278,Glück::N,zori,сәәхн җирһл
279,Kummer::N,xangrin,зовлң
280,Kummer::N,atsekabe,зовлң
281,Wunsch::N,nahi,дурн
282,Wunsch::N,nahikunde,дурн
283,Lust::N,gogo,җилвтлһн
284,Geist::N,gogo,зөрг
285,Gedanke::N,gogoeta,ухан
286,Gedächtnis::N,oroimen,чееҗин тодлвр
287,Gedächtnis::N,gogoramen,чееҗин тодлвр
288,Verstand::N,adimen,ухан
289,Verstand::N,ulermen,ухан
290,Sinn::N,zentzu,учр-утх
291,Grund::N,zergati,учр
292,Grund::N,zergati,шалтан
293,Wahrheit::N,egia,үнн
294,Gespräch::N,hizketa,күүндвүр
295,Gespräch::N,elkarrizketa,күүндвүр
296,Märchen::N,ipuin,тууль
297,Erzählung::N,edesti,келвр
298,Erzählung::N,kontakizun,келвр
299,Nachricht::N,albiste,медүллһн
300,Neuigkeit::N,berri,зәңг
301,Name::N,izen,нерн
302,Rätsel::N,asmakizun,тәәлвртә тууль
303,Rede::N,hitzaldi,келлһн
304,Rede::N,mintzaldi,келлһн
305,Sprache::N,hizkuntza,келн
306,Stimme::N,ahots,дун
307,Wort::N,hitz,үг
308,Zeichen::N,agerbide,темдг
309,Zeichen::N,agergarri,темдг
310,Ruf::N,dei,дуудлһн
311,Lärm::N,zarata,шууган
312,Lärm::N,harrabots,шууган
313,Laut::N,hots,ә
314,Ton::N,tonu,дун
315,Ton::N,soinu,дун
316,Lied::N,abesti,дун
317,Ruhe::N,nasaitasun,амулң
318,Leute::N,jende,әмтн
319,Volk::N,herri,улс
320,Volk::N,populu,улс
321,Arbeit::N,lan,көдлмш
322,Gast::N,arrotz,гиич
323,Gast::N,apopilo,гиич
324,Geschenk::N,opari,белг
325,Spiel::N,jolas,наадн
326,Gesellschaft::N,gizarte,олн
327,Hilfe::N,helpide,нөкд
328,Hilfe::N,laguntza,нөкд
329,Freund::N,lagun,иньг
330,Kamerad::N,adiskide,үр
331,Kamerad::N,lagunkide,үр
332,Angelegenheit::N,afera,керг
333,Anzahl::N,kopuru,то
334,Art::N,mota,зүүл
335,Stück::N,puska,хусг
336,Teil::N,atal,хүв
337,Hälfte::N,erdi,өрәл
338,Kreis::N,biribilki,төгрг
339,Kreuz::N,gurutze,кирс
340,Linie::N,linea,зурасн
341,Strich::N,marra,татасн
342,Abstand::N,tarte,зә
343,Entfernung::N,urrunera,һазр
344,Gegend::N,alderdi,һазр
345,Gegend::N,eskualde,һазр
346,Platz::N,leku,зә
347,Ort::N,toki,бәәрн
348,Seite::N,albo,тал
349,Seite::N,albo,хаҗу
350,Seite::N,albo,хәврһ
351,Mitte::N,erdi,дунд
352,Gegenstand::N,gauzaki,юмн
353,Sache::N,gauza,юмн
354,Rand::N,ertz,зах
355,Kante::N,ertz,ирмәг
356,Ecke::N,kantoi,өнцг
357,Spitze::N,punta,үзүр
358,Ende::N,buru,үзүр
359,Ende::N,mutur,үзүр
360,Loch::N,zulo,хаһрха
361,Winkel::N,zoko,булң
362,Winkel::N,bazter,булң
363,Muster::N,eredu,намч
364,Muster::N,marrazki,намч
365,Größe::N,kaizu,кемҗән
366,Größe::N,tamaina,кемҗән
367,Länge::N,luzera,ут
368,Höhe::N,goiera,өндр
369,Höhe::N,garaiera,өндр
370,Gewicht::N,hazta,күнд
371,Gewicht::N,hazta,чиңнүр
372,Menge::N,kopuru,ик
373,Haufen::N,pila,ова
374,Haufen::N,mendoi,ова
375,Reihe::N,ilara,зерг
376,Reihe::N,ilara,зерглән
377,Reihe::N,errenkada,зерг
378,Reihe::N,errenkada,зерглән
379,Boot::N,potin,оңһц
380,Boot::N,txalupa,оңһц
381,Ruder::N,arraun,хәәв
382,Schlitten::N,lera,цан
383,Schlitten::N,narra,цан
384,Ski::N,eski,лыҗ
385,Lagerfeuer::N,su,костёр
386,Last::N,zama,күнд
387,Last::N,karga,күнд
388,Gang::N,ibilera,йовлһн
389,Schritt::N,pauso,ишкм
390,Schritt::N,urrats,ишкм
391,Norden::N,ipar,ар үзг
392,Norden::N,iparralde,ар үзг
393,Süden::N,hego,өмн
394,Süden::N,hego,өмн үзг
395,Süden::N,hegoalde,өмн
396,Süden::N,hegoalde,өмн үзг
397,Westen::N,sartalde,барун
398,Westen::N,sartalde,барун үзг
399,Westen::N,mendebalde,барун
400,Westen::N,mendebalde,барун үзг
401,Osten::N,ekialde,зүн
402,Osten::N,ekialde,зүн үзг
403,Osten::N,sortalde,зүн
404,Osten::N,sortalde,зүн үзг
405,Holz::N,zur,модн
406,Brett::N,ohol,харһа
407,Platte::N,lauza,хавтха чолун
408,Stütze::N,irozgarri,тулг
409,Stütze::N,bermagailu,тулг
410,Stange::N,haga,уньн
411,Stock::N,makila,модн
412,Stab::N,makila,шуург
413,Rohr::N,hodi,турва
414,Haus::N,etxe,гер
415,Heim::N,etxe,гер-бул
416,Heim::N,etxaleku,гер-бул
417,Ofen::N,berogailu,беш
418,Fußboden::N,zoru,девскр
419,Tisch::N,mahai,ширә
420,Stuhl::N,aulki,стул
421,Wiege::N,kuma,өлгә
422,Wiege::N,kuma,дүүҗң
423,Wiege::N,sehaska,өлгә
424,Wiege::N,sehaska,дүүҗң
425,Bett::N,ohe,орн
426,Bett::N,ohe,орндг
427,Bett::N,ohatze,орн
428,Bett::N,ohatze,орндг
429,Regal::N,apalategi,таг
430,Regal::N,apalategi,тәвц
431,Kiste::N,kutxa,яршг
432,Fenster::N,leiho,терз
433,Tür::N,ate,үүдн
434,Tor::N,atari,үүдн
435,Tor::N,atari,өргн үүдн
436,Tor::N,atari,хашан үүдн
437,Zaun::N,hesi,хаша
438,Dach::N,teilatu,деевр
439,Leiter::N,zurubi,шат
440,Leiter::N,zurubi,давшур
441,Besen::N,erratz,сәвүр
442,Spaten::N,burdinpala,күрз
443,Schaufel::N,pala,совг
444,Gabel::N,sardexka,серә
445,Löffel::N,koilara,ухр
446,Messer::N,aizto,утх
447,Nagel::N,iltze,хадасн
448,Netz::N,sare,гөлм
449,Haken::N,mako,дегә
450,Griff::N,eskutoki,иш
451,Griff::N,eskutoki,бәрүл
452,Schloss::N,sarraila,оньс
453,Bild::N,irudi,зург
454,Figur::N,figura,фигур
455,Puppe::N,panpina,наадһа
456,Puppe::N,andrakila,наадһа
457,Beutel::N,zorro,мишг
458,Bündel::N,azao,багла
459,Bündel::N,azao,боодһа
460,Bündel::N,espal,багла
461,Bündel::N,espal,боодһа
462,Tasche::N,poltsa,сумк
463,Eimer::N,treska,суулһ
464,Deckel::N,tapa,бүркәсн
465,Deckel::N,estalki,бүркәсн
466,Geschirr::N,baxera,сав
467,Geschirr::N,baxera,сав-сарх
468,Geschirr::N,ontziteria,сав
469,Geschirr::N,ontziteria,сав-сарх
470,Sack::N,zaku,мишг
471,Tasse::N,kikara,ааһ
472,Topf::N,ontzi,кастрюль
473,Topf::N,lapiko,кастрюль
474,Kessel::N,pazia,хәәсн
475,Essen::N,janaldi,зоогллһн
476,Nahrung::N,jan,теҗәл
477,Speise::N,jaki,хот
