,Concept_ID,sah,udm
0,Auge::N,харах,син
1,Ohr::N,кулгаах,пель
2,Nase::N,мурун,ныр
3,Mund::N,айах,ым
4,Zahn::N,тиис,пинь
5,Zunge::N,тыл,кыл
6,Lippe::N,уос,ымдур
7,Wange::N,иэдэс,бам
8,Gesicht::N,сирэй,ымныр
9,Stirn::N,сүүс,кымес
10,Haar::N,баттах,йырси
11,Schnurrbart::N,уос бытыга,мыйык
12,Bart::N,сэҥийэ бытыга,туш
13,Kinn::N,сэҥийэ,ангес
14,Kiefer[Anatomie]::N,сыҥаах,ан
15,Kiefer[Anatomie]::N,сыҥаах,анлы
16,Kehle::N,тамах,гульым
17,Kehle::N,күөмэй,гульым
18,Hals::N,моой,чырты
19,Genick::N,кэтэх,йырбер
20,Kopf::N,бас,йыр
21,Rücken::N,көҕүс,мыш
22,Bauch::N,ис,кӧт
23,Nabel::N,киин,гогы
24,Busen::N,эмиий,ноны
25,Brust::N,түөс,мӧля
26,Schulter::N,сарын,пельпум
27,Arm::N,илии,суй
28,Ellenbogen::N,тоҕонох,гырпум
29,Hand::N,илии,ки
30,Handfläche::N,ытыс,ки пыдэс
31,Handfläche::N,ытыс,кырым пыдэс
32,Finger::N,тарбах,чиньы
33,Fingernagel::N,тыҥырах,гижы
34,Fingernagel::N,тыҥырах,гиждӥнь
35,Nagel[Anatomie]::N,тыҥырах,гижы
36,Zeh::N,тарбах,пыдчиньы
37,Fuß::N,уллуҥах,пыд
38,Ferse::N,тилэх,пыдбер
39,Knie::N,тобук,пыдес
40,Knie::N,дьилбэк,пыдес
41,Oberschenkel::N,уллук,макес
42,Oberschenkel::N,өттүк,макес
43,Bein::N,атах,пыд
44,Körper::N,бэйэ,мугор
45,Körper::N,бэйэ,вылтыр
46,Haut::N,тирии,ку
47,Blut::N,хаан,вир
48,Ader::N,вена,вирсэр
49,Ader::N,күөх_тымыр,вирсэр
50,Sehne::N,иҥиир,вуж
51,Knochen::N,уҥуох,лы
52,Knochen::N,уҥгуох,лы
53,Gehirn::N,мэйии,вим
54,Herz::N,сүрэх,сюлэм
55,Magen::N,куртах,ӝуш
56,Leber::N,быар,мус
57,Atem::N,тыын,лул
58,Atem::N,тыын,шокан
59,Hunger::N,аас,кӧтсюман
60,Träne::N,харах уута,синкыли
61,Geschmack::N,амтан,шӧм
62,Geruch::N,сыт,зын
63,Schlaf::N,утуйуу,вӧт
64,Traum::N,түүл,уйвӧт
65,Himmel::N,халлаан,ин
66,Sonne::N,күн,шунды
67,Mond::N,ый,толэзь
68,Stern::N,сулус,кизили
69,Luft::N,салгын,омыр
70,Wind::N,тыал,тӧл
71,Welle::N,долгун,тулкым
72,Welle::N,балхаан,тулкым
73,Wasser::N,уу,ву
74,Stein::N,таас,из
75,Boden::N,сир,музъем
76,Erde::N,буор,му
77,Staub::N,быыл,пыль
78,Rauch::N,буруо,ӵын
79,Funke::N,кыым,гизьы
80,Feuer::N,уот,тыл
81,Licht::N,уот,тыл
82,Schatten::N,күлүк,вужер
83,Wetter::N,күн-дьыл,куазь
84,Nebel::N,туман,бус
85,Wolke::N,былыт,пилем
86,Regen::N,самыыр,зор
87,Schnee::N,хаар,лымы
88,Eis::N,муус,йӧ
89,Frost::N,тымныы,кезьыт
90,Kälte::N,тымныы,кезьыт
91,Hitze::N,куйаас,пӧсь
92,Raureif::N,кырыа,гӧр
93,Regenbogen::N,кустук,вуюись
94,Donner::N,этиҥ,гудыри
95,Strömung::N,сүүрүк,бызён
96,Tropfen::N,таммах,шапык
97,Tropfen::N,хааппыла,шапык
98,Schaum::N,күүгэн,шукы
99,Schmutz::N,кир,нӧд
100,Schmutz::N,кир,дэри
101,See::N,күөл,ты
102,Sumpf::N,бадараан,нюр
103,Moor::N,дьэбэрэ,нюр
104,Wiese::N,ходуһа,возь
105,Wiese::N,ходуһа,возьвыл
106,Wald::N,ойуур,сик
107,Wald::N,ойуур,нюлэс
108,Hügel::N,булгунньах,выр
109,Hügel::N,булгунньах,вырйыл
110,Anhöhe::N,үрдэл,выр
111,Anhöhe::N,үрдэл,вырйыл
112,Berg::N,хайа,гурезь
113,Gipfel::N,чыпчаал,йыл
114,Höhle::N,хайа_хаспаҕа,гу
115,Höhle::N,көҥүс,гу
116,Abhang::N,эниэ,бам
117,Quelle::N,дьүүктэ,ошмес
118,Bach::N,үрүйэ,пичи шур
119,Fluss::N,өрүс,шур
120,Ufer::N,биэрэк,ярдур
121,Küste::N,кытыл,вудур
122,Festland::N,кураанах сир,мувыр
123,Meer::N,муора,зарезь
124,Bucht::N,хомо,вукож
125,Bucht::N,бухта,вукож
126,Insel::N,арыы,вумуӵ
127,Insel::N,арыы,шормуӵ
128,Blume::N,сибэкки,сяська
129,Gras::N,от,турын
130,Wurzel::N,силис,выжы
131,Baum::N,мас,пу
132,Stamm::N,умнас,модос
133,Rinde::N,хатырык,сул
134,Ast::N,мутук,ул
135,Zweig::N,лабаа,вай
136,Blatt::N,сэбирдэх,куар
137,Birke::N,хатыҥ,кызьпу
138,Kiefer[Baum]::N,бэс,пужым
139,Weide[Baum]::N,үөт,бадьпу
140,Weide[Baum]::N,талах,бадьпу
141,Tanne::N,харыйа,кыз
142,Horn::N,муос,сюр
143,Feder::N,куорсун,тылы
144,Fell::N,тирии,ку
145,Flügel::N,кынат,бурд
146,Klaue::N,тыҥырах,гижы
147,Kralle::N,баппаҕай,пыд
148,Schwanz::N,кутурук,быж
149,Ei::N,сымыыт,пуз
150,Ei::N,сымыыт,кукей
151,Nest::N,уйа,кар
152,Nest::N,уйа,пузкар
153,Bau::N,хороон,кар
154,Bau::N,хороон,гу
155,Tier::N,кыыл,пӧйшур
156,Tier::N,харамай,пӧйшур
157,Herde::N,үөр,уллё
158,Kuh::N,ынах,скал
159,Bulle::N,оҕус,ош
160,Bulle::N,оҕус,пороз
161,Pferd::N,сылгы,вал
162,Schaf::N,овца,ыж
163,Schwein::N,сибиинньэ,парсь
164,Hund::N,ыт,пуны
165,Katze::N,куоска,коӵыш
166,Bär::N,эһэ,гондыр
167,Eichhörnchen::N,тииҥ,коньы
168,Elch::N,тайах,койык
169,Fuchs::N,саһыл,ӟичы
170,Hase::N,куобах,кеч
171,Maus::N,кутуйах,шыр
172,Wolf::N,бөрө,кион
173,Vogel::N,көтөр,тылобурдо
174,Schwarm::N,бөлөх,уллё
175,Huhn::N,куурусса,курег
176,Hahn::N,бөтүүк,атас
177,Gans::N,хаас,ӟазег
178,Adler::N,хотой,ӧрзи
179,Ente::N,кус,ӵӧж
180,Eule::N,мэкчиргэ,кучыран
181,Kranich::N,туруйа,тури
182,Krähe::N,тураах,куака
183,Kuckuck::N,кэҕэ,кикы
184,Schwan::N,куба,юсь
185,Fisch::N,балык,чорыг
186,Barsch::N,алыһар,юш
187,Hecht::N,сордон,чипей
188,Schlange[Tier]::N,моҕой,кый
189,Schlange[Tier]::N,эриэн үөн,кый
190,Wurm::N,үөн,нумыр
191,Spinne::N,ооҕуй,чонари
192,Ameise::N,кымырдаҕас,кузьыли
193,Laus::N,быт,тэй
194,Mücke::N,кумаар,нымы
195,Mücke::N,кумаар,чибинь
196,Fliege::N,сахсырҕа,кут
197,Schmetterling::N,лыах,бубыли
198,Schmetterling::N,үрүмэччи,бубыли
199,Beere::N,отон,узы-боры
200,Apfel::N,яблоко,яблок
201,Pilz::N,тэллэй,губи
202,Zwiebel::N,луук,сугон
203,Saat::N,сиэмэ,кидыс
204,Korn::N,сиэмэ,тысь
205,Heu::N,от,турын
206,Schale::N,хах,кыд
207,Grube::N,дьаама,гу
208,Grube::N,дьаама,гоп
209,Falle::N,сохсо,налик
210,Schlinge::N,уктаа,гиӟ
211,Schlinge::N,уктаа,герд
212,Spur::N,суол,пытьы
213,Spur::N,суол,бервыл
214,Asche::N,күл,пень
215,Dreck::N,бадараан,дэри
216,Eisen::N,тимир,корт
217,Gold::N,көмүс,зарни
218,Gold::N,кыһыл көмүс,зарни
219,Silber::N,көмүс,азвесь
220,Silber::N,үрүҥ көмүс,азвесь
221,Kohle::N,чох,эгыр
222,Glas::N,өстүөкүлэ,стекло
223,Glas::N,өстүөкүлэ,пияла
224,Lehm::N,туой,сюй
225,Sand::N,кумах,луо
226,Mensch::N,киһи,мурт
227,Mensch::N,киһи,адями
228,Mann::N,эр,воргорон
229,Frau::N,дьахтар,кышномурт
230,Kind::N,оҕо,нуны
231,Kind::N,оҕо,пинал
232,Junge::N,уол,пи
233,Mädchen::N,кыыс оҕо,ныл
234,Familie::N,кэргэн,семья
235,Großvater::N,эһэ,песятай
236,Großvater::N,эһэ,пересь атай
237,Großmutter::N,эбэ,песянай
238,Großmutter::N,эбэ,пересь анай
239,Eltern::N,аҕа-ийэ,атай-анай
240,Eltern::N,аҕа-ийэ,бубы-мумы
241,Vater::N,аҕа,айы
242,Vater::N,аҕа,атай
243,Mutter::N,ийэ,мумы
244,Sohn::N,уол,пи
245,Tochter::N,кыыс,ныл
246,Bruder::N,убай,агай
247,Bruder::N,быраат,агай
248,Schwester::N,аҕас,апа
249,Schwester::N,аҕас,сузэр
250,Schwester::N,балыс,апа
251,Schwester::N,балыс,сузэр
252,Onkel::N,таай,агай
253,Onkel::N,абаҕа,агай
254,Tante::N,эдьиий,апа
255,Tante::N,эдьиий,кенак
256,Ehemann::N,эр,карт
257,Ehefrau::N,ойох,кышно
258,Freude::N,үөрүү,шумпотон
259,Gelächter::N,күлүү,горем
260,Glück::N,дьол,шуд
261,Glück::N,соргу,шуд
262,Kummer::N,кутурҕан,кайгу
263,Kummer::N,кутурҕан,куректон
