,Concept_ID,de,kn
0,Auge::N,Auge,ಕಣ್ಣು
1,Ohr::N,Ohr,ಕಿವಿ
2,Nase::N,Nase,ಮೂಗು
3,Mund::N,Mund,ಬಾಯಿ
4,Zahn::N,Zahn,ಹಲ್ಲು
5,Zunge::N,Zunge,ನಾಲಿಗೆ
6,Lippe::N,Lippe,ತುಟಿ
7,Wange::N,Wange,ಗಲ್ಲ
8,Gesicht::N,Gesicht,ಮುಖ
9,Stirn::N,Stirn,ಹಣೆ
10,Haar::N,Haar,ಕೂದಲು
11,Schnurrbart::N,Schnurrbart,ಮೀಸೆ
12,Bart::N,Bart,ಗಡ್ಡ
13,Kinn::N,Kinn,ಗದ್ದ
14,Kiefer[Anatomie]::N,Kiefer,ದವಡೆ
15,Kehle::N,Kehle,ಗಂಟಲು
16,Hals::N,Hals,ಕೊರಳು
17,Genick::N,Genick,ಹಿಂಗತ್ತು
18,Kopf::N,Kopf,ತಲೆ
19,Rücken::N,Rücken,ಬೆನ್ನು
20,Bauch::N,Bauch,ಹೊಟ್ಟೆ
21,Nabel::N,Nabel,ಹೊಕ್ಕುಳು
22,Busen::N,Busen,ಸ್ತನ
23,Brust::N,Brust,ಎದೆ
24,Schulter::N,Schulter,ಭುಜ
25,Arm::N,Arm,ತೋಳು
26,Ellenbogen::N,Ellenbogen,ಮೊಣಕೈ
27,Hand::N,Hand,ಕೈ
28,Handfläche::N,Handfläche,ಅಂಗೈ
29,Finger::N,Finger,ಕೈಬೆರಳು
30,Fingernagel::N,Fingernagel,ಉಗುರು
31,Nagel[Anatomie]::N,Nagel,ಉಗುರು
32,Zeh::N,Zeh,ಕಾಲ್ಬೆರಳು
33,Fuß::N,Fuß,ಪಾದ
34,Ferse::N,Ferse,ಹಿಮ್ಮಡಿ
35,Knie::N,Knie,ಮಂಡಿ
36,Oberschenkel::N,Oberschenkel,ತೊಡೆ
37,Bein::N,Bein,ಕಾಲು
38,Körper::N,Körper,ದೇಹ
39,Haut::N,Haut,ಚರ್ಮ
40,Blut::N,Blut,ರಕ್ತ
41,Ader::N,Ader,ನರ
42,Sehne::N,Sehne,ನರ
43,Knochen::N,Knochen,ಮೂಳೆ
44,Gehirn::N,Gehirn,ಮಿದುಳು
