,Concept_ID,hr,mrj
0,Auge::N,oko,сӹнзӓ
1,Ohr::N,uho,пӹлӹш
2,Nase::N,nos,нер
3,Mund::N,usta,ышма
4,Zahn::N,zub,пӱ
5,Zunge::N,jezik,йӹлмӹ
6,Lippe::N,usna,тӹрвӹ
7,Wange::N,obraz,шӹргӹ
8,Gesicht::N,lice,лицӓ
9,Stirn::N,čelo,лепкӓ
10,Haar::N,kosa,ӱп
11,Schnurrbart::N,brkovi,öрш
12,Bart::N,brada,пандаш
13,Kinn::N,brada,онгылаш
14,Kinn::N,podbradak,онгылаш
15,Kiefer[Anatomie]::N,čeljust,пӱ арата
16,Kehle::N,grlo,логер
17,Hals::N,vrat,шӱ
18,Genick::N,zatiljak,ланга
19,Kopf::N,glava,вуй
20,Rücken::N,leđa,туп
21,Rücken::N,hrbat,туп
22,Bauch::N,trbuh,мӹшкӹр
23,Nabel::N,pupak,кӹлӹмдӹ
24,Busen::N,sisa,цӹзӹ
25,Busen::N,njedra,цӹзӹ
26,Brust::N,prsa,мел
27,Schulter::N,rame,ӹнгӹжӓ
28,Schulter::N,pleći,ӹнгӹжӓ
29,Arm::N,ruka,кид
30,Ellenbogen::N,lakat,кӹнервуй
31,Hand::N,ruka,лапа
32,Handfläche::N,dlan,кид лапа
33,Finger::N,prst,парня
34,Fingernagel::N,nokat,кӹч
35,Nagel[Anatomie]::N,nokat,кӹч
36,Zeh::N,nozni prst,парня
37,Fuß::N,noga,ял лапа
38,Fuß::N,stopalo,ял лапа
39,Ferse::N,peta,ялгавал
40,Ferse::N,peta,ял кавал
41,Knie::N,koljeno,пылвуй
42,Oberschenkel::N,bedro,ӓрдӹ
43,Bein::N,noga,ял
44,Körper::N,tijelo,монгыр
45,Haut::N,put,кавашты
46,Haut::N,koža,кавашты
47,Blut::N,krv,вӹр
48,Ader::N,žila,вӹршӓр
49,Sehne::N,tetiva,кукшышӱн
50,Knochen::N,kost,лу
51,Herz::N,srce,шӱм
52,Magen::N,stomak,шӱм
53,Magen::N,želudac,шӱм
54,Leber::N,jetra,мокш
55,Atem::N,dah,шӱлӹш
56,Hunger::N,glad,шужымаш
57,Träne::N,suza,сӹнзӓвӹд
58,Geschmack::N,ukus,тот
59,Geruch::N,njuh,пыш
60,Geruch::N,miris,пыш
61,Schlaf::N,san,ом
62,Traum::N,san,ом
63,Himmel::N,nebo,пӹлгом
64,Sonne::N,sunce,кечӹ
65,Mond::N,mjesec,тӹлзӹ
66,Stern::N,zvijezda,шӹдӹр
67,Luft::N,zrak,юж
68,Luft::N,zrak,воздух
69,Wind::N,vjetar,мардеж
70,Welle::N,val,ко
71,Welle::N,val,коэ
72,Welle::N,talas,ко
73,Welle::N,talas,коэ
74,Wasser::N,voda,вӹд
75,Stein::N,kamen,кӱ
76,Boden::N,tlo,рок
77,Boden::N,zemlja,рок
78,Erde::N,zemlja,свет
79,Staub::N,prah,пырак
80,Staub::N,prašina,пырак
81,Rauch::N,dim,шӹкш
82,Funke::N,iskra,ип
83,Funke::N,iskra,тылип
84,Funke::N,varnica,ип
85,Funke::N,varnica,тылип
86,Feuer::N,vatra,тыл
87,Licht::N,svjetlo,соты
88,Licht::N,svjetlo,валгыды
89,Schatten::N,hlad,ӹмӹл
90,Schatten::N,sjena,ӹмӹл
91,Wetter::N,vrijeme,игечӹ
92,Nebel::N,magla,тӹтӹрӓ
93,Wolke::N,oblak,пӹл
94,Regen::N,kiša,юр
95,Schnee::N,snijeg,лым
96,Eis::N,led,и
97,Frost::N,mraz,ӱштӹ
98,Kälte::N,studen,ӱштӹ
99,Kälte::N,hladnoća,ӱштӹ
100,Hitze::N,vrućina,шокшы
101,Raureif::N,inje,пöрш
102,Regenbogen::N,duga,шанавӹл
103,Donner::N,grom,хӹдӹртӹш
104,Donner::N,grmljavina,хӹдӹртӹш
105,Strömung::N,struja,йогы
106,Strömung::N,strujanje,йогы
107,Tropfen::N,kap,капльы
108,Tropfen::N,kap,капльык
109,Tropfen::N,kaplja,капльы
110,Tropfen::N,kaplja,капльык
111,Schaum::N,pjena,шонг
112,Schmutz::N,nečistoća,лявӹрӓ
113,Schmutz::N,prljavština,лявӹрӓ
114,See::N,jezero,йӓр
115,Sumpf::N,bara,лӱкӹ
116,Moor::N,močvara,куп
117,Wiese::N,livada,алык
118,Wald::N,šuma,шӹргӹ
119,Hügel::N,brijeg,пӱгӹрикӓ
120,Hügel::N,brežuljak,пӱгӹрикӓ
121,Anhöhe::N,uzvišica,кӱкшикӓ
122,Berg::N,brdo,кырык
123,Gipfel::N,vrh,неркӓ
124,Höhle::N,pećina,ы́раж
125,Höhle::N,spilja,ы́раж
126,Abhang::N,obronak,полом
127,Abhang::N,nizbrdica,полом
128,Quelle::N,izvor,вӹдсӹнзӓ
129,Quelle::N,vrelo,вӹдсӹнзӓ
130,Bach::N,potok,ӓнгӹр
131,Fluss::N,rijeka,вӹд
132,Ufer::N,obala,сир
133,Küste::N,obala,сир
134,Küste::N,morska obala,сир
135,Festland::N,kopno,мӱлӓндӹ
136,Meer::N,more,тангыж
