,Concept_ID,udm,bg
0,Auge::N,син,око
1,Ohr::N,пель,ухо
2,Nase::N,ныр,нос
3,Mund::N,ым,уста
4,Zahn::N,пинь,зъб
5,Zunge::N,кыл,език
6,Lippe::N,ымдур,устна
7,Wange::N,бам,буза
8,Gesicht::N,ымныр,лице
9,Gesicht::N,ымныр,образ
10,Stirn::N,кымес,чело
11,Haar::N,йырси,коса
12,Haar::N,йырси,косъм
13,Schnurrbart::N,мыйык,мустаци
14,Bart::N,туш,брада
15,Kinn::N,ангес,брада
16,Kinn::N,ангес,брадичка
17,Kiefer[Anatomie]::N,ан,челюст
18,Kiefer[Anatomie]::N,анлы,челюст
19,Kehle::N,гульым,гърло
20,Hals::N,чырты,врат
21,Genick::N,йырбер,тил
22,Kopf::N,йыр,глава
23,Rücken::N,мыш,гръб
24,Bauch::N,кӧт,корем
25,Nabel::N,гогы,пъп
26,Busen::N,ноны,бозка
27,Brust::N,мӧля,гръд
28,Schulter::N,пельпум,рамо
29,Schulter::N,пельпум,плещи
30,Arm::N,суй,ръка
31,Ellenbogen::N,гырпум,лакът
32,Hand::N,ки,ръка
33,Hand::N,ки,китка
34,Handfläche::N,ки пыдэс,длан
35,Handfläche::N,кырым пыдэс,длан
36,Finger::N,чиньы,пръст
37,Fingernagel::N,гижы,нокът
38,Fingernagel::N,гиждӥнь,нокът
39,Nagel[Anatomie]::N,гижы,нокът
40,Zeh::N,пыдчиньы,пръст на крак
41,Fuß::N,пыд,крак
42,Fuß::N,пыд,нога
43,Ferse::N,пыдбер,пета
44,Knie::N,пыдес,коляно
45,Oberschenkel::N,макес,бедро
46,Bein::N,пыд,крак
47,Bein::N,пыд,нога
48,Körper::N,мугор,тяло
49,Körper::N,вылтыр,тяло
50,Haut::N,ку,кожа
51,Blut::N,вир,кръв
52,Ader::N,вирсэр,вена
53,Ader::N,вирсэр,артерия
54,Sehne::N,вуж,жила
55,Sehne::N,вуж,сухожилие
56,Knochen::N,лы,кост
57,Gehirn::N,вим,мозък
58,Herz::N,сюлэм,сърце
59,Magen::N,ӝуш,стомах
60,Leber::N,мус,черен дроб
61,Atem::N,лул,дишане
62,Atem::N,шокан,дишане
63,Hunger::N,кӧтсюман,глад
64,Träne::N,синкыли,сълза
