,Concept_ID,el,uz
0,Auge::N,μάτι,ko'z
1,Auge::N,οφθαλμός,ko'z
2,Ohr::N,αυτί,quloq
3,Nase::N,μύτη,burun
4,Mund::N,στόμα,og'iz
5,Zahn::N,δόντι,tish
6,Zunge::N,γλώσσα,til
7,Lippe::N,χείλος,dudoq
8,Wange::N,παρειά,bet
9,Wange::N,μάγουλο,bet
10,Gesicht::N,πρόσωπο,yuz
11,Stirn::N,μέτωπο,manglay
12,Haar::N,μαλλιά,soch
13,Schnurrbart::N,μουστάκι,mo'ylov
14,Bart::N,γένια,soqol
15,Kinn::N,πιγούνι,ängak
16,Kiefer[Anatomie]::N,σαγόνι,iyak
17,Kehle::N,λαρύγγι,bo'g'iz
18,Hals::N,λαιμός,bo'yin
19,Genick::N,σβέρκος,gardan
20,Kopf::N,κεφάλι,bosh
21,Rücken::N,ράχη,orqa
22,Bauch::N,κοιλιά,qorin
23,Nabel::N,αφαλός,kindik
24,Busen::N,στήθος,ämchak
25,Brust::N,στήθος,ko'krak
26,Schulter::N,ώμος,elka
27,Arm::N,χέρι,bilak
28,Arm::N,μπράτςο,bilak
29,Ellenbogen::N,αγκώνας,tirsak
30,Hand::N,χέρι,qo'l
31,Handfläche::N,παλάμη,kaft
32,Finger::N,δάχτυλο,barmoq
33,Fingernagel::N,νύχι,tirnoq
34,Nagel[Anatomie]::N,νύχι,tirnoq
35,Zeh::N,δάχτυλο του ποδιού,oyoq barmog'i
36,Fuß::N,πόδι,oyoq
37,Ferse::N,φτέρνα,tovon
38,Knie::N,γόνατο,tiz
39,Oberschenkel::N,μηρός,son
40,Bein::N,πόδι,oyoq
41,Körper::N,σώμα,badna
42,Körper::N,κορμί,badna
43,Haut::N,πετσί,teri
44,Blut::N,αίμα,qon
45,Ader::N,φλέβα,qon tomir
46,Sehne::N,νεύρο,tomir
47,Sehne::N,τένοντας,tomir
48,Knochen::N,οστό,suyak
49,Knochen::N,κόκκαλο,suyak
50,Gehirn::N,μυαλό,miya
51,Gehirn::N,εγκέφαλος,miya
52,Herz::N,καρδιά,qalb
53,Magen::N,στομάχι,oshqozon
54,Leber::N,ήπαρ,bag'ir
55,Leber::N,συκωτί,bag'ir
56,Atem::N,αναπνοή,dam
57,Hunger::N,πείνα,ochlik
58,Träne::N,δάκρυ,yosh
59,Geschmack::N,γεύση,tam
60,Geruch::N,οσμή,jid
61,Geruch::N,μυρωδία,jid
62,Schlaf::N,ύπνος,uyqu
63,Traum::N,όνειρο,tush
64,Himmel::N,ουρανός,osmon
65,Sonne::N,ήλιος,quyosh
66,Mond::N,σελήνη,oy
67,Mond::N,φεγγάρι,oy
68,Stern::N,άστρο,yulduz
69,Stern::N,αστέρι,yulduz
70,Luft::N,αέρας,havo
71,Wind::N,αέρας,el
72,Wind::N,άνεμος,el
73,Welle::N,κύμα,to'lqin
74,Wasser::N,νερό,suv
75,Stein::N,πέτρα,tosh
76,Boden::N,χώμα,tuproq
77,Erde::N,γη,er
78,Staub::N,σκόνη,chang
79,Rauch::N,καπνός,tutun
80,Funke::N,σπίθα,yalt
81,Funke::N,σπινθήρας,yalt
82,Feuer::N,φωτιά,o't
83,Licht::N,φως,yorug'
84,Schatten::N,σκιά,soya
85,Schatten::N,ίσκιος,soya
86,Wetter::N,καιρός,havo
87,Nebel::N,ομίχλη,tuman
88,Wolke::N,σύννεφο,bulut
89,Regen::N,βροχή,yomg'ir
90,Schnee::N,χιόνι,qor
91,Eis::N,πάγος,muz
92,Frost::N,παγωνία,ajoz
93,Kälte::N,κρύο,ajoz
94,Kälte::N,ψύχος,ajoz
95,Hitze::N,ζέστη,issiq
96,Raureif::N,πάχνη,qirov
97,Regenbogen::N,ουράνιο τόξο,kamalak
98,Donner::N,βροντή,guldur
99,Strömung::N,ρεύμα,oqim
100,Tropfen::N,στάλα,tomchi
101,Schaum::N,αφρός,ko'pik
102,Schmutz::N,βρωμιά,gard
103,See::N,λίμνη,ko'l
104,Sumpf::N,βάλτος,botqoq
105,Moor::N,έλος,qir-adir
106,Wiese::N,λιβάδι,o'tzor
107,Wald::N,δάσος,o'rmon
108,Hügel::N,λόφος,tepa
109,Anhöhe::N,ύψωμα,adir
110,Berg::N,όρος,tog'
111,Berg::N,βουνό,tog'
112,Gipfel::N,κορυφή,cho'qqi
113,Höhle::N,σπηλιά,kavak
114,Abhang::N,πλαγιά,to'sh
115,Quelle::N,πηγή,buloq
116,Quelle::N,βρύση,buloq
117,Bach::N,ρυάκι,o'zan
118,Fluss::N,ποτάμι,daryo
119,Fluss::N,ποταμός,daryo
120,Ufer::N,όχθη,sohil
121,Küste::N,ακτή,qirg'oq
122,Küste::N,ακρογιαλιά,qirg'oq
123,Festland::N,στεριά,materik
124,Meer::N,θάλασσα,dengiz
125,Bucht::N,κόλπος,qo'ltiq
126,Insel::N,νησί,orol
127,Insel::N,νήσος,orol
128,Blume::N,άνθος,gul
129,Blume::N,λουλούδι,gul
130,Gras::N,χόρτο,sabza
131,Gras::N,χορτάρι,sabza
132,Wurzel::N,ρίζα,tub
133,Wurzel::N,ρίζα,tomir
134,Baum::N,δέντρο,daraxt
135,Stamm::N,κορμός,o'simta
136,Rinde::N,φλούδα,qobiq
137,Ast::N,κλαδί,shox
138,Zweig::N,κλαδί,butoq
139,Zweig::N,κλάδος,butoq
140,Blatt::N,φύλλο,barg
141,Birke::N,σημύδα,qayin
142,Kiefer[Baum]::N,πεύκο,qarag'ay
143,Weide[Baum]::N,ιτιά,shum
144,Tanne::N,έλατο,archa
145,Horn::N,κέρας,mugiz
