,Concept_ID,ko,os
0,Auge::N,눈,цӕст
1,Ohr::N,귀,хъус
2,Nase::N,코,фындз
3,Mund::N,입,дзых
4,Zahn::N,이,дӕндаг
5,Zunge::N,혀,ӕвзаг
6,Lippe::N,입술,был
7,Wange::N,뺨,рус
8,Wange::N,뺨,уадул
9,Wange::N,뺨,ӕхсӕрфарс
10,Gesicht::N,얼굴,цӕсгом
11,Stirn::N,이마,ных
12,Haar::N,털,хил
13,Schnurrbart::N,윗수몀,рихи
14,Schnurrbart::N,코밑수염,рихи
15,Bart::N,수엄,зачъе
16,Kinn::N,아래턱,роцъо
17,Kiefer[Anatomie]::N,턱,ӕфсӕр
18,Kehle::N,인후,хъуыр
19,Hals::N,목,къубал
20,Genick::N,먹덜이,къӕбут
21,Kopf::N,머리,сӕр
22,Rücken::N,든,фӕсонтӕ
23,Bauch::N,배,гуыбын
24,Nabel::N,배꼽,бикъ
25,Busen::N,가슴속,дзидзи
26,Brust::N,가슴,риу
27,Schulter::N,어깨,уӕхск
28,Arm::N,팔,цонг
29,Ellenbogen::N,팔쿰치,рæмбын
30,Hand::N,손,къух
31,Handfläche::N,손바닥,армытъӕпӕн
32,Finger::N,속가락,ӕнруылдз
33,Fingernagel::N,손톱,ных
34,Nagel[Anatomie]::N,손톱,ных
35,Zeh::N,발가락,къух
36,Fuß::N,발,фад
37,Ferse::N,발꿈치,зӕвӕт
38,Knie::N,무릎,уӕраг
39,Oberschenkel::N,허벅다리,агъд
40,Bein::N,다리,зӕнг
41,Körper::N,구간,буар
42,Haut::N,살갗,царм
43,Blut::N,피,туг
44,Ader::N,정맥,дадзин
45,Ader::N,정맥,тугдадзин
46,Sehne::N,현,хъиутæ
47,Sehne::N,현,нуар
48,Knochen::N,뼈,стӕг
49,Gehirn::N,뇌,магъз
50,Gehirn::N,뇌수,магъз
51,Herz::N,염통,зӕрдӕ
52,Magen::N,위,ахсӕн
53,Leber::N,간,игæр
54,Atem::N,기식,улӕфт
55,Hunger::N,공복,стонг
56,Träne::N,눈물,цæссыг
57,Geschmack::N,기호,ад
58,Geruch::N,냄새,смаг
59,Schlaf::N,수면,хуыссӕг
60,Traum::N,쿰,фын
61,Himmel::N,하늘,арв
62,Himmel::N,하늘,уӕларв
63,Sonne::N,해,хур
64,Mond::N,달,мӕй
65,Stern::N,별,стъалы
66,Luft::N,동준,уӕлдӕф
67,Luft::N,가스채,уӕлдӕф
68,Wind::N,바람,дымгӕ
69,Welle::N,물결,уылӕн
70,Wasser::N,물,дон
71,Stein::N,돌,дур
72,Boden::N,바닥,зӕхх
73,Erde::N,흙,сыджыт
74,Staub::N,먼지,рыг
75,Rauch::N,연기,фӕздӕг
76,Funke::N,불티,цӕхӕр
77,Feuer::N,불,зынг
78,Licht::N,불,рухс
79,Schatten::N,어스레함,аууон
80,Wetter::N,기상,боныхъӕд
81,Nebel::N,안개,мигъ
82,Wolke::N,구름,ӕврагъ
83,Regen::N,비,уарын
84,Schnee::N,눈,мит
85,Eis::N,얼음,их
86,Frost::N,혹한,ихæн
87,Kälte::N,추위,уазал
88,Kälte::N,차가움,уазал
89,Hitze::N,고온,ӕнтӕф
90,Hitze::N,더위,ӕнтӕф
91,Regenbogen::N,무지개,арвырон
92,Regenbogen::N,무지개,арвырдын
93,Donner::N,뇌명,æрвнæрын
94,Strömung::N,유동,цыд
95,Tropfen::N,물방울,æртах
96,Schaum::N,포말,фынк
97,Schmutz::N,때,цъыф
98,See::N,호수,цад
99,Sumpf::N,습지,цъыфдзаст
100,Moor::N,저습지,цъыфдзаст
101,Wiese::N,목초지,уыгӕрдӕн
102,Wald::N,숲,хъӕд
103,Hügel::N,언덕,обау
104,Hügel::N,언덕,къуыбыр
105,Anhöhe::N,언덕,уæлвæз
106,Anhöhe::N,언덕,уæлхох
107,Berg::N,산,хох
108,Gipfel::N,졀졍,цъупп
109,Höhle::N,공동,лӕгӕт
110,Abhang::N,몰매,къул
111,Quelle::N,근원,суадон
112,Bach::N,내,мӕсчъыдон
113,Fluss::N,강,дон
114,Fluss::N,강,цӕугӕдон
115,Ufer::N,강변,был
116,Ufer::N,바닷가,был
117,Küste::N,해변,донбыл
118,Küste::N,해변가,донбыл
119,Festland::N,본토,сурзæхх
120,Meer::N,바다,денджыз
121,Bucht::N,협만,донбакæлæн
122,Insel::N,섬,сакъадах
123,Blume::N,꽃,дидинӕг
124,Gras::N,풀,кӕрдӕг
125,Wurzel::N,뿌리,уидаг
126,Baum::N,나무,бӕлас
127,Stamm::N,대,хӕтӕл
128,Rinde::N,나무껍질,цъар
129,Ast::N,가지,арх
130,Zweig::N,가지,къалиу
131,Blatt::N,잎,сыф
132,Birke::N,자작나무,бæрз
133,Kiefer[Baum]::N,소나무,нӕзы
134,Weide[Baum]::N,쉬양버들,хӕрис
135,Tanne::N,전나무,наз
136,Horn::N,뿔,сыкъа
137,Feder::N,깃털,сис
138,Fell::N,피혁모피,царм
139,Flügel::N,날개,базыр
140,Klaue::N,갈고리 발톺,ных
141,Kralle::N,발툭,дзӕмбы
142,Schwanz::N,꼬리,къӕдзил
143,Ei::N,알,айк
144,Nest::N,보금자리,ахстон
145,Bau::N,굴,хуынкъ
146,Tier::N,짐승,сырд
147,Tier::N,짐승,цӕрӕгой
148,Herde::N,가축의떼,дзуг
149,Herde::N,가축의떼,рӕгъау
150,Kuh::N,암소,хъуг
151,Bulle::N,황소,гал
152,Pferd::N,말,бӕх
153,Schaf::N,양,фыс
154,Schwein::N,돼지,хуы
155,Hund::N,개,куыдз
156,Katze::N,고양이,гӕды
157,Bär::N,콤,арс
158,Eichhörnchen::N,다람쥐,æхсæрæг
159,Elch::N,고라니,цæгатаг саг
160,Fuchs::N,여우,рувас
161,Hase::N,토끼,тæрхъус
162,Maus::N,쥐,мыст
163,Wolf::N,늑대,бирӕгъ
164,Vogel::N,새,цъиу
165,Vogel::N,새,маргъ
166,Schwarm::N,뗴,бал
167,Huhn::N,암탉,карк
168,Hahn::N,수탉,уасӕг
169,Gans::N,거위,хъаз
170,Adler::N,수리,цӕргӕс
171,Ente::N,오리,ацц
172,Eule::N,부엉이, уыг
173,Eule::N,부엉이,сидахъ
174,Kranich::N,두루미,зырнæг
175,Kranich::N,두루미,хърихъупп
176,Krähe::N,까마귀,халон
177,Kuckuck::N,뻐꾸기,гаккук
178,Schwan::N,배조,доныхъаз
179,Fisch::N,물고기,кӕсаг
180,Barsch::N,농어,окунь
181,Hecht::N,에속스,хихор кӕсаг
182,Schlange[Tier]::N,뱀,калм
183,Wurm::N,벌레,зулкъ
184,Wurm::N,벌레,къуыдыргалм
185,Spinne::N,거미,хӕлуарӕг
186,Ameise::N,개미,мæлдзыг
187,Laus::N,이,сыст
188,Mücke::N,모기,къогъо
189,Fliege::N,날기,бындз
190,Schmetterling::N,나비,гæлæбу
191,Beere::N,장과,гагадыргъ
192,Apfel::N,사과,фӕткъуы
193,Pilz::N,고방이,зокъо
194,Pilz::N,고방이,къозо
195,Zwiebel::N,양파,хъӕдындз
196,Saat::N,씨,тауинаг
197,Saat::N,씨,мыггаг
198,Korn::N,알맹이,мыггаг
199,Korn::N,알맹이,тауинаг
200,Heu::N,건초,хос
201,Schale::N,피상,цъар
202,Falle::N,함정,цъысым
203,Falle::N,함정,къӕппӕг
204,Schlinge::N,올가미,цасм
205,Schlinge::N,멜빵붕대,цасм
206,Spur::N,발지국,фæд
207,Asche::N,재,фӕнык
208,Asche::N,재,ӕртхутӕг
209,Dreck::N,똥,цъыф
210,Dreck::N,오물,цъыф
211,Eisen::N,쇠,ӕфсӕйнаг
212,Eisen::N,철,ӕфсӕйнаг
213,Gold::N,항금,сыгъзӕрин
214,Silber::N,은,ӕвзист
215,Kohle::N,슻,ӕвзалы
216,Glas::N,유리,авг
217,Lehm::N,찰흙,ӕлыг
218,Sand::N,모래,змис
219,Mensch::N,사람,лӕг
220,Mensch::N,사람,адӕймаг
221,Mensch::N,사람,удгоймаг
222,Mann::N,남자,лӕг
223,Mann::N,남자,нӕлгоймаг
224,Frau::N,여자,сылгоймаг
225,Kind::N,아이,сывӕллон
226,Junge::N,소녁,лӕппу
227,Mädchen::N,소녀,чызг
228,Familie::N,가족,бинонтæ
229,Großvater::N,할아버지,фыдыфыд
230,Großvater::N,할아버지,мадыфыд
231,Großmutter::N,할머니,фыды мад
232,Großmutter::N,할머니,мады мад
233,Eltern::N,어버오,ныййарджытæ
234,Vater::N,아버지,фыд
235,Mutter::N,어머니,мад
236,Sohn::N,아들,фырт
237,Tochter::N,딸기,чызг
238,Bruder::N,형제,ӕфсымӕр
239,Schwester::N,누이,хо
240,Onkel::N,백부,фыдыфсымӕр
241,Tante::N,아주머니,мадыхо
242,Ehemann::N,남편,мой
243,Ehefrau::N,아내,ус
244,Freude::N,기쁨,цин
245,Freude::N,기쁨,циндзинад
246,Gelächter::N,웃음,худын
247,Gelächter::N,웃음,худт
248,Gelächter::N,웃음,худæг
249,Glück::N,즐거움,амонд
250,Kummer::N,슬픔,хъыг
251,Wunsch::N,소망,бӕллиц
252,Geist::N,할기,уд
253,Gedanke::N,상념,хъуыды
254,Gedächtnis::N,기억,мысæн
255,Gedächtnis::N,기억,мысын
256,Gedächtnis::N,기억,зæрдылдарын
257,Verstand::N,분별,зонд
258,Verstand::N,지능,зонд
259,Sinn::N,센스,нысаниуæг
260,Grund::N,까닭,ӕфсон
261,Wahrheit::N,참,æцæг
262,Wahrheit::N,진실,æцæг
263,Gespräch::N,대화,ныхас
264,Märchen::N,동화,аргъау
265,Erzählung::N,이야기,радзырд
266,Neuigkeit::N,뉴스,хабар
267,Name::N,이름,ном
268,Rätsel::N,수수께끼,уыци-уыци
269,Rätsel::N,수수께끼,базон-базон
270,Rede::N,연설,раныхас
271,Sprache::N,말,ӕвзаг
272,Stimme::N,목소리,хъӕлӕс
273,Wort::N,낱말,дзырд
274,Zeichen::N,신호,нысан
275,Ruf::N,부름,сидт
276,Lärm::N,소동,уынæр
277,Laut::N,음성,зӕл
278,Laut::N,음성,мыр
279,Ton::N,목소리,мыр
280,Lied::N,노래,зарӕг
281,Ruhe::N,쉼,æнцой
282,Leute::N,사람들,адӕм
283,Volk::N,국중,адӕм
284,Arbeit::N,근로,фӕллой
285,Arbeit::N,너무,фӕллой
286,Gast::N,손님,уазӕг
287,Geschenk::N,행하,хуын
288,Spiel::N,무리,хъазт
289,Gesellschaft::N,교제,дзыллæ
290,Gesellschaft::N,교제,æхсæнад
291,Hilfe::N,거들음,æххуыс
292,Hilfe::N,거들음,ахъаз
293,Hilfe::N,보좌,æххуыс
294,Hilfe::N,보좌,ахъаз
295,Freund::N,친구,лымӕн
296,Kamerad::N,동실자,ӕмбал
297,Angelegenheit::N,용무,хъуыддаг
298,Anzahl::N,어떤,бӕрц
299,Anzahl::N,수,бӕрц
300,Art::N,정류,хуыз
301,Art::N,정류,хуызад
302,Stück::N,일부분,кæрдих
303,Stück::N,일부분,комдзаг
304,Teil::N,몱,хай
305,Teil::N,구훠,хай
306,Hälfte::N,2분의,æрдæг
307,Hälfte::N,2분의,æмбис
308,Kreis::N,고리,зиллакк
309,Kreuz::N,열십자,дзуар
310,Linie::N,선,хахх
311,Strich::N,스침,хахх
312,Abstand::N,거리,æхсæнуат
313,Entfernung::N,거리,дæрддзæг
314,Entfernung::N,거리,дардцæг
315,Gegend::N,곳,ран
316,Gegend::N,부금,ран
317,Platz::N,장소,бууат
318,Ort::N,장소,ран
319,Ort::N,장소,бынат
320,Seite::N,옆면,фахс
321,Mitte::N,궁간,астӕу
322,Gegenstand::N,항목,дзаума
323,Sache::N,뭉에,дзаума
324,Rand::N,가,кӕрон
325,Kante::N,귀퉁,фӕрск
326,Ecke::N,구석,тигъ
327,Ecke::N,구석,фисын
328,Spitze::N,끝,бырынкъ
329,Spitze::N,참단,бырынкъ
330,Ende::N,말당,кӕрон
331,Loch::N,빙옷,хуынкъ
332,Winkel::N,각도,къуым
333,Muster::N,본,нывæфтыд
334,Muster::N,본,кæдзист
335,Muster::N,견복,нывæфтыд
336,Muster::N,견복,кæдзист
337,Größe::N,신장,ас
338,Länge::N,길이긺,дӕргъ
339,Höhe::N,높이,бæрзонд
340,Höhe::N,높이,бæрзæнд
341,Höhe::N,높이,бæрзонддзинад
342,Gewicht::N,추,уӕз
343,Menge::N,수양,бӕрц
344,Haufen::N,퇴적,кӕри
345,Reihe::N,열,рӕнхъ
346,Boot::N,보트,чема
347,Ruder::N,노,къохар
348,Schlitten::N,썰매,дзоныгъ
349,Ski::N,스키,къахдзоныгътæ
350,Ski::N,스키,лыжæтæ
351,Lagerfeuer::N,캠프의 모닥불,арт
352,Last::N,무거운짐,уаргъ
353,Gang::N,걸음,цыд
354,Schritt::N,보조,санчъех
355,Schritt::N,보조,къахдзӕф
356,Norden::N,북쪽 ,цæгат
357,Süden::N,남쪽,хуссар
358,Westen::N,서쪽,ныгуылæн
359,Osten::N,동쪽,скæсæн
360,Holz::N,목재,хъӕдӕрмӕг
361,Brett::N,마루널,фæйнæг
362,Platte::N,탤,къӕй
363,Platte::N,금속판,къӕй
364,Stütze::N,버팀목,быцæу
365,Stange::N,장대,хъил
366,Stock::N,막대기,лӕдзӕг
367,Stab::N,작대기,хъил
368,Rohr::N,갈대,хӕтӕл
369,Haus::N,집,хӕдзар
370,Heim::N,집,къона
371,Ofen::N,아궁이,пец
372,Fußboden::N,마루,астӕрд
373,Tisch::N,탁자,стъол
374,Stuhl::N,의자,бандон
375,Wiege::N,발상지,авдæн
376,Bett::N,침대,сынтӕг
377,Regal::N,서가,тӕрхӕг
378,Regal::N,서가,уӕлвӕйнӕг
379,Kiste::N,짐궤,асыкк
380,Fenster::N,눔,рудзынг
381,Fenster::N,눔,фæрссаг
382,Tür::N,문,дуар
383,Tor::N,대문,кулдуар
384,Zaun::N,담장,æмбонд
385,Zaun::N,담장,быру
386,Zaun::N,담장,гæрæн
387,Dach::N,지붕,уӕлхӕдзар
388,Leiter::N,사닥다리,асин
389,Besen::N,비,уисой
390,Spaten::N,가래,бел
391,Schaufel::N,삽,æвгæнæн
392,Schaufel::N,삽,кæфой
393,Gabel::N,갈래,вилкæ
394,Löffel::N,숟가락,уидыг
395,Messer::N,나이프,кард
396,Nagel::N,발툽,зӕгӕл
397,Netz::N,그물,хыз
398,Haken::N,갈고리,хæдз
399,Haken::N,갈고리,хæбырæгъ
400,Griff::N,움켜쥠,фистон
401,Schloss::N,자물쇠,гуыдыр
402,Bild::N,그림,ныв
403,Figur::N,몸메,кæрдгæныв
404,Puppe::N,인형,чындз
405,Beutel::N,클,дзӕкъул
406,Bündel::N,자근다발,баст
407,Tasche::N,가방,хызын
408,Tasche::N,가방,дзæкъул
409,Eimer::N,동이,къæрта
410,Eimer::N,동이,чъыбыла
411,Eimer::N,동이,ведра
412,Deckel::N,뚜껑,сæр
413,Deckel::N,뚜껑,æмбæрзæн
414,Geschirr::N,식시,мигæнæн
