,Concept_ID,kv,ta
0,Auge::N,син,கண்
1,Ohr::N,пель,காது
2,Nase::N,ныр,மூக்கு
3,Mund::N,ӧм,வாய்
4,Zahn::N,пинь,பல்
5,Zunge::N,кыв,நாக்கு
6,Lippe::N,тырп,உதடு
7,Wange::N,рожабан,கன்னம்
8,Gesicht::N,бан,முகம்
9,Stirn::N,кымӧс,முன்னெற்றி
10,Haar::N,юрси,முடி
11,Schnurrbart::N,уссэз,மீசை
12,Bart::N,тош,தாடி
13,Kinn::N,тшӧка,கீழதாடை
14,Kiefer[Anatomie]::N,ан,தாடை
15,Kehle::N,юан,தொண்டை
16,Hals::N,юан,கழுத்து
17,Genick::N,юр бӧр,கழுத்து
18,Kopf::N,юр,தலை
19,Rücken::N,мышк,முதுகு
20,Bauch::N,кынӧм,வயிறு
21,Nabel::N,гӧг,தொப்புள்
22,Busen::N,морос,மார்பகம்
23,Brust::N,морос, மார்பு
24,Schulter::N,пельпон,தோள்பட்டை
25,Arm::N,ки,கரம்
26,Ellenbogen::N,гырдзза,முழங்கை
27,Hand::N,кикар,கை
28,Handfläche::N,ки пыдӧс,உள்ளங்கை
29,Finger::N,чунь,விரல்
30,Fingernagel::N,гыж,விரல் நகம்
31,Nagel[Anatomie]::N,гыж,நகம்
32,Zeh::N,чунь,கால்விரல்
33,Fuß::N,кокпыдӧс,கால்
34,Ferse::N,кокдзир,குதிகால்
35,Knie::N,пидзӧс,முழங்கால்
36,Oberschenkel::N,лядьбей,தொடை
37,Bein::N,кок,கால்
38,Körper::N,вывтыр,உடல்
39,Haut::N,кучик,சருமம்
40,Blut::N,вир,இரத்தம்
41,Ader::N,сӧн,நாளம்
42,Sehne::N,жила,தசைநார்
43,Knochen::N,коска,எலுமபு
44,Gehirn::N,вем,மூனை
45,Herz::N,сьӧлӧм,இதயம
46,Magen::N,жӧвдӧк,வயிறு
47,Leber::N,мус,கல்லீரல்
48,Atem::N,лолалӧм,மூச்சு
49,Hunger::N,тшыг,பசி
50,Träne::N,синва,கண்ணீர்
51,Geschmack::N,кӧр,நறுமணம்
52,Geruch::N,дук,துர்நாற்றம்
53,Schlaf::N,он,தூக்கம்
54,Traum::N,вӧт,கனவு
55,Himmel::N,небо,வானம்
56,Sonne::N,шондi,சூரியன்
57,Mond::N,тӧлiсь,சந்திரன்
58,Stern::N,кӧдзыв,நட்சத்திரம்
59,Luft::N,ру,காறறு
60,Wind::N,тӧв,காற்று
61,Welle::N,гы,அலை
62,Wasser::N,ва,நீர்
63,Stein::N,из,கல்
64,Boden::N,му,தரை
65,Erde::N,му,மண்
66,Staub::N,бус,தூசி
67,Rauch::N,тшын,புகை
68,Funke::N,бичир,தீப்பொறி
69,Feuer::N,би,தீ
70,Licht::N,би,வெளிச்சம்
71,Schatten::N,вуджӧр,நிழல்
72,Wetter::N,погоддя,வானிலை
73,Nebel::N,туман,பனிமூட்டம்
74,Wolke::N,кымӧр,மேகம்
75,Regen::N,зэр,மழை
76,Schnee::N,лым,உறைபனி
77,Eis::N,йы,பனிக்கட்டி
78,Frost::N,мороз,உறைபனி
79,Kälte::N,кӧдзыт,குளிர்ந்த
80,Hitze::N,ӧд,சூடு
81,Raureif::N,кижа,உறைபனி வெண்திரை
82,Regenbogen::N,енӧшка,வானவில்
83,Donner::N,гым,இடி
84,Strömung::N,визывтӧм,நீரோட்டம்
85,Tropfen::N,тёп,துளி
86,Schaum::N,быг,நுரை
87,Schmutz::N,нять,அழுக்கு
88,See::N,ты,ஏரி
89,Sumpf::N,арай,சதுப்பு நிலம்
90,Moor::N,нюр,முட்புதற்காடு
