,Concept_ID,pt,xal
0,Auge::N,olho,нүдн
1,Ohr::N,orelha,чикн
2,Nase::N,nariz,хамр
3,Mund::N,boca,амн
4,Zahn::N,dente,шүдн
5,Zunge::N,língua,келн
6,Lippe::N,lábio,урл
7,Wange::N,face,халх
8,Gesicht::N,cara,нүр
9,Gesicht::N,rosto,нүр
10,Stirn::N,testa,маңна
11,Haar::N,cabelo,үсн
12,Schnurrbart::N,bigode,сахл
13,Bart::N,barba,сахл
14,Bart::N,barba,өргнә сахл
15,Kinn::N,queixo,өргн
16,Kiefer[Anatomie]::N,maxila,өргн
17,Kiefer[Anatomie]::N,mandíbula,өргн
18,Kehle::N,garganta,хол
19,Hals::N,colo,күзүн
20,Hals::N,pescoço,күзүн
21,Genick::N,nuca,гиҗг
22,Kopf::N,cabeça,толһа
23,Rücken::N,dorso,нурһн
24,Rücken::N,costas,нурһн
25,Bauch::N,ventre,гесн
26,Bauch::N,barriga,гесн
27,Nabel::N,umbigo,киисн
28,Busen::N,seio,көкн
29,Brust::N,peito,чееҗ
30,Schulter::N,ombro,ээм
31,Arm::N,braço,һар
32,Ellenbogen::N,cotovelo,тоха
33,Hand::N,mão,баһлцг
34,Handfläche::N,palma,альхн
35,Handfläche::N,palma da mão,альхн
36,Finger::N,dedo,хурһн
37,Finger::N,dedo,һарин хурһн
38,Fingernagel::N,unha,хумсн
39,Nagel[Anatomie]::N,unha,хумсн
40,Zeh::N,dedo do pé,хурһн
41,Zeh::N,dedo do pé,көлин хурһн
42,Fuß::N,pé,тавг
43,Ferse::N,calcanhar,өскә
44,Knie::N,joelho,өвдг
45,Oberschenkel::N,coxa,һуй
46,Bein::N,perna,көл
47,Körper::N,corpo,махмуд
48,Haut::N,pele,арсн
49,Blut::N,sangue,цусн
50,Ader::N,veia,судцн
51,Sehne::N,tendão,шүрүсн
52,Knochen::N,osso,ясн
53,Gehirn::N,cérebro,экн
54,Herz::N,coração,зүркн
55,Magen::N,estômago,гесн
56,Leber::N,fígado,элкн
57,Atem::N,fôlego,әмсхл
58,Hunger::N,fome,харһнлһн
59,Träne::N,lágrima,нульмсн
60,Geschmack::N,gosto,амтн
61,Geruch::N,odor,үнр
62,Geruch::N,cheiro,үнр
63,Schlaf::N,sono,нөр
64,Traum::N,sonho,зүүдн
65,Himmel::N,céu,теңгр
66,Sonne::N,sol,нарн
67,Mond::N,lua,сар
68,Stern::N,estrela,одн
69,Luft::N,ar,аһар
70,Wind::N,vento,салькн
71,Welle::N,onda,дольган
72,Wasser::N,água,усн
73,Stein::N,pedra,чолун
74,Boden::N,solo,Һазр
75,Erde::N,terra,Һазр
76,Staub::N,pó,тоосн
77,Rauch::N,fumo,утан
78,Funke::N,faísca,очн
79,Funke::N,centelha,очн
80,Feuer::N,fogo,һал
81,Licht::N,luz,герл
82,Schatten::N,sombra,сүүдр
83,Wetter::N,tempo,теңгр
84,Nebel::N,nevoeiro,будн
85,Wolke::N,nuvem,үүлн
86,Regen::N,chuva,хур
87,Schnee::N,neve,цасн
88,Eis::N,gelo,мөсн
89,Frost::N,gelo,киитн
90,Frost::N,geada,киитн
91,Kälte::N,frio,киитн
92,Hitze::N,ardor,халун
93,Raureif::N,geada,цаң
94,Raureif::N,geada,кирү
95,Regenbogen::N,arco-iris,солңһ
96,Donner::N,trovão,оһтрһун дун
97,Strömung::N,corrente,урсхл
98,Tropfen::N,gota,дусал
99,Schaum::N,espuma,көөсн
100,Schmutz::N,sujidade,кир
101,Schmutz::N,imundície,кир
102,See::N,lago,нур
103,Sumpf::N,charco,унул
104,Sumpf::N,pântano,унул
105,Moor::N,pântano,улм
106,Wiese::N,prado,хадлһн
107,Wald::N,bosque,ө-модн
108,Wald::N,floresta,ө-модн
109,Hügel::N,colina,толһа
110,Anhöhe::N,alto,хамр
111,Anhöhe::N,outeiro,хамр
112,Berg::N,monte,уул
