,Concept_ID,ar,tt
0,Auge::N,عين,күз
1,Ohr::N,أذن,колак
2,Nase::N,أنف,борын
3,Mund::N,فم,авыз
4,Mund::N,فم,тамак
5,Zahn::N,سن,теш
6,Zunge::N,لسان,тел
7,Lippe::N,شفة,ирен
8,Wange::N,خد,яңак
9,Wange::N,وجنة,яңак
10,Gesicht::N,وجه,йөз
11,Stirn::N,جبين,маңгай
12,Haar::N,شعر,чәч
13,Schnurrbart::N,شارب,мыек
14,Bart::N,لحية,сакал
15,Kinn::N,ذقن,ияк
16,Kiefer[Anatomie]::N,فك,казналык
17,Kehle::N,حلق,тамак
18,Hals::N,عنق,бугаз
19,Hals::N,رقبة,бугаз
20,Genick::N,قفا,җилкә
21,Kopf::N,رأس,баш
22,Rücken::N,ظهر,сырт
23,Bauch::N,بطن,корсак
24,Nabel::N,سرة,кендек
25,Busen::N,ثدي,түш
26,Brust::N,صدر,имчәк
27,Brust::N,صدر,күкрәк
28,Schulter::N,كتف,иңбаш
29,Schulter::N,كتف,кулбаш
30,Arm::N,ذراع,кул
31,Ellenbogen::N,كوع,терсәк
32,Hand::N,يد,кул
33,Handfläche::N,كف,уч
34,Finger::N,إصبع,бармак
35,Fingernagel::N,ظفر,тырнак
36,Nagel[Anatomie]::N,ظفر,тырнак
37,Zeh::N,إصبع القدم,бармак
38,Fuß::N,قدم,табан
39,Ferse::N,كعب,үкчә
40,Knie::N,ركبة,тез
41,Oberschenkel::N,فخذ,бот
42,Bein::N,ساق,аяк
43,Körper::N,جسم,тән
44,Körper::N,جسم,җисем
45,Haut::N,بشرة,тире
46,Blut::N,دم,кан
47,Ader::N,عرق,тамыр
48,Sehne::N,طنب,сеңер
49,Knochen::N,عظم,сөяк
50,Gehirn::N,دماغ,ми
51,Herz::N,قلب,йөрәк
52,Magen::N,معدة,ашказаны
53,Leber::N,كبد,бавыр
54,Atem::N,نفس,сулыш
55,Hunger::N,جوع,ачлык
56,Träne::N,دمعة,яшь
57,Geschmack::N,طعم,тәм
58,Geschmack::N,طعم,зәвык
59,Geschmack::N,مذاق,тәм
60,Geschmack::N,مذاق,зәвык
61,Geruch::N,رائحة,ис
62,Schlaf::N,نوم,йокы
63,Schlaf::N,منام,йокы
64,Traum::N,حلم,төш
65,Himmel::N,سماء,күк
66,Sonne::N,شمس,кояш
67,Mond::N,قمر,ай
68,Stern::N,نجم,йолдыз
69,Stern::N,كوكب,йолдыз
70,Luft::N,هواء,һава
71,Wind::N,ريح,җил
72,Welle::N,موجة,дулкын
73,Wasser::N,ماء,су
74,Stein::N,حجر,таш
75,Boden::N,تراب,туфрак
76,Erde::N,أرض,җир
77,Staub::N,غبار,тузан
78,Rauch::N,دخان,төтен
79,Funke::N,شرارة,очкын
80,Feuer::N,نار,ут
81,Licht::N,نور,якты
82,Licht::N,ضوء,якты
83,Schatten::N,ظل,күләгә
84,Schatten::N,فيء,күләгә
85,Wetter::N,جو,һава
86,Wetter::N,طقس,һава
87,Nebel::N,ضباب,томан
88,Wolke::N,غيمة,болыт
89,Wolke::N,سحابة,болыт
90,Regen::N,مطر,яңгыр
91,Schnee::N,ثلج,кар
92,Eis::N,جليد,боз
93,Frost::N,صقيع,суык
94,Frost::N,صقيع,салкын
95,Kälte::N,برد,суык
96,Kälte::N,برد,салкын
97,Hitze::N,حر,эсселек
98,Hitze::N,حرارة,эсселек
99,Raureif::N,صقيع,бәс
100,Raureif::N,صقيع,сыкы
101,Regenbogen::N,قوس قزح,салават күпере
102,Donner::N,رعد,күкрәү
103,Strömung::N,تيار,агыш'агым
104,Tropfen::N,قطرة,тамчы
105,Schaum::N,زبد,күбек
106,Schaum::N,رغوة,күбек
107,Schmutz::N,وسخ,пычрак
108,See::N,بحيرة,күл
109,Sumpf::N,مستنقع,саз
110,Moor::N,مستنقع,торфлык
111,Wiese::N,مرج,болын
112,Wald::N,غابة,урман
113,Hügel::N,تل,калку
114,Anhöhe::N,تل,үр
115,Berg::N,جبل,тау
116,Gipfel::N,قمة,оч
117,Höhle::N,كهف,мәгарә
118,Abhang::N,منحدر,кабырга
119,Quelle::N,منبع,чишмә
120,Bach::N,مجرى,елга
121,Fluss::N,نهر,дәрья
