,Concept_ID,ba,cs
0,Auge::N,күҙ,oko
1,Ohr::N,ҡолаҡ,ucho
2,Nase::N,танау,nos
3,Mund::N,ауыҙ,pusa
4,Zahn::N,теш,zub
5,Zunge::N,тел,jazyk
6,Lippe::N,ирен,ret
7,Wange::N,яцаҡтар,tvář
8,Gesicht::N,бит,obličej
9,Stirn::N,маңлай,čelo
10,Haar::N,сәс,vlas
11,Haar::N,сәс,vlasy
12,Schnurrbart::N,мылтыҡ,kníry
13,Bart::N,һаҡал,vousy
14,Kinn::N,эйэк,brada
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,čelist
16,Kehle::N,тамаҡ,hrdlo
17,Hals::N,муйын,krk
18,Genick::N,соңҡа,týl
19,Kopf::N,баш,hlava
20,Rücken::N,арҡа,záda
21,Rücken::N,арҡа,hřbet
22,Bauch::N,ҡорһаҡ,břicho
23,Nabel::N,кендек,pupek
24,Busen::N,күкрәк,ňadra
25,Brust::N,түш,prsa
26,Schulter::N,яурын,plece
27,Schulter::N,яурын,rameno
28,Arm::N,ҡул,ruka
29,Ellenbogen::N,терһәк,loket
30,Hand::N,ҡул,ruka
31,Hand::N,ҡул суғы,ruka
32,Handfläche::N,ус төбө,dlaň
33,Finger::N,бармаҡ,prst
34,Fingernagel::N,тырнаҡ,nehet
35,Nagel[Anatomie]::N,тырнаҡ,nehet
36,Zeh::N,бармаҡ,prst u nohy
37,Fuß::N,табан,noha
38,Ferse::N,үксә,pata
39,Knie::N,тубыҡ,koleno
40,Oberschenkel::N,сандыр,stehno
41,Bein::N,аяҡ,noha
42,Körper::N,тән,tělo
43,Haut::N,тире,kůže
44,Blut::N,ҡан,krev
45,Ader::N,тамыр,céva
46,Sehne::N,һеңер,šlacha
47,Sehne::N,тарамыш,šlacha
48,Knochen::N,һойәк,kost
49,Gehirn::N,мейе,mozek
50,Herz::N,йорәк,srdce
51,Magen::N,ашҡаҙан,žaludek
52,Leber::N,бауыр,játra
53,Atem::N,һулыш,dech
54,Hunger::N,аслыҡ,hlad
55,Träne::N,күҙ иәше,slza
56,Geschmack::N,тәм,vkus
57,Geruch::N,еҫ,vůně
58,Geruch::N,еҫ,zápach
59,Schlaf::N,йоҡлау,spánek
60,Traum::N,төш,sen
61,Himmel::N,күк,nebe
62,Sonne::N,ҡояш,slunce
63,Mond::N,ай,měsíc
64,Stern::N,йондоҙ,hvězda
65,Luft::N,һауа,vzduch
66,Wind::N,ел,vítr
67,Welle::N,тулҡын,vlna
68,Wasser::N,һыу,voda
69,Stein::N,таш,kámen
70,Boden::N,тупраҡ,půda
71,Erde::N,балсҡ,země
72,Staub::N,туҙан,prach
73,Rauch::N,төтөн,dým
74,Rauch::N,төтөн,kouř
75,Funke::N,осҡон,jiskra
76,Feuer::N,ут,oheň
77,Licht::N,яҡтылыҡ,světlo
78,Schatten::N,күләгә,stín
79,Wetter::N,һауа торошо,počasí
80,Nebel::N,төман,mlha
81,Wolke::N,болот,mrak
82,Wolke::N,болот,oblak
83,Regen::N,ямғыр,déšť
84,Schnee::N,ҡар,sníh
85,Eis::N,боҙ,led
86,Frost::N,һалҡын,mráz
87,Kälte::N,һыуыҡ,chlad
88,Hitze::N,томра,horko
89,Hitze::N,эҫелек,horko
90,Raureif::N,ҡырау,jinovatka
91,Regenbogen::N,йәйғор,duha
92,Donner::N,күк күкрәү,hrom
93,Strömung::N,ағым,proudění
94,Tropfen::N,тамсы,kapka
95,Schaum::N,күбек,pěna
96,Schmutz::N,батҡаҡ,špína
97,See::N,күл,jezero
98,Sumpf::N,һаҙлык,močál
99,Sumpf::N,һаҙлык,bažina
100,Moor::N,һаҙ,bažina
101,Moor::N,һаҙ,slatina
102,Wiese::N,болон,louka
103,Wald::N,урман,les
104,Hügel::N,түбә,kopec
