,Concept_ID,pt,te
0,Auge::N,olho,కన్ను
1,Ohr::N,orelha,చెవి
2,Nase::N,nariz,ముక్కు
3,Mund::N,boca,నోరు
4,Zahn::N,dente,పల్లు
5,Zunge::N,língua,నాలుక
6,Lippe::N,lábio,పెదవి
7,Wange::N,face,చెంప
8,Gesicht::N,cara,ముఖము
9,Gesicht::N,rosto,ముఖము
10,Stirn::N,testa,నుదురు
11,Haar::N,cabelo,వెండ్రుక
12,Schnurrbart::N,bigode,మీసము
13,Bart::N,barba,గడ్డము
14,Kinn::N,queixo,గడ్డము
15,Kiefer[Anatomie]::N,maxila,దౌడ
16,Kiefer[Anatomie]::N,mandíbula,దౌడ
17,Kehle::N,garganta,గొంతు
18,Hals::N,colo,మెడ
19,Hals::N,pescoço,మెడ
20,Genick::N,nuca,మూపు
21,Kopf::N,cabeça,తల
22,Rücken::N,dorso,వెన్ను
23,Rücken::N,costas,వెన్ను
24,Bauch::N,ventre,కడుపు
25,Bauch::N,barriga,కడుపు
26,Nabel::N,umbigo,బొడ్డు
27,Busen::N,seio,స్తనము
28,Brust::N,peito,ఱొమ్ము
29,Schulter::N,ombro,భుజము
30,Arm::N,braço,చేయి
31,Ellenbogen::N,cotovelo,మోచేయి
32,Hand::N,mão,చేయి
33,Handfläche::N,palma,అరచేయు
34,Handfläche::N,palma da mão,అరచేయు
35,Finger::N,dedo,చేతిప్రేలు
36,Fingernagel::N,unha,గోరు
37,Nagel[Anatomie]::N,unha,గోరు
38,Zeh::N,dedo do pé,కాలిప్రేలు
39,Fuß::N,pé,అడుగు
40,Ferse::N,calcanhar,మడమ
41,Knie::N,joelho,మోకాలు
42,Oberschenkel::N,coxa,తొడ
43,Bein::N,perna,కాలు
44,Körper::N,corpo,కాయము
45,Haut::N,pele,చర్మము
46,Blut::N,sangue,రక్తము
47,Ader::N,veia,సిర
48,Sehne::N,tendão,స్నాయువు
49,Knochen::N,osso,ఎముక
50,Gehirn::N,cérebro,మెదడు
51,Herz::N,coração,హృదయము
52,Magen::N,estômago,కడుపు
53,Leber::N,fígado,కాలేయము
54,Atem::N,fôlego,ఉపిరి
55,Hunger::N,fome,ఆకలి
56,Träne::N,lágrima,కన్నీటిచుక్క
57,Geschmack::N,gosto,రుచి
58,Geruch::N,odor,వాసన
59,Geruch::N,cheiro,వాసన
60,Schlaf::N,sono,నిద్ర
61,Traum::N,sonho,కల
62,Himmel::N,céu,ఆకాశము
63,Sonne::N,sol,సూర్యుడు
64,Mond::N,lua,చంద్రుడు
65,Stern::N,estrela,నక్షత్రము
66,Luft::N,ar,గాలి
67,Wind::N,vento,వీచుచున్నగాలి
68,Welle::N,onda,అల
69,Wasser::N,água,నీరు
70,Stein::N,pedra,ఱాయి
71,Boden::N,solo,నేల
72,Erde::N,terra,మన్ను
73,Staub::N,pó,దుమ్ము
74,Rauch::N,fumo,పొగ
75,Funke::N,faísca,అగ్నికణము
76,Funke::N,centelha,అగ్నికణము
77,Feuer::N,fogo,అగ్ని
78,Licht::N,luz,కాంతి
79,Schatten::N,sombra,నీడ
80,Wetter::N,tempo,వాతావరణ స్థితి
81,Nebel::N,nevoeiro,పొగమంచు
82,Wolke::N,nuvem,మేఘము
83,Regen::N,chuva,వాన
84,Schnee::N,neve,హిమము
85,Eis::N,gelo,మంచుగడ్డ
86,Frost::N,gelo,పేరిన మంచు
87,Frost::N,geada,పేరిన మంచు
88,Kälte::N,frio,చలి
89,Hitze::N,ardor,వేడిమి
90,Raureif::N,geada,మంచు
91,Regenbogen::N,arco-iris,ఇంద్రధనుస్సు
92,Donner::N,trovão,ఉరుము
93,Strömung::N,corrente,ప్రవాహము
94,Tropfen::N,gota,చుక్క
95,Schaum::N,espuma,నురుగు
96,Schmutz::N,sujidade,మైల
97,Schmutz::N,imundície,మైల
98,See::N,lago,సరస్సు
99,Sumpf::N,charco,చిత్తడినేల
100,Sumpf::N,pântano,చిత్తడినేల
101,Moor::N,pântano,చిత్తడినేల
102,Wiese::N,prado,పచ్చిక బయలు
103,Wald::N,bosque,అడవి
104,Wald::N,floresta,అడవి
105,Hügel::N,colina,చివ్నకొండ
106,Anhöhe::N,alto,కొండ
107,Anhöhe::N,outeiro,కొండ
108,Berg::N,monte,పర్వతము
109,Berg::N,montanha,పర్వతము
110,Gipfel::N,pico,శిఖరము
111,Höhle::N,caverna,గుహ
112,Abhang::N,encosta,ఏటవాలు
113,Quelle::N,fonte,మూలము
114,Bach::N,regato,కాలువ
115,Bach::N,ribeiro,కాలువ
116,Fluss::N,rio,నది
117,Ufer::N,beira,తీరము
118,Küste::N,costa,తీరము
119,Festland::N,terra firme,భూమి
120,Meer::N,mar,సముద్రము
121,Bucht::N,baía,మరుగు
122,Insel::N,ilha,దీవి
123,Blume::N,flor,పుష్పము
124,Gras::N,erva,పచ్చగడ్డి
125,Wurzel::N,raiz,వేరు
126,Baum::N,árvore,చెట్టు
127,Stamm::N,tronco,చెట్టుబోదె
128,Rinde::N,casca,చెట్టుపట్ట
129,Ast::N,ramo,కొమ్మ
130,Zweig::N,galho,చివుకు
131,Blatt::N,folha,ఆకు
132,Birke::N,bétula,తరహా చెట్టు
133,Kiefer[Baum]::N,pinheiro,దేవదారు చెట్టు
134,Weide[Baum]::N,salgueiro,జాతిచెట్టు
135,Tanne::N,abeto,దేవదారుచెట్టు
136,Horn::N,corno,కొమ్ము
137,Horn::N,chifre,కొమ్ము
138,Feder::N,pena,ఈక
139,Fell::N,pele,తోలు
140,Flügel::N,asa,ఱెక్క
141,Klaue::N,pata,వంకరగోరు
142,Kralle::N,unha,వంకరగోరు
143,Kralle::N,garra,వంకరగోరు
144,Schwanz::N,rabo,తోక
145,Schwanz::N,cauda,తోక
146,Ei::N,ovo,గ్రుడ్డు
147,Nest::N,ninho,పక్షిగూడు
148,Bau::N,toca,గుహ
149,Bau::N,covil,గుహ
150,Tier::N,animal,జంతువు
151,Herde::N,rebanho,మంద
152,Kuh::N,vaca,ఆవు
153,Bulle::N,touro,గిత్త
154,Pferd::N,cavalo,గుఱ్ఱము
155,Schaf::N,ovelha,గొఱ్ఱె
156,Schwein::N,porco,పంది
157,Hund::N,cão,కుక్క
158,Katze::N,gata,పిల్లి
159,Bär::N,urso,ఎలుగుబంటి
160,Eichhörnchen::N,esquilo,ఉడుత
161,Elch::N,alce,కణంజు
