,Concept_ID,sah,ru
0,Auge::N,харах,глаз
1,Ohr::N,кулгаах,ухо
2,Nase::N,мурун,нос
3,Mund::N,айах,рот
4,Zahn::N,тиис,зуб
5,Zunge::N,тыл,язык
6,Lippe::N,уос,губа
7,Wange::N,иэдэс,щека
8,Gesicht::N,сирэй,лицо
9,Stirn::N,сүүс,лоб
10,Haar::N,баттах,волос
11,Haar::N,баттах,волосы
12,Schnurrbart::N,уос бытыга,ус
13,Schnurrbart::N,уос бытыга,усы
14,Bart::N,сэҥийэ бытыга,борода
15,Kinn::N,сэҥийэ,подбородок
16,Kiefer[Anatomie]::N,сыҥаах,челюсть
17,Kehle::N,тамах,горло
18,Kehle::N,күөмэй,горло
19,Hals::N,моой,шея
20,Genick::N,кэтэх,затылок
21,Kopf::N,бас,голова
22,Rücken::N,көҕүс,спина
23,Bauch::N,ис,живот
24,Nabel::N,киин,пупок
25,Busen::N,эмиий,женская грудь
26,Brust::N,түөс,грудь
27,Schulter::N,сарын,плечо
28,Arm::N,илии,рука
29,Ellenbogen::N,тоҕонох,локоть
30,Hand::N,илии,кисть
31,Handfläche::N,ытыс,ладонь
32,Finger::N,тарбах,палец
33,Fingernagel::N,тыҥырах,ноготь
34,Nagel[Anatomie]::N,тыҥырах,ноготь
35,Zeh::N,тарбах,палец
36,Fuß::N,уллуҥах,ступня
37,Ferse::N,тилэх,пята
38,Ferse::N,тилэх,пятка
39,Knie::N,тобук,колено
40,Knie::N,дьилбэк,колено
41,Oberschenkel::N,уллук,бедро
42,Oberschenkel::N,өттүк,бедро
43,Bein::N,атах,нога
44,Körper::N,бэйэ,тело
45,Haut::N,тирии,кожа
46,Blut::N,хаан,кровь
47,Ader::N,вена,вена
48,Ader::N,вена,сосуд
49,Ader::N,күөх_тымыр,вена
50,Ader::N,күөх_тымыр,сосуд
51,Sehne::N,иҥиир,жила
52,Sehne::N,иҥиир,тетива
53,Sehne::N,иҥиир,сухожилие
54,Knochen::N,уҥуох,кость
55,Knochen::N,уҥгуох,кость
56,Gehirn::N,мэйии,мозг
57,Herz::N,сүрэх,сердце
58,Magen::N,куртах,желудок
