,Concept_ID,ja,fa
0,Auge::N,目,چشم
1,Ohr::N,耳,گوش
2,Nase::N,鼻,بینی
3,Mund::N,口,دهان
4,Zahn::N,歯,دندان
5,Zunge::N,舌,زبان
6,Lippe::N,唇,لب
7,Wange::N,頬,لپ
8,Gesicht::N,顔,رو
9,Gesicht::N,顔,چهره
10,Stirn::N,額,پیشانی
11,Haar::N,髪,مو
12,Schnurrbart::N,口髭,سبیل
13,Bart::N,髭,ریش
14,Kinn::N,顎,چانه
15,Kiefer[Anatomie]::N,顎,فک
16,Kiefer[Anatomie]::N,顎,آرواره
17,Kehle::N,喉,حلق
18,Hals::N,首,گردن
19,Genick::N,首,پشت گردن
20,Kopf::N,頭,سر
21,Kopf::N,頭,کله
22,Rücken::N,背中,پشت
23,Bauch::N,腹,شکم
24,Bauch::N,お腹,شکم
25,Nabel::N,へそ,ناف
26,Busen::N,乳房,پستان
27,Brust::N,胸,سینه
28,Schulter::N,肩,دوش
29,Schulter::N,肩,شانه
30,Arm::N,腕,بازو
31,Ellenbogen::N,肘,آرنج
32,Hand::N,手,دست
33,Handfläche::N,手のひら,کف دست
34,Finger::N,指,انگشت
35,Fingernagel::N,爪,ناخن دست
36,Nagel[Anatomie]::N,爪,ناخن
37,Zeh::N,足の指,انگشت پا
38,Fuß::N,足,پا
39,Ferse::N,かかと,پاشنه
40,Knie::N,膝,زانو
41,Oberschenkel::N,上腿,ران
42,Bein::N,足,پا
43,Bein::N,足,لنگ
44,Körper::N,体,تن
45,Körper::N,体,بدن
46,Haut::N,皮膚,پوست
47,Blut::N,血,خون
48,Ader::N,血管,رگ
49,Sehne::N,腱,زردپی
50,Knochen::N,骨,استخوان
51,Gehirn::N,脳,مخ
52,Gehirn::N,脳,مغز
53,Herz::N,心,دل
54,Herz::N,心,قلب
55,Herz::N,心臓,دل
56,Herz::N,心臓,قلب
57,Magen::N,胃,معده
58,Leber::N,肝臓,کبد
59,Atem::N,息,نفس
60,Atem::N,呼吸,نفس
61,Hunger::N,空腹,گرسنگی
62,Träne::N,涙,اشک
63,Geschmack::N,味,مزه
64,Geruch::N,匂い,بو
65,Schlaf::N,睡眠,خواب
