,Concept_ID,uk,pt
0,Auge::N,око,olho
1,Ohr::N,вухо,orelha
2,Nase::N,ніс,nariz
3,Mund::N,рот,boca
4,Zahn::N,зуб,dente
5,Zunge::N,язик,língua
6,Lippe::N,губа,lábio
7,Wange::N,щока,face
8,Gesicht::N,обличчя,cara
9,Gesicht::N,обличчя,rosto
10,Stirn::N,лоб,testa
11,Haar::N,волосся,cabelo
12,Schnurrbart::N,вуса,bigode
13,Bart::N,борода,barba
14,Kinn::N,підборіддя,queixo
15,Kiefer[Anatomie]::N,щелепа,maxila
16,Kiefer[Anatomie]::N,щелепа,mandíbula
17,Kehle::N,горло,garganta
18,Hals::N,шия,colo
19,Hals::N,шия,pescoço
20,Genick::N,потилиця,nuca
21,Kopf::N,голова,cabeça
22,Rücken::N,спина,dorso
23,Rücken::N,спина,costas
24,Bauch::N,живіт,ventre
25,Bauch::N,живіт,barriga
26,Nabel::N,пупок,umbigo
27,Busen::N,груди,seio
28,Brust::N,груди,peito
29,Schulter::N,плече,ombro
30,Arm::N,рука,braço
31,Ellenbogen::N,лікоть,cotovelo
32,Hand::N,рука,mão
33,Handfläche::N,долоня,palma
34,Handfläche::N,долоня,palma da mão
35,Finger::N,палець,dedo
36,Fingernagel::N,ніготь,unha
37,Nagel[Anatomie]::N,ніготь,unha
38,Zeh::N,палець на нозі,dedo do pé
39,Fuß::N,нога,pé
40,Ferse::N,п’ятка,calcanhar
41,Knie::N,коліно,joelho
42,Oberschenkel::N,стегно,coxa
43,Bein::N,нога,perna
44,Körper::N,тіло,corpo
45,Haut::N,шкіра,pele
46,Blut::N,кров,sangue
47,Ader::N,вена,veia
48,Sehne::N,сухожилля,tendão
49,Knochen::N,кістка,osso
50,Gehirn::N,мозок,cérebro
51,Herz::N,серце,coração
52,Magen::N,шлунок,estômago
53,Leber::N,печінка,fígado
54,Atem::N,дихання,fôlego
55,Hunger::N,голод,fome
56,Träne::N,сльоза,lágrima
57,Geschmack::N,смак,gosto
58,Geruch::N,запах,odor
59,Geruch::N,запах,cheiro
60,Schlaf::N,сон,sono
61,Schlaf::N,сплячка,sono
62,Traum::N,сон,sonho
63,Himmel::N,небо,céu
64,Sonne::N,сонце,sol
65,Mond::N,місяць,lua
66,Stern::N,зірка,estrela
67,Luft::N,повітря,ar
68,Wind::N,вітер,vento
69,Welle::N,хвиля,onda
70,Wasser::N,вода,água
71,Stein::N,камінь,pedra
72,Boden::N,ґрунт,solo
73,Erde::N,земля,terra
74,Staub::N,пил,pó
75,Rauch::N,дим,fumo
76,Funke::N,іскра,faísca
77,Funke::N,іскра,centelha
78,Feuer::N,вогонь,fogo
79,Licht::N,світло,luz
80,Schatten::N,тінь,sombra
81,Wetter::N,погода,tempo
82,Nebel::N,туман,nevoeiro
83,Wolke::N,хмара,nuvem
84,Regen::N,дощ,chuva
85,Schnee::N,сніг,neve
86,Eis::N,лід,gelo
87,Frost::N,мороз,gelo
88,Frost::N,мороз,geada
89,Kälte::N,холод,frio
90,Hitze::N,жар,ardor
91,Raureif::N,іній,geada
92,Regenbogen::N,райдуга,arco-iris
93,Donner::N,грім,trovão
94,Strömung::N,струмина,corrente
95,Tropfen::N,крапля,gota
96,Schaum::N,піна,espuma
97,Schmutz::N,бруд,sujidade
98,Schmutz::N,бруд,imundície
99,See::N,озеро,lago
100,Sumpf::N,драговина,charco
101,Sumpf::N,драговина,pântano
102,Moor::N,болото,pântano
103,Wiese::N,луг,prado
104,Wiese::N,лука,prado
105,Wald::N,ліс,bosque
106,Wald::N,ліс,floresta
107,Hügel::N,горб,colina
108,Anhöhe::N,височина,alto
109,Anhöhe::N,височина,outeiro
110,Berg::N,гора,monte
111,Berg::N,гора,montanha
112,Gipfel::N,вершина,pico
113,Höhle::N,печера,caverna
114,Abhang::N,схил,encosta
115,Quelle::N,джерело,fonte
116,Bach::N,струмок,regato
117,Bach::N,струмок,ribeiro
118,Fluss::N,річка,rio
119,Ufer::N,берег,beira
120,Küste::N,узбережжя,costa
121,Festland::N,суша,terra firme
122,Meer::N,море,mar
123,Bucht::N,бухта,baía
124,Bucht::N,затока,baía
125,Insel::N,острів,ilha
126,Blume::N,квітка,flor
127,Gras::N,трава,erva
128,Wurzel::N,корінь,raiz
129,Baum::N,дерево,árvore
130,Stamm::N,стовбур,tronco
131,Rinde::N,кора,casca
132,Ast::N,гілка,ramo
133,Zweig::N,галузь,galho
134,Blatt::N,лист,folha
135,Birke::N,береза,bétula
136,Kiefer[Baum]::N,сосна,pinheiro
137,Weide[Baum]::N,верба,salgueiro
138,Tanne::N,ялиця,abeto
139,Horn::N,ріг,corno
140,Horn::N,ріг,chifre
141,Feder::N,перо,pena
142,Fell::N,хутро,pele
143,Flügel::N,крило,asa
144,Klaue::N,кіготь,pata
145,Kralle::N,лапа,unha
146,Kralle::N,лапа,garra
147,Schwanz::N,хвіст,rabo
148,Schwanz::N,хвіст,cauda
149,Ei::N,яйце,ovo
150,Nest::N,гніздо,ninho
151,Bau::N,лігво,toca
152,Bau::N,лігво,covil
153,Tier::N,тварина,animal
154,Herde::N,стадо,rebanho
155,Kuh::N,корова,vaca
156,Bulle::N,бик,touro
157,Bulle::N,бугай,touro
158,Pferd::N,кінь,cavalo
159,Schaf::N,вівця,ovelha
160,Schwein::N,свиня,porco
161,Hund::N,собака,cão
162,Katze::N,кішка,gata
163,Bär::N,ведмідь,urso
164,Eichhörnchen::N,білка,esquilo
165,Elch::N,лось,alce
166,Fuchs::N,лисиця,raposa
167,Hase::N,заєць,lebre
168,Maus::N,миша,rato
169,Wolf::N,вовк,lobo
170,Vogel::N,птах,ave
171,Vogel::N,птах,pássaro
172,Schwarm::N,зграя,bando
173,Schwarm::N,зграя,enxame
174,Huhn::N,курка,galinha
175,Hahn::N,півень,galo
176,Gans::N,гуска,ganso
177,Adler::N,орел,águia
178,Ente::N,качка,pata
179,Eule::N,сова,mocho
180,Eule::N,сова,coruja
181,Kranich::N,журавель,grou
182,Krähe::N,ворона,gralha
183,Kuckuck::N,зозуля,cuco
184,Schwan::N,лебідь,cisne
185,Fisch::N,риба,peixe
186,Barsch::N,окунь,perca
187,Hecht::N,щука,lúcio
188,Schlange[Tier]::N,змія,serpente
189,Wurm::N,черв’як,verme
190,Spinne::N,павук,aranha
191,Ameise::N,мурашка,formiga
192,Laus::N,воша,piolho
193,Mücke::N,комар,mosquito
194,Fliege::N,муха,mosca
195,Schmetterling::N,метелик,borboleta
196,Beere::N,ягода,bago
197,Apfel::N,яблуко,maçã
198,Pilz::N,гриб,fungo
199,Pilz::N,гриб,cogumelo
200,Zwiebel::N,цибуля,cebola
201,Saat::N,сім’я,sementeira
202,Korn::N,зерно,grão
203,Heu::N,сіно,feno
204,Schale::N,шкірка,casca
205,Grube::N,яма,cova
206,Grube::N,яма,fossa
207,Falle::N,пастка,armadilha
208,Schlinge::N,петля,laço
209,Spur::N,слід,pista
210,Spur::N,слід,vestígio
211,Asche::N,зола,cinza
212,Asche::N,попіл,cinza
213,Dreck::N,бруд,sujidade
214,Eisen::N,залізо,ferro
215,Gold::N,золото,ouro
216,Silber::N,срібло,prata
217,Kohle::N,вугілля,carvão
218,Glas::N,скло,vidro
219,Lehm::N,глина,barro
220,Lehm::N,глина,argila
221,Sand::N,пісок,areia
222,Mensch::N,людина,homem
223,Mensch::N,людина,pessoa
224,Mann::N,чоловік,homem
225,Frau::N,жінка,mulher
226,Kind::N,дитина,filho
227,Kind::N,дитина,criança
228,Junge::N,хлопець,rapaz
229,Junge::N,хлопець,menino
230,Mädchen::N,дівчина,menina
231,Mädchen::N,дівчина,rapariga
232,Familie::N,сім’я,família
233,Familie::N,родина,família
234,Großvater::N,дідусь,avô
235,Großmutter::N,бабуся,avó
236,Eltern::N,батьки,pais
237,Vater::N,батько,pai
238,Mutter::N,мати,mãe
239,Sohn::N,син,filho
240,Tochter::N,дочка,filha
241,Bruder::N,брат,irmão
242,Schwester::N,сестра,irmã
243,Onkel::N,дядько,tio
244,Tante::N,тітка,tia
245,Ehemann::N,чоловік,esposo
246,Ehefrau::N,жінка,esposa
247,Ehefrau::N,дружина,esposa
248,Freude::N,радощі,prazer
249,Freude::N,радощі,alegria
250,Gelächter::N,сміх,risada
251,Gelächter::N,сміх,gargalhada
252,Glück::N,щастя,felicidade
253,Kummer::N,горе,aflição
254,Kummer::N,горе,desgosto
255,Wunsch::N,бажання,desejo
256,Lust::N,бажання,vontade
257,Geist::N,дух,mente
258,Geist::N,дух,espírito
259,Gedanke::N,думка,ideia
260,Gedanke::N,думка,pensamento
261,Gedächtnis::N,пам’ять,memória
262,Verstand::N,розум,razão
263,Verstand::N,розум,inteligência
264,Sinn::N,зміст,sentido
265,Sinn::N,зміст,significado
266,Sinn::N,значення,sentido
267,Sinn::N,значення,significado
268,Grund::N,причина,causa
269,Grund::N,причина,motivo
270,Wahrheit::N,правда,verdade
271,Gespräch::N,розмова,conversa
272,Gespräch::N,розмова,conversação
273,Märchen::N,байка,conto
274,Erzählung::N,повість,conto
275,Erzählung::N,повість,narrativa
276,Erzählung::N,оповідання,conto
277,Erzählung::N,оповідання,narrativa
278,Nachricht::N,повідомлення,mensagem
279,Neuigkeit::N,новина,notícia
280,Neuigkeit::N,новина,novidade
281,Name::N,ім’я,nome
282,Rätsel::N,загадка,adivinha
283,Rede::N,промова,oração
284,Rede::N,промова,discurso
285,Sprache::N,мова,língua
286,Stimme::N,голос,voz
287,Wort::N,слово,palavra
288,Zeichen::N,знак,marca
289,Ruf::N,оклик,grito
290,Ruf::N,оклик,chamada
291,Lärm::N,шум,ruído
292,Lärm::N,шум,barulho
293,Laut::N,звук,som
294,Ton::N,тон,tom
295,Lied::N,пісня,canção
296,Ruhe::N,спокій,calma
297,Ruhe::N,спокій,silêncio
298,Leute::N,люди,gente
299,Leute::N,люди,pessoas
300,Volk::N,народ,povo
301,Volk::N,народ,nação
302,Arbeit::N,робота,trabalho
303,Gast::N,гість,hóspede
304,Gast::N,гість,convidado
305,Geschenk::N,подарунок,prenda
306,Geschenk::N,подарунок,presente
307,Spiel::N,гра,jogo
308,Gesellschaft::N,товариство,companhia
309,Hilfe::N,допомога,ajuda
310,Hilfe::N,допомога,socorro
311,Freund::N,друг,amigo
312,Freund::N,приятель,amigo
313,Kamerad::N,товариш,camarada
314,Angelegenheit::N,справа,assunto
315,Anzahl::N,число,número
316,Anzahl::N,число,quantidade
317,Art::N,рід,tipo
318,Art::N,рід,espécie
319,Stück::N,кусок,pedaço
320,Teil::N,частина,peça
321,Teil::N,частина,parte
322,Hälfte::N,половина,metade
323,Kreis::N,круг,círculo
324,Kreis::N,коло,círculo
325,Kreuz::N,хрест,cruz
326,Linie::N,лінія,linha
327,Strich::N,штрих,traço
328,Abstand::N,проміжок,distância
329,Entfernung::N,відстань,distância
330,Gegend::N,місцевість,área
331,Gegend::N,місцевість,região
332,Platz::N,площа,lugar
333,Ort::N,місце,sítio
334,Seite::N,сторона,lado
335,Mitte::N,середина,meio
336,Gegenstand::N,предмет,objecto
337,Sache::N,річ,coisa
338,Rand::N,край,bordo
339,Rand::N,край,margem
340,Kante::N,ребро,borda
341,Kante::N,ребро,aresta
342,Ecke::N,ріг,esquina
343,Spitze::N,кінчик,ponta
344,Ende::N,кінець,cabo
345,Ende::N,кінець,extremo
346,Loch::N,діра,furo
347,Loch::N,діра,buraco
348,Winkel::N,куток,canto
349,Winkel::N,куток,ângulo
350,Muster::N,узор,padrão
351,Muster::N,узор,desenho
352,Größe::N,розмір,tamanho
353,Länge::N,довжина,comprimento
354,Höhe::N,висота,altura
355,Höhe::N,висота,altitude
356,Gewicht::N,вага,peso
357,Menge::N,кількість,quantidade
358,Haufen::N,купа,pilha
359,Reihe::N,ряд,fila
360,Boot::N,човен,barco
361,Ruder::N,весло,remo
362,Schlitten::N,сани,trenó
363,Ski::N,лижа,esqui
364,Lagerfeuer::N,вогнище,fogueira
365,Last::N,тягар,carga
366,Last::N,вантаж,carga
367,Gang::N,хід,curso
368,Gang::N,хід,caminhada
369,Schritt::N,крок,passo
370,Norden::N,північ,norte
371,Süden::N,південь,sul
372,Westen::N,захід,oeste
373,Westen::N,захід,ocidente
374,Osten::N,схід,este
375,Osten::N,схід,leste
376,Osten::N,схід,oriente
377,Holz::N,дрова,madeira
378,Brett::N,дошка,tábua
379,Brett::N,дошка,prancha
380,Platte::N,плита,laje
381,Platte::N,плита,chapa
382,Stütze::N,підпірка,apoio
383,Stütze::N,підпірка,suporte
384,Stange::N,жердина,vara
385,Stange::N,жердина,barra
386,Stock::N,палиця,pau
387,Stock::N,палиця,bengala
388,Stab::N,палиця,bastão
389,Rohr::N,труба,cano
390,Haus::N,дім,casa
391,Haus::N,хата,casa
392,Heim::N,житло,lar
393,Heim::N,житло,casa
394,Ofen::N,піч,estufa
395,Ofen::N,піч,aquecedor
396,Fußboden::N,підлога,piso
397,Tisch::N,стіл,mesa
398,Stuhl::N,стілець,cadeira
399,Wiege::N,колиска,berço
400,Bett::N,ліжко,cama
401,Bett::N,постіль,cama
402,Regal::N,полиця,estante
403,Regal::N,полиця,prateleira
404,Kiste::N,ящик,caixa
405,Fenster::N,вікно,janela
406,Tür::N,двері,porta
407,Tor::N,ворота,portão
408,Zaun::N,паркан,cerca
409,Zaun::N,паркан,vedação
410,Zaun::N,огорожа,cerca
411,Zaun::N,огорожа,vedação
412,Dach::N,дах,telhado
413,Leiter::N,драбина,escada
414,Leiter::N,драбина,escada móvel
415,Besen::N,мітла,vassoura
416,Spaten::N,заступ,pá
417,Schaufel::N,совок,pá
418,Schaufel::N,лопата,pá
419,Gabel::N,виделка,garfo
420,Löffel::N,ложка,colher
421,Messer::N,ніж,faca
422,Nagel::N,цвях,cravo
423,Netz::N,сіть,rede
424,Haken::N,крюк,gancho
425,Griff::N,ручка,asa
426,Griff::N,ручка,cabo
427,Griff::N,держак,asa
428,Griff::N,держак,cabo
429,Schloss::N,замок,fechadura
430,Bild::N,картина,imagem
431,Figur::N,фігура,figura
432,Puppe::N,лялька,boneca
433,Beutel::N,мішечок,saco
434,Beutel::N,мішечок,bolsa
435,Beutel::N,торбинка,saco
436,Beutel::N,торбинка,bolsa
437,Bündel::N,в’язка,fardo
438,Tasche::N,сумка,saco
439,Tasche::N,сумка,bolso
440,Eimer::N,відро,balde
441,Deckel::N,кришка,tampa
442,Geschirr::N,посуд,louça
443,Sack::N,мішок,saca
444,Tasse::N,чашка,chávena
445,Topf::N,горщик,tacho
446,Topf::N,горщик,panela
447,Kessel::N,котел,caldeira
448,Essen::N,їжа,refeição
449,Nahrung::N,харч,comida
450,Nahrung::N,харч,alimento
451,Speise::N,страва,prato
452,Fleisch::N,м’ясо,carne
453,Getreide::N,хліб,cereais
454,Getreide::N,збіжжя,cereais
455,Brei::N,каша,puré
456,Brot::N,хліб,pão
457,Scheibe::N,скибочка,fatia
458,Fett::N,жир,banha
459,Fett::N,жир,gordura
460,Butter::N,масло,manteiga
461,Öl::N,олія,azeite
462,Salz::N,сіль,sal
463,Suppe::N,суп,sopa
464,Suppe::N,суп,caldo
465,Honig::N,мед,mel
466,Milch::N,молоко,leite
467,Tee::N,чай,chá
468,Leder::N,шкіра,couro
469,Wolle::N,шерсть,lã
470,Stoff::N,тканина,pano
471,Stoff::N,тканина,tecido
472,Nadel::N,голка,agulha
473,Faden::N,нитка,fio
474,Knopf::N,ґудзик,botão
475,Knoten::N,вузол,nó
476,Farbe::N,фарба,corante
477,Kleidung::N,одяг,roupa
478,Kleidung::N,одяг,vestuário
479,Kleidung::N,убрання,roupa
480,Kleidung::N,убрання,vestuário
