,Concept_ID,hr,ady
0,Auge::N,oko,нэ
1,Ohr::N,uho,тхьакӏу́м
2,Nase::N,nos,пэ
3,Mund::N,usta,жэ
4,Zahn::N,zub,цэ
5,Zunge::N,jezik,бзэгу
6,Lippe::N,usna,ӏупшӏэ́
7,Wange::N,obraz,нэкӏу́шъу
8,Gesicht::N,lice,нэ́гу
9,Stirn::N,čelo,натӏэ́
10,Haar::N,kosa,шъхьацы́
11,Schnurrbart::N,brkovi,
12,Bart::N,brada,жакӏэ́
13,Kinn::N,brada,жэкӏэпэпкъ
14,Kinn::N,podbradak,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,čeljust,жэпкъы́
16,Kehle::N,grlo,чый
17,Hals::N,vrat,пшъэ
18,Genick::N,zatiljak,шъхьэпхэтыку
19,Kopf::N,glava,шъхьэ́
20,Rücken::N,leđa,кӏыбы́
21,Rücken::N,hrbat,кӏыбы́
22,Bauch::N,trbuh,ныбэ́
23,Nabel::N,pupak,
24,Busen::N,sisa,бгъэ́
25,Busen::N,njedra,бгъэ́
26,Brust::N,prsa,бгъэ́
27,Schulter::N,rame,блыпкъ
28,Schulter::N,pleći,блыпкъ
29,Arm::N,ruka,ӏэ
30,Ellenbogen::N,lakat,ӏэнтэ́гъу
31,Hand::N,ruka,ӏэтхьэцу
32,Handfläche::N,dlan,ӏэ́гу
33,Finger::N,prst,ӏэхъуа́мб
34,Fingernagel::N,nokat,ӏэбжъа́н
35,Nagel[Anatomie]::N,nokat,ӏэбжъа́н
36,Zeh::N,nozni prst,ӏэхъуа́мб
37,Fuß::N,noga,лъэгу
38,Fuß::N,stopalo,лъэгу
39,Ferse::N,peta,лъэдакъэ
40,Knie::N,koljeno,лъагуа́ндж
41,Oberschenkel::N,bedro,ко
42,Bein::N,noga,лъакъо́
43,Körper::N,tijelo,пкъышъол
44,Haut::N,put,кӏы́шъу
45,Haut::N,koža,кӏы́шъу
46,Blut::N,krv,лъы
47,Ader::N,žila,льытф
48,Sehne::N,tetiva,фэ
49,Knochen::N,kost,къупшъхьэ́
50,Herz::N,srce,гу
51,Magen::N,stomak,мышкӏу
52,Magen::N,želudac,мышкӏу
53,Leber::N,jetra,шӏу
54,Atem::N,dah,къэщэныр
55,Hunger::N,glad,гъаблэ́
56,Träne::N,suza,нэпсы
57,Geschmack::N,ukus,ӏэшӏугъа́кӏ
58,Geruch::N,njuh,мэ
59,Geruch::N,miris,мэ
60,Schlaf::N,san,пчыхьы́пӏ
61,Traum::N,san,пчыхьы́пӏ
62,Himmel::N,nebo,уашъо́
63,Sonne::N,sunce,тыгъэ
64,Mond::N,mjesec,мазэ
65,Stern::N,zvijezda,жъуагъо́
66,Luft::N,zrak,жьы
67,Wind::N,vjetar,жьыбгъэ́
68,Welle::N,val,ор
69,Welle::N,val,оры
70,Welle::N,talas,ор
71,Welle::N,talas,оры
72,Wasser::N,voda,псы
73,Stein::N,kamen,мыжъо́
74,Boden::N,tlo,чӏ́ыгу
75,Boden::N,zemlja,чӏ́ыгу
76,Erde::N,zemlja,чӏ́ыгу
77,Staub::N,prah,сап
78,Staub::N,prašina,сап
79,Rauch::N,dim,ӏугъо́
80,Funke::N,iskra,мэшӏуа́ч
81,Funke::N,varnica,мэшӏуа́ч
82,Feuer::N,vatra,машӏо́
83,Licht::N,svjetlo,нэфы
84,Licht::N,svjetlo,нэфын
85,Schatten::N,hlad,жьау́
86,Schatten::N,hlad,ныбжьыкъу
87,Schatten::N,sjena,жьау́
88,Schatten::N,sjena,ныбжьыкъу
89,Wetter::N,vrijeme,
90,Nebel::N,magla,пща́гъу
91,Wolke::N,oblak,ошъуапщэ
92,Regen::N,kiša,ощхы
93,Schnee::N,snijeg,осы́
94,Eis::N,led,мылы
95,Frost::N,mraz,
96,Kälte::N,studen,чъыӏэ́
97,Kälte::N,hladnoća,чъыӏэ́
98,Hitze::N,vrućina,фэба́е
99,Raureif::N,inje,
100,Regenbogen::N,duga, лэгъупэкъо́пс
101,Donner::N,grom,шыблэ́
102,Donner::N,grmljavina,шыблэ́
103,Strömung::N,struja,ток
104,Strömung::N,strujanje,ток
105,Tropfen::N,kap,ткӏопс
106,Tropfen::N,kap,гъуаткӏу
107,Tropfen::N,kaplja,ткӏопс
108,Tropfen::N,kaplja,гъуаткӏу
109,Schaum::N,pjena,тхъурбэ
110,Schmutz::N,nečistoća,псынжъы
111,Schmutz::N,prljavština,псынжъы
112,See::N,jezero,хыку́м
