,Concept_ID,kn,fi
0,Auge::N,ಕಣ್ಣು,silmä
1,Ohr::N,ಕಿವಿ,korva
2,Nase::N,ಮೂಗು,nenä
3,Mund::N,ಬಾಯಿ,suu
4,Zahn::N,ಹಲ್ಲು,hammas
5,Zunge::N,ನಾಲಿಗೆ,kieli
6,Lippe::N,ತುಟಿ,huuli
7,Wange::N,ಗಲ್ಲ,poski
8,Gesicht::N,ಮುಖ,naama
9,Gesicht::N,ಮುಖ,kasvot
10,Stirn::N,ಹಣೆ,otsa
11,Haar::N,ಕೂದಲು,hius
12,Haar::N,ಕೂದಲು,tukka
13,Schnurrbart::N,ಮೀಸೆ,viikset
14,Bart::N,ಗಡ್ಡ,parta
15,Kinn::N,ಗದ್ದ,leuka
16,Kiefer[Anatomie]::N,ದವಡೆ,leukaluu
17,Kehle::N,ಗಂಟಲು,kurkku
18,Hals::N,ಕೊರಳು,kaula
19,Genick::N,ಹಿಂಗತ್ತು,niska
20,Kopf::N,ತಲೆ,pää
21,Rücken::N,ಬೆನ್ನು,selkä
22,Bauch::N,ಹೊಟ್ಟೆ,maha
23,Bauch::N,ಹೊಟ್ಟೆ,vatsa
24,Nabel::N,ಹೊಕ್ಕುಳು,napa
25,Busen::N,ಸ್ತನ,rinta
26,Brust::N,ಎದೆ,rinta
27,Schulter::N,ಭುಜ,olka
28,Schulter::N,ಭುಜ,hartia
29,Schulter::N,ಭುಜ,olkapää
30,Arm::N,ತೋಳು,käsivarsi
31,Ellenbogen::N,ಮೊಣಕೈ,kyynärpää
32,Hand::N,ಕೈ,käsi
33,Handfläche::N,ಅಂಗೈ,kämmen
34,Finger::N,ಕೈಬೆರಳು,sormi
35,Fingernagel::N,ಉಗುರು,kynsi
36,Nagel[Anatomie]::N,ಉಗುರು,kynsi
37,Zeh::N,ಕಾಲ್ಬೆರಳು,varvas
38,Fuß::N,ಪಾದ,jalka
39,Ferse::N,ಹಿಮ್ಮಡಿ,kantapää
40,Knie::N,ಮಂಡಿ,polvi
41,Oberschenkel::N,ತೊಡೆ,reisi
42,Bein::N,ಕಾಲು,jalka
43,Körper::N,ದೇಹ,keho
44,Körper::N,ದೇಹ,ruumis
45,Haut::N,ಚರ್ಮ,iho
46,Blut::N,ರಕ್ತ,veri
47,Ader::N,ನರ,suoni
48,Sehne::N,ನರ,jänne
49,Knochen::N,ಮೂಳೆ,luu
50,Gehirn::N,ಮಿದುಳು,aivot
51,Herz::N,ಹೃದಯ,sydän
52,Magen::N,ಉದರ,maha
53,Magen::N,ಉದರ,vatsa
54,Leber::N,ಯಕೃತ್ತು,maksa
55,Atem::N,ಉಸಿರು,henki
56,Atem::N,ಉಸಿರು,hengitys
57,Hunger::N,ಹಸಿವು,nälkä
58,Träne::N,ಕಣ್ಣೀರು,kyynel
59,Geschmack::N,ರುಚಿ,maku
60,Geruch::N,ವಾಸನೆ,haju
61,Schlaf::N,ನಿದ್ರೆ,uni
62,Traum::N,ಕನಸು,uni
63,Himmel::N,ಬಾನು,taivas
64,Sonne::N,ಸೂರ್ಯ,aurinko
65,Mond::N,ಚಂದ್ರ,kuu
66,Stern::N,ಚುಕ್ಕಿ,tähti
67,Luft::N,ವಾಯು,ilma
68,Wind::N,ಗಾಳಿ,tuuli
69,Welle::N,ಅಲೆ,aalto
70,Wasser::N,ನೀರು,vesi
71,Stein::N,ಕಲ್ಲು,kivi
72,Boden::N,ನೆಲ,maa
73,Boden::N,ನೆಲ,maaperä
74,Erde::N,ಭೂಮಿ,maa
75,Staub::N,ದೂಳು,pöly
76,Rauch::N,ಹೊಗೆ,savu
77,Funke::N,ಕಿಡಿ,kipinä
78,Feuer::N,ಬೆಂಕಿ,tuli
79,Licht::N,ಬೆಳಕು,valo
80,Schatten::N,ನೆರಳು,varjo
81,Wetter::N,ಹವ,sää
82,Nebel::N,ಮಂಜು,sumu
83,Wolke::N,ಮೋಡ,pilvi
84,Regen::N,ಮಳೆ,sade
85,Schnee::N,ಹಿಮ,lumi
86,Eis::N,ಮಂಜುಗಡ್ಡೆ,jää
87,Frost::N,ಮಂಜು,halla
88,Frost::N,ಮಂಜು,pakkanen
89,Kälte::N,ಹಿಮ,vilu
90,Kälte::N,ಹಿಮ,kylmyys
91,Hitze::N,ಉಷ್ಣ,helle
92,Hitze::N,ಉಷ್ಣ,kuumuus
93,Raureif::N,ಇಬ್ಬನಿ,huurre
94,Regenbogen::N,ಇಂದ್ರಚಾಪ,sateenkaari
95,Donner::N,ಗುಡುಗು,jyrinä
96,Strömung::N,ಪ್ರವಾಹ,virtaus
97,Tropfen::N,ತೊಟ್ಟು,tippa
98,Tropfen::N,ತೊಟ್ಟು,pisara
99,Schaum::N,ನೊರೆ,vaahto
100,Schmutz::N,ಕಸ,loka
101,See::N,ಸರೋವರ,järvi
102,Sumpf::N,ಜೌಗುಸ್ಥಳ,suo
103,Moor::N,ಬಂಜರು ಭೂಮಿ,räme
104,Wiese::N,ಹುಲ್ಲುಗಾವಲು,niitty
105,Wald::N,ಕಾಡು,metsä
106,Hügel::N,ಗುಡ್ಡೆ,mäki
107,Hügel::N,ಗುಡ್ಡೆ,kumpu
108,Hügel::N,ಗುಡ್ಡೆ,kukkula
109,Anhöhe::N,ದಿಬ್ಬ,mäki
110,Anhöhe::N,ದಿಬ್ಬ,kumpare
111,Berg::N,ಮಲೆ,mäki
112,Berg::N,ಮಲೆ,vuori
113,Berg::N,ಪರ್ವತ,mäki
114,Berg::N,ಪರ್ವತ,vuori
115,Gipfel::N,ಶೃಂಗ,laki
116,Gipfel::N,ಶೃಂಗ,huippu
117,Höhle::N,ಗುಹೆ,luola
118,Abhang::N,ಇಳಿಜಾರು,rinne
119,Quelle::N,ಮೂಲ,lähde
120,Bach::N,ತೊರೆ,puro
121,Fluss::N,ನದಿ,joki
122,Ufer::N,ತೀರ,ranta
123,Küste::N,ದಂಡೆ,rannikko
124,Festland::N,ಭೂಮಿ,manner
125,Meer::N,ಕಡಲು,meri
126,Bucht::N,ಖಾರಿ,lahti
127,Insel::N,ದ್ವೀಪ,saari
128,Blume::N,ಸುಮ,kukka
129,Gras::N,ಹುಲ್ಲು,ruoho
130,Wurzel::N,ಬೇರು,juuri
131,Baum::N,ಮರ,puu
132,Stamm::N,ಕಾಂಡ,runko
133,Rinde::N,ತೂಗಟಿ,kuori
134,Rinde::N,ತೂಗಟಿ,parkki
135,Ast::N,ಶಾಖೆ,oksa
136,Zweig::N,ರೆಂಬೆ,haara
137,Blatt::N,ಎಲೆ,lehti
138,Birke::N,ಬರ್ಚ್ ಮರ,koivu
139,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,mänty
140,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,petäjä
141,Weide[Baum]::N,ವಿಲೋಮರ,paju
142,Tanne::N,ಭದ್ರದಾರು,kuusi
143,Horn::N,ಕೊಂಬು,sarvi
144,Feder::N,ಪುಕ್ಕ,sulka
145,Feder::N,ಪುಕ್ಕ,höyhen
146,Fell::N,ರೋಮ,talja
147,Flügel::N,ರೆಕ್ಕೆ,siipi
148,Klaue::N,ಪಂಜ,kynsi
149,Kralle::N,ಉಗುರು,kynsi
150,Schwanz::N,ಬಾಲ,häntä
151,Schwanz::N,ಬಾಲ,pyrstö
152,Ei::N,ಮೊಟ್ಟೆ,muna
153,Nest::N,ಗೂಡು,pesä
154,Bau::N,ಅಡಗುದಾಣ,pesä
155,Tier::N,ಪ್ರಾಣಿ,eläin
156,Herde::N,ಗುಂಪು,lauma
157,Kuh::N,ಹಸು,lehmä
158,Bulle::N,ಗೂಳಿ,sonni
159,Pferd::N,ಕುದುರೆ,hevonen
160,Schaf::N,ಕುರಿ,lammas
161,Schwein::N,ಹಂದಿ,sika
162,Hund::N,ನಾಯಿ,koira
163,Katze::N,ಬೆಕ್ಕು,kissa
164,Bär::N,ಕರಡಿ,karhu
165,Eichhörnchen::N,ಉಡುತೆ,orava
166,Elch::N,ಕಡವೆ,hirvi
167,Fuchs::N,ನರಿ,kettu
168,Hase::N,ಮೊಲ,jänis
169,Maus::N,ಇಲಿ,hiiri
170,Wolf::N,ತೋಳ,susi
171,Vogel::N,ಪಕ್ಷಿ,lintu
172,Schwarm::N,ಗುಂಪು,parvi
173,Huhn::N,ಚಿಕ್,kana
174,Hahn::N,ಹುಂಜ,kukko
175,Gans::N,ವರಟೆ,hanhi
