,Concept_ID,te,zh
0,Auge::N,కన్ను,眼睛
1,Ohr::N,చెవి,耳朵
2,Nase::N,ముక్కు,鼻子
3,Mund::N,నోరు,嘴
4,Zahn::N,పల్లు,牙齿
5,Zunge::N,నాలుక,舌头
6,Lippe::N,పెదవి,嘴唇
7,Wange::N,చెంప,面颊
8,Gesicht::N,ముఖము,脸
9,Stirn::N,నుదురు,额
10,Haar::N,వెండ్రుక,头发
11,Schnurrbart::N,మీసము,髭须
12,Bart::N,గడ్డము,胡子
13,Kinn::N,గడ్డము,下巴
14,Kiefer[Anatomie]::N,దౌడ,颌
15,Kehle::N,గొంతు,嗓子
16,Hals::N,మెడ,颈
17,Genick::N,మూపు,后颈
18,Kopf::N,తల,头
19,Rücken::N,వెన్ను,背
20,Bauch::N,కడుపు,肚子
21,Nabel::N,బొడ్డు,肚脐
22,Busen::N,స్తనము,胸脯
23,Brust::N,ఱొమ్ము,胸
24,Schulter::N,భుజము,肩膀
25,Arm::N,చేయి,臂膀
26,Ellenbogen::N,మోచేయి,肘
27,Hand::N,చేయి,手
28,Handfläche::N,అరచేయు,手掌
29,Finger::N,చేతిప్రేలు,手指
30,Fingernagel::N,గోరు,指甲
31,Nagel[Anatomie]::N,గోరు,指甲
32,Zeh::N,కాలిప్రేలు,脚趾
33,Fuß::N,అడుగు,脚
34,Ferse::N,మడమ,后跟
35,Knie::N,మోకాలు,膝
36,Oberschenkel::N,తొడ,大腿
37,Bein::N,కాలు,腿
38,Körper::N,కాయము,身体
39,Haut::N,చర్మము,皮肤
40,Blut::N,రక్తము,血
41,Ader::N,సిర,血管
42,Sehne::N,స్నాయువు,腱
43,Knochen::N,ఎముక,骨
44,Gehirn::N,మెదడు,脑
45,Herz::N,హృదయము,心
46,Magen::N,కడుపు,胃
47,Leber::N,కాలేయము,肝
48,Atem::N,ఉపిరి,呼吸
49,Hunger::N,ఆకలి,饿
50,Träne::N,కన్నీటిచుక్క,眼泪
51,Geschmack::N,రుచి,味道
52,Geruch::N,వాసన,气味
53,Schlaf::N,నిద్ర,睡眠
54,Traum::N,కల,梦
55,Himmel::N,ఆకాశము,天空
56,Sonne::N,సూర్యుడు,太阳
57,Mond::N,చంద్రుడు,月亮
58,Stern::N,నక్షత్రము,星
59,Luft::N,గాలి,空气
60,Wind::N,వీచుచున్నగాలి,风
61,Welle::N,అల,波
62,Wasser::N,నీరు,水
63,Stein::N,ఱాయి,石头
64,Boden::N,నేల,地面
65,Erde::N,మన్ను,地
66,Staub::N,దుమ్ము,灰尘
67,Rauch::N,పొగ,烟
68,Funke::N,అగ్నికణము,火花
69,Feuer::N,అగ్ని,火
70,Licht::N,కాంతి,光
71,Schatten::N,నీడ,影子
72,Wetter::N,వాతావరణ స్థితి,天气
73,Nebel::N,పొగమంచు,雾
74,Wolke::N,మేఘము,云
75,Regen::N,వాన,雨
76,Schnee::N,హిమము,雪
77,Eis::N,మంచుగడ్డ,冰
78,Frost::N,పేరిన మంచు,霜冻
79,Kälte::N,చలి,寒冷
80,Hitze::N,వేడిమి,炎热
81,Raureif::N,మంచు,霜
82,Regenbogen::N,ఇంద్రధనుస్సు,虹
83,Donner::N,ఉరుము,雷
84,Strömung::N,ప్రవాహము,水流
85,Tropfen::N,చుక్క,滴
86,Schaum::N,నురుగు,泡沫
87,Schmutz::N,మైల,赃物
88,See::N,సరస్సు,湖
89,Sumpf::N,చిత్తడినేల,沼泽
90,Moor::N,చిత్తడినేల,沼泽
91,Wiese::N,పచ్చిక బయలు,草地
92,Wald::N,అడవి,森林
93,Hügel::N,చివ్నకొండ,丘陵
94,Anhöhe::N,కొండ,山丘
95,Berg::N,పర్వతము,山
96,Gipfel::N,శిఖరము,峰
97,Höhle::N,గుహ,洞穴
98,Abhang::N,ఏటవాలు,斜坡
99,Quelle::N,మూలము,泉
100,Bach::N,కాలువ,溪
101,Fluss::N,నది,河流
102,Ufer::N,తీరము,岸
103,Küste::N,తీరము,海岸
104,Festland::N,భూమి,大陆
105,Meer::N,సముద్రము,海
106,Bucht::N,మరుగు,海湾
107,Insel::N,దీవి,岛
108,Blume::N,పుష్పము,花
109,Gras::N,పచ్చగడ్డి,草
110,Wurzel::N,వేరు,根
111,Baum::N,చెట్టు,树
112,Stamm::N,చెట్టుబోదె,树干
113,Rinde::N,చెట్టుపట్ట,树皮
114,Ast::N,కొమ్మ,树枝
115,Zweig::N,చివుకు,树枝
116,Blatt::N,ఆకు,叶子
117,Birke::N,తరహా చెట్టు,桦木
118,Kiefer[Baum]::N,దేవదారు చెట్టు,松树
119,Weide[Baum]::N,జాతిచెట్టు,柳树
120,Tanne::N,దేవదారుచెట్టు,冷杉
121,Horn::N,కొమ్ము,角
122,Feder::N,ఈక,羽毛
123,Fell::N,తోలు,皮毛
124,Flügel::N,ఱెక్క,翅膀
125,Klaue::N,వంకరగోరు,爪子
126,Kralle::N,వంకరగోరు,爪子
127,Schwanz::N,తోక,尾巴
128,Ei::N,గ్రుడ్డు,蛋
129,Nest::N,పక్షిగూడు,巢
130,Bau::N,గుహ,穴
131,Tier::N,జంతువు,动物
132,Herde::N,మంద,群
133,Kuh::N,ఆవు,母牛
134,Bulle::N,గిత్త,公牛
135,Pferd::N,గుఱ్ఱము,马
136,Schaf::N,గొఱ్ఱె,羊
137,Schwein::N,పంది,猪
138,Hund::N,కుక్క,狗
139,Katze::N,పిల్లి,猫
140,Bär::N,ఎలుగుబంటి,熊
141,Eichhörnchen::N,ఉడుత,松鼠
142,Elch::N,కణంజు,麋鹿
143,Fuchs::N,గుంటనక్క,狐狸
144,Hase::N,కుందేలు,兔子
145,Maus::N,చిట్టెలుక,老鼠
146,Wolf::N,తోడేలు,狼
147,Vogel::N,పక్షి,鸟
148,Schwarm::N,గుంపు,群
149,Huhn::N,కోడిపిల్ల,鸡
150,Hahn::N,కోడివుంజు,公鸡
151,Gans::N,ఆడుబాతు,鹅
152,Adler::N,గ్రద్ద,鹰
153,Ente::N,పాట్టిబాతు,鸭
154,Eule::N,గ్రుడ్లగూబ,猫头鹰
155,Kranich::N,కొంగ,鹤
156,Krähe::N,కాకి,乌鸦
157,Kuckuck::N,కోయల,布谷鸟
158,Schwan::N,హంస,天鹅
159,Fisch::N,చేప,鱼
160,Barsch::N,ఒకచేఁప,鲈鱼
161,Hecht::N,గండుమీను,狗鱼
162,Schlange[Tier]::N,పాము,蛇
163,Wurm::N,పురుగు,蠕虫
164,Spinne::N,సాలె పురుగు,蜘蛛
165,Ameise::N,చీమ,蚂蚁
166,Laus::N,పేను,虱子
167,Mücke::N,చీకటీగ,蚊子
168,Fliege::N,ఈగ,苍蝇
169,Schmetterling::N,సీతాకోకచిలుక,蝴蝶
170,Beere::N,కాయ,将果
171,Apfel::N,ఆపిల్ పండు,苹果
172,Pilz::N,కుక్కగొడుగు,蘑菇
173,Zwiebel::N,నీరుల్లి,洋葱
174,Saat::N,విత్తనము,种子
175,Korn::N,గింజ,谷粒
176,Heu::N,ఎండుగడ్డి,干草
177,Schale::N,పొట్టు,壳
178,Grube::N,గొయ్యి,坑
179,Falle::N,బోను,圈套
180,Schlinge::N,ఉరి,活扣
181,Spur::N,జాడ,踪迹
182,Asche::N,బూడిద,灰烬
183,Dreck::N,ముఱికి,污垢
184,Eisen::N,ఇనుము,铁
185,Gold::N,బంగారము,金子
186,Silber::N,వెండి,银
187,Kohle::N,నేలబొగ్గు,煤
188,Glas::N,గాజు,玻璃
189,Lehm::N,బంకమన్ను,粘土
190,Sand::N,ఇసుక,沙
191,Mensch::N,నరుడు,人
192,Mann::N,పురుమడు,男子
193,Frau::N,ఆడుది,妇女
194,Kind::N,బిడ్డ,小孩
195,Junge::N,బాలుడు,男孩
196,Mädchen::N,బాలిక,女孩
197,Familie::N,కుటుంబము,家庭
198,Großvater::N,తాత,祖父
199,Großmutter::N,అయ్యమ్మ,祖母
200,Eltern::N,తల్లితండ్రులు,父母
201,Vater::N,తండ్రి,父亲
202,Mutter::N,తల్లి,母亲
203,Sohn::N,కొడుకు,儿子
204,Tochter::N,కూతురు,女儿
205,Bruder::N,పోదరుడు,兄弟
206,Schwester::N,సోదరి,姐妹
207,Onkel::N,మేనమామ,伯父
208,Tante::N,మేనత్త,阿姨
209,Tante::N,పినతల్లి,阿姨
210,Ehemann::N,భర్త,丈夫
211,Ehefrau::N,భార్య,妻子
212,Freude::N,సంతోషము,愉快
213,Gelächter::N,నవ్వు,大笑
214,Glück::N,సంతోషము,运气
215,Kummer::N,దుఃఖము,苦恼
216,Wunsch::N,కోరిక,愿望
217,Lust::N,కోరిక,乐趣
218,Geist::N,ఆత్మ,精神
219,Gedanke::N,ఆలోచన,思想
220,Gedächtnis::N,జ్ఞాపకము,记性
221,Verstand::N,మనస్సు,理智
222,Sinn::N,అర్థము,感觉
223,Grund::N,కారణము,理由
224,Wahrheit::N,సత్యము,真理
225,Gespräch::N,పంభాషణ,谈话
226,Märchen::N,అద్భుతకథ,童话
227,Erzählung::N,కథ,故事
228,Nachricht::N,వార్త,消息
229,Neuigkeit::N,వార్త,新闻
230,Name::N,పేరు,名字
231,Rätsel::N,చిక్కు,谜语
232,Rede::N,ఉపన్యాసము,讲话
233,Sprache::N,భాష,语言
234,Stimme::N,కంరథ్సని,声音
235,Wort::N,మాట,词
236,Zeichen::N,గుర్తు,标记
237,Ruf::N,పిలువు,呼喊
238,Lärm::N,సందడి,噪音
239,Laut::N,ధ్వని,响声
240,Ton::N,స్వరము,声音
241,Lied::N,పాట,歌曲
242,Ruhe::N,గాలిలేమి,安静
243,Leute::N,జనులు,人们
244,Volk::N,జాతి,人民
245,Arbeit::N,పని,劳动
246,Gast::N,అతిధి,客人
247,Geschenk::N,దానము,礼物
248,Spiel::N,ఆట,游戏
249,Gesellschaft::N,జట్టు,陪同
250,Hilfe::N,సాహాయ్యము,帮助
251,Freund::N,స్నేహితుడు,朋友
252,Kamerad::N,చెలికాడు,同志
253,Angelegenheit::N,విషయము,事情
254,Anzahl::N,లెక్క,数目
255,Art::N,జాతి,种类
