,Concept_ID,sv,da
0,Auge::N,öga,øje
1,Ohr::N,öra,øre
2,Nase::N,näsa,næse
3,Mund::N,mun,mund
4,Zahn::N,tand,tand
5,Zunge::N,tunga,tunge
6,Lippe::N,läpp,læbe
7,Wange::N,kind,kind
8,Gesicht::N,syn,ansigt
9,Gesicht::N,ansikte,ansigt
10,Stirn::N,panna,pande
11,Haar::N,hår,hår
12,Schnurrbart::N,mustasch,overskæg
13,Bart::N,skägg,skæg
14,Kinn::N,haka,hage
15,Kiefer[Anatomie]::N,käke,kæbe
16,Kehle::N,strupe,strube
17,Hals::N,hals,hals
18,Genick::N,nacke,nakke
19,Kopf::N,huvud,hoved
20,Rücken::N,rygg,ryg
21,Bauch::N,buk,mave
22,Bauch::N,mage,mave
23,Nabel::N,navel,navle
24,Busen::N,barm,barm
25,Brust::N,bröst,bryst
26,Schulter::N,skuldra,skulder
27,Arm::N,arm,arm
28,Ellenbogen::N,armbåge,albue
29,Hand::N,hand,hånd
30,Handfläche::N,handflata,håndflade
31,Finger::N,finger,finger
32,Fingernagel::N,fingernagel,fingernegl
33,Nagel[Anatomie]::N,nagel,negl
34,Zeh::N,tå,tå
35,Fuß::N,fot,fod
36,Ferse::N,häl,hæl
37,Knie::N,knä,knæ
38,Oberschenkel::N,lår,lår
39,Bein::N,ben,ben
40,Körper::N,kropp,krop
41,Körper::N,kropp,legeme
42,Haut::N,hud,hud
43,Haut::N,skinn,hud
44,Blut::N,blod,blod
45,Ader::N,åder,åre
46,Sehne::N,sena,sene
47,Knochen::N,ben,ben
48,Gehirn::N,hjärna,hjerne
49,Herz::N,hjärta,hjerte
50,Magen::N,mage,mave
51,Leber::N,lever,lever
52,Atem::N,anda,ånde
53,Atem::N,andedräkt,ånde
54,Hunger::N,svält,sult
55,Hunger::N,hunger,sult
56,Träne::N,tår,tåre
57,Geschmack::N,smak,smag
58,Geruch::N,lukt,lugt
59,Schlaf::N,sömn,søvn
60,Traum::N,dröm,drøm
61,Himmel::N,himmel,himmel
62,Sonne::N,sol,sol
63,Mond::N,måne,måne
64,Stern::N,stjärna,stjerne
65,Luft::N,luft,luft
66,Wind::N,vind,vind
67,Welle::N,våg,bølge
68,Welle::N,bölja,bølge
69,Wasser::N,vatten,vand
70,Stein::N,sten,sten
71,Boden::N,mark,jord
72,Erde::N,jord,jord
73,Staub::N,damm,støv
74,Rauch::N,rök,røg
75,Funke::N,gnista,gnist
76,Feuer::N,eld,ild
77,Licht::N,ljus,lys
78,Schatten::N,skugga,skygge
79,Wetter::N,väder,vejr
80,Nebel::N,dimma,tåge
81,Nebel::N,töcken,tåge
82,Wolke::N,sky,sky
83,Wolke::N,moln,sky
84,Regen::N,regn,regn
85,Schnee::N,snö,sne
86,Eis::N,is,is
87,Frost::N,frost,frost
88,Kälte::N,köld,kulde
89,Hitze::N,hetta,hede
90,Raureif::N,rimfrost,rimfrost
91,Regenbogen::N,regnbåge,regnbue
92,Donner::N,åska,torden
93,Donner::N,dunder,torden
94,Strömung::N,strömning,strømning
95,Tropfen::N,dropper,dråbe
96,Schaum::N,skum,skum
97,Schmutz::N,lort,snavs
98,Schmutz::N,smuts,snavs
99,See::N,sjö,sø
100,Sumpf::N,träsk,sump
101,Moor::N,myr,mose
102,Moor::N,mosse,mose
103,Wiese::N,äng,eng
104,Wald::N,skog,skov
105,Hügel::N,höjd,høj
106,Hügel::N,höjd,bakke
107,Hügel::N,kulle,høj
108,Hügel::N,kulle,bakke
109,Anhöhe::N,höjd,høj
110,Anhöhe::N,höjd,bakke
111,Anhöhe::N,backe,høj
112,Anhöhe::N,backe,bakke
113,Berg::N,berg,bjerg
114,Berg::N,fjäll,bjerg
115,Gipfel::N,topp,top
116,Höhle::N,håla,hule
117,Höhle::N,grotta,hule
118,Abhang::N,slänt,skrænt
