,Concept_ID,bn,es
0,Auge::N,চক্ষু,ojo
1,Ohr::N,কর্ণ,oreja
2,Nase::N,নাক,nariz
3,Mund::N,মুখ,boca
4,Zahn::N,দাঁত,diente
5,Zunge::N,জিহবা,lengua
6,Lippe::N,অধর,labio
7,Wange::N,গণ্ড,mejilla
8,Gesicht::N,মুখমণ্ডল,cara
9,Stirn::N,কপাল,frente
10,Haar::N,চুল,cabello
11,Schnurrbart::N,গোঁফ,bigote
12,Bart::N,শ্মশ্রু,barba
13,Kinn::N,চিবুক,barbilla
14,Kiefer[Anatomie]::N,চোয়াল,mandíbula
15,Kehle::N,কণ্ঠ,garganta
16,Hals::N,গল,cuello
17,Genick::N,ঘাড়,nuca
18,Genick::N,ঘাড়,cerviz
19,Kopf::N,মাথা,cabeza
20,Rücken::N,পৃষ্ঠ,espalda
21,Bauch::N,উদর,vientre
22,Nabel::N,নাভি,ombligo
23,Busen::N,স্তন,pecho
24,Brust::N,বুক,pecho
25,Schulter::N,স্কন্ধ,hombro
26,Arm::N,বাহু,brazo
27,Ellenbogen::N,কনুই,codo
28,Hand::N,হাত,mano
29,Handfläche::N,করতল,palma
30,Finger::N,আঙ্গুল,dedo
31,Fingernagel::N,হাতের নখ,uña
32,Nagel[Anatomie]::N,নখ,uña
33,Zeh::N,আঙ্গুল,dedo del pie
34,Fuß::N,পা,pie
35,Ferse::N,গোড়ালি,talón
36,Knie::N,হাঁটু,rodilla
37,Oberschenkel::N,ঊরু,muslo
38,Bein::N,পা,pierna
39,Körper::N,দেহ,cuerpo
40,Haut::N,ত্বক,piel
41,Blut::N,রক্ত,sangre
42,Ader::N,শিরা,vena
43,Sehne::N,কণ্ডরা,tendón
44,Knochen::N,অস্থি,hueso
45,Gehirn::N,মস্তিষ্ক,cerebro
46,Gehirn::N,মস্তিষ্ক,encéfalo
47,Herz::N,হৃৎপিণ্ড,corazón
48,Magen::N,পাকস্থলী,estómago
49,Leber::N,যকৃৎ,hígado
50,Atem::N,শ্বাস,aliento
51,Hunger::N,ক্ষুধা,hambre
52,Träne::N,অশ্রু,lágrima
53,Geschmack::N,স্বাদ,gusto
54,Geruch::N,গন্ধ,olor
55,Schlaf::N,ঘুম,sueño
56,Traum::N,স্বপ্ন,sueño
57,Traum::N,স্বপ্ন,ensueño
58,Himmel::N,আকাশ,cielo
59,Sonne::N,সূর্য,sol
60,Mond::N,চন্দ্র,luna
61,Stern::N,নক্ষত্র,estrella
62,Luft::N,বায়ু,aire
63,Wind::N,বাতাস,viento
64,Welle::N,ঢেউ,ola
65,Welle::N,ঢেউ,onda
66,Welle::N,তরঙ্গ,ola
67,Welle::N,তরঙ্গ,onda
68,Wasser::N,জল,agua
69,Stein::N,ঢিল,piedra
70,Stein::N,প্রস্তর,piedra
71,Boden::N,ভূতল,suelo
72,Erde::N,ভূমি,tierra
73,Staub::N,ধুলা,polvo
74,Rauch::N,ধোঁয়া,humo
75,Funke::N,স্ফুলিঙ্গ,chispa
76,Feuer::N,অগ্নি,fuego
77,Licht::N,আলো,luz
78,Schatten::N,ছায়া,sombra
79,Wetter::N,আবহাওয়া,tiempo
80,Nebel::N,কুহেলিকা,niebla
81,Wolke::N,মেঘ,nube
82,Regen::N,বৃষ্টি,lluvia
83,Schnee::N,তুষার,nieve
84,Eis::N,বরফ,hielo
85,Frost::N,তুষার,helada
86,Kälte::N,শৈত্য,frío
87,Hitze::N,তাপ,calor
88,Raureif::N,তুহিন,escarcha
89,Regenbogen::N,রামধনু,arco iris
90,Donner::N,বজ্রধ্বনি,trueno
91,Strömung::N,স্রোত,corriente
92,Tropfen::N,ফোঁটা,gota
93,Schaum::N,ফেনা,espuma
94,Schmutz::N,ধুলা,suciedad
95,See::N,হ্রদ,lago
96,Sumpf::N,জলা,pantano
97,Moor::N,মাঠ,turbera
98,Wiese::N,তৃণভূমি,prado
99,Wiese::N,তৃণভূমি,pradera
100,Wald::N,বন,bosque
101,Hügel::N,পাহাড়,colina
102,Anhöhe::N,টিলা,cerro
103,Berg::N,পর্বত,monte
104,Berg::N,পর্বত,montaña
105,Gipfel::N,শীর্ষ,cima
106,Gipfel::N,শীর্ষ,cumbre
107,Höhle::N,গুহা,cueva
108,Höhle::N,গুহা,caverna
109,Abhang::N,ঢাল,cuesta
110,Abhang::N,ঢাল,declive
111,Quelle::N,উৎস,fuente
112,Quelle::N,উৎস,manantial
113,Bach::N,ক্ষুদ্র নদী,arroyo
114,Fluss::N,নদী,río
115,Ufer::N,উপকূল,orilla
116,Küste::N,তীর,costa
117,Festland::N,ভূমি,tierra firme
118,Meer::N,সমুদ্র,mar
119,Bucht::N,উপসাগর,cala
120,Bucht::N,উপসাগর,bahía
121,Insel::N,দ্বীপ,isla
122,Blume::N,ফুল,flor
123,Gras::N,ঘাস,hierba
124,Wurzel::N,শিকড়,raíz
125,Baum::N,গাছ,árbol
126,Stamm::N,স্কন্ধ,tronco
127,Rinde::N,বল্কল,corteza
128,Ast::N,শাখা,rama
129,Zweig::N,ডাল,ramo
130,Blatt::N,পর্ণ,hoja
131,Birke::N,ভুর্জ,abedul
132,Kiefer[Baum]::N,পাইন গাছ,pino
133,Weide[Baum]::N,উইলো,sauce
134,Tanne::N,দেবদারূ গাছ,abeto
135,Horn::N,শিং,asta
136,Horn::N,শিং,cuerno
137,Feder::N,পালক,pluma
138,Fell::N,রোম,piel
139,Flügel::N,ডানা,ala
140,Klaue::N,নখর,garra
141,Kralle::N,নখর,uña
142,Kralle::N,নখর,garra
143,Schwanz::N,লেজ,cola
144,Ei::N,ডিম,huevo
145,Nest::N,কুলায়,nido
146,Bau::N,ডেরা,madriguera
147,Tier::N,জন্তু,animal
148,Herde::N,ঝাঁক,rebaño
149,Kuh::N,গোরু,vaca
150,Bulle::N,বৃষ,toro
151,Pferd::N,ঘোড়া,caballo
152,Schaf::N,ভেড়া,oveja
153,Schwein::N,শূকর,cerdo
154,Hund::N,কুকুর,perro
155,Katze::N,বেড়াল,gato
156,Bär::N,ভল্লুক,oso
157,Eichhörnchen::N,কাঠবিড়াল,ardilla
158,Elch::N,হরিণবিশেষ,alce
159,Fuchs::N,পাঁতিশিয়াল,zorro
160,Hase::N,শশক,liebre
161,Maus::N,নেংটি ইঁদুর,ratón
162,Wolf::N,নেকড়ে,lobo
163,Vogel::N,পক্ষী,ave
164,Vogel::N,পক্ষী,pájaro
165,Schwarm::N,ঝাঁক,bandada
166,Huhn::N,মোরগ,gallina
167,Hahn::N,কুক্কুট,gallo
168,Gans::N,হংসী,oca
169,Gans::N,হংসী,ganso
170,Adler::N,ইগল,águila
171,Ente::N,হংসী,pato
172,Eule::N,পেচক,lechuza
173,Kranich::N,সারস,grulla
174,Krähe::N,কাক,corneja
175,Kuckuck::N,কোকিল,cuco
176,Schwan::N,মরাল,cisne
177,Fisch::N,মাছ,pez
178,Barsch::N,মৎন্যবিশেষ,perca
179,Hecht::N,বানমাছ,lucio
180,Schlange[Tier]::N,সর্প,serpiente
181,Wurm::N,কীট,gusano
182,Spinne::N,মাকড়সা,araña
183,Ameise::N,পিপীলিকা,hormiga
184,Laus::N,উকুন,piojo
185,Mücke::N,মশা,mosquito
186,Fliege::N,মাছি,mosca
187,Schmetterling::N,প্রজাপতি,mariposa
188,Beere::N,বেরি,baya
189,Apfel::N,আপেল,manzana
190,Pilz::N,ছত্রক,seta
