,Concept_ID,ps,ba
0,Auge::N,سترګه,күҙ
1,Ohr::N,غوږ,ҡолаҡ
2,Nase::N,پوزه,танау
3,Mund::N,خوله,ауыҙ
4,Zahn::N,غاښ,теш
5,Zunge::N,جبه,тел
6,Lippe::N,شونډه,ирен
7,Wange::N,باړخو,яцаҡтар
8,Gesicht::N,مخ,бит
9,Stirn::N,تندی,маңлай
10,Stirn::N,وچولی,маңлай
11,Haar::N,وېښته,сәс
12,Schnurrbart::N,برېت,мылтыҡ
13,Bart::N,ږیره,һаҡал
14,Kinn::N,زنه,эйэк
15,Kiefer[Anatomie]::N,جامه,яңаҡ һөйәге
16,Kehle::N,غاړه,тамаҡ
17,Hals::N,غاړه,муйын
18,Genick::N,ورمېږ,соңҡа
19,Kopf::N,سر,баш
20,Rücken::N,شا,арҡа
21,Bauch::N,نس,ҡорһаҡ
22,Bauch::N,ګېډه,ҡорһаҡ
23,Nabel::N,نوم,кендек
24,Busen::N,تی,күкрәк
25,Brust::N,سینه,түш
26,Schulter::N,اوږه,яурын
27,Arm::N,لاس,ҡул
28,Ellenbogen::N,څنګل,терһәк
29,Hand::N,لاس,ҡул
30,Hand::N,لاس,ҡул суғы
31,Handfläche::N,ورغوی,ус төбө
32,Finger::N,ګوته,бармаҡ
33,Fingernagel::N,نوک,тырнаҡ
34,Nagel[Anatomie]::N,نوک,тырнаҡ
35,Zeh::N,ګوته,бармаҡ
36,Fuß::N,پښه,табан
37,Ferse::N,پونده,үксә
38,Knie::N,زنګون,тубыҡ
39,Oberschenkel::N,پتون,сандыр
40,Bein::N,پښه,аяҡ
41,Körper::N,ځان,тән
42,Haut::N,پوټکی,тире
43,Blut::N,وینه,ҡан
44,Ader::N,رګ,тамыр
45,Sehne::N,پله,һеңер
46,Sehne::N,پله,тарамыш
47,Knochen::N,هډوکی,һойәк
48,Gehirn::N,ماغزه,мейе
49,Herz::N,زړه,йорәк
50,Magen::N,معده,ашҡаҙан
51,Leber::N,ينه,бауыр
52,Leber::N,ځیګر,бауыр
53,Atem::N,نفس,һулыш
54,Hunger::N,ولږه,аслыҡ
55,Träne::N,اوښکه,күҙ иәше
56,Geschmack::N,مزه,тәм
57,Geschmack::N,خوند,тәм
58,Geruch::N,بوی,еҫ
59,Schlaf::N,خوب,йоҡлау
60,Traum::N,خوب,төш
61,Himmel::N,اسمان,күк
62,Sonne::N,لمر,ҡояш
63,Mond::N,سپوږمۍ,ай
64,Stern::N,ستوری,йондоҙ
65,Luft::N,هوا,һауа
66,Wind::N,ورښ,ел
67,Welle::N,موج,тулҡын
68,Wasser::N,اوبه,һыу
69,Stein::N,ډبره,таш
70,Boden::N,مځکه,тупраҡ
71,Erde::N,خاوره,балсҡ
72,Staub::N,ګرد,туҙан
73,Staub::N,خاوره,туҙан
74,Rauch::N,دود,төтөн
75,Rauch::N,لوګی,төтөн
76,Funke::N,سپرغۍ,осҡон
77,Feuer::N,اور,ут
78,Licht::N,رڼا,яҡтылыҡ
79,Schatten::N,سیوری,күләгә
80,Wetter::N,هوا,һауа торошо
81,Nebel::N,لړه,төман
82,Wolke::N,ورېځ,болот
83,Regen::N,وریا,ямғыр
84,Regen::N,باران,ямғыр
85,Schnee::N,واوره,ҡар
86,Eis::N,یخ,боҙ
87,Eis::N,کنګل,боҙ
88,Frost::N,یخ,һалҡын
89,Kälte::N,ساړه,һыуыҡ
90,Hitze::N,تودوخي,томра
91,Hitze::N,تودوخي,эҫелек
92,Raureif::N,سپینه پرخه,ҡырау
93,Regenbogen::N,بوډۍ ټال,йәйғор
94,Regenbogen::N,سره زرغونه,йәйғор
95,Donner::N,تالنده,күк күкрәү
96,Strömung::N,بهېدنه,ағым
