,Concept_ID,uk,mdf
0,Auge::N,око,сельме
1,Ohr::N,вухо,пиле
2,Nase::N,ніс,шалхка
3,Mund::N,рот,курга
4,Zahn::N,зуб,пей
5,Zunge::N,язик,кяль
6,Lippe::N,губа,търва́
7,Wange::N,щока,щёка
8,Gesicht::N,обличчя,шама
9,Stirn::N,лоб,коня
10,Haar::N,волосся,шя́ярь
11,Schnurrbart::N,вуса,уса́
12,Bart::N,борода,сакал
13,Kinn::N,підборіддя,ула
14,Kiefer[Anatomie]::N,щелепа,саласка
15,Kehle::N,горло,кълдома
16,Kehle::N,горло,кърга́парь
17,Hals::N,шия,сялдаз
18,Genick::N,потилиця,шовонь
19,Kopf::N,голова,пря
20,Rücken::N,спина,копорь
21,Bauch::N,живіт,пеке
22,Nabel::N,пупок,по́кон
23,Busen::N,груди,потя
24,Brust::N,груди,мяште
25,Schulter::N,плече,лафту
26,Arm::N,рука,кядь
27,Ellenbogen::N,лікоть,кенерьба́карь
28,Hand::N,рука,кядь
29,Handfläche::N,долоня,кядьлапш
30,Finger::N,палець,сур
31,Fingernagel::N,ніготь,кенже
32,Nagel[Anatomie]::N,ніготь,кенже
33,Zeh::N,палець на нозі,пильгосу́р
34,Fuß::N,нога,пильге
35,Fuß::N,нога,пильгелапа
36,Ferse::N,п’ятка,кочкяря
37,Knie::N,коліно,эль
38,Knie::N,коліно,пълма́нжа
39,Oberschenkel::N,стегно,пильгепукша
40,Bein::N,нога,пильге
41,Körper::N,тіло,ро́нга
42,Körper::N,тіло,по́нда
43,Haut::N,шкіра,киське
44,Blut::N,кров,вер
45,Ader::N,вена,сан
46,Ader::N,вена,верза́н
47,Sehne::N,сухожилля,коське сан
48,Knochen::N,кістка,пакарь
49,Gehirn::N,мозок,уй
50,Herz::N,серце,седи
51,Magen::N,шлунок,коткърдазь
52,Leber::N,печінка,макса
53,Atem::N,дихання,лекома
54,Atem::N,дихання,ваймонь тарксема
55,Hunger::N,голод,вачеши
56,Träne::N,сльоза,сельмове́дь
57,Geschmack::N,смак,таньф
58,Geruch::N,запах,шине
59,Schlaf::N,сон,удома́
60,Schlaf::N,сплячка,удома́
61,Traum::N,сон,он
62,Himmel::N,небо,менель
63,Sonne::N,сонце,ши
64,Mond::N,місяць,ков
65,Stern::N,зірка,тяште
66,Luft::N,повітря,кожф
67,Wind::N,вітер,варма
68,Welle::N,хвиля,тавла
69,Wasser::N,вода,ведь
70,Stein::N,камінь,кев
71,Boden::N,ґрунт,мода
72,Boden::N,ґрунт,потмакс
73,Erde::N,земля,мода
74,Erde::N,земля,мастор
75,Staub::N,пил,пуль
76,Rauch::N,дим,качам
77,Funke::N,іскра,ця́тка
78,Feuer::N,вогонь,тол
79,Licht::N,світло,ва́лда
80,Schatten::N,тінь,цильф
81,Wetter::N,погода,уша
82,Nebel::N,туман,тума́н
83,Wolke::N,хмара,ковол
84,Regen::N,дощ,пизем
85,Schnee::N,сніг,лов
86,Eis::N,лід,эй
87,Frost::N,мороз,ке́льме
88,Kälte::N,холод,якшама
89,Hitze::N,жар,пси
90,Raureif::N,іній,леш
91,Regenbogen::N,райдуга,а́тямъёнга
92,Donner::N,грім,атям
93,Strömung::N,струмина,шудема́
94,Tropfen::N,крапля,путькс
95,Tropfen::N,крапля,пътняфкс
96,Schaum::N,піна,шов
97,Schmutz::N,бруд,ърда́з
98,See::N,озеро,эрьхке
99,Sumpf::N,драговина,шяй
100,Moor::N,болото,шяй
101,Wiese::N,луг,луга
102,Wiese::N,лука,луга
103,Wald::N,ліс,вирь
104,Hügel::N,горб,губо́р
105,Hügel::N,горб,пандоня
106,Anhöhe::N,височина,губо́р
107,Berg::N,гора,панда
108,Gipfel::N,вершина,пря
109,Höhle::N,печера,у́нда
110,Abhang::N,схил,па́нда ша́ма
111,Quelle::N,джерело,эшиня
112,Bach::N,струмок,шудерькс
113,Fluss::N,річка,ляй
114,Ufer::N,берег,търва́
115,Küste::N,узбережжя,ляйтърва́
116,Festland::N,суша,мода
117,Meer::N,море,моря
118,Bucht::N,бухта,ведьуське
119,Bucht::N,затока,ведьуське
120,Insel::N,острів,цёнга
121,Blume::N,квітка,панчф
122,Gras::N,трава,тише
123,Wurzel::N,корінь,юр
124,Wurzel::N,корінь,ункс
125,Baum::N,дерево,шуфта
126,Stamm::N,стовбур,ро́нга
127,Rinde::N,кора,кер
128,Ast::N,гілка,морга
129,Zweig::N,галузь,тарад
130,Blatt::N,лист,лопа
131,Birke::N,береза,ке́лу
132,Kiefer[Baum]::N,сосна,пиче
133,Weide[Baum]::N,верба,каль
134,Tanne::N,ялиця,куз
135,Horn::N,ріг,сюра
136,Feder::N,перо,толга
137,Fell::N,хутро,кедь
138,Flügel::N,крило,паця
139,Klaue::N,кіготь,кенже
140,Kralle::N,лапа,кенже
141,Schwanz::N,хвіст,пула
142,Ei::N,яйце,ал
143,Nest::N,гніздо,пиза
144,Bau::N,лігво,пиза
145,Tier::N,тварина,жува́та
146,Herde::N,стадо,нал
147,Herde::N,стадо,стада
148,Kuh::N,корова,скал
149,Kuh::N,корова,тракс
150,Bulle::N,бик,бука
151,Bulle::N,бугай,бука
152,Pferd::N,кінь,лишме
153,Schaf::N,вівця,уча́
154,Schwein::N,свиня,тува
155,Hund::N,собака,пине
156,Katze::N,кішка,катоня
157,Katze::N,кішка,аваката
158,Bär::N,ведмідь,офта
159,Eichhörnchen::N,білка,ур
160,Elch::N,лось,ся́рда
161,Fuchs::N,лисиця,келазь
162,Hase::N,заєць,ну́мол
163,Maus::N,миша,шеер
164,Wolf::N,вовк,върьгаз
165,Vogel::N,птах,нармонь
166,Schwarm::N,зграя,ко́вол
167,Schwarm::N,зграя,ме́швеле
168,Huhn::N,курка,сараз
169,Hahn::N,півень,а́тякш
170,Gans::N,гуска,маци
171,Adler::N,орел,куцькан
172,Ente::N,качка,яксярга
173,Eule::N,сова,ко́рож
174,Kranich::N,журавель,ка́рга
175,Krähe::N,ворона,ва́рси
176,Kuckuck::N,зозуля,ку́ку
177,Schwan::N,лебідь,ло́ксти
178,Fisch::N,риба,кал
179,Barsch::N,окунь,о́кунь
180,Hecht::N,щука,щу́ка
181,Schlange[Tier]::N,змія,куй
182,Wurm::N,черв’як,сукс
183,Spinne::N,павук,унжа́
184,Ameise::N,мурашка,панжам
185,Laus::N,воша,си
186,Mücke::N,комар,ся́ське
187,Fliege::N,муха,кару
188,Schmetterling::N,метелик,ме́лав
189,Beere::N,ягода,и́мож
190,Apfel::N,яблуко,марь
191,Pilz::N,гриб,панга
192,Zwiebel::N,цибуля,шурьхкя́
193,Saat::N,сім’я,видьмот
194,Korn::N,зерно,сёра
195,Heu::N,сіно,тише
196,Schale::N,шкірка,кедь
197,Grube::N,яма,лотка
198,Falle::N,пастка,туфкс
199,Falle::N,пастка,кунда́ма
200,Schlinge::N,петля,килькш
201,Spur::N,слід,пильгоки́
202,Asche::N,зола,кулу
203,Asche::N,попіл,кулу
204,Dreck::N,бруд,ърда́з
205,Eisen::N,залізо,кшни
206,Gold::N,золото,ока
207,Gold::N,золото,золота
208,Silber::N,срібло,сия́
209,Kohle::N,вугілля,седь
210,Kohle::N,вугілля,седьвальмя
211,Glas::N,скло,кля́нцек
212,Lehm::N,глина,сёвонь
213,Sand::N,пісок,шува́р
214,Mensch::N,людина,ломань
215,Mann::N,чоловік,аля
216,Mann::N,чоловік,цёраломань
217,Frau::N,жінка,ава
218,Kind::N,дитина,идь
219,Kind::N,дитина,шаба
220,Junge::N,хлопець,цёраня
221,Mädchen::N,дівчина,стирня́
222,Familie::N,сім’я,тнал
223,Familie::N,сім’я,семья
224,Familie::N,родина,тнал
225,Familie::N,родина,семья
226,Großvater::N,дідусь,атя
227,Großvater::N,дідусь,щя́тя
228,Großmutter::N,бабуся,баба
229,Eltern::N,батьки,тя́дят-а́лят
230,Vater::N,батько,аля
231,Mutter::N,мати,ава
232,Mutter::N,мати,тядя
233,Sohn::N,син,цёра
234,Tochter::N,дочка,стирь
235,Bruder::N,брат,дуган
236,Bruder::N,брат,пяльне
237,Schwester::N,сестра,ака
238,Schwester::N,сестра,сазор
239,Onkel::N,дядько,оця
240,Onkel::N,дядько,патя
241,Onkel::N,дядько,щеня́
242,Tante::N,тітка,ака
243,Tante::N,тітка,щака
244,Ehemann::N,чоловік,мирде
245,Ehefrau::N,жінка,ърьвя́
246,Ehefrau::N,дружина,ърьвя́
247,Freude::N,радощі,ке́нярдема
248,Gelächter::N,сміх,рахсема
249,Glück::N,щастя,паваз
250,Kummer::N,горе,ризф
251,Kummer::N,горе,пичефкс
252,Wunsch::N,бажання,мяль
253,Wunsch::N,бажання,таколдома
254,Lust::N,бажання,таколдома
255,Geist::N,дух,вайме
256,Gedanke::N,думка,мяль
257,Gedächtnis::N,пам’ять,прявий
258,Verstand::N,розум,прявий
259,Sinn::N,зміст,ён
260,Sinn::N,значення,ён
261,Grund::N,причина,туфта́л
262,Wahrheit::N,правда,ви́де
263,Wahrheit::N,правда,видеши́
264,Gespräch::N,розмова,корхтама
265,Märchen::N,байка,ёфкс
266,Erzählung::N,повість,азкс
267,Erzählung::N,оповідання,азкс
268,Nachricht::N,повідомлення,куля́
269,Neuigkeit::N,новина,куля́
270,Name::N,ім’я,лем
271,Rätsel::N,загадка,со́дама ёфкс
272,Rede::N,промова,вал
273,Rede::N,промова,корхтама
274,Sprache::N,мова,кяль
275,Stimme::N,голос,вайгяль
276,Wort::N,слово,вал
277,Zeichen::N,знак,тя́ште
278,Zeichen::N,знак,тя́штькс
279,Ruf::N,оклик,тердема
280,Lärm::N,шум,гайф
281,Lärm::N,шум,жалакодома
282,Laut::N,звук,вайгяль
283,Ton::N,тон,вайгяль
284,Lied::N,пісня,мора
285,Ruhe::N,спокій,сетьме
286,Leute::N,люди,ломатть
287,Volk::N,народ,наро́д
288,Arbeit::N,робота,тев
289,Gast::N,гість,и́нжи
290,Gast::N,гість,ко́нак
291,Geschenk::N,подарунок,казне
292,Spiel::N,гра,налхкома
293,Spiel::N,гра,налхксема
294,Gesellschaft::N,товариство,кружок
295,Hilfe::N,допомога,лездома
296,Freund::N,друг,я́лга
297,Freund::N,приятель,я́лга
