,Concept_ID,da,sl
0,Auge::N,øje,okó
1,Ohr::N,øre,uhó
2,Nase::N,næse,nós
3,Mund::N,mund,ústa
4,Zahn::N,tand,zób
5,Zunge::N,tunge,jêzik
6,Lippe::N,læbe,ústnica
7,Wange::N,kind,líce
8,Gesicht::N,ansigt,oblíčje
9,Stirn::N,pande,čêlo
10,Haar::N,hår,lás
11,Schnurrbart::N,overskæg,bŕki
12,Bart::N,skæg,bráda
13,Kinn::N,hage,bráda
14,Kiefer[Anatomie]::N,kæbe,čeljúst
15,Kehle::N,strube,gŕlo
16,Hals::N,hals,vrát
17,Genick::N,nakke,zatílnik
18,Kopf::N,hoved,gláva
19,Rücken::N,ryg,hrbèt
20,Bauch::N,mave,trébuh
21,Nabel::N,navle,pópek
22,Busen::N,barm,nédrja
23,Brust::N,bryst,pŕsi
24,Schulter::N,skulder,ráma
25,Schulter::N,skulder,plêče
26,Arm::N,arm,rôka
27,Ellenbogen::N,albue,komólec
28,Hand::N,hånd,rôka
29,Handfläche::N,håndflade,dlán
30,Finger::N,finger,pŕst
31,Fingernagel::N,fingernegl,nóht na rôki
32,Nagel[Anatomie]::N,negl,nóht
33,Zeh::N,tå,pŕst na nôgi
34,Fuß::N,fod,nôga
35,Ferse::N,hæl,pêta
36,Knie::N,knæ,koléno
37,Oberschenkel::N,lår,stêgno
38,Bein::N,ben,nôga
39,Körper::N,krop,teló
40,Körper::N,legeme,teló
41,Haut::N,hud,kóža
42,Blut::N,blod,krí
43,Ader::N,åre,žíla
44,Sehne::N,sene,kíta
45,Knochen::N,ben,kóst
46,Gehirn::N,hjerne,možgáni
47,Herz::N,hjerte,srcé
48,Magen::N,mave,želódec
49,Leber::N,lever,jétra
50,Atem::N,ånde,díh
51,Hunger::N,sult,glád
52,Träne::N,tåre,sólza
53,Geschmack::N,smag,okús
54,Geruch::N,lugt,vónj
55,Schlaf::N,søvn,sèn
56,Schlaf::N,søvn,spánec
57,Traum::N,drøm,sánje
58,Himmel::N,himmel,nebó
59,Sonne::N,sol,sónce
60,Mond::N,måne,lúna
61,Mond::N,måne,mésec
62,Stern::N,stjerne,zvézda
63,Luft::N,luft,zràk
64,Wind::N,vind,véter
65,Welle::N,bølge,vál
66,Wasser::N,vand,vôda
67,Stein::N,sten,kámen
68,Boden::N,jord,tlà
69,Erde::N,jord,pŕst
70,Erde::N,jord,zêmlja
71,Staub::N,støv,práh
72,Rauch::N,røg,dìm
73,Funke::N,gnist,ískra
74,Feuer::N,ild,ôgenj
75,Licht::N,lys,lúč
76,Schatten::N,skygge,sénca
77,Wetter::N,vejr,vrême
78,Nebel::N,tåge,meglà
79,Wolke::N,sky,oblák
80,Regen::N,regn,dèž
81,Schnee::N,sne,snég
82,Eis::N,is,léd
83,Frost::N,frost,zmrzál
84,Kälte::N,kulde,mràz
85,Hitze::N,hede,pripéka
86,Raureif::N,rimfrost,ívje
87,Raureif::N,rimfrost,slána
88,Regenbogen::N,regnbue,mávrica
89,Donner::N,torden,gròm
90,Strömung::N,strømning,strúja
91,Tropfen::N,dråbe,káplja
92,Schaum::N,skum,péna
93,Schmutz::N,snavs,nesnága
94,See::N,sø,jézero
95,Sumpf::N,sump,močvírje
96,Moor::N,mose,bárje
97,Wiese::N,eng,trávnik
98,Wald::N,skov,lés
99,Wald::N,skov,gòzd
100,Hügel::N,høj,brég
101,Hügel::N,høj,goríca
102,Hügel::N,bakke,brég
103,Hügel::N,bakke,goríca
104,Anhöhe::N,høj,gríč
105,Anhöhe::N,høj,višína
106,Anhöhe::N,bakke,gríč
107,Anhöhe::N,bakke,višína
108,Berg::N,bjerg,gôra
109,Berg::N,bjerg,planína
110,Gipfel::N,top,vŕh
111,Höhle::N,hule,jáma
112,Höhle::N,hule,votlína
113,Abhang::N,skrænt,pobóčje
114,Abhang::N,skråning,pobóčje
115,Quelle::N,kilde,izvír
116,Bach::N,bæk,pôtok
117,Fluss::N,flod,réka
118,Ufer::N,bred,brég
119,Küste::N,kyst,obála
120,Küste::N,kyst,obréžje
121,Festland::N,fastland,celína
122,Festland::N,fastland,kopnína
123,Meer::N,hav,mórje
124,Bucht::N,bugt,zalív
125,Insel::N,ø,ôtok
126,Blume::N,blomst,cvetlíca
127,Gras::N,græs,tráva
128,Wurzel::N,rod,korenína
129,Baum::N,træ,drevó
130,Stamm::N,stamme,dêblo
131,Rinde::N,bark,lúbje
132,Rinde::N,bark,skórja
133,Ast::N,gren,véja
134,Zweig::N,kvist,véja
135,Blatt::N,blad,líst
136,Birke::N,birk,bréza
137,Kiefer[Baum]::N,fyrretræ,bòr
138,Weide[Baum]::N,piletræ,vŕba
139,Tanne::N,gran,hója
140,Horn::N,horn,róg
141,Feder::N,fjer,peró
142,Fell::N,skind,kŕzno
143,Flügel::N,vinge,krílo
144,Klaue::N,klov,párkelj
145,Kralle::N,klo,krémpelj
146,Schwanz::N,hale,rèp
147,Ei::N,æg,jájce
148,Nest::N,rede,gnézdo
149,Bau::N,bo,brlòg
150,Tier::N,dyr,živál
151,Herde::N,flok,čréda
152,Kuh::N,ko,kráva
153,Bulle::N,tyr,bìk
154,Pferd::N,hest,kònj
155,Schaf::N,får,ôvca
156,Schwein::N,gris,svínja
157,Hund::N,hund,pès
158,Katze::N,kat,máčka
159,Bär::N,bjørn,mêdved
160,Eichhörnchen::N,egern,véverica
161,Elch::N,elg,lós
162,Fuchs::N,ræv,lisíca
163,Hase::N,hare,zájec
164,Maus::N,mus,mìš
165,Wolf::N,ulv,vólk
166,Vogel::N,fugl,ptìč
167,Vogel::N,fugl,ptíca
168,Schwarm::N,sværm,játa
169,Huhn::N,høne,kokóš
170,Hahn::N,hane,petêlin
171,Gans::N,gås,gós
172,Adler::N,ørn,ôrel
173,Ente::N,and,ráca
174,Eule::N,ugle,sôva
175,Kranich::N,trane,žerjàv
176,Krähe::N,krage,vrána
177,Kuckuck::N,gøg,kúkavica
178,Schwan::N,svane,labód
179,Fisch::N,fisk,ríba
180,Barsch::N,aborre,ostríž
181,Hecht::N,gedde,ščúka
182,Schlange[Tier]::N,slange,káča
183,Wurm::N,orm,čr̀v
184,Wurm::N,orm,glísta
185,Spinne::N,edderkop,pájek
186,Ameise::N,myre,mrávlja
187,Laus::N,lus,úš
188,Mücke::N,myg,komár
189,Fliege::N,flue,múha
190,Schmetterling::N,sommerfugl,metúlj
191,Beere::N,bær,jágoda
192,Apfel::N,æble,jábolko
193,Pilz::N,svamp,góba
194,Zwiebel::N,løg,čebúla
195,Saat::N,sæd,séme
196,Korn::N,korn,zŕno
197,Heu::N,hø,senó
198,Schale::N,skræl,lupína
199,Grube::N,grav,jáma
200,Falle::N,fælde,pást
201,Schlinge::N,snare,zánka
202,Schlinge::N,snare,pêtlja
203,Spur::N,spor,sléd
204,Asche::N,aske,pepél
205,Dreck::N,snavs,bláto
206,Eisen::N,jern,želézo
207,Gold::N,guld,zlató
208,Silber::N,sølv,srebró
209,Kohle::N,kul,ógel
210,Glas::N,glas,stêklo
211,Lehm::N,ler,ílo
212,Sand::N,sand,pések
213,Mensch::N,mennesge,člôvek
214,Mann::N,mand,móž
215,Mann::N,mand,môški
216,Frau::N,kvinde,gospá
217,Frau::N,kvinde,žénska
218,Kind::N,barn,déte
219,Kind::N,barn,otròk
220,Junge::N,dreng,fànt
221,Junge::N,dreng,déček
222,Mädchen::N,pige,deklè
223,Mädchen::N,pige,déklica
224,Familie::N,familie,družína
225,Großvater::N,bedstefar,dèd
226,Großvater::N,bedstefar,dédek
227,Großmutter::N,bedstemor,bábica
228,Eltern::N,forældre,stárši
229,Vater::N,far,ôče
230,Mutter::N,mor,máma
231,Sohn::N,søn,sín
232,Tochter::N,datter,hčí
233,Tochter::N,datter,hčérka
234,Bruder::N,bror,bràt
235,Schwester::N,søster,sêstra
236,Onkel::N,onkel,újec
237,Onkel::N,onkel,stríc
238,Tante::N,tante,têta
239,Tante::N,tante,strína
240,Ehemann::N,ægtemand,móž
241,Ehemann::N,ægtemand,sopróg
242,Ehefrau::N,hustru,žêna
243,Ehefrau::N,hustru,sopróga
244,Freude::N,glæde,rádost
245,Freude::N,glæde,vesêlje
246,Gelächter::N,latter,sméh
247,Gelächter::N,latter,grohòt
248,Glück::N,lykke,sréča
