,Concept_ID,ady,se
0,Auge::N,нэ,tjelmie
1,Auge::N,нэ,tjalmme
2,Auge::N,нэ,čalbmi
3,Auge::N,нэ,čalme
4,Auge::N,нэ,čâ´lmm
5,Auge::N,нэ,ча̄лльм
6,Ohr::N,тхьакӏу́м,bieljie
7,Ohr::N,тхьакӏу́м,biellje
8,Ohr::N,тхьакӏу́м,beallji
9,Ohr::N,тхьакӏу́м,pelji
10,Ohr::N,тхьакӏу́м,pe´llj
11,Ohr::N,тхьакӏу́м,пе̄лльй
12,Nase::N,пэ,njuenie
13,Nase::N,пэ,njunnje
14,Nase::N,пэ,njunni
15,Nase::N,пэ,njuṇe
16,Nase::N,пэ,njuu´nn
17,Nase::N,пэ,нюннҍ
18,Mund::N,жэ,njaelmie
19,Mund::N,жэ,njálmme
20,Mund::N,жэ,njálbmi
21,Mund::N,жэ,njälmi
22,Mund::N,жэ,njä´lmm
23,Mund::N,жэ,ня̄лльм
24,Zahn::N,цэ,baenie
25,Zahn::N,цэ,bádne
26,Zahn::N,цэ,bátni
27,Zahn::N,цэ,pääṇi
28,Zahn::N,цэ,pää´nn
29,Zahn::N,цэ,па̄ннҍ
30,Zunge::N,бзэгу,njoektjeme
31,Zunge::N,бзэгу,njuovtjav
32,Zunge::N,бзэгу,njuovčča
33,Zunge::N,бзэгу,njuovčâ
34,Zunge::N,бзэгу,njuhččâm
35,Zunge::N,бзэгу,нюхчем
36,Lippe::N,ӏупшӏэ́,bangseme
37,Lippe::N,ӏупшӏэ́,njálmmerabdda
38,Lippe::N,ӏупшӏэ́,bavssa
39,Lippe::N,ӏупшӏэ́,poovsâ
40,Lippe::N,ӏупшӏэ́,põõus
41,Lippe::N,ӏупшӏэ́,пэ̄кс
42,Wange::N,нэкӏу́шъу,skiehrie
43,Wange::N,нэкӏу́шъу,nierra
44,Wange::N,нэкӏу́шъу,muohtu
45,Wange::N,нэкӏу́шъу,nieṛâ
46,Wange::N,нэкӏу́шъу,njiõrr
47,Wange::N,нэкӏу́шъу,нӣрр
48,Gesicht::N,нэ́гу,ååredæjja
49,Gesicht::N,нэ́гу,muohto
50,Gesicht::N,нэ́гу,muođut
51,Gesicht::N,нэ́гу,ámadadju
52,Gesicht::N,нэ́гу,muáđuh
53,Gesicht::N,нэ́гу,muâđ
54,Gesicht::N,нэ́гу,ка̄ссв
55,Stirn::N,натӏэ́,gaalloe
56,Stirn::N,натӏэ́,gállo
57,Stirn::N,натӏэ́,gállu
58,Stirn::N,натӏэ́,kállu
59,Stirn::N,натӏэ́,käll
60,Stirn::N,натӏэ́,вуэххьц
61,Haar::N,шъхьацы́,voepte
62,Haar::N,шъхьацы́,vuoppta
63,Haar::N,шъхьацы́,vuokta
64,Haar::N,шъхьацы́,vuop'tâ
65,Haar::N,шъхьацы́,vuõpt
66,Haar::N,шъхьацы́,вӯппт
67,Bart::N,жакӏэ́,skaavtja
68,Bart::N,жакӏэ́,skaavtjoe
69,Bart::N,жакӏэ́,skávttjá
70,Bart::N,жакӏэ́,seamu
71,Bart::N,жакӏэ́,siämu
72,Bart::N,жакӏэ́,seäm
73,Bart::N,жакӏэ́,ся̄м
74,Kinn::N,жэкӏэпэпкъ,gaejpie
75,Kinn::N,жэкӏэпэпкъ,gájbbe
76,Kinn::N,жэкӏэпэпкъ,gáibi
77,Kinn::N,жэкӏэпэпкъ,käibi
78,Kinn::N,жэкӏэпэпкъ,käi´bb
79,Kinn::N,жэкӏэпэпкъ,ка̄ййп
80,Kiefer[Anatomie]::N,жэпкъы́,gaejpie
81,Kiefer[Anatomie]::N,жэпкъы́,oalol
82,Kiefer[Anatomie]::N,жэпкъы́,oaloldákte
83,Kiefer[Anatomie]::N,жэпкъы́,gáibi
84,Kiefer[Anatomie]::N,жэпкъы́,uá'lultähti
85,Kiefer[Anatomie]::N,жэпкъы́,vuâl'lõš
86,Kiefer[Anatomie]::N,жэпкъы́,вуаллнешш
87,Kehle::N,чый,gealoe
88,Kehle::N,чый,tjåttå
89,Kehle::N,чый,njiello
90,Kehle::N,чый,čotta
91,Kehle::N,чый,čuudâ
92,Kehle::N,чый,čoodd
93,Kehle::N,чый,чонт
94,Kehle::N,чый,кэ̄ҏс
95,Hals::N,пшъэ,tjeapohke
96,Hals::N,пшъэ,tjiebet
97,Hals::N,пшъэ,čeabet
