,Concept_ID,sq,pl
0,Auge::N,sy,oko
1,Ohr::N,vesh,ucho
2,Nase::N,hundë,nos
3,Mund::N,gojë,usta
4,Zahn::N,dhëmb,ząb
5,Zunge::N,gjuhë,język
6,Lippe::N,buzë,warga
7,Wange::N,faqe,policzek
8,Wange::N,mollëz,policzek
9,Gesicht::N,fytyrë,twarz
10,Stirn::N,ballë,czoło
11,Haar::N,flokë,włos
12,Haar::N,flokë,włosy
13,Schnurrbart::N,mustaqe,wąsy
14,Bart::N,mjekër,broda
15,Kinn::N,mjekër,podbródek
16,Kiefer[Anatomie]::N,nofull,czeluść
17,Kehle::N,fyt,gardło
18,Kehle::N,grykë,gardło
19,Hals::N,qafë,szyja
20,Genick::N,arrëz,kark
21,Kopf::N,kokë,głowa
22,Rücken::N,kurriz,plecy
23,Rücken::N,kurriz,grzbiet
24,Bauch::N,bark,brzuch
25,Nabel::N,kërthizë,pępek
26,Busen::N,gji,biust
27,Brust::N,gjoks,pierś
28,Brust::N,kraharor,pierś
29,Schulter::N,sup,bark
30,Schulter::N,sup,ramię
31,Schulter::N,krah,bark
32,Schulter::N,krah,ramię
33,Arm::N,krah,ręka
34,Arm::N,krah,ramię
35,Ellenbogen::N,bërryl,łokieć
36,Hand::N,dorë,dłoń
37,Handfläche::N,pëllëmbë,dłoń
38,Finger::N,gisht,palec
39,Fingernagel::N,thua,paznokieć
40,Nagel[Anatomie]::N,thua,paznokieć
41,Zeh::N,gisht i këmbës,palec
42,Fuß::N,këmbë,stopa
43,Ferse::N,thembër,pięta
44,Knie::N,gju,kolano
45,Oberschenkel::N,kofshë,udo
46,Bein::N,këmbë,noga
47,Körper::N,trup,ciało
48,Haut::N,lëkurë,skóra
49,Blut::N,gjak,krew
50,Ader::N,venë,żyła
51,Sehne::N,dell,ścięgno
52,Knochen::N,asht,kość
53,Knochen::N,kockë,kość
54,Gehirn::N,tru,mózg
55,Herz::N,zemër,serce
56,Magen::N,stomak,żołądek
57,Leber::N,mëlçi,wątroba
58,Atem::N,frymë,dech
59,Atem::N,frymë,oddech
60,Hunger::N,uri,głód
61,Träne::N,lot,łza
62,Geschmack::N,shije,smak
63,Geruch::N,erë,woń
64,Geruch::N,erë,zapach
65,Schlaf::N,gjumë,sen
66,Traum::N,ëndërr,sen
67,Himmel::N,qiell,niebo
68,Sonne::N,diell,słońce
69,Mond::N,hënë,księżyc
70,Stern::N,yll,gwiazda
71,Luft::N,ajër,powietrze
72,Wind::N,erë,wiatr
73,Welle::N,valë,fala
74,Welle::N,dallgë,fala
75,Wasser::N,ujë,woda
76,Stein::N,gur,kamień
77,Boden::N,tokë,grunt
78,Boden::N,truall,grunt
79,Erde::N,dhe,ziemia
80,Erde::N,baltë,ziemia
81,Staub::N,pluhur,pył
82,Staub::N,pluhur,kurz
83,Rauch::N,tym,dym
84,Funke::N,xixë,iskra
85,Funke::N,shkëndijë,iskra
86,Feuer::N,zjarr,ogień
87,Licht::N,dritë,światło
88,Schatten::N,hije,cień
89,Wetter::N,mot,pogoda
90,Nebel::N,mjegull,mgła
91,Wolke::N,re,obłok
92,Wolke::N,re,chmura
93,Regen::N,shi,deszcz
94,Schnee::N,borë,śnieg
95,Eis::N,akull,lód
96,Frost::N,ngricë,mróz
97,Kälte::N,të ftohtë,chłód
98,Hitze::N,vapë,gorąco
99,Hitze::N,nxehtësi,gorąco
100,Raureif::N,cikmë,szron
101,Regenbogen::N,ylber,tęcza
102,Donner::N,gjëmim,grzmot
103,Donner::N,bubullimë,grzmot
104,Strömung::N,rrymë,nurt
105,Tropfen::N,pikë,kropla
106,Schaum::N,shkumë,piana
107,Schmutz::N,baltë,brud
108,See::N,liqen,jezioro
109,Sumpf::N,batak,bagno
110,Moor::N,kënetë,bagno
111,Wiese::N,livadh,łąka
112,Wald::N,pyll,las
113,Hügel::N,kodër,pagórek
114,Anhöhe::N,bregore,wzgórze
115,Berg::N,mal,góra
116,Gipfel::N,kulm,szczyt
117,Gipfel::N,kulm,wierzchołek
118,Höhle::N,shpellë,pieczara
119,Höhle::N,zgafelle,pieczara
120,Abhang::N,shpat,stok
121,Abhang::N,shpat,zbocze
122,Abhang::N,tatëpjetë,stok
123,Abhang::N,tatëpjetë,zbocze
124,Quelle::N,krua,zdrój
125,Quelle::N,krua,źródło
126,Quelle::N,burim,zdrój
127,Quelle::N,burim,źródło
128,Bach::N,virua,potok
129,Bach::N,virua,strumień
130,Fluss::N,lumë,rzeka
131,Ufer::N,breg,brzeg
132,Küste::N,anëdet,wybrzeże
133,Küste::N,bregdet,wybrzeże
134,Festland::N,kontinent,ląd
135,Meer::N,det,morze
136,Bucht::N,gji deti,zatoka
137,Insel::N,ishull,wyspa
138,Insel::N,ujdhesë,wyspa
139,Blume::N,lule,kwiat
140,Gras::N,bar,trawa
141,Wurzel::N,rrënjë,korzeń
142,Baum::N,pemë,drzewo
143,Stamm::N,trung,pień
144,Rinde::N,lëvore,kora
145,Ast::N,degë,gałąź
146,Zweig::N,bisk,gałąź
147,Blatt::N,fletë,liść
148,Blatt::N,gjethe,liść
149,Birke::N,mështekën,brzoza
150,Kiefer[Baum]::N,pishë,sosna
151,Weide[Baum]::N,shelg,wierzba
152,Tanne::N,bredh,jodła
153,Horn::N,bri,róg
154,Feder::N,pupël,pióro
155,Fell::N,lëkurë,futro
156,Flügel::N,krah,skrzydło
157,Flügel::N,fletë,skrzydło
158,Klaue::N,kthetër,szpon
159,Kralle::N,thua,pazur
160,Kralle::N,kthetër,pazur
161,Schwanz::N,bisht,ogon
162,Ei::N,vezë,jajko
163,Nest::N,fole,gniazdo
164,Bau::N,strofkë,nora
165,Tier::N,kafshë,zwierzę
166,Herde::N,kope,stado
167,Herde::N,kope,trzoda
168,Herde::N,grigjë,stado
169,Herde::N,grigjë,trzoda
170,Kuh::N,lopë,krowa
171,Bulle::N,dem,byk
172,Pferd::N,kalë,koń
173,Schaf::N,dele,owca
174,Schwein::N,derr,świnia
175,Hund::N,qen,pies
176,Katze::N,mace,kot
177,Katze::N,mace,kotka
178,Bär::N,ari,niedźwiedż
179,Eichhörnchen::N,ketër,wiewiórka
180,Elch::N,dre brilopatë,łóś
181,Fuchs::N,dhelpër,lis
182,Hase::N,lepur,zając
183,Maus::N,mi,mysz
184,Wolf::N,ujk,wilk
185,Vogel::N,zog,ptak
186,Vogel::N,shpend,ptak
187,Schwarm::N,luzmë,stado
188,Huhn::N,pulë,kura
189,Hahn::N,gjel,kogut
190,Hahn::N,këndes,kogut
191,Gans::N,patë,gęś
192,Adler::N,shqiponjë,orzeł
193,Ente::N,rosë,kaczka
194,Eule::N,buf,sowa
195,Kranich::N,lejlek,żuraw
196,Kranich::N,kurrillë,żuraw
197,Krähe::N,sorrë,wrona
198,Kuckuck::N,qyqe,kukułka
199,Schwan::N,mjellmë,łabędż
200,Fisch::N,peshk,ryba
201,Barsch::N,purtekë,okoń
202,Hecht::N,mlysh,szczupak
203,Schlange[Tier]::N,gjarpër,wąż
204,Schlange[Tier]::N,gjarpër,żmija
205,Wurm::N,krimb,robak
206,Spinne::N,marimangë,pająk
207,Ameise::N,thnegël,mrówka
208,Ameise::N,milingonë,mrówka
209,Laus::N,morr,wesz
210,Mücke::N,kunup,komar
211,Mücke::N,mushkonjë,komar
212,Fliege::N,mizë,mucha
213,Schmetterling::N,flutur,motyl
214,Beere::N,frutë,jagoda
215,Beere::N,manaferrë,jagoda
216,Apfel::N,mollë,jabłko
217,Pilz::N,kërpudhë,grzyb
218,Zwiebel::N,qepë,cebula
219,Saat::N,farë,siew
220,Korn::N,grurë,ziarno
221,Korn::N,kokërr,ziarno
222,Heu::N,sanë,siano
223,Schale::N,lëkurë,łupina
224,Grube::N,gropë,dół
225,Grube::N,gropë,jama
226,Falle::N,kurth,pułapka
227,Falle::N,grackë,pułapka
228,Schlinge::N,nyjë,sidła
229,Spur::N,gjurmë,ślad
230,Asche::N,hi,popiół
231,Dreck::N,baltë,brud
232,Eisen::N,hekur,żelazo
233,Gold::N,ar,złoto
234,Gold::N,flori,złoto
235,Silber::N,argjend,srebro
236,Kohle::N,qymyr,węgiel
237,Glas::N,qelq,szkło
238,Lehm::N,argjilë,glina
239,Sand::N,rërë,piasek
240,Mensch::N,njeri,człowiek
241,Mann::N,burrë,mężczyzna
242,Mann::N,mashkull,mężczyzna
243,Frau::N,grua,kobieta
244,Frau::N,femër,kobieta
245,Kind::N,kalama,dziecko
246,Junge::N,djalë,chłopak
247,Junge::N,djalë,chłopiec
248,Mädchen::N,gocë,dziewczynka
249,Mädchen::N,vajzë,dziewczynka
250,Familie::N,familje,rodzina
251,Großvater::N,gjysh,dziadek
252,Großmutter::N,gjyshe,babka
253,Eltern::N,prindër,rodzice
254,Vater::N,atë,ojciec
255,Mutter::N,nënë,matka
256,Sohn::N,bir,syn
257,Tochter::N,bijë,córka
258,Bruder::N,vëlla,brat
259,Schwester::N,motër,siostra
260,Onkel::N,dajë,wuj
261,Onkel::N,dajë,stryj
262,Onkel::N,xhaxha,wuj
263,Onkel::N,xhaxha,stryj
264,Tante::N,teze,ciotka
265,Tante::N,hallë,ciotka
266,Ehemann::N,burrë,mąż
267,Ehemann::N,bashkëshort,mąż
268,Ehefrau::N,grua,żona
269,Ehefrau::N,bashkëshorte,żona
270,Freude::N,gaz,radość
271,Freude::N,gëzim,radość
272,Gelächter::N,qeshje,śmiech
273,Glück::N,lumturi,szczęście
274,Kummer::N,brengë,zmartwienie
275,Kummer::N,pikëllim,zmartwienie
276,Wunsch::N,dëshirë,życzenie
277,Lust::N,epsh,chęć
278,Lust::N,epsh,ochota
279,Lust::N,dashuri,chęć
280,Lust::N,dashuri,ochota
281,Geist::N,frymë,duch
282,Geist::N,shpirt,duch
283,Gedanke::N,ide,myśl
284,Gedanke::N,mendim,myśl
285,Gedächtnis::N,kujtesë,pamięć
286,Verstand::N,mend,rozum
287,Sinn::N,kuptim,zmysł
288,Grund::N,arsye,powód
289,Wahrheit::N,vërtetë,prawda
290,Gespräch::N,bisedim,rozmowa
291,Märchen::N,përrallë,bajka
292,Erzählung::N,tregim,opowiadanie
293,Nachricht::N,lajm,wiadomość
294,Neuigkeit::N,risi,nowina
295,Name::N,emër,imię
296,Rätsel::N,gjëzë,zagadka
297,Rätsel::N,gjëegjëzë,zagadka
298,Rede::N,fjalim,mowa
299,Sprache::N,gjuhë,język
300,Stimme::N,zë,głos
301,Wort::N,fjalë,słowo
302,Zeichen::N,shenjë,znak
303,Ruf::N,thirrmë,wołanie
304,Lärm::N,zhurmë,hałas
305,Lärm::N,zhurmë,zgiełk
306,Laut::N,tingull,dźwięk
307,Ton::N,ton,ton
308,Ton::N,ton,dźwięk
309,Lied::N,këngë,pieśń
310,Lied::N,këngë,piosenka
311,Ruhe::N,qetësi,spokój
312,Leute::N,botë,ludzie
313,Leute::N,njerëz,ludzie
314,Volk::N,popull,naród
315,Arbeit::N,punë,praca
316,Arbeit::N,punë,robota
317,Gast::N,mik,gość
318,Gast::N,mysafir,gość
319,Geschenk::N,dhuratë,prezent
320,Geschenk::N,dhuratë,podarunek
321,Geschenk::N,peshqesh,prezent
322,Geschenk::N,peshqesh,podarunek
323,Spiel::N,lojë,gra
324,Spiel::N,lojë,zabawa
325,Gesellschaft::N,shoqëri,towarzystwo
326,Hilfe::N,ndihmë,pomoc
327,Freund::N,mik,przyjaciel
328,Kamerad::N,shok,kolega
329,Angelegenheit::N,punë,sprawa
330,Anzahl::N,sasi,ilość
331,Art::N,lloj,rodzaj
332,Stück::N,copë,kawałek
333,Teil::N,pjesë,część
334,Hälfte::N,gjysmë,połowa
335,Kreis::N,qark,krąg
336,Kreis::N,rreth,krąg
337,Kreuz::N,kryq,krzyż
338,Linie::N,vijë,linia
339,Strich::N,vizë,kreska
340,Abstand::N,distancë,odstęp
341,Entfernung::N,largim,odległość
342,Gegend::N,vise,okolica
343,Gegend::N,krahinë,okolica
344,Platz::N,shesh,miejsce
345,Ort::N,vend,miejsce
346,Seite::N,anë,bok
347,Seite::N,anë,strona
348,Mitte::N,mes,środek
349,Gegenstand::N,send,przedmiot
350,Sache::N,gjë,rzecz
351,Sache::N,send,rzecz
352,Rand::N,qoshe,skraj
353,Rand::N,qoshe,krawędź
354,Kante::N,teh,kant
355,Kante::N,teh,krawędź
356,Ecke::N,qoshe,róg
357,Spitze::N,majë,ostrze
358,Ende::N,skaj,koniec
359,Ende::N,bisht,koniec
360,Loch::N,vrimë,dziura
361,Winkel::N,kënd,kąt
362,Winkel::N,kënd,kącik
363,Muster::N,mostër,wzór
364,Größe::N,madhësi,rozmiar
365,Größe::N,madhësi,wielkość
366,Länge::N,gjatësi,długość
367,Höhe::N,lartësi,wysokość
368,Gewicht::N,peshë,ciężar
369,Menge::N,sasi,ilość
370,Haufen::N,grumbull,kupa
371,Reihe::N,radhë,rząd
372,Reihe::N,radhë,szereg
373,Reihe::N,rresht,rząd
374,Reihe::N,rresht,szereg
375,Boot::N,barkë,łódź
376,Boot::N,barkë,łódka
377,Boot::N,lundër,łódź
378,Boot::N,lundër,łódka
379,Ruder::N,rrem,wiosło
380,Schlitten::N,sajë,sanki
381,Ski::N,ski,narta
382,Lagerfeuer::N,flakadan,ognisko
383,Lagerfeuer::N,zjarr i madh,ognisko
384,Last::N,barrë,ciężar
385,Last::N,barrë,brzemię
386,Gang::N,ecje,chód
387,Schritt::N,hap,krok
388,Norden::N,veri,północ
389,Süden::N,jug,południe
390,Westen::N,perëndim,zachód
391,Osten::N,lindje,wschód
392,Holz::N,dru,drzewo
393,Brett::N,dërrasë,deska
394,Platte::N,pllakë,płyta
395,Stütze::N,shtyllë,podpora
396,Stütze::N,mbështetesë,podpora
397,Stange::N,shufër,drąg
398,Stange::N,shufër,żerdź
399,Stock::N,dajak,kij
400,Stock::N,dajak,laska
401,Stab::N,shkop,pręt
402,Rohr::N,tub,rura
403,Haus::N,shtëpi,dom
404,Heim::N,konak,dom
405,Heim::N,shtëpi,dom
406,Ofen::N,sobë,piec
407,Ofen::N,stufë,piec
408,Fußboden::N,dysheme,podłoga
409,Tisch::N,tryezë,stół
410,Stuhl::N,karrige,krzesło
411,Wiege::N,djep,kołyska
412,Bett::N,shtrat,łóżko
413,Bett::N,shtrat,pościel
414,Regal::N,raft,regał
415,Kiste::N,kuti,skrzynia
416,Fenster::N,dritare,okno
417,Tür::N,derë,drzwi
418,Tor::N,portë,brama
419,Zaun::N,gardh,płot
420,Zaun::N,gardh,parkan
421,Dach::N,çati,dach
422,Leiter::N,shkallë,drabina
423,Besen::N,fshesë,miotła
424,Spaten::N,lopatë,rydel
425,Schaufel::N,qyrek,łopata
426,Gabel::N,pirun,widelec
427,Löffel::N,lugë,łyżka
428,Messer::N,thikë,nóż
429,Nagel::N,gozhdë,gwóźdź
430,Netz::N,rrjetë,sieć
431,Haken::N,grep,hak
432,Haken::N,grremç,hak
433,Griff::N,dorak,chwyt
434,Griff::N,dorezë,chwyt
435,Schloss::N,bravë,zamek
436,Bild::N,tablo,obraz
437,Bild::N,pikturë,obraz
438,Figur::N,figurë,figura
439,Puppe::N,kukull,lalka
440,Beutel::N,qese,torba
441,Beutel::N,trastë,torba
442,Bündel::N,deng,wiązka
443,Tasche::N,çantë,torba
444,Eimer::N,kovë,kubeł
445,Eimer::N,kovë,wiadro
446,Deckel::N,kapak,przykrywka
447,Deckel::N,mbulesë,przykrywka
448,Geschirr::N,enë,statki
449,Geschirr::N,enë,naczynia
450,Sack::N,thes,worek
451,Sack::N,torbë,worek
452,Tasse::N,filxhan,filiżanka
453,Topf::N,kusi,garnek
454,Topf::N,tenxhere,garnek
455,Kessel::N,kazan,kocioł
456,Essen::N,ngrënie,jedzenie
457,Nahrung::N,ushqim,pokarm
458,Nahrung::N,ushqim,pożywienie
459,Speise::N,gatesë,potrawa
460,Speise::N,gatesë,jedzenie
461,Fleisch::N,mish,mięso
462,Getreide::N,drithë,zboże
463,Brei::N,qull,kasza
464,Brot::N,bukë,chleb
465,Scheibe::N,fetë,kromka
466,Fett::N,lyrë,tłuszcz
467,Fett::N,yndyrë,tłuszcz
468,Butter::N,gjalpë,masło
469,Öl::N,vaj,olej
470,Salz::N,kripë,sól
471,Suppe::N,supë,zupa
472,Suppe::N,çorbë,zupa
473,Honig::N,mjaltë,miód
474,Milch::N,qumësht,mleko
475,Tee::N,çaj,herbata
476,Leder::N,lëkurë,skóra
477,Wolle::N,lesh,wełna
478,Stoff::N,pëlhurë,tkanina
479,Stoff::N,pëlhurë,materiał
480,Nadel::N,gjilpërë,igła
481,Faden::N,pe,nić
482,Faden::N,pe,nitka
483,Faden::N,fije,nić
484,Faden::N,fije,nitka
485,Knopf::N,kopsë,guzik
486,Knoten::N,komb,węzeł
487,Farbe::N,bojë,farba
488,Kleidung::N,veshje,odzież
489,Hemd::N,këmishë,koszula
490,Kragen::N,jakë,kołnierz
491,Ärmel::N,mëngë,rękaw
492,Hose::N,brekë,spodnie
493,Gürtel::N,rrip,pasek
494,Mütze::N,kësulë,czapka
495,Schuh::N,këpucë,but
496,Schuh::N,këpucë,bucik
497,Stiefel::N,çizme,but
498,Stiefel::N,çizme,kozak
499,Ring::N,unazë,pierścień
500,Band::N,shirit,wstęga
501,Kamm::N,krehër,grzebień
502,Spiegel::N,pasqyrë,lustro
503,Riemen::N,rrip,rzemień
504,Schnur::N,litar,sznur
505,Schnur::N,cikomë,sznur
506,Leine::N,rrip,smycz
507,Decke::N,batanije,kołdra
508,Kissen::N,jastëk,poduszka
509,Tuch::N,shami,chustka
510,Handtuch::N,peshqir,ręcznik
511,Kraft::N,forcë,moc
512,Kraft::N,forcë,siła
513,Stärke::N,koll,moc
514,Stärke::N,koll,siła
515,Gesundheit::N,shëndet,zdrowie
516,Krankheit::N,sëmundje,choroba
517,Schmerz::N,dhimbje,ból
518,Wunde::N,plagë,rana
519,Fieber::N,ethe,gorączka
520,Arznei::N,ilaç,lekarstwo
521,Brücke::N,urë,most
522,Brunnen::N,pus,studnia
523,Weide::N,kullotë,pastwisko
524,Pfad::N,ravë,ścieżka
525,Pfad::N,shteg,ścieżka
526,Weg::N,udhë,droga
527,Weg::N,shteg,droga
528,Straße::N,rrugë,ulica
529,Dorf::N,fshat,wieś
530,Dorf::N,katund,wieś
531,Stadt::N,qytet,miasto
532,Brief::N,letër,list
533,Buch::N,libër,książka
534,Buchstabe::N,shkronjë,litera
535,Zeitung::N,gazetë,gazeta
536,Zeitung::N,gazetë,dziennik
537,Leben::N,jetë,życie
538,Tod::N,mortje,śmierć
539,Grab::N,varr,grób
540,Kirche::N,kishë,kościół
541,Sünde::N,mëkat,grzech
542,Sünde::N,gjynah,grzech
543,Gott::N,hy,bóg
544,Gott::N,zot,bóg
545,Arbeiter::N,punëtor,robotnik
546,Chef::N,shef,szef
547,Chef::N,drejtues,szef
548,Meister::N,mjeshtër,mistrz
549,Meister::N,mjeshtër,majster
550,Arzt::N,mjek,lekarz
551,Arzt::N,doktor,lekarz
552,Lehrer::N,mësues,nauczyciel
553,Lehrer::N,arsimtar,nauczyciel
554,Geld::N,para,pieniądze
555,Geld::N,holla,pieniądze
556,Geschäft::N,ujdi,sprawa
557,Geschäft::N,ujdi,interes
558,Geschäft::N,biznes,sprawa
559,Geschäft::N,biznes,interes
560,Laden::N,dyqan,sklep
561,Preis::N,çmim,cena
562,Ware::N,mall,towar
563,Nutzen::N,dobi,pożytek
564,Nutzen::N,leverdi,pożytek
565,Reichtum::N,kamje,bogactwo
566,Reichtum::N,pasuri,bogactwo
567,Welt::N,botë,świat
568,Land::N,vend,kraj
569,Staat::N,shtet,państwo
570,König::N,mbret,król
571,Macht::N,fuqi,władza
572,Macht::N,pushtet,władza
573,Grenze::N,kufi,granica
574,Krieg::N,luftë,wojna
575,Feind::N,armik,wróg
576,Gewalt::N,dhunë,władza
577,Kampf::N,luftim,bój
578,Kampf::N,luftim,walka
579,Bogen[Waffe]::N,hark,łuk
580,Pfeil::N,shigjetë,strzała
581,Gewehr::N,pushkë,karabin
582,Fehler::N,gafë,błąd
583,Fehler::N,gabim,błąd
584,Lüge::N,gënjeshtër,kłamstwo
585,Schaden::N,dëm,szkoda
586,Schaden::N,zarar,szkoda
587,Unglück::N,fatkeqësi,nieszczęście
588,Schuld::N,faj,wina
589,Alter::N,moshë,wiek
590,Schluss::N,fund,koniec
591,Schluss::N,fund,zakończenie
592,Zeit::N,kohë,czas
593,Tag::N,ditë,dzień
594,Morgen::N,mëngjes,ranek
595,Morgen::N,mëngjes,poranek
596,Mittag::N,mesditë,południe
597,Abend::N,mbrëmje,wieczór
598,Nacht::N,natë,noc
599,Woche::N,javë,tydzień
600,Monat::N,muaj,miesiąc
601,Jahr::N,vit,rok
602,Frühling::N,pranverë,wiosna
603,Sommer::N,verë,lato
604,Herbst::N,vjeshtë,jesień
605,Winter::N,dimër,zima
606,Januar::N,janar,styczeń
607,Februar::N,shkurt,luty
608,März::N,mars,marzec
609,April::N,prill,kwiecień
610,Mai::N,maj,maj
611,Juni::N,qershor,czerwiec
612,Juli::N,korrik,lipiec
613,August::N,gusht,sierpień
