,Concept_ID,os,ga
0,Auge::N,цӕст,súil
1,Ohr::N,хъус,cluas
2,Nase::N,фындз,soc
3,Mund::N,дзых,béal
4,Zahn::N,дӕндаг,fiacail
5,Zunge::N,ӕвзаг,teanga
6,Lippe::N,был,liopa
7,Wange::N,рус,grua
8,Wange::N,рус,leiceann
9,Wange::N,уадул,grua
10,Wange::N,уадул,leiceann
11,Wange::N,ӕхсӕрфарс,grua
12,Wange::N,ӕхсӕрфарс,leiceann
13,Gesicht::N,цӕсгом,éadan
14,Gesicht::N,цӕсгом,aghaidh
15,Stirn::N,ных,baithis
16,Stirn::N,ных,clár éadain
17,Haar::N,хил,gruaig
18,Schnurrbart::N,рихи,croiméal
19,Bart::N,зачъе,féasóg
20,Kinn::N,роцъо,smig
21,Kiefer[Anatomie]::N,ӕфсӕр,giall
22,Kehle::N,хъуыр,scornach
23,Hals::N,къубал,muinéal
24,Genick::N,къӕбут,baic
25,Kopf::N,сӕр,ceann
26,Rücken::N,фӕсонтӕ,droim
27,Bauch::N,гуыбын,bolg
28,Nabel::N,бикъ,imleacán
29,Busen::N,дзидзи,cíoch
30,Brust::N,риу,brollach
31,Schulter::N,уӕхск,gualainn
32,Arm::N,цонг,lámh
33,Ellenbogen::N,рæмбын,uillinn
34,Hand::N,къух,lámh
35,Handfläche::N,армытъӕпӕн,bos
36,Finger::N,ӕнруылдз,méar
37,Fingernagel::N,ных,ionga
38,Nagel[Anatomie]::N,ных,ionga
39,Zeh::N,къух,ladhar
40,Fuß::N,фад,cos
41,Fuß::N,фад,troigh
42,Ferse::N,зӕвӕт,sáil
43,Knie::N,уӕраг,glúin
44,Oberschenkel::N,агъд,ceathrú
45,Bein::N,зӕнг,cos
46,Körper::N,буар,corp
47,Körper::N,буар,colainn
48,Haut::N,царм,cneas
49,Haut::N,царм,craiceann
50,Blut::N,туг,fuil
51,Ader::N,дадзин,
52,Ader::N,тугдадзин,
53,Sehne::N,хъиутæ,teannán
54,Sehne::N,хъиутæ,féitheog
55,Sehne::N,нуар,teannán
56,Sehne::N,нуар,féitheog
57,Knochen::N,стӕг,cnámh
58,Gehirn::N,магъз,inchinn
59,Herz::N,зӕрдӕ,croí
60,Magen::N,ахсӕн,bolg
61,Magen::N,ахсӕн,goile
62,Leber::N,игæр,ae
63,Atem::N,улӕфт,anáil
64,Hunger::N,стонг,ocras
65,Träne::N,цæссыг,deoir
66,Geschmack::N,ад,blas
67,Geruch::N,смаг,boladh
68,Schlaf::N,хуыссӕг,suan
69,Schlaf::N,хуыссӕг,codladh
70,Traum::N,фын,taibhreamh
71,Himmel::N,арв,spéir
72,Himmel::N,уӕларв,spéir
73,Sonne::N,хур,grian
74,Mond::N,мӕй,ré
75,Mond::N,мӕй,gealach
76,Stern::N,стъалы,rinn
77,Stern::N,стъалы,réalta
78,Luft::N,уӕлдӕф,aer
79,Wind::N,дымгӕ,gaoth
80,Welle::N,уылӕн,tonn
81,Wasser::N,дон,uisce
82,Stein::N,дур,cloch
83,Boden::N,зӕхх,talamh
84,Erde::N,сыджыт,cré
85,Erde::N,сыджыт,ithir
86,Staub::N,рыг,dusta
87,Staub::N,рыг,deannach
88,Rauch::N,фӕздӕг,toit
89,Rauch::N,фӕздӕг,deatach
90,Funke::N,цӕхӕр,drithle
