,Concept_ID,bg,hi
0,Auge::N,око,आँख
1,Auge::N,око,चक्षु
2,Ohr::N,ухо,कान
3,Ohr::N,ухо,कर्ण
4,Nase::N,нос,नाक
5,Nase::N,нос,नासा
6,Mund::N,уста,मुख
7,Mund::N,уста,मुँह
8,Zahn::N,зъб,दंत
9,Zahn::N,зъб,दाँत
10,Zunge::N,език,जीभ
11,Zunge::N,език,ज़बान
12,Zunge::N,език,जिह्वा
13,Lippe::N,устна,ओंठ
14,Lippe::N,устна,होंठ
15,Wange::N,буза,गाल
16,Wange::N,буза,कपोल
17,Gesicht::N,лице,मुँह
18,Gesicht::N,лице,चेहरा
19,Gesicht::N,образ,मुँह
20,Gesicht::N,образ,चेहरा
21,Stirn::N,чело,माथा
22,Stirn::N,чело,मस्तक
23,Haar::N,коса,बाल
24,Haar::N,косъм,बाल
25,Schnurrbart::N,мустаци,मूँछें
26,Bart::N,брада,दाढ़ी
27,Kinn::N,брада,चिबुक
28,Kinn::N,брадичка,चिबुक
29,Kiefer[Anatomie]::N,челюст,जबड़ा
30,Kehle::N,гърло,गला
31,Hals::N,врат,गला
32,Hals::N,врат,गरदन
33,Genick::N,тил,गरदन
34,Genick::N,тил,ग्रीवा
35,Kopf::N,глава,सिर
36,Kopf::N,глава,शीर्ष
37,Rücken::N,гръб,पीठ
38,Bauch::N,корем,उदर
39,Nabel::N,пъп,नाभि
40,Nabel::N,пъп,ढोंढी
41,Busen::N,бозка,कुच
42,Busen::N,бозка,स्तन
43,Brust::N,гръд,वक्ष
44,Schulter::N,рамо,कंधा
45,Schulter::N,рамо,स्कंध
46,Schulter::N,плещи,कंधा
47,Schulter::N,плещи,स्कंध
48,Arm::N,ръка,बाँह
49,Arm::N,ръка,बाज़ू
50,Ellenbogen::N,лакът,कुहनी
51,Hand::N,ръка,हाथ
52,Hand::N,ръка,हस्त
53,Hand::N,китка,हाथ
54,Hand::N,китка,हस्त
55,Handfläche::N,длан,हथेली
56,Finger::N,пръст,उँगली
57,Finger::N,пръст,अँगुली
58,Fingernagel::N,нокът,नख
59,Fingernagel::N,нокът,नाख़ून
60,Nagel[Anatomie]::N,нокът,नख
61,Nagel[Anatomie]::N,нокът,नाख़ून
62,Zeh::N,пръст на крак,उँगली
63,Zeh::N,пръст на крак,पाँव की उँगली
64,Fuß::N,крак,चरण
65,Fuß::N,крак,पाँव
66,Fuß::N,нога,चरण
67,Fuß::N,нога,पाँव
68,Ferse::N,пета,एड़ी
69,Knie::N,коляно,जानु
70,Knie::N,коляно,घुटना
71,Oberschenkel::N,бедро,उरु
72,Bein::N,крак,टाँग
73,Bein::N,нога,टाँग
74,Körper::N,тяло,तन
75,Körper::N,тяло,देह
76,Körper::N,тяло,शरीर
77,Haut::N,кожа,चर्म
78,Haut::N,кожа,त्वचा
79,Blut::N,кръв,लहू
80,Blut::N,кръв,ख़ून
81,Ader::N,вена,रग
82,Ader::N,вена,शिरा
83,Ader::N,артерия,रग
84,Ader::N,артерия,शिरा
85,Sehne::N,жила,कंडरा
86,Sehne::N,жила,स्नायु
87,Sehne::N,сухожилие,कंडरा
88,Sehne::N,сухожилие,स्नायु
89,Knochen::N,кост,अस्थि
90,Gehirn::N,мозък,दिमाग़
91,Gehirn::N,мозък,मस्तिष्क
92,Herz::N,сърце,दिल
93,Herz::N,сърце,हृदय
94,Magen::N,стомах,मेदा
95,Magen::N,стомах,अमाशय
