,Concept_ID,os,pl
0,Auge::N,цӕст,oko
1,Ohr::N,хъус,ucho
2,Nase::N,фындз,nos
3,Mund::N,дзых,usta
4,Zahn::N,дӕндаг,ząb
5,Zunge::N,ӕвзаг,język
6,Lippe::N,был,warga
7,Wange::N,рус,policzek
8,Wange::N,уадул,policzek
9,Wange::N,ӕхсӕрфарс,policzek
10,Gesicht::N,цӕсгом,twarz
11,Stirn::N,ных,czoło
12,Haar::N,хил,włos
13,Haar::N,хил,włosy
14,Schnurrbart::N,рихи,wąsy
15,Bart::N,зачъе,broda
16,Kinn::N,роцъо,podbródek
17,Kiefer[Anatomie]::N,ӕфсӕр,czeluść
18,Kehle::N,хъуыр,gardło
19,Hals::N,къубал,szyja
20,Genick::N,къӕбут,kark
21,Kopf::N,сӕр,głowa
22,Rücken::N,фӕсонтӕ,plecy
23,Rücken::N,фӕсонтӕ,grzbiet
24,Bauch::N,гуыбын,brzuch
25,Nabel::N,бикъ,pępek
26,Busen::N,дзидзи,biust
27,Brust::N,риу,pierś
28,Schulter::N,уӕхск,bark
29,Schulter::N,уӕхск,ramię
30,Arm::N,цонг,ręka
31,Arm::N,цонг,ramię
32,Ellenbogen::N,рæмбын,łokieć
33,Hand::N,къух,dłoń
34,Handfläche::N,армытъӕпӕн,dłoń
35,Finger::N,ӕнруылдз,palec
36,Fingernagel::N,ных,paznokieć
37,Nagel[Anatomie]::N,ных,paznokieć
38,Zeh::N,къух,palec
39,Fuß::N,фад,stopa
40,Ferse::N,зӕвӕт,pięta
41,Knie::N,уӕраг,kolano
42,Oberschenkel::N,агъд,udo
43,Bein::N,зӕнг,noga
44,Körper::N,буар,ciało
45,Haut::N,царм,skóra
46,Blut::N,туг,krew
47,Ader::N,дадзин,żyła
48,Ader::N,тугдадзин,żyła
49,Sehne::N,хъиутæ,ścięgno
50,Sehne::N,нуар,ścięgno
51,Knochen::N,стӕг,kość
52,Gehirn::N,магъз,mózg
53,Herz::N,зӕрдӕ,serce
54,Magen::N,ахсӕн,żołądek
55,Leber::N,игæр,wątroba
56,Atem::N,улӕфт,dech
57,Atem::N,улӕфт,oddech
58,Hunger::N,стонг,głód
59,Träne::N,цæссыг,łza
60,Geschmack::N,ад,smak
61,Geruch::N,смаг,woń
62,Geruch::N,смаг,zapach
63,Schlaf::N,хуыссӕг,sen
64,Traum::N,фын,sen
65,Himmel::N,арв,niebo
66,Himmel::N,уӕларв,niebo
67,Sonne::N,хур,słońce
68,Mond::N,мӕй,księżyc
69,Stern::N,стъалы,gwiazda
70,Luft::N,уӕлдӕф,powietrze
71,Wind::N,дымгӕ,wiatr
72,Welle::N,уылӕн,fala
73,Wasser::N,дон,woda
74,Stein::N,дур,kamień
75,Boden::N,зӕхх,grunt
76,Erde::N,сыджыт,ziemia
77,Staub::N,рыг,pył
78,Staub::N,рыг,kurz
79,Rauch::N,фӕздӕг,dym
80,Funke::N,цӕхӕр,iskra
81,Feuer::N,зынг,ogień
82,Licht::N,рухс,światło
83,Schatten::N,аууон,cień
84,Wetter::N,боныхъӕд,pogoda
85,Nebel::N,мигъ,mgła
86,Wolke::N,ӕврагъ,obłok
87,Wolke::N,ӕврагъ,chmura
88,Regen::N,уарын,deszcz
89,Schnee::N,мит,śnieg
90,Eis::N,их,lód
91,Frost::N,ихæн,mróz
92,Kälte::N,уазал,chłód
93,Hitze::N,ӕнтӕф,gorąco
94,Raureif::N,халас,szron
95,Regenbogen::N,арвырон,tęcza
96,Regenbogen::N,арвырдын,tęcza
97,Donner::N,æрвнæрын,grzmot
98,Strömung::N,цыд,nurt
99,Tropfen::N,æртах,kropla
100,Schaum::N,фынк,piana
101,Schmutz::N,цъыф,brud
102,See::N,цад,jezioro
103,Sumpf::N,цъыфдзаст,bagno
104,Moor::N,цъыфдзаст,bagno
105,Wiese::N,уыгӕрдӕн,łąka
106,Wald::N,хъӕд,las
107,Hügel::N,обау,pagórek
108,Hügel::N,къуыбыр,pagórek
109,Anhöhe::N,уæлвæз,wzgórze
110,Anhöhe::N,уæлхох,wzgórze
111,Berg::N,хох,góra
112,Gipfel::N,цъупп,szczyt
113,Gipfel::N,цъупп,wierzchołek
114,Höhle::N,лӕгӕт,pieczara
115,Abhang::N,къул,stok
116,Abhang::N,къул,zbocze
117,Quelle::N,суадон,zdrój
118,Quelle::N,суадон,źródło
119,Bach::N,мӕсчъыдон,potok
120,Bach::N,мӕсчъыдон,strumień
121,Fluss::N,дон,rzeka
122,Fluss::N,цӕугӕдон,rzeka
123,Ufer::N,был,brzeg
124,Küste::N,донбыл,wybrzeże
125,Festland::N,сурзæхх,ląd
126,Meer::N,денджыз,morze
127,Bucht::N,донбакæлæн,zatoka
128,Insel::N,сакъадах,wyspa
129,Blume::N,дидинӕг,kwiat
130,Gras::N,кӕрдӕг,trawa
131,Wurzel::N,уидаг,korzeń
132,Baum::N,бӕлас,drzewo
133,Stamm::N,хӕтӕл,pień
134,Rinde::N,цъар,kora
135,Ast::N,арх,gałąź
136,Zweig::N,къалиу,gałąź
137,Blatt::N,сыф,liść
138,Birke::N,бæрз,brzoza
139,Kiefer[Baum]::N,нӕзы,sosna
140,Weide[Baum]::N,хӕрис,wierzba
141,Tanne::N,наз,jodła
142,Horn::N,сыкъа,róg
143,Feder::N,сис,pióro
144,Fell::N,царм,futro
145,Flügel::N,базыр,skrzydło
146,Klaue::N,ных,szpon
147,Kralle::N,дзӕмбы,pazur
148,Schwanz::N,къӕдзил,ogon
149,Ei::N,айк,jajko
150,Nest::N,ахстон,gniazdo
151,Bau::N,хуынкъ,nora
152,Tier::N,сырд,zwierzę
153,Tier::N,цӕрӕгой,zwierzę
154,Herde::N,дзуг,stado
155,Herde::N,дзуг,trzoda
156,Herde::N,рӕгъау,stado
157,Herde::N,рӕгъау,trzoda
158,Kuh::N,хъуг,krowa
159,Bulle::N,гал,byk
160,Pferd::N,бӕх,koń
161,Schaf::N,фыс,owca
162,Schwein::N,хуы,świnia
163,Hund::N,куыдз,pies
164,Katze::N,гӕды,kot
165,Katze::N,гӕды,kotka
166,Bär::N,арс,niedźwiedż
167,Eichhörnchen::N,æхсæрæг,wiewiórka
168,Elch::N,цæгатаг саг,łóś
169,Fuchs::N,рувас,lis
170,Hase::N,тæрхъус,zając
171,Maus::N,мыст,mysz
172,Wolf::N,бирӕгъ,wilk
173,Vogel::N,цъиу,ptak
174,Vogel::N,маргъ,ptak
175,Schwarm::N,бал,stado
176,Huhn::N,карк,kura
177,Hahn::N,уасӕг,kogut
178,Gans::N,хъаз,gęś
179,Adler::N,цӕргӕс,orzeł
180,Ente::N,ацц,kaczka
181,Eule::N, уыг,sowa
182,Eule::N,сидахъ,sowa
183,Kranich::N,зырнæг,żuraw
184,Kranich::N,хърихъупп,żuraw
185,Krähe::N,халон,wrona
186,Kuckuck::N,гаккук,kukułka
187,Schwan::N,доныхъаз,łabędż
188,Fisch::N,кӕсаг,ryba
189,Barsch::N,окунь,okoń
190,Hecht::N,хихор кӕсаг,szczupak
191,Schlange[Tier]::N,калм,wąż
192,Schlange[Tier]::N,калм,żmija
193,Wurm::N,зулкъ,robak
194,Wurm::N,къуыдыргалм,robak
195,Spinne::N,хӕлуарӕг,pająk
196,Ameise::N,мæлдзыг,mrówka
197,Laus::N,сыст,wesz
198,Mücke::N,къогъо,komar
199,Fliege::N,бындз,mucha
